name,position,age,value,team,season
Diego Benaglio,GK,31,"6,00 Mio. €",VfL Wolfsburg,2014
Max Grün,GK,28,500 Tsd. €,VfL Wolfsburg,2014
Patrick Drewes,GK,22,150 Tsd. €,VfL Wolfsburg,2014
Robin Knoche,CB,23,"12,00 Mio. €",VfL Wolfsburg,2014
Naldo,CB,32,"5,00 Mio. €",VfL Wolfsburg,2014
Timm Klose,CB,27,"2,50 Mio. €",VfL Wolfsburg,2014
Felipe Lopes,CB,27,750 Tsd. €,VfL Wolfsburg,2014
Moritz Sprenger,CB,20,100 Tsd. €,VfL Wolfsburg,2014
Ricardo Rodríguez,LB,22,"28,00 Mio. €",VfL Wolfsburg,2014
Marcel Schäfer,LB,31,"2,00 Mio. €",VfL Wolfsburg,2014
Vieirinha,RB,29,"7,00 Mio. €",VfL Wolfsburg,2014
Sebastian Jung,RB,25,"6,50 Mio. €",VfL Wolfsburg,2014
Patrick Ochs,RB,31,"1,00 Mio. €",VfL Wolfsburg,2014
Luiz Gustavo,CDM,27,"22,00 Mio. €",VfL Wolfsburg,2014
Josuha Guilavogui,CDM,24,"12,00 Mio. €",VfL Wolfsburg,2014
Christian Träsch,CDM,27,"3,00 Mio. €",VfL Wolfsburg,2014
Slobodan Medojevic,CDM,24,"2,50 Mio. €",VfL Wolfsburg,2014
Junior Malanda,CDM,20,-,VfL Wolfsburg,2014
Maximilian Arnold,CM,21,"10,00 Mio. €",VfL Wolfsburg,2014
Mateusz Klich,CM,25,"1,00 Mio. €",VfL Wolfsburg,2014
Paul Seguin,CM,20,200 Tsd. €,VfL Wolfsburg,2014
Kevin De Bruyne,CAM,24,"35,00 Mio. €",VfL Wolfsburg,2014
Aaron Hunt,CAM,28,"5,00 Mio. €",VfL Wolfsburg,2014
Xizhe Zhang,CAM,24,850 Tsd. €,VfL Wolfsburg,2014
André Schürrle,LW,24,"30,00 Mio. €",VfL Wolfsburg,2014
Ivan Perišić,RW,26,"11,00 Mio. €",VfL Wolfsburg,2014
Daniel Caligiuri,RW,27,"5,00 Mio. €",VfL Wolfsburg,2014
Bas Dost,ST,26,"6,50 Mio. €",VfL Wolfsburg,2014
Nicklas Bendtner,ST,27,"3,50 Mio. €",VfL Wolfsburg,2014
Ivica Olic,ST,35,"2,00 Mio. €",VfL Wolfsburg,2014
Diego Benaglio,GK,32,"5,00 Mio. €",VfL Wolfsburg,2015
Koen Casteels,GK,24,"1,50 Mio. €",VfL Wolfsburg,2015
Max Grün,GK,29,400 Tsd. €,VfL Wolfsburg,2015
Niklas Klinger,GK,20,25 Tsd. €,VfL Wolfsburg,2015
Robin Knoche,CB,24,"6,00 Mio. €",VfL Wolfsburg,2015
Timm Klose,CB,28,"5,00 Mio. €",VfL Wolfsburg,2015
Naldo,CB,33,"4,00 Mio. €",VfL Wolfsburg,2015
Dante,CB,32,"3,00 Mio. €",VfL Wolfsburg,2015
Felipe Lopes,CB,28,750 Tsd. €,VfL Wolfsburg,2015
Carlos Ascues,CB,24,500 Tsd. €,VfL Wolfsburg,2015
Moritz Sprenger,CB,21,100 Tsd. €,VfL Wolfsburg,2015
Jannes Horn,CB,19,-,VfL Wolfsburg,2015
Ricardo Rodríguez,LB,23,"25,00 Mio. €",VfL Wolfsburg,2015
Marcel Schäfer,LB,32,"2,00 Mio. €",VfL Wolfsburg,2015
Vieirinha,RB,30,"7,00 Mio. €",VfL Wolfsburg,2015
Sebastian Jung,RB,26,"3,50 Mio. €",VfL Wolfsburg,2015
Luiz Gustavo,CDM,28,"20,00 Mio. €",VfL Wolfsburg,2015
Josuha Guilavogui,CDM,25,"12,00 Mio. €",VfL Wolfsburg,2015
Christian Träsch,CDM,28,"4,00 Mio. €",VfL Wolfsburg,2015
Maximilian Arnold,CM,22,"12,00 Mio. €",VfL Wolfsburg,2015
Paul Seguin,CM,21,200 Tsd. €,VfL Wolfsburg,2015
Kevin De Bruyne,CAM,25,"60,00 Mio. €",VfL Wolfsburg,2015
Aaron Hunt,CAM,29,"3,50 Mio. €",VfL Wolfsburg,2015
Francisco Rodríguez,CAM,20,800 Tsd. €,VfL Wolfsburg,2015
Ismail Azzaoui,CAM,18,750 Tsd. €,VfL Wolfsburg,2015
Julian Draxler,LW,22,"24,00 Mio. €",VfL Wolfsburg,2015
