name,position,age,value,team,season
Jasmin Fejzic,GK,29,600 Tsd. €,VfR Aalen,2014
Daniel Bernhardt,GK,29,350 Tsd. €,VfR Aalen,2014
Oliver Schnitzler,GK,19,150 Tsd. €,VfR Aalen,2014
André Hainault,CB,29,550 Tsd. €,VfR Aalen,2014
Oliver Barth,CB,35,350 Tsd. €,VfR Aalen,2014
Sascha Mockenhaupt,CB,23,350 Tsd. €,VfR Aalen,2014
Leandro Grech,CB,34,300 Tsd. €,VfR Aalen,2014
Sebastian Neumann,CB,24,250 Tsd. €,VfR Aalen,2014
Lucas,CB,22,100 Tsd. €,VfR Aalen,2014
Arne Feick,LB,27,500 Tsd. €,VfR Aalen,2014
Phil Ofosu-Ayeh,RB,23,700 Tsd. €,VfR Aalen,2014
Markus Steinhöfer,RB,29,400 Tsd. €,VfR Aalen,2014
Jürgen Mössmer,CDM,26,900 Tsd. €,VfR Aalen,2014
Jürgen Gjasula,CDM,29,800 Tsd. €,VfR Aalen,2014
Andreas Hofmann,CDM,29,600 Tsd. €,VfR Aalen,2014
Nejmeddin Daghfous,Midfielder,28,400 Tsd. €,VfR Aalen,2014
Maximilian Welzmüller,CDM,25,350 Tsd. €,VfR Aalen,2014
Manuel Junglas,CM,26,500 Tsd. €,VfR Aalen,2014
Andreas Ludwig,CM,24,500 Tsd. €,VfR Aalen,2014
Fabio Kaufmann,CM,22,300 Tsd. €,VfR Aalen,2014
Felix Nierichlo,CM,22,100 Tsd. €,VfR Aalen,2014
Robert Schick,LM,21,200 Tsd. €,VfR Aalen,2014
Dominick Drexler,CAM,25,500 Tsd. €,VfR Aalen,2014
Gianluca Korte,CAM,24,200 Tsd. €,VfR Aalen,2014
Maximilian Oesterhelweg,CAM,24,150 Tsd. €,VfR Aalen,2014
Nicola Zahner,CAM,20,100 Tsd. €,VfR Aalen,2014
Michael Klauß,LW,28,500 Tsd. €,VfR Aalen,2014
Thomas Steinherr,LW,22,175 Tsd. €,VfR Aalen,2014
Robert Lechleiter,RW,34,275 Tsd. €,VfR Aalen,2014
Fabian Weiß,RW,23,250 Tsd. €,VfR Aalen,2014
Dennis Chessa,RW,22,200 Tsd. €,VfR Aalen,2014
Orhan Ademi,ST,23,700 Tsd. €,VfR Aalen,2014
Collin Quaner,ST,24,400 Tsd. €,VfR Aalen,2014
Daniel Bernhardt,GK,30,325 Tsd. €,VfR Aalen,2015
Oliver Schnitzler,GK,20,150 Tsd. €,VfR Aalen,2015
Marcel Knauß,GK,19,50 Tsd. €,VfR Aalen,2015
Sebastian Neumann,CB,25,300 Tsd. €,VfR Aalen,2015
Fabian Menig,CB,22,250 Tsd. €,VfR Aalen,2015
Oliver Barth,CB,36,200 Tsd. €,VfR Aalen,2015
Robert Müller,CB,29,200 Tsd. €,VfR Aalen,2015
Thorsten Schulz,LB,31,225 Tsd. €,VfR Aalen,2015
Markus Schwabl,RB,25,325 Tsd. €,VfR Aalen,2015
Maximilian Welzmüller,CDM,26,300 Tsd. €,VfR Aalen,2015
Jonatan Kotzke,CDM,26,200 Tsd. €,VfR Aalen,2015
Dwayn Holter,CDM,21,150 Tsd. €,VfR Aalen,2015
Dren Hodja,CM,22,50 Tsd. €,VfR Aalen,2015
Sebastian Vasiliadis,CM,18,50 Tsd. €,VfR Aalen,2015
Ruben Reisig,CM,20,50 Tsd. €,VfR Aalen,2015
Alexandros Kartalis,LM,21,200 Tsd. €,VfR Aalen,2015
Dominick Drexler,CAM,26,450 Tsd. €,VfR Aalen,2015
Nicola Zahner,CAM,21,75 Tsd. €,VfR Aalen,2015
Michael Klauß,LW,29,275 Tsd. €,VfR Aalen,2015
Mika Ojala,RW,28,400 Tsd. €,VfR Aalen,2015
Dennis Chessa,RW,23,275 Tsd. €,VfR Aalen,2015
Randy Edwini-Bonsu,RW,26,200 Tsd. €,VfR Aalen,2015
Matthias Morys,ST,29,275 Tsd. €,VfR Aalen,2015
Gerrit Wegkamp,ST,23,250 Tsd. €,VfR Aalen,2015
Steffen Kienle,ST,21,150 Tsd. €,VfR Aalen,2015
Daniel Bernhardt,GK,31,325 Tsd. €,VfR Aalen,2016
Raif Husic,GK,21,100 Tsd. €,VfR Aalen,2016
Matthias Layer,GK,18,75 Tsd. €,VfR Aalen,2016
Thomas Geyer,CB,26,350 Tsd. €,VfR Aalen,2016
Fabian Menig,CB,23,300 Tsd. €,VfR Aalen,2016
Robert Müller,CB,30,275 Tsd. €,VfR Aalen,2016
Torge Paetow,CB,21,100 Tsd. €,VfR Aalen,2016
Antonios Papadopoulos,CB,17,-,VfR Aalen,2016
Thorsten Schulz,LB,32,150 Tsd. €,VfR Aalen,2016
