name,position,age,value,team,season
Tim Paterok,GK,22,100 Tsd. €,VfR Wormatia Worms,2014
Timo Utecht,GK,21,25 Tsd. €,VfR Wormatia Worms,2014
Christian Adam,GK,32,-,VfR Wormatia Worms,2014
Benjamin Maas,CB,26,150 Tsd. €,VfR Wormatia Worms,2014
Alexander Hien,CB,22,100 Tsd. €,VfR Wormatia Worms,2014
Jan-Marvin Dell,CB,22,-,VfR Wormatia Worms,2014
Alan Stulin,LB,25,150 Tsd. €,VfR Wormatia Worms,2014
Björn Weisenborn,LB,20,50 Tsd. €,VfR Wormatia Worms,2014
Eugen Gopko,RB,24,125 Tsd. €,VfR Wormatia Worms,2014
Bartosz Rzeszut-Pastusiak,RB,19,25 Tsd. €,VfR Wormatia Worms,2014
Rik Hiemeleers,RB,20,25 Tsd. €,VfR Wormatia Worms,2014
Kristian Maslanka,CDM,23,125 Tsd. €,VfR Wormatia Worms,2014
Benjamin Himmel,CDM,23,125 Tsd. €,VfR Wormatia Worms,2014
Sandro Loechelt,CDM,19,75 Tsd. €,VfR Wormatia Worms,2014
Meik Karwot,CDM,22,75 Tsd. €,VfR Wormatia Worms,2014
Jonathan Koshko,CDM,26,50 Tsd. €,VfR Wormatia Worms,2014
Max Bergemann-Gorski,CDM,20,-,VfR Wormatia Worms,2014
Johnathan Zinram-Kisch,CM,23,125 Tsd. €,VfR Wormatia Worms,2014
Maximilian Mehring,CM,29,75 Tsd. €,VfR Wormatia Worms,2014
Sascha Wolfert,RM,25,100 Tsd. €,VfR Wormatia Worms,2014
Ricardo Antonaci,RM,20,50 Tsd. €,VfR Wormatia Worms,2014
Enis Saiti,LM,25,75 Tsd. €,VfR Wormatia Worms,2014
Marius Fotescu,LW,19,25 Tsd. €,VfR Wormatia Worms,2014
Zahit Fındık,RW,23,75 Tsd. €,VfR Wormatia Worms,2014
Florian Treske,ST,27,175 Tsd. €,VfR Wormatia Worms,2014
Alper Akçam,ST,27,100 Tsd. €,VfR Wormatia Worms,2014
Ali Özgün,ST,25,75 Tsd. €,VfR Wormatia Worms,2014
Ideal Iberdemaj,ST,24,25 Tsd. €,VfR Wormatia Worms,2014
Dominik Müller,ST,20,25 Tsd. €,VfR Wormatia Worms,2014
Tim Paterok,GK,23,100 Tsd. €,VfR Wormatia Worms,2015
Timo Utecht,GK,22,25 Tsd. €,VfR Wormatia Worms,2015
Evandro Rachoni,GK,26,-,VfR Wormatia Worms,2015
Enez Aslan,GK,22,-,VfR Wormatia Worms,2015
Benjamin Maas,CB,27,125 Tsd. €,VfR Wormatia Worms,2015
Patrick Auracher,CB,26,100 Tsd. €,VfR Wormatia Worms,2015
Marco Metzger,CB,24,75 Tsd. €,VfR Wormatia Worms,2015
Fabian Eck,CB,19,25 Tsd. €,VfR Wormatia Worms,2015
Jan Just,CB,19,25 Tsd. €,VfR Wormatia Worms,2015
Jan-Marvin Dell,CB,23,-,VfR Wormatia Worms,2015
Henrik Nagel,CB,19,-,VfR Wormatia Worms,2015
Alan Stulin,LB,26,125 Tsd. €,VfR Wormatia Worms,2015
Sebastian Schmitt,LB,19,25 Tsd. €,VfR Wormatia Worms,2015
Eugen Gopko,RB,25,100 Tsd. €,VfR Wormatia Worms,2015
Rik Hiemeleers,RB,21,-,VfR Wormatia Worms,2015
Benjamin Himmel,CDM,24,125 Tsd. €,VfR Wormatia Worms,2015
