name,position,age,value,team,season
Nils Zumbeel,GK,25,-,VfV Borussia 06 Hildesheim,2014
Nicolas Franzmann,GK,23,-,VfV Borussia 06 Hildesheim,2014
Julian Wenzl,GK,25,-,VfV Borussia 06 Hildesheim,2014
Björn Zimmermann,CB,29,-,VfV Borussia 06 Hildesheim,2014
Sotiris Panagiotidis,CB,24,-,VfV Borussia 06 Hildesheim,2014
Florian Sarstedt,CB,18,-,VfV Borussia 06 Hildesheim,2014
Niklas Rauch,CB,18,-,VfV Borussia 06 Hildesheim,2014
Niklas Kiene,CB,23,-,VfV Borussia 06 Hildesheim,2014
Ilias Papadopoulos,LB,22,-,VfV Borussia 06 Hildesheim,2014
Nick Smyrak,LB,20,-,VfV Borussia 06 Hildesheim,2014
Agron Luma,LB,27,-,VfV Borussia 06 Hildesheim,2014
Christoph Lange,RB,31,-,VfV Borussia 06 Hildesheim,2014
Florian Rutter,RB,24,-,VfV Borussia 06 Hildesheim,2014
Peter Jacob Wing,CDM,18,-,VfV Borussia 06 Hildesheim,2014
Pascal Magiera,CDM,24,-,VfV Borussia 06 Hildesheim,2014
Jonas Stephan,CDM,23,-,VfV Borussia 06 Hildesheim,2014
Tino Schröder,CDM,25,-,VfV Borussia 06 Hildesheim,2014
Engin Yüksek,Midfielder,24,-,VfV Borussia 06 Hildesheim,2014
Lasgin Youssef,Midfielder,19,-,VfV Borussia 06 Hildesheim,2014
Tobias Gensrich,CM,27,-,VfV Borussia 06 Hildesheim,2014
Jonathan Dohmen,RM,18,-,VfV Borussia 06 Hildesheim,2014
Lennart Fiech,RM,18,-,VfV Borussia 06 Hildesheim,2014
Kubilay Arslan,LM,20,-,VfV Borussia 06 Hildesheim,2014
Dominic Hartmann,CAM,22,-,VfV Borussia 06 Hildesheim,2014
Felix Bielicke,CAM,19,-,VfV Borussia 06 Hildesheim,2014
Philipp Rockahr,LW,26,-,VfV Borussia 06 Hildesheim,2014
Philipp Schlichting,LW,26,-,VfV Borussia 06 Hildesheim,2014
Jonas Jürgens,RW,23,-,VfV Borussia 06 Hildesheim,2014
Benedict Plaschke,RW,26,-,VfV Borussia 06 Hildesheim,2014
Omar Fahmy,ST,26,-,VfV Borussia 06 Hildesheim,2014
Nils Zumbeel,GK,26,100 Tsd. €,VfV Borussia 06 Hildesheim,2015
