name,position,age,value,team,season
Lukas Fronczyk,GK,30,-,Wuppertaler SV,2014
Bastian Sube,GK,23,-,Wuppertaler SV,2014
Joshua Mroß,GK,18,-,Wuppertaler SV,2014
Pascal Plohmann,GK,20,-,Wuppertaler SV,2014
Dirk Jasmund,CB,25,-,Wuppertaler SV,2014
Peter Schmetz,CB,25,-,Wuppertaler SV,2014
Alexander Thamm,CB,32,-,Wuppertaler SV,2014
Noah Salau,CB,19,-,Wuppertaler SV,2014
Patrick Nemec,CB,18,-,Wuppertaler SV,2014
Maximilian Nadidai,CB,21,-,Wuppertaler SV,2014
Marvin Schurig,LB,26,-,Wuppertaler SV,2014
Janos Löbe,LB,19,-,Wuppertaler SV,2014
Davide Leikauf,RB,25,-,Wuppertaler SV,2014
Tim Kosien,RB,20,-,Wuppertaler SV,2014
Arthur Ekallé,RB,18,-,Wuppertaler SV,2014
Simon Blotko,RB,20,-,Wuppertaler SV,2014
Danijel Gataric,CDM,29,-,Wuppertaler SV,2014
Tim Manstein,CDM,25,-,Wuppertaler SV,2014
Kevin Weggen,CDM,21,-,Wuppertaler SV,2014
Niklas Leven,CDM,23,-,Wuppertaler SV,2014
Florian Grün,CM,24,-,Wuppertaler SV,2014
Timo Krampe,CM,20,-,Wuppertaler SV,2014
Christian Krone,RM,19,-,Wuppertaler SV,2014
Dalibor Gataric,CAM,29,-,Wuppertaler SV,2014
Tom Hirsch,LW,19,-,Wuppertaler SV,2014
Elsamed Ramaj,LW,19,-,Wuppertaler SV,2014
Karoj Sindi,RW,25,-,Wuppertaler SV,2014
Marvin Ellmann,ST,27,-,Wuppertaler SV,2014
Dennis Schmidt,ST,27,-,Wuppertaler SV,2014
Ivan Benkovic,ST,19,-,Wuppertaler SV,2014
Nils Nettersheim,ST,24,-,Wuppertaler SV,2014
Jonas Schneider,ST,20,-,Wuppertaler SV,2014
Sebastian Speen,GK,25,25 Tsd. €,Wuppertaler SV,2015
Felix Schiffer,GK,22,-,Wuppertaler SV,2015
Sören Ahlers,GK,18,-,Wuppertaler SV,2015
Markus Swoboda,GK,32,-,Wuppertaler SV,2015
Joshua Mroß,GK,19,-,Wuppertaler SV,2015
Florian Schneider,GK,19,-,Wuppertaler SV,2015
Peter Schmetz,CB,26,-,Wuppertaler SV,2015
Tarik Dogan,CB,19,-,Wuppertaler SV,2015
Róbert Csáki,CB,20,-,Wuppertaler SV,2015
Noah Salau,CB,20,-,Wuppertaler SV,2015
