name,position,age,value,team,season
Robert Wulnikowski,GK,37,100 Tsd. €,Würzburger Kickers,2014
Mario Miltner,GK,24,50 Tsd. €,Würzburger Kickers,2014
André Koob,GK,23,25 Tsd. €,Würzburger Kickers,2014
Cosmin Andrei,GK,20,-,Würzburger Kickers,2014
Nico Herzig,CB,31,300 Tsd. €,Würzburger Kickers,2014
Lukas Billick,CB,27,200 Tsd. €,Würzburger Kickers,2014
Kostadin Velkov,CB,26,150 Tsd. €,Würzburger Kickers,2014
Dominik Nothnagel,CB,20,100 Tsd. €,Würzburger Kickers,2014
Clemens Schoppenhauer,CB,23,100 Tsd. €,Würzburger Kickers,2014
Sebastian Sonnenberger,CB,24,75 Tsd. €,Würzburger Kickers,2014
Nico Gutjahr,CB,22,25 Tsd. €,Würzburger Kickers,2014
Pascal Bieler,LB,29,200 Tsd. €,Würzburger Kickers,2014
Christian Demirtas,RB,31,100 Tsd. €,Würzburger Kickers,2014
Liridon Vocaj,CDM,21,150 Tsd. €,Würzburger Kickers,2014
Dennis Schmitt,CDM,22,75 Tsd. €,Würzburger Kickers,2014
Niklas Weissenberger,CDM,22,75 Tsd. €,Würzburger Kickers,2014
Giannis Karsanidis,CM,22,25 Tsd. €,Würzburger Kickers,2014
Adrian Istrefi,CM,22,25 Tsd. €,Würzburger Kickers,2014
Corvin Behrens,LM,28,75 Tsd. €,Würzburger Kickers,2014
Marco Haller,CAM,31,150 Tsd. €,Würzburger Kickers,2014
Manuel Duhnke,CAM,27,75 Tsd. €,Würzburger Kickers,2014
Sebastian Fries,CAM,22,50 Tsd. €,Würzburger Kickers,2014
Steven Lewerenz,LW,24,200 Tsd. €,Würzburger Kickers,2014
Daniel Diroll,LW,23,50 Tsd. €,Würzburger Kickers,2014
Fabian Weiß,RW,23,250 Tsd. €,Würzburger Kickers,2014
Amir Shapourzadeh,RW,32,200 Tsd. €,Würzburger Kickers,2014
Christopher Bieber,ST,25,150 Tsd. €,Würzburger Kickers,2014
Adam Jabiri,ST,31,75 Tsd. €,Würzburger Kickers,2014
Dominik Brunnhübner,GK,25,100 Tsd. €,Würzburger Kickers,2015
Robert Wulnikowski,GK,38,100 Tsd. €,Würzburger Kickers,2015
Kenan Mujezinovic,GK,21,50 Tsd. €,Würzburger Kickers,2015
Clemens Schoppenhauer,CB,24,300 Tsd. €,Würzburger Kickers,2015
Dominik Nothnagel,CB,21,275 Tsd. €,Würzburger Kickers,2015
Lukas Billick,CB,28,200 Tsd. €,Würzburger Kickers,2015
Nico Herzig,CB,32,150 Tsd. €,Würzburger Kickers,2015
Nico Gutjahr,CB,23,75 Tsd. €,Würzburger Kickers,2015
Peter Kurzweg,LB,22,200 Tsd. €,Würzburger Kickers,2015
Dennis Russ,RB,24,150 Tsd. €,Würzburger Kickers,2015
Christian Demirtas,RB,32,100 Tsd. €,Würzburger Kickers,2015
Paul Thomik,RB,31,100 Tsd. €,Würzburger Kickers,2015
Nejmeddin Daghfous,Midfielder,29,350 Tsd. €,Würzburger Kickers,2015
Richard Weil,CDM,28,350 Tsd. €,Würzburger Kickers,2015
