date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
27.08.2014,19:00,Dyn. Dresden II,1. FC Lokomotive Leipzig,732,0,1,/spielbericht/index/spielbericht/2477944,2014,NOFV-Oberliga Süd
08.08.2014,19:30,1. FC Lokomotive Leipzig,Markranstädt,3.214,0,0,/spielbericht/index/spielbericht/2479773,2014,NOFV-Oberliga Süd
23.08.2014,14:00,FCO Neugersdorf,1. FC Lokomotive Leipzig,719,0,0,/spielbericht/index/spielbericht/2479780,2014,NOFV-Oberliga Süd
31.08.2014,14:00,1. FC Lokomotive Leipzig,Schott Jena,2.224,2,1,/spielbericht/index/spielbericht/2479791,2014,NOFV-Oberliga Süd
12.09.2014,18:30,1. FC Lokomotive Leipzig,Askan. Bernburg,2.237,1,0,/spielbericht/index/spielbericht/2479802,2014,NOFV-Oberliga Süd
21.09.2014,14:00,1. FC Lokomotive Leipzig,Ein. Rudolstadt,2.201,1,1,/spielbericht/index/spielbericht/2479807,2014,NOFV-Oberliga Süd
26.09.2014,19:00,U. Sandersdorf,1. FC Lokomotive Leipzig,1.510,3,1,/spielbericht/index/spielbericht/2500253,2014,NOFV-Oberliga Süd
03.10.2014,15:00,1. FC Lokomotive Leipzig,Erzgeb. Aue II,2.452,2,0,/spielbericht/index/spielbericht/2500484,2014,NOFV-Oberliga Süd
19.10.2014,14:00,1. FC Lokomotive Leipzig,RB Leipzig II,4.925,1,1,/spielbericht/index/spielbericht/2500492,2014,NOFV-Oberliga Süd
15.02.2015,14:00,Chemnitz II,1. FC Lokomotive Leipzig,1.443,2,1,/spielbericht/index/spielbericht/2500498,2014,NOFV-Oberliga Süd
01.11.2014,15:00,1. FC Lokomotive Leipzig,E. Cottbus II,2.266,2,3,/spielbericht/index/spielbericht/2503883,2014,NOFV-Oberliga Süd
08.11.2014,15:00,1. FC Lokomotive Leipzig,CZ Jena II,1.659,2,1,/spielbericht/index/spielbericht/2503895,2014,NOFV-Oberliga Süd
22.11.2014,15:00,1. FC Lokomotive Leipzig,VfL Halle 96,1.936,0,1,/spielbericht/index/spielbericht/2503904,2014,NOFV-Oberliga Süd
29.11.2014,13:00,FC Eisenach,1. FC Lokomotive Leipzig,1.620,1,4,/spielbericht/index/spielbericht/2503914,2014,NOFV-Oberliga Süd
06.12.2014,15:00,1. FC Lokomotive Leipzig,RW Erfurt II,1.496,1,1,/spielbericht/index/spielbericht/2503920,2014,NOFV-Oberliga Süd
28.02.2015,14:00,1. FC Lokomotive Leipzig,Dyn. Dresden II,2.865,3,1,/spielbericht/index/spielbericht/2506803,2014,NOFV-Oberliga Süd
07.03.2015,14:00,Markranstädt,1. FC Lokomotive Leipzig,1.890,1,1,/spielbericht/index/spielbericht/2506811,2014,NOFV-Oberliga Süd
15.03.2015,14:00,1. FC Lokomotive Leipzig,FCO Neugersdorf,2.582,2,0,/spielbericht/index/spielbericht/2506899,2014,NOFV-Oberliga Süd
21.03.2015,14:00,Schott Jena,1. FC Lokomotive Leipzig,410,0,1,/spielbericht/index/spielbericht/2506819,2014,NOFV-Oberliga Süd
28.03.2015,14:00,Askan. Bernburg,1. FC Lokomotive Leipzig,1.268,0,3,/spielbericht/index/spielbericht/2506830,2014,NOFV-Oberliga Süd
05.04.2015,14:00,Ein. Rudolstadt,1. FC Lokomotive Leipzig,912,0,0,/spielbericht/index/spielbericht/2506909,2014,NOFV-Oberliga Süd
10.04.2015,19:30,1. FC Lokomotive Leipzig,U. Sandersdorf,3.132,2,0,/spielbericht/index/spielbericht/2506836,2014,NOFV-Oberliga Süd
22.04.2015,18:30,Erzgeb. Aue II,1. FC Lokomotive Leipzig,750,2,0,/spielbericht/index/spielbericht/2506853,2014,NOFV-Oberliga Süd
25.04.2015,15:00,RB Leipzig II,1. FC Lokomotive Leipzig,2.770,0,0,/spielbericht/index/spielbericht/2506861,2014,NOFV-Oberliga Süd
02.05.2015,14:00,1. FC Lokomotive Leipzig,Chemnitz II,2.233,1,0,/spielbericht/index/spielbericht/2506867,2014,NOFV-Oberliga Süd
10.05.2015,14:00,E. Cottbus II,1. FC Lokomotive Leipzig,430,0,1,/spielbericht/index/spielbericht/2506877,2014,NOFV-Oberliga Süd
16.05.2015,14:00,CZ Jena II,1. FC Lokomotive Leipzig,430,0,2,/spielbericht/index/spielbericht/2506889,2014,NOFV-Oberliga Süd
23.05.2015,14:00,VfL Halle 96,1. FC Lokomotive Leipzig,1.050,0,2,/spielbericht/index/spielbericht/2506893,2014,NOFV-Oberliga Süd
07.06.2015,14:00,1. FC Lokomotive Leipzig,FC Eisenach,4.472,1,0,/spielbericht/index/spielbericht/2507669,2014,NOFV-Oberliga Süd
14.06.2015,14:00,RW Erfurt II,1. FC Lokomotive Leipzig,3.463,2,0,/spielbericht/index/spielbericht/2507672,2014,NOFV-Oberliga Süd
16.08.2015,14:00,1. FC Lokomotive Leipzig,RW Erfurt II,944,1,0,/spielbericht/index/spielbericht/2586634,2015,NOFV-Oberliga Süd
21.08.2015,19:00,VFC Plauen,1. FC Lokomotive Leipzig,1.900,1,1,/spielbericht/index/spielbericht/2586643,2015,NOFV-Oberliga Süd
28.08.2015,19:30,1. FC Lokomotive Leipzig,U. Sandersdorf,2.889,0,0,/spielbericht/index/spielbericht/2586652,2015,NOFV-Oberliga Süd
