date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
24.08.2018,19:30,Freialdenhoven,1.FC Düren,1.237,1,0,/spielbericht/index/spielbericht/3074011,2018,Mittelrheinliga
02.09.2018,15:00,1.FC Düren,Siegburger SV,250,1,2,/spielbericht/index/spielbericht/3099314,2018,Mittelrheinliga
09.09.2018,15:15,Frechen 20,1.FC Düren,218,1,1,/spielbericht/index/spielbericht/3099325,2018,Mittelrheinliga
16.09.2018,15:00,1.FC Düren,SSV Merten,200,3,0,/spielbericht/index/spielbericht/3099329,2018,Mittelrheinliga
23.09.2018,15:00,B. Gladbach 09,1.FC Düren,70,5,3,/spielbericht/index/spielbericht/3099337,2018,Mittelrheinliga
30.09.2018,15:00,1.FC Düren,SV Deutz 05,365,3,0,/spielbericht/index/spielbericht/3099342,2018,Mittelrheinliga
14.10.2018,15:30,VfL Vichttal,1.FC Düren,300,3,1,/spielbericht/index/spielbericht/3118820,2018,Mittelrheinliga
25.10.2018,19:30,1.FC Düren,Hennef 05,200,2,2,/spielbericht/index/spielbericht/3118822,2018,Mittelrheinliga
28.10.2018,15:15,BW Friesdorf,1.FC Düren,30,3,6,/spielbericht/index/spielbericht/3118833,2018,Mittelrheinliga
04.11.2018,14:30,1.FC Düren,VfL Alfter,150,5,2,/spielbericht/index/spielbericht/3118839,2018,Mittelrheinliga
10.11.2018,16:00,FC Hürth,1.FC Düren,150,0,0,/spielbericht/index/spielbericht/3118849,2018,Mittelrheinliga
18.11.2018,14:30,1.FC Düren,Arnoldsweiler,250,0,1,/spielbericht/index/spielbericht/3118854,2018,Mittelrheinliga
30.11.2018,20:00,Wegberg-Beeck,1.FC Düren,265,3,0,/spielbericht/index/spielbericht/3118860,2018,Mittelrheinliga
09.12.2018,14:30,1.FC Düren,SV Breinig,120,1,1,/spielbericht/index/spielbericht/3118868,2018,Mittelrheinliga
15.12.2018,14:30,1.FC Düren,Freialdenhoven,450,0,0,/spielbericht/index/spielbericht/3118874,2018,Mittelrheinliga
10.03.2019,15:30,Siegburger SV,1.FC Düren,80,1,1,/spielbericht/index/spielbericht/3118886,2018,Mittelrheinliga
17.03.2019,15:00,1.FC Düren,Frechen 20,20,0,3,/spielbericht/index/spielbericht/3172545,2018,Mittelrheinliga
24.03.2019,15:15,SSV Merten,1.FC Düren,15,2,0,/spielbericht/index/spielbericht/3172552,2018,Mittelrheinliga
31.03.2019,15:00,1.FC Düren,B. Gladbach 09,250,1,1,/spielbericht/index/spielbericht/3172559,2018,Mittelrheinliga
07.04.2019,15:30,SV Deutz 05,1.FC Düren,211,5,3,/spielbericht/index/spielbericht/3172568,2018,Mittelrheinliga
27.04.2019,16:00,1.FC Düren,VfL Vichttal,100,1,0,/spielbericht/index/spielbericht/3172576,2018,Mittelrheinliga
05.05.2019,15:00,Hennef 05,1.FC Düren,112,0,2,/spielbericht/index/spielbericht/3181247,2018,Mittelrheinliga
12.05.2019,15:00,1.FC Düren,BW Friesdorf,210,1,1,/spielbericht/index/spielbericht/3181252,2018,Mittelrheinliga
19.05.2019,15:00,VfL Alfter,1.FC Düren,87,1,6,/spielbericht/index/spielbericht/3181262,2018,Mittelrheinliga
26.05.2019,15:00,1.FC Düren,FC Hürth,,1,1,/spielbericht/index/spielbericht/3181266,2018,Mittelrheinliga
02.06.2019,15:00,Arnoldsweiler,1.FC Düren,200,0,3,/spielbericht/index/spielbericht/3181273,2018,Mittelrheinliga
08.06.2019,16:00,1.FC Düren,Wegberg-Beeck,250,1,1,/spielbericht/index/spielbericht/3193519,2018,Mittelrheinliga
16.06.2019,14:00,SV Breinig,1.FC Düren,200,2,2,/spielbericht/index/spielbericht/3193525,2018,Mittelrheinliga
25.08.2019,17:30,Arnoldsweiler,1.FC Düren,600,0,2,/spielbericht/index/spielbericht/3255119,2019,Mittelrheinliga
01.09.2019,15:00,1.FC Düren,Freialdenhoven,300,3,0,/spielbericht/index/spielbericht/3255124,2019,Mittelrheinliga
08.09.2019,15:00,FC Hürth,1.FC Düren,200,1,1,/spielbericht/index/spielbericht/3255137,2019,Mittelrheinliga
15.09.2019,15:00,1.FC Düren,SV Breinig,300,4,1,/spielbericht/index/spielbericht/3255146,2019,Mittelrheinliga
22.09.2019,15:00,SV Eilendorf,1.FC Düren,520,2,2,/spielbericht/index/spielbericht/3255158,2019,Mittelrheinliga
29.09.2019,15:00,1.FC Düren,Hennef 05,400,2,2,/spielbericht/index/spielbericht/3255162,2019,Mittelrheinliga
06.10.2019,15:15,BW Friesdorf,1.FC Düren,40,0,4,/spielbericht/index/spielbericht/3255175,2019,Mittelrheinliga
13.10.2019,15:00,1.FC Düren,Fortuna Köln II,500,3,1,/spielbericht/index/spielbericht/3255178,2019,Mittelrheinliga
30.10.2019,19:45,1.FC Düren,Wegberg-Beeck,471,1,4,/spielbericht/index/spielbericht/3255185,2019,Mittelrheinliga
27.10.2019,15:15,Spvg Wesseling,1.FC Düren,200,0,2,/spielbericht/index/spielbericht/3255195,2019,Mittelrheinliga
03.11.2019,14:30,1.FC Düren,FC Pesch,125,4,1,/spielbericht/index/spielbericht/3255202,2019,Mittelrheinliga
10.11.2019,15:00,VfL Vichttal,1.FC Düren,311,0,2,/spielbericht/index/spielbericht/3255216,2019,Mittelrheinliga
17.11.2019,14:30,1.FC Düren,SV Deutz 05,250,4,1,/spielbericht/index/spielbericht/3255218,2019,Mittelrheinliga
01.12.2019,15:00,Siegburger SV,1.FC Düren,150,0,2,/spielbericht/index/spielbericht/3255228,2019,Mittelrheinliga
08.12.2019,14:30,1.FC Düren,Frechen 20,369,2,0,/spielbericht/index/spielbericht/3255234,2019,Mittelrheinliga
01.03.2020,15:00,1.FC Düren,Arnoldsweiler,500,3,1,/spielbericht/index/spielbericht/3255243,2019,Mittelrheinliga
08.03.2020,15:00,Freialdenhoven,1.FC Düren,330,2,0,/spielbericht/index/spielbericht/3255250,2019,Mittelrheinliga
15.03.2020,15:00,1.FC Düren,FC Hürth,,,,/spielbericht/index/spielbericht/3255257,2019,Mittelrheinliga
22.03.2020,15:00,SV Breinig,1.FC Düren,,,,/spielbericht/index/spielbericht/3255266,2019,Mittelrheinliga
29.03.2020,15:00,1.FC Düren,SV Eilendorf,,,,/spielbericht/index/spielbericht/3255273,2019,Mittelrheinliga
05.04.2020,15:00,Hennef 05,1.FC Düren,,,,/spielbericht/index/spielbericht/3255282,2019,Mittelrheinliga
19.04.2020,15:00,1.FC Düren,BW Friesdorf,,,,/spielbericht/index/spielbericht/3255290,2019,Mittelrheinliga
26.04.2020,15:30,Fortuna Köln II,1.FC Düren,,,,/spielbericht/index/spielbericht/3255304,2019,Mittelrheinliga
03.05.2020,15:00,Wegberg-Beeck,1.FC Düren,,,,/spielbericht/index/spielbericht/3255305,2019,Mittelrheinliga
10.05.2020,15:00,1.FC Düren,Spvg Wesseling,,,,/spielbericht/index/spielbericht/3255314,2019,Mittelrheinliga
17.05.2020,15:30,FC Pesch,1.FC Düren,,,,/spielbericht/index/spielbericht/3255326,2019,Mittelrheinliga
24.05.2020,15:00,1.FC Düren,VfL Vichttal,,,,/spielbericht/index/spielbericht/3255334,2019,Mittelrheinliga
01.06.2020,15:30,SV Deutz 05,1.FC Düren,,,,/spielbericht/index/spielbericht/3255342,2019,Mittelrheinliga
07.06.2020,15:00,1.FC Düren,Siegburger SV,,,,/spielbericht/index/spielbericht/3255348,2019,Mittelrheinliga
14.06.2020,15:15,Frechen 20,1.FC Düren,,,,/spielbericht/index/spielbericht/3255356,2019,Mittelrheinliga
13.09.2020,15:00,1.FC Düren,SV Deutz 05,290,2,1,/spielbericht/index/spielbericht/3444451,2020,Mittelrheinliga
20.09.2020,15:00,1.FC Düren,Glesch-Paffend.,250,3,0,/spielbericht/index/spielbericht/3444479,2020,Mittelrheinliga
27.09.2020,15:30,Fortuna Köln II,1.FC Düren,169,0,2,/spielbericht/index/spielbericht/3444590,2020,Mittelrheinliga
05.11.2020,20:00,1.FC Düren,Spvg Wesseling,,,,/spielbericht/index/spielbericht/3444516,2020,Mittelrheinliga
19.11.2020,20:00,BW Friesdorf,1.FC Düren,,,,/spielbericht/index/spielbericht/3444436,2020,Mittelrheinliga
12.11.2020,20:00,Siegburger SV,1.FC Düren,,,,/spielbericht/index/spielbericht/3444504,2020,Mittelrheinliga
,,SV Breinig,1.FC Düren,,,,/spielbericht/index/spielbericht/3444402,2020,Mittelrheinliga
08.11.2020,14:30,1.FC Düren,SV Eilendorf,,,,/spielbericht/index/spielbericht/3444488,2020,Mittelrheinliga
15.11.2020,14:30,Freialdenhoven,1.FC Düren,,,,/spielbericht/index/spielbericht/3444475,2020,Mittelrheinliga
29.11.2020,14:30,1.FC Düren,Arnoldsweiler,,,,/spielbericht/index/spielbericht/3444500,2020,Mittelrheinliga
06.12.2020,15:15,Frechen 20,1.FC Düren,,,,/spielbericht/index/spielbericht/3444641,2020,Mittelrheinliga
13.12.2020,14:30,1.FC Düren,FC Pesch,,,,/spielbericht/index/spielbericht/3444464,2020,Mittelrheinliga
07.02.2021,15:00,FC Hürth,1.FC Düren,,,,/spielbericht/index/spielbericht/3444508,2020,Mittelrheinliga
21.02.2021,15:00,1.FC Düren,VfL Alfter,,,,/spielbericht/index/spielbericht/3444544,2020,Mittelrheinliga
28.02.2021,15:00,Hennef 05,1.FC Düren,,,,/spielbericht/index/spielbericht/3444513,2020,Mittelrheinliga
07.03.2021,15:00,1.FC Düren,VfL Vichttal,,,,/spielbericht/index/spielbericht/3444536,2020,Mittelrheinliga
21.03.2021,15:30,SV Deutz 05,1.FC Düren,,,,/spielbericht/index/spielbericht/3444642,2020,Mittelrheinliga
28.03.2021,15:00,Glesch-Paffend.,1.FC Düren,,,,/spielbericht/index/spielbericht/3444570,2020,Mittelrheinliga
01.04.2021,19:30,1.FC Düren,Fortuna Köln II,,,,/spielbericht/index/spielbericht/3444552,2020,Mittelrheinliga
05.04.2021,15:15,Spvg Wesseling,1.FC Düren,,,,/spielbericht/index/spielbericht/3444645,2020,Mittelrheinliga
11.04.2021,15:00,1.FC Düren,BW Friesdorf,,,,/spielbericht/index/spielbericht/3444466,2020,Mittelrheinliga
12.11.2020,20:00,Siegburger SV,1.FC Düren,,,,/spielbericht/index/spielbericht/3444583,2020,Mittelrheinliga
25.04.2021,15:00,1.FC Düren,SV Breinig,,,,/spielbericht/index/spielbericht/3444424,2020,Mittelrheinliga
02.05.2021,15:00,SV Eilendorf,1.FC Düren,,,,/spielbericht/index/spielbericht/3444564,2020,Mittelrheinliga
09.05.2021,15:00,1.FC Düren,Freialdenhoven,,,,/spielbericht/index/spielbericht/3444598,2020,Mittelrheinliga
13.05.2021,15:00,Arnoldsweiler,1.FC Düren,,,,/spielbericht/index/spielbericht/3444443,2020,Mittelrheinliga
16.05.2021,15:00,1.FC Düren,Frechen 20,,,,/spielbericht/index/spielbericht/3444519,2020,Mittelrheinliga
24.05.2021,15:30,FC Pesch,1.FC Düren,,-,-,/spielbericht/index/spielbericht/3444657,2020,Mittelrheinliga
30.05.2021,15:00,1.FC Düren,FC Hürth,,-,-,/spielbericht/index/spielbericht/3444442,2020,Mittelrheinliga
03.06.2021,15:00,VfL Alfter,1.FC Düren,,-,-,/spielbericht/index/spielbericht/3444652,2020,Mittelrheinliga
06.06.2021,15:00,1.FC Düren,Hennef 05,,-,-,/spielbericht/index/spielbericht/3444482,2020,Mittelrheinliga
13.06.2021,15:30,VfL Vichttal,1.FC Düren,,-,-,/spielbericht/index/spielbericht/3444656,2020,Mittelrheinliga
13.08.2021,19:00,1.FC Düren,Arnoldsweiler,900,4,2,/spielbericht/index/spielbericht/3629423,2021,Mittelrheinliga
19.08.2021,19:30,Siegburger SV,1.FC Düren,180,1,1,/spielbericht/index/spielbericht/3629596,2021,Mittelrheinliga
22.08.2021,15:00,1.FC Düren,Spvg Wesseling,300,7,0,/spielbericht/index/spielbericht/3629623,2021,Mittelrheinliga
29.08.2021,15:00,SV 1910 Breinig,1.FC Düren,,0,2,/spielbericht/index/spielbericht/3629612,2021,Mittelrheinliga
05.09.2021,15:00,1.FC Düren,Glesch-Paffend.,444,3,0,/spielbericht/index/spielbericht/3629632,2021,Mittelrheinliga
12.09.2021,15:30,FC Pesch,1.FC Düren,420,1,2,/spielbericht/index/spielbericht/3629645,2021,Mittelrheinliga
19.09.2021,15:00,1.FC Düren,VfL Alfter,150,5,0,/spielbericht/index/spielbericht/3629650,2021,Mittelrheinliga
25.09.2021,20:00,SV Deutz 05,1.FC Düren,300,0,4,/spielbericht/index/spielbericht/3629657,2021,Mittelrheinliga
03.10.2021,15:30,VfL Vichttal,1.FC Düren,600,2,2,/spielbericht/index/spielbericht/3629671,2021,Mittelrheinliga
10.10.2021,15:00,1.FC Düren,Fortuna Köln II,400,4,0,/spielbericht/index/spielbericht/3629678,2021,Mittelrheinliga
17.10.2021,15:00,Hennef 05,1.FC Düren,550,0,2,/spielbericht/index/spielbericht/3629685,2021,Mittelrheinliga
24.10.2021,15:00,1.FC Düren,FC Hürth,500,5,2,/spielbericht/index/spielbericht/3629695,2021,Mittelrheinliga
31.10.2021,15:30,Frechen 20,1.FC Düren,300,3,1,/spielbericht/index/spielbericht/3629458,2021,Mittelrheinliga
07.11.2021,14:30,1.FC Düren,Freialdenhoven,250,2,0,/spielbericht/index/spielbericht/3629706,2021,Mittelrheinliga
13.11.2021,18:00,BW Friesdorf,1.FC Düren,150,0,0,/spielbericht/index/spielbericht/3629718,2021,Mittelrheinliga
28.11.2021,14:30,1.FC Düren,B. Gladbach 09,400,1,0,/spielbericht/index/spielbericht/3629722,2021,Mittelrheinliga
05.12.2021,15:00,SV Eilendorf,1.FC Düren,500,0,2,/spielbericht/index/spielbericht/3629438,2021,Mittelrheinliga
10.03.2022,20:00,Arnoldsweiler,1.FC Düren,300,1,1,/spielbericht/index/spielbericht/3629444,2021,Mittelrheinliga
17.03.2022,20:00,1.FC Düren,Siegburger SV,200,5,1,/spielbericht/index/spielbericht/3629461,2021,Mittelrheinliga
06.03.2022,15:00,Spvg Wesseling,1.FC Düren,130,0,6,/spielbericht/index/spielbericht/3629606,2021,Mittelrheinliga
13.03.2022,15:00,1.FC Düren,SV 1910 Breinig,275,3,0,/spielbericht/index/spielbericht/3629468,2021,Mittelrheinliga
20.03.2022,15:00,Glesch-Paffend.,1.FC Düren,289,0,1,/spielbericht/index/spielbericht/3629498,2021,Mittelrheinliga
27.03.2022,15:00,1.FC Düren,FC Pesch,480,1,0,/spielbericht/index/spielbericht/3629489,2021,Mittelrheinliga
03.04.2022,15:00,VfL Alfter,1.FC Düren,200,2,3,/spielbericht/index/spielbericht/3629481,2021,Mittelrheinliga
10.04.2022,15:00,1.FC Düren,SV Deutz 05,350,3,1,/spielbericht/index/spielbericht/3629506,2021,Mittelrheinliga
18.04.2022,15:00,1.FC Düren,VfL Vichttal,457,6,0,/spielbericht/index/spielbericht/3629514,2021,Mittelrheinliga
24.04.2022,15:30,Fortuna Köln II,1.FC Düren,125,1,7,/spielbericht/index/spielbericht/3629529,2021,Mittelrheinliga
01.05.2022,15:00,1.FC Düren,Hennef 05,1.400,5,1,/spielbericht/index/spielbericht/3629549,2021,Mittelrheinliga
08.05.2022,15:00,FC Hürth,1.FC Düren,150,1,1,/spielbericht/index/spielbericht/3629561,2021,Mittelrheinliga
15.05.2022,15:00,1.FC Düren,Frechen 20,470,5,0,/spielbericht/index/spielbericht/3629546,2021,Mittelrheinliga
22.05.2022,15:00,Freialdenhoven,1.FC Düren,252,0,7,/spielbericht/index/spielbericht/3629532,2021,Mittelrheinliga
29.05.2022,15:00,1.FC Düren,BW Friesdorf,400,4,0,/spielbericht/index/spielbericht/3629572,2021,Mittelrheinliga
06.06.2022,15:00,B. Gladbach 09,1.FC Düren,150,3,3,/spielbericht/index/spielbericht/3629578,2021,Mittelrheinliga
12.06.2022,15:00,1.FC Düren,SV Eilendorf,1.200,3,0,/spielbericht/index/spielbericht/3629588,2021,Mittelrheinliga
23.07.2022,14:00,1.FC Düren,1.FC Bocholt,800,3,1,/spielbericht/index/spielbericht/3846880,2022,Regionalliga West
31.07.2022,14:00,Alem. Aachen,1.FC Düren,11.600,2,2,/spielbericht/index/spielbericht/3856112,2022,Regionalliga West
06.08.2022,14:00,1.FC Düren,M'gladbach II,850,1,0,/spielbericht/index/spielbericht/3856121,2022,Regionalliga West
13.08.2022,14:00,SV Straelen,1.FC Düren,300,0,1,/spielbericht/index/spielbericht/3856128,2022,Regionalliga West
21.08.2022,14:00,1.FC Düren,1.FC Köln II,1.200,3,2,/spielbericht/index/spielbericht/3856139,2022,Regionalliga West
27.08.2022,14:00,SV Lippstadt 08,1.FC Düren,541,3,0,/spielbericht/index/spielbericht/3856153,2022,Regionalliga West
03.09.2022,14:00,1.FC Düren,SV Rödinghausen,638,0,2,/spielbericht/index/spielbericht/3866039,2022,Regionalliga West
11.09.2022,14:00,Schalke 04 II,1.FC Düren,230,4,1,/spielbericht/index/spielbericht/3866061,2022,Regionalliga West
17.09.2022,14:00,1.FC Düren,1.FC Kaan-M.,380,3,0,/spielbericht/index/spielbericht/3866077,2022,Regionalliga West
30.09.2022,19:30,RW Oberhausen,1.FC Düren,2.182,4,0,/spielbericht/index/spielbericht/3866097,2022,Regionalliga West
07.10.2022,19:00,Fortuna Köln,1.FC Düren,2.373,3,2,/spielbericht/index/spielbericht/3866122,2022,Regionalliga West
15.10.2022,14:00,1.FC Düren,Düsseldorf II,600,0,2,/spielbericht/index/spielbericht/3866144,2022,Regionalliga West
22.10.2022,14:00,Pr. Münster,1.FC Düren,6.125,2,0,/spielbericht/index/spielbericht/3866161,2022,Regionalliga West
29.10.2022,14:00,1.FC Düren,Wuppertaler SV,804,0,2,/spielbericht/index/spielbericht/3866182,2022,Regionalliga West
05.11.2022,14:00,Rot Weiss Ahlen,1.FC Düren,623,1,2,/spielbericht/index/spielbericht/3866205,2022,Regionalliga West
12.11.2022,14:00,1.FC Düren,Wattenscheid 09,628,1,2,/spielbericht/index/spielbericht/3866220,2022,Regionalliga West
19.11.2022,14:00,SC Wiedenbrück,1.FC Düren,350,3,0,/spielbericht/index/spielbericht/3866241,2022,Regionalliga West
26.11.2022,14:00,1.FC Bocholt,1.FC Düren,1.030,0,3,/spielbericht/index/spielbericht/3866258,2022,Regionalliga West
03.12.2022,14:00,1.FC Düren,Alem. Aachen,2.505,1,1,/spielbericht/index/spielbericht/3866267,2022,Regionalliga West
10.12.2022,14:00,M'gladbach II,1.FC Düren,1.280,5,0,/spielbericht/index/spielbericht/3866276,2022,Regionalliga West
04.02.2023,14:00,1.FC Düren,SV Straelen,717,2,0,/spielbericht/index/spielbericht/3866283,2022,Regionalliga West
11.02.2023,14:00,1.FC Köln II,1.FC Düren,800,2,0,/spielbericht/index/spielbericht/3977501,2022,Regionalliga West
18.02.2023,14:00,1.FC Düren,SV Lippstadt 08,250,1,1,/spielbericht/index/spielbericht/3977515,2022,Regionalliga West
25.02.2023,14:00,SV Rödinghausen,1.FC Düren,365,1,1,/spielbericht/index/spielbericht/3977519,2022,Regionalliga West
04.03.2023,14:00,1.FC Düren,Schalke 04 II,500,2,2,/spielbericht/index/spielbericht/3922766,2022,Regionalliga West
25.03.2023,14:00,1.FC Kaan-M.,1.FC Düren,312,0,2,/spielbericht/index/spielbericht/3975521,2022,Regionalliga West
18.03.2023,14:00,1.FC Düren,RW Oberhausen,720,3,1,/spielbericht/index/spielbericht/3975534,2022,Regionalliga West
01.04.2023,14:00,1.FC Düren,Fortuna Köln,750,3,2,/spielbericht/index/spielbericht/3975539,2022,Regionalliga West
08.04.2023,14:00,Düsseldorf II,1.FC Düren,250,0,0,/spielbericht/index/spielbericht/3975551,2022,Regionalliga West
15.04.2023,14:00,1.FC Düren,Pr. Münster,,0,2,/spielbericht/index/spielbericht/3975979,2022,Regionalliga West
22.04.2023,14:00,Wuppertaler SV,1.FC Düren,357,3,1,/spielbericht/index/spielbericht/3975990,2022,Regionalliga West
29.04.2023,14:00,1.FC Düren,Rot Weiss Ahlen,355,7,0,/spielbericht/index/spielbericht/3976010,2022,Regionalliga West
06.05.2023,14:00,Wattenscheid 09,1.FC Düren,783,1,2,/spielbericht/index/spielbericht/3976033,2022,Regionalliga West
