date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:00,Osnabrück II,1.FC Germania Egestorf/Langreder,95,3,2,/spielbericht/index/spielbericht/2462869,2014,Oberliga Niedersachsen
10.08.2014,15:00,1.FC Germania Egestorf/Langreder,Arm. Hannover,350,2,2,/spielbericht/index/spielbericht/2464291,2014,Oberliga Niedersachsen
17.08.2014,15:00,Ottersberg,1.FC Germania Egestorf/Langreder,125,0,3,/spielbericht/index/spielbericht/2470158,2014,Oberliga Niedersachsen
24.08.2014,15:00,1.FC Germania Egestorf/Langreder,Eintr. Northeim,200,0,0,/spielbericht/index/spielbericht/2470165,2014,Oberliga Niedersachsen
31.08.2014,15:00,Lupo-Martini,1.FC Germania Egestorf/Langreder,210,0,1,/spielbericht/index/spielbericht/2470181,2014,Oberliga Niedersachsen
07.09.2014,15:00,1.FC Germania Egestorf/Langreder,Teutonia Uelzen,270,0,1,/spielbericht/index/spielbericht/2486075,2014,Oberliga Niedersachsen
12.09.2014,20:00,1.FC Germania Egestorf/Langreder,1.FC Wunstorf,400,1,3,/spielbericht/index/spielbericht/2491032,2014,Oberliga Niedersachsen
20.09.2014,16:00,SSV Jeddeloh II,1.FC Germania Egestorf/Langreder,310,3,1,/spielbericht/index/spielbericht/2495813,2014,Oberliga Niedersachsen
28.09.2014,15:00,1.FC Germania Egestorf/Langreder,Rotenburger SV,270,3,0,/spielbericht/index/spielbericht/2495826,2014,Oberliga Niedersachsen
05.10.2014,15:00,VfV Hildesheim,1.FC Germania Egestorf/Langreder,410,1,0,/spielbericht/index/spielbericht/2499161,2014,Oberliga Niedersachsen
12.10.2014,15:00,1.FC Germania Egestorf/Langreder,Göttingen 05,250,4,2,/spielbericht/index/spielbericht/2499170,2014,Oberliga Niedersachsen
18.10.2014,15:00,TB Uphusen,1.FC Germania Egestorf/Langreder,100,2,2,/spielbericht/index/spielbericht/2499175,2014,Oberliga Niedersachsen
25.10.2014,16:00,1.FC Germania Egestorf/Langreder,Drochtersen/A.,200,2,1,/spielbericht/index/spielbericht/2499184,2014,Oberliga Niedersachsen
02.11.2014,14:00,VfL Oldenburg,1.FC Germania Egestorf/Langreder,385,1,1,/spielbericht/index/spielbericht/2499195,2014,Oberliga Niedersachsen
09.11.2014,14:00,1.FC Germania Egestorf/Langreder,Spelle-Venhaus,250,1,4,/spielbericht/index/spielbericht/2499202,2014,Oberliga Niedersachsen
15.11.2014,15:00,1.FC Germania Egestorf/Langreder,Osnabrück II,150,1,0,/spielbericht/index/spielbericht/2499208,2014,Oberliga Niedersachsen
23.11.2014,14:00,Arm. Hannover,1.FC Germania Egestorf/Langreder,620,0,4,/spielbericht/index/spielbericht/2499218,2014,Oberliga Niedersachsen
30.11.2014,14:00,1.FC Germania Egestorf/Langreder,Ottersberg,230,0,0,/spielbericht/index/spielbericht/2499229,2014,Oberliga Niedersachsen
06.04.2015,16:00,Eintr. Northeim,1.FC Germania Egestorf/Langreder,380,5,2,/spielbericht/index/spielbericht/2499235,2014,Oberliga Niedersachsen
08.03.2015,15:00,1.FC Germania Egestorf/Langreder,Lupo-Martini,107,2,1,/spielbericht/index/spielbericht/2499244,2014,Oberliga Niedersachsen
15.03.2015,15:00,Teutonia Uelzen,1.FC Germania Egestorf/Langreder,351,4,2,/spielbericht/index/spielbericht/2499251,2014,Oberliga Niedersachsen
20.03.2015,19:30,1.FC Wunstorf,1.FC Germania Egestorf/Langreder,240,1,2,/spielbericht/index/spielbericht/2499260,2014,Oberliga Niedersachsen
28.03.2015,16:00,1.FC Germania Egestorf/Langreder,SSV Jeddeloh II,220,1,0,/spielbericht/index/spielbericht/2499264,2014,Oberliga Niedersachsen
12.04.2015,15:00,Rotenburger SV,1.FC Germania Egestorf/Langreder,70,2,4,/spielbericht/index/spielbericht/2499271,2014,Oberliga Niedersachsen
