date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,13:30,1.FC Heidenheim 1846,FSV Frankfurt,11.000,2,1,/spielbericht/index/spielbericht/2460938,2014,2. Bundesliga
09.08.2014,15:30,E. Braunschweig,1.FC Heidenheim 1846,21.430,3,0,/spielbericht/index/spielbericht/2460941,2014,2. Bundesliga
22.08.2014,18:30,1.FC Heidenheim 1846,1860 München,13.000,2,2,/spielbericht/index/spielbericht/2460958,2014,2. Bundesliga
30.08.2014,13:00,Karlsruher SC,1.FC Heidenheim 1846,15.541,1,1,/spielbericht/index/spielbericht/2460963,2014,2. Bundesliga
14.09.2014,13:30,1.FC Heidenheim 1846,Union Berlin,11.000,3,1,/spielbericht/index/spielbericht/2460976,2014,2. Bundesliga
21.09.2014,13:30,F. Düsseldorf,1.FC Heidenheim 1846,27.681,3,2,/spielbericht/index/spielbericht/2460982,2014,2. Bundesliga
24.09.2014,17:30,1.FC Heidenheim 1846,1.FC Nürnberg,13.000,3,0,/spielbericht/index/spielbericht/2460993,2014,2. Bundesliga
28.09.2014,13:30,1.FC Heidenheim 1846,VfL Bochum,11.500,5,0,/spielbericht/index/spielbericht/2461005,2014,2. Bundesliga
06.10.2014,20:15,RB Leipzig,1.FC Heidenheim 1846,18.820,1,1,/spielbericht/index/spielbericht/2461013,2014,2. Bundesliga
17.10.2014,18:30,1.FC Heidenheim 1846,1.FC K'lautern,13.000,1,1,/spielbericht/index/spielbericht/2461023,2014,2. Bundesliga
26.10.2014,13:30,FC Ingolstadt,1.FC Heidenheim 1846,9.156,1,0,/spielbericht/index/spielbericht/2461028,2014,2. Bundesliga
01.11.2014,13:00,1.FC Heidenheim 1846,Darmstadt 98,12.000,1,1,/spielbericht/index/spielbericht/2461040,2014,2. Bundesliga
08.11.2014,13:00,FC St. Pauli,1.FC Heidenheim 1846,22.884,0,3,/spielbericht/index/spielbericht/2461045,2014,2. Bundesliga
21.11.2014,18:30,1.FC Heidenheim 1846,SV Sandhausen,11.000,3,0,/spielbericht/index/spielbericht/2461058,2014,2. Bundesliga
28.11.2014,18:30,Greuther Fürth,1.FC Heidenheim 1846,10.130,0,0,/spielbericht/index/spielbericht/2461061,2014,2. Bundesliga
05.12.2014,18:30,1.FC Heidenheim 1846,VfR Aalen,13.000,0,1,/spielbericht/index/spielbericht/2461075,2014,2. Bundesliga
12.12.2014,18:30,Erzgebirge Aue,1.FC Heidenheim 1846,5.600,1,1,/spielbericht/index/spielbericht/2461086,2014,2. Bundesliga
16.12.2014,17:30,FSV Frankfurt,1.FC Heidenheim 1846,5.147,2,0,/spielbericht/index/spielbericht/2461094,2014,2. Bundesliga
19.12.2014,18:30,1.FC Heidenheim 1846,E. Braunschweig,11.800,0,1,/spielbericht/index/spielbericht/2461102,2014,2. Bundesliga
09.02.2015,20:15,1860 München,1.FC Heidenheim 1846,15.100,1,2,/spielbericht/index/spielbericht/2461107,2014,2. Bundesliga
13.02.2015,18:30,1.FC Heidenheim 1846,Karlsruher SC,12.500,0,1,/spielbericht/index/spielbericht/2461119,2014,2. Bundesliga
22.02.2015,13:30,Union Berlin,1.FC Heidenheim 1846,16.512,3,1,/spielbericht/index/spielbericht/2461127,2014,2. Bundesliga
01.03.2015,13:30,1.FC Heidenheim 1846,F. Düsseldorf,11.800,1,2,/spielbericht/index/spielbericht/2461137,2014,2. Bundesliga
06.03.2015,18:30,1.FC Nürnberg,1.FC Heidenheim 1846,31.263,0,1,/spielbericht/index/spielbericht/2461140,2014,2. Bundesliga
13.03.2015,18:30,VfL Bochum,1.FC Heidenheim 1846,14.639,4,1,/spielbericht/index/spielbericht/2461155,2014,2. Bundesliga
22.03.2015,13:30,1.FC Heidenheim 1846,RB Leipzig,12.000,1,0,/spielbericht/index/spielbericht/2461166,2014,2. Bundesliga
04.04.2015,13:00,1.FC K'lautern,1.FC Heidenheim 1846,32.135,4,0,/spielbericht/index/spielbericht/2461168,2014,2. Bundesliga
10.04.2015,18:30,1.FC Heidenheim 1846,FC Ingolstadt,13.600,0,1,/spielbericht/index/spielbericht/2461184,2014,2. Bundesliga
19.04.2015,13:30,Darmstadt 98,1.FC Heidenheim 1846,14.300,1,1,/spielbericht/index/spielbericht/2461193,2014,2. Bundesliga
26.04.2015,13:30,1.FC Heidenheim 1846,FC St. Pauli,15.000,2,1,/spielbericht/index/spielbericht/2461201,2014,2. Bundesliga
03.05.2015,13:30,SV Sandhausen,1.FC Heidenheim 1846,4.546,2,2,/spielbericht/index/spielbericht/2461209,2014,2. Bundesliga
10.05.2015,13:30,1.FC Heidenheim 1846,Greuther Fürth,14.000,3,0,/spielbericht/index/spielbericht/2461219,2014,2. Bundesliga
17.05.2015,15:30,VfR Aalen,1.FC Heidenheim 1846,14.500,2,4,/spielbericht/index/spielbericht/2461226,2014,2. Bundesliga
24.05.2015,15:30,1.FC Heidenheim 1846,Erzgebirge Aue,15.000,2,2,/spielbericht/index/spielbericht/2461236,2014,2. Bundesliga
26.07.2015,15:30,1.FC Heidenheim 1846,1860 München,14.500,1,0,/spielbericht/index/spielbericht/2581163,2015,2. Bundesliga
