date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
17.08.2014,15:00,SuS Langscheid,1.FC Kaan-Marienborn,,1,3,/spielbericht/index/spielbericht/2540214,2014,Westfalenliga 2
24.08.2014,15:00,1.FC Kaan-Marienborn,Mengede 08/20,,4,0,/spielbericht/index/spielbericht/2540224,2014,Westfalenliga 2
31.08.2014,15:00,SC Hassel,1.FC Kaan-Marienborn,,1,1,/spielbericht/index/spielbericht/2540233,2014,Westfalenliga 2
07.09.2014,15:00,1.FC Kaan-Marienborn,DJK TuS Hordel,,2,2,/spielbericht/index/spielbericht/2540240,2014,Westfalenliga 2
14.09.2014,15:00,FC Iserlohn,1.FC Kaan-Marienborn,,1,1,/spielbericht/index/spielbericht/2540247,2014,Westfalenliga 2
21.09.2014,15:00,1.FC Kaan-Marienborn,Erndtebrück II,,1,1,/spielbericht/index/spielbericht/2540256,2014,Westfalenliga 2
28.09.2014,15:00,Wanne-Eickel,1.FC Kaan-Marienborn,,4,1,/spielbericht/index/spielbericht/2540268,2014,Westfalenliga 2
05.10.2014,15:00,1.FC Kaan-Marienborn,TSV Marl-Hüls,,3,2,/spielbericht/index/spielbericht/2540272,2014,Westfalenliga 2
12.10.2014,15:00,SV Holzwickede,1.FC Kaan-Marienborn,,0,0,/spielbericht/index/spielbericht/2540282,2014,Westfalenliga 2
19.10.2014,15:00,1.FC Kaan-Marienborn,SV Horst 08,,1,1,/spielbericht/index/spielbericht/2540288,2014,Westfalenliga 2
26.10.2014,15:00,TuS Heven,1.FC Kaan-Marienborn,,1,5,/spielbericht/index/spielbericht/2540297,2014,Westfalenliga 2
02.11.2014,14:30,1.FC Kaan-Marienborn,Hombrucher SV,,1,1,/spielbericht/index/spielbericht/2540304,2014,Westfalenliga 2
09.11.2014,14:30,1.FC Kaan-Marienborn,Brünninghausen,,2,2,/spielbericht/index/spielbericht/2540311,2014,Westfalenliga 2
16.11.2014,14:30,Westf. Wickede,1.FC Kaan-Marienborn,,2,1,/spielbericht/index/spielbericht/2540325,2014,Westfalenliga 2
30.11.2014,14:30,1.FC Kaan-Marienborn,Kirchhörder SC,,1,1,/spielbericht/index/spielbericht/2540328,2014,Westfalenliga 2
07.12.2014,14:30,1.FC Kaan-Marienborn,SuS Langscheid,,6,0,/spielbericht/index/spielbericht/2540340,2014,Westfalenliga 2
15.03.2015,15:00,Mengede 08/20,1.FC Kaan-Marienborn,,0,1,/spielbericht/index/spielbericht/2540344,2014,Westfalenliga 2
22.03.2015,15:00,1.FC Kaan-Marienborn,SC Hassel,,3,0,/spielbericht/index/spielbericht/2540354,2014,Westfalenliga 2
29.03.2015,15:00,DJK TuS Hordel,1.FC Kaan-Marienborn,,2,2,/spielbericht/index/spielbericht/2540360,2014,Westfalenliga 2
06.04.2015,15:00,1.FC Kaan-Marienborn,FC Iserlohn,,2,1,/spielbericht/index/spielbericht/2540368,2014,Westfalenliga 2
12.04.2015,15:00,Erndtebrück II,1.FC Kaan-Marienborn,,0,1,/spielbericht/index/spielbericht/2540376,2014,Westfalenliga 2
19.04.2015,15:00,1.FC Kaan-Marienborn,Wanne-Eickel,,0,1,/spielbericht/index/spielbericht/2540389,2014,Westfalenliga 2
26.04.2015,15:00,TSV Marl-Hüls,1.FC Kaan-Marienborn,,4,1,/spielbericht/index/spielbericht/2540392,2014,Westfalenliga 2
03.05.2015,15:00,1.FC Kaan-Marienborn,SV Holzwickede,,1,1,/spielbericht/index/spielbericht/2540403,2014,Westfalenliga 2
10.05.2015,15:00,SV Horst 08,1.FC Kaan-Marienborn,,0,3,/spielbericht/index/spielbericht/2540408,2014,Westfalenliga 2
17.05.2015,15:00,1.FC Kaan-Marienborn,TuS Heven,,2,1,/spielbericht/index/spielbericht/2540417,2014,Westfalenliga 2
25.05.2015,15:00,Hombrucher SV,1.FC Kaan-Marienborn,,-,-,/spielbericht/index/spielbericht/2540430,2014,Westfalenliga 2
31.05.2015,15:00,Brünninghausen,1.FC Kaan-Marienborn,,-,-,/spielbericht/index/spielbericht/2540432,2014,Westfalenliga 2
07.06.2015,15:00,1.FC Kaan-Marienborn,Westf. Wickede,,-,-,/spielbericht/index/spielbericht/2540446,2014,Westfalenliga 2
14.06.2015,15:00,Kirchhörder SC,1.FC Kaan-Marienborn,,-,-,/spielbericht/index/spielbericht/2540448,2014,Westfalenliga 2
02.06.2016,19:30,Delbrücker SC,1.FC Kaan-Marienborn,308,1,4,/spielbericht/index/spielbericht/2701761,2015,Aufstiegsrunde zur Oberliga Westfalen
14.08.2016,15:00,1.FC Kaan-Marienborn,TuS Ennepetal,285,1,1,/spielbericht/index/spielbericht/2720344,2016,Oberliga Westfalen
21.08.2016,15:00,Brünninghausen,1.FC Kaan-Marienborn,225,2,2,/spielbericht/index/spielbericht/2738335,2016,Oberliga Westfalen
28.08.2016,15:00,ASC 09 Dortmund,1.FC Kaan-Marienborn,200,0,3,/spielbericht/index/spielbericht/2738344,2016,Oberliga Westfalen
04.09.2016,15:00,1.FC Kaan-Marienborn,SC Paderborn II,100,0,0,/spielbericht/index/spielbericht/2738353,2016,Oberliga Westfalen
11.09.2016,15:00,SuS Stadtlohn,1.FC Kaan-Marienborn,100,1,3,/spielbericht/index/spielbericht/2756066,2016,Oberliga Westfalen
18.09.2016,15:00,1.FC Kaan-Marienborn,TuS Erndtebrück,450,0,0,/spielbericht/index/spielbericht/2756071,2016,Oberliga Westfalen
25.09.2016,15:00,SC Roland,1.FC Kaan-Marienborn,190,0,1,/spielbericht/index/spielbericht/2756076,2016,Oberliga Westfalen
02.10.2016,15:00,1.FC Kaan-Marienborn,Hammer SpVg,200,1,1,/spielbericht/index/spielbericht/2756085,2016,Oberliga Westfalen
09.10.2016,15:00,Eintr. Rheine,1.FC Kaan-Marienborn,412,0,0,/spielbericht/index/spielbericht/2756088,2016,Oberliga Westfalen
16.10.2016,15:00,1.FC Kaan-Marienborn,TSV Marl-Hüls,350,2,1,/spielbericht/index/spielbericht/2756096,2016,Oberliga Westfalen
23.10.2016,15:00,SC Hassel,1.FC Kaan-Marienborn,250,3,0,/spielbericht/index/spielbericht/2756101,2016,Oberliga Westfalen
30.10.2016,15:00,1.FC Kaan-Marienborn,Erkenschwick,200,3,0,/spielbericht/index/spielbericht/2756106,2016,Oberliga Westfalen
06.11.2016,14:30,FC Gütersloh,1.FC Kaan-Marienborn,235,2,0,/spielbericht/index/spielbericht/2756110,2016,Oberliga Westfalen
13.11.2016,14:30,1.FC Kaan-Marienborn,A. Bielefeld II,200,1,1,/spielbericht/index/spielbericht/2756123,2016,Oberliga Westfalen
27.11.2016,14:30,SV Lippstadt 08,1.FC Kaan-Marienborn,281,2,0,/spielbericht/index/spielbericht/2756127,2016,Oberliga Westfalen
04.12.2016,14:30,1.FC Kaan-Marienborn,Westf. Rhynern,120,2,1,/spielbericht/index/spielbericht/2756137,2016,Oberliga Westfalen
11.12.2016,14:30,Neuenkirchen,1.FC Kaan-Marienborn,289,2,0,/spielbericht/index/spielbericht/2756141,2016,Oberliga Westfalen
25.02.2017,17:30,TuS Ennepetal,1.FC Kaan-Marienborn,75,2,0,/spielbericht/index/spielbericht/2832621,2016,Oberliga Westfalen
11.02.2017,14:30,1.FC Kaan-Marienborn,Brünninghausen,150,0,1,/spielbericht/index/spielbericht/2756155,2016,Oberliga Westfalen
19.02.2017,15:00,1.FC Kaan-Marienborn,ASC 09 Dortmund,200,1,1,/spielbericht/index/spielbericht/2756156,2016,Oberliga Westfalen
05.03.2017,15:00,SC Paderborn II,1.FC Kaan-Marienborn,85,3,3,/spielbericht/index/spielbericht/2756171,2016,Oberliga Westfalen
12.03.2017,15:00,1.FC Kaan-Marienborn,SuS Stadtlohn,200,1,1,/spielbericht/index/spielbericht/2756175,2016,Oberliga Westfalen
19.03.2017,15:00,TuS Erndtebrück,1.FC Kaan-Marienborn,292,4,0,/spielbericht/index/spielbericht/2756189,2016,Oberliga Westfalen
26.03.2017,15:00,1.FC Kaan-Marienborn,SC Roland,250,2,0,/spielbericht/index/spielbericht/2756193,2016,Oberliga Westfalen
02.04.2017,15:00,Hammer SpVg,1.FC Kaan-Marienborn,450,0,2,/spielbericht/index/spielbericht/2756202,2016,Oberliga Westfalen
09.04.2017,15:00,1.FC Kaan-Marienborn,Eintr. Rheine,200,0,0,/spielbericht/index/spielbericht/2756212,2016,Oberliga Westfalen
13.04.2017,18:30,TSV Marl-Hüls,1.FC Kaan-Marienborn,60,5,1,/spielbericht/index/spielbericht/2756220,2016,Oberliga Westfalen
17.04.2017,15:00,1.FC Kaan-Marienborn,SC Hassel,160,1,3,/spielbericht/index/spielbericht/2756232,2016,Oberliga Westfalen
23.04.2017,15:00,Erkenschwick,1.FC Kaan-Marienborn,112,0,0,/spielbericht/index/spielbericht/2756237,2016,Oberliga Westfalen
30.04.2017,15:00,1.FC Kaan-Marienborn,FC Gütersloh,150,1,0,/spielbericht/index/spielbericht/2756241,2016,Oberliga Westfalen
07.05.2017,15:00,A. Bielefeld II,1.FC Kaan-Marienborn,70,0,1,/spielbericht/index/spielbericht/2756256,2016,Oberliga Westfalen
14.05.2017,15:00,1.FC Kaan-Marienborn,SV Lippstadt 08,200,3,2,/spielbericht/index/spielbericht/2756266,2016,Oberliga Westfalen
21.05.2017,15:00,Westf. Rhynern,1.FC Kaan-Marienborn,750,1,0,/spielbericht/index/spielbericht/2756276,2016,Oberliga Westfalen
28.05.2017,15:00,1.FC Kaan-Marienborn,Neuenkirchen,140,3,0,/spielbericht/index/spielbericht/2756279,2016,Oberliga Westfalen
13.08.2017,15:00,Eintr. Rheine,1.FC Kaan-Marienborn,430,3,1,/spielbericht/index/spielbericht/2892304,2017,Oberliga Westfalen
