date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
04.08.2014,20:15,1.FC Kaiserslautern,1860 München,41.092,3,2,/spielbericht/index/spielbericht/2460934,2014,2. Bundesliga
10.08.2014,15:30,SV Sandhausen,1.FC Kaiserslautern,11.100,1,1,/spielbericht/index/spielbericht/2460947,2014,2. Bundesliga
24.08.2014,13:30,1.FC Kaiserslautern,E. Braunschweig,33.289,2,1,/spielbericht/index/spielbericht/2460953,2014,2. Bundesliga
29.08.2014,18:30,VfR Aalen,1.FC Kaiserslautern,8.306,2,2,/spielbericht/index/spielbericht/2460966,2014,2. Bundesliga
12.09.2014,18:30,1.FC Kaiserslautern,FSV Frankfurt,27.275,1,0,/spielbericht/index/spielbericht/2460971,2014,2. Bundesliga
20.09.2014,13:00,Greuther Fürth,1.FC Kaiserslautern,13.015,2,1,/spielbericht/index/spielbericht/2460980,2014,2. Bundesliga
24.09.2014,17:30,1.FC Kaiserslautern,Union Berlin,31.384,1,0,/spielbericht/index/spielbericht/2460989,2014,2. Bundesliga
29.09.2014,20:15,1.FC Nürnberg,1.FC Kaiserslautern,25.130,3,2,/spielbericht/index/spielbericht/2460997,2014,2. Bundesliga
04.10.2014,13:00,1.FC Kaiserslautern,Karlsruher SC,39.079,2,0,/spielbericht/index/spielbericht/2461007,2014,2. Bundesliga
17.10.2014,18:30,1.FC Heidenheim,1.FC Kaiserslautern,13.000,1,1,/spielbericht/index/spielbericht/2461023,2014,2. Bundesliga
25.10.2014,13:00,1.FC Kaiserslautern,F. Düsseldorf,36.000,1,1,/spielbericht/index/spielbericht/2461025,2014,2. Bundesliga
03.11.2014,20:15,RB Leipzig,1.FC Kaiserslautern,25.637,0,0,/spielbericht/index/spielbericht/2461041,2014,2. Bundesliga
07.11.2014,18:30,1.FC Kaiserslautern,VfL Bochum,24.708,2,2,/spielbericht/index/spielbericht/2461043,2014,2. Bundesliga
21.11.2014,20:30,1.FC Kaiserslautern,Darmstadt 98,36.013,0,0,/spielbericht/index/spielbericht/2461052,2014,2. Bundesliga
30.11.2014,13:30,FC St. Pauli,1.FC Kaiserslautern,23.584,1,3,/spielbericht/index/spielbericht/2461063,2014,2. Bundesliga
06.12.2014,13:00,1.FC Kaiserslautern,Erzgebirge Aue,23.418,3,0,/spielbericht/index/spielbericht/2461070,2014,2. Bundesliga
14.12.2014,13:30,FC Ingolstadt,1.FC Kaiserslautern,13.359,2,0,/spielbericht/index/spielbericht/2461082,2014,2. Bundesliga
17.12.2014,17:30,1860 München,1.FC Kaiserslautern,13.800,1,1,/spielbericht/index/spielbericht/2461089,2014,2. Bundesliga
21.12.2014,13:30,1.FC Kaiserslautern,SV Sandhausen,27.818,1,0,/spielbericht/index/spielbericht/2461097,2014,2. Bundesliga
08.02.2015,13:30,E. Braunschweig,1.FC Kaiserslautern,22.775,0,2,/spielbericht/index/spielbericht/2461239,2014,2. Bundesliga
14.02.2015,13:00,1.FC Kaiserslautern,VfR Aalen,23.147,1,0,/spielbericht/index/spielbericht/2461114,2014,2. Bundesliga
22.02.2015,13:30,FSV Frankfurt,1.FC Kaiserslautern,10.153,2,0,/spielbericht/index/spielbericht/2461129,2014,2. Bundesliga
27.02.2015,18:30,1.FC Kaiserslautern,Greuther Fürth,23.796,2,1,/spielbericht/index/spielbericht/2461132,2014,2. Bundesliga
08.03.2015,13:30,Union Berlin,1.FC Kaiserslautern,20.842,0,0,/spielbericht/index/spielbericht/2461145,2014,2. Bundesliga
14.03.2015,13:00,1.FC Kaiserslautern,1.FC Nürnberg,35.830,2,1,/spielbericht/index/spielbericht/2461150,2014,2. Bundesliga
22.03.2015,13:30,Karlsruher SC,1.FC Kaiserslautern,27.556,0,0,/spielbericht/index/spielbericht/2461160,2014,2. Bundesliga
04.04.2015,13:00,1.FC Kaiserslautern,1.FC Heidenheim,32.135,4,0,/spielbericht/index/spielbericht/2461168,2014,2. Bundesliga
13.04.2015,20:15,F. Düsseldorf,1.FC Kaiserslautern,28.344,1,1,/spielbericht/index/spielbericht/2461179,2014,2. Bundesliga
20.04.2015,20:15,1.FC Kaiserslautern,RB Leipzig,31.141,1,1,/spielbericht/index/spielbericht/2461186,2014,2. Bundesliga
24.04.2015,18:30,VfL Bochum,1.FC Kaiserslautern,19.057,0,2,/spielbericht/index/spielbericht/2461200,2014,2. Bundesliga
02.05.2015,13:00,Darmstadt 98,1.FC Kaiserslautern,16.150,3,2,/spielbericht/index/spielbericht/2461211,2014,2. Bundesliga
09.05.2015,13:00,1.FC Kaiserslautern,FC St. Pauli,45.035,0,2,/spielbericht/index/spielbericht/2461213,2014,2. Bundesliga
17.05.2015,15:30,Erzgebirge Aue,1.FC Kaiserslautern,15.300,0,0,/spielbericht/index/spielbericht/2461229,2014,2. Bundesliga
24.05.2015,15:30,1.FC Kaiserslautern,FC Ingolstadt,49.780,1,1,/spielbericht/index/spielbericht/2461231,2014,2. Bundesliga
16.08.2014,18:00,Wehen Wiesbaden,1.FC Kaiserslautern,9.496,3,5,/spielbericht/index/spielbericht/2458326,2014,DFB-Pokal
28.10.2014,20:30,1.FC Kaiserslautern,Greuther Fürth,23.111,2,0,/spielbericht/index/spielbericht/2488536,2014,DFB-Pokal
03.03.2015,19:00,B. Leverkusen,1.FC Kaiserslautern,26.601,2,0,/spielbericht/index/spielbericht/2507893,2014,DFB-Pokal
24.07.2015,20:30,MSV Duisburg,1.FC Kaiserslautern,23.686,1,3,/spielbericht/index/spielbericht/2581165,2015,2. Bundesliga
31.07.2015,20:30,1.FC Kaiserslautern,E. Braunschweig,33.036,0,0,/spielbericht/index/spielbericht/2581414,2015,2. Bundesliga
16.08.2015,13:30,Union Berlin,1.FC Kaiserslautern,20.149,2,2,/spielbericht/index/spielbericht/2581440,2015,2. Bundesliga
24.08.2015,20:15,1.FC Kaiserslautern,SC Paderborn,27.803,1,0,/spielbericht/index/spielbericht/2583818,2015,2. Bundesliga
28.08.2015,18:30,1.FC Heidenheim,1.FC Kaiserslautern,14.553,3,1,/spielbericht/index/spielbericht/2583832,2015,2. Bundesliga
11.09.2015,18:30,1.FC Kaiserslautern,SC Freiburg,32.834,0,2,/spielbericht/index/spielbericht/2583836,2015,2. Bundesliga
19.09.2015,13:00,1860 München,1.FC Kaiserslautern,23.500,1,1,/spielbericht/index/spielbericht/2583850,2015,2. Bundesliga
22.09.2015,17:30,1.FC Kaiserslautern,1.FC Nürnberg,21.459,0,3,/spielbericht/index/spielbericht/2583854,2015,2. Bundesliga
25.09.2015,18:30,VfL Bochum,1.FC Kaiserslautern,21.164,1,2,/spielbericht/index/spielbericht/2583868,2015,2. Bundesliga
02.10.2015,18:30,1.FC Kaiserslautern,F. Düsseldorf,24.763,3,0,/spielbericht/index/spielbericht/2583872,2015,2. Bundesliga
16.10.2015,18:30,SV Sandhausen,1.FC Kaiserslautern,9.470,1,0,/spielbericht/index/spielbericht/2583888,2015,2. Bundesliga
24.10.2015,13:00,Karlsruher SC,1.FC Kaiserslautern,22.932,2,0,/spielbericht/index/spielbericht/2583889,2015,2. Bundesliga
30.10.2015,18:30,1.FC Kaiserslautern,Arm. Bielefeld,24.184,0,2,/spielbericht/index/spielbericht/2583900,2015,2. Bundesliga
08.11.2015,13:30,RB Leipzig,1.FC Kaiserslautern,33.598,0,2,/spielbericht/index/spielbericht/2583909,2015,2. Bundesliga
22.11.2015,13:30,1.FC Kaiserslautern,FSV Frankfurt,26.501,1,1,/spielbericht/index/spielbericht/2583917,2015,2. Bundesliga
27.11.2015,18:30,Greuther Fürth,1.FC Kaiserslautern,9.265,2,4,/spielbericht/index/spielbericht/2583929,2015,2. Bundesliga
06.12.2015,13:30,1.FC Kaiserslautern,FC St. Pauli,29.352,1,2,/spielbericht/index/spielbericht/2583935,2015,2. Bundesliga
13.12.2015,13:30,1.FC Kaiserslautern,MSV Duisburg,22.277,2,0,/spielbericht/index/spielbericht/2583943,2015,2. Bundesliga
20.12.2015,13:30,E. Braunschweig,1.FC Kaiserslautern,22.313,1,1,/spielbericht/index/spielbericht/2583953,2015,2. Bundesliga
05.02.2016,18:30,1.FC Kaiserslautern,Union Berlin,23.829,2,2,/spielbericht/index/spielbericht/2583965,2015,2. Bundesliga
12.02.2016,18:30,SC Paderborn,1.FC Kaiserslautern,9.653,0,4,/spielbericht/index/spielbericht/2583971,2015,2. Bundesliga
20.02.2016,13:00,1.FC Kaiserslautern,1.FC Heidenheim,21.646,2,2,/spielbericht/index/spielbericht/2583985,2015,2. Bundesliga
27.02.2016,13:00,SC Freiburg,1.FC Kaiserslautern,24.000,2,0,/spielbericht/index/spielbericht/2583989,2015,2. Bundesliga
01.03.2016,17:30,1.FC Kaiserslautern,1860 München,23.547,0,1,/spielbericht/index/spielbericht/2584003,2015,2. Bundesliga
04.03.2016,20:30,1.FC Nürnberg,1.FC Kaiserslautern,31.457,2,1,/spielbericht/index/spielbericht/2584007,2015,2. Bundesliga
14.03.2016,20:15,1.FC Kaiserslautern,VfL Bochum,19.342,0,2,/spielbericht/index/spielbericht/2584021,2015,2. Bundesliga
19.03.2016,13:00,F. Düsseldorf,1.FC Kaiserslautern,25.361,4,3,/spielbericht/index/spielbericht/2584025,2015,2. Bundesliga
