date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,1.FC Köln,Hamburger SV,49.959,0,0,/spielbericht/index/spielbericht/2460633,2014,Bundesliga
30.08.2014,15:30,VfB Stuttgart,1.FC Köln,55.000,0,2,/spielbericht/index/spielbericht/2460642,2014,Bundesliga
13.09.2014,15:30,SC Paderborn,1.FC Köln,15.000,0,0,/spielbericht/index/spielbericht/2460652,2014,Bundesliga
21.09.2014,17:30,1.FC Köln,Bor. M'gladbach,50.000,0,0,/spielbericht/index/spielbericht/2460660,2014,Bundesliga
24.09.2014,20:00,Hannover 96,1.FC Köln,39.400,1,0,/spielbericht/index/spielbericht/2460667,2014,Bundesliga
27.09.2014,15:30,1.FC Köln,Bayern München,50.000,0,2,/spielbericht/index/spielbericht/2460678,2014,Bundesliga
04.10.2014,18:30,E. Frankfurt,1.FC Köln,51.500,3,2,/spielbericht/index/spielbericht/2460688,2014,Bundesliga
18.10.2014,15:30,1.FC Köln,Bor. Dortmund,49.959,2,1,/spielbericht/index/spielbericht/2460696,2014,Bundesliga
24.10.2014,20:30,Werder Bremen,1.FC Köln,42.100,0,1,/spielbericht/index/spielbericht/2460705,2014,Bundesliga
02.11.2014,17:30,1.FC Köln,SC Freiburg,49.500,0,1,/spielbericht/index/spielbericht/2460714,2014,Bundesliga
08.11.2014,15:30,TSG Hoffenheim,1.FC Köln,30.150,3,4,/spielbericht/index/spielbericht/2460720,2014,Bundesliga
22.11.2014,18:30,1.FC Köln,Hertha BSC,49.200,1,2,/spielbericht/index/spielbericht/2460732,2014,Bundesliga
29.11.2014,15:30,B. Leverkusen,1.FC Köln,30.210,5,1,/spielbericht/index/spielbericht/2460735,2014,Bundesliga
06.12.2014,15:30,1.FC Köln,FC Augsburg,48.500,1,2,/spielbericht/index/spielbericht/2460750,2014,Bundesliga
13.12.2014,15:30,FC Schalke 04,1.FC Köln,61.516,1,2,/spielbericht/index/spielbericht/2460752,2014,Bundesliga
16.12.2014,20:00,1.FC Köln,1.FSV Mainz 05,50.000,0,0,/spielbericht/index/spielbericht/2460768,2014,Bundesliga
20.12.2014,18:30,VfL Wolfsburg,1.FC Köln,26.824,2,1,/spielbericht/index/spielbericht/2460772,2014,Bundesliga
31.01.2015,15:30,Hamburger SV,1.FC Köln,56.053,0,2,/spielbericht/index/spielbericht/2460787,2014,Bundesliga
04.02.2015,20:00,1.FC Köln,VfB Stuttgart,48.400,0,0,/spielbericht/index/spielbericht/2460795,2014,Bundesliga
07.02.2015,15:30,1.FC Köln,SC Paderborn,49.500,0,0,/spielbericht/index/spielbericht/2460805,2014,Bundesliga
14.02.2015,15:30,Bor. M'gladbach,1.FC Köln,54.010,1,0,/spielbericht/index/spielbericht/2460809,2014,Bundesliga
21.02.2015,18:30,1.FC Köln,Hannover 96,47.300,1,1,/spielbericht/index/spielbericht/2460822,2014,Bundesliga
27.02.2015,20:30,Bayern München,1.FC Köln,75.000,4,1,/spielbericht/index/spielbericht/2460824,2014,Bundesliga
08.03.2015,15:30,1.FC Köln,E. Frankfurt,50.000,4,2,/spielbericht/index/spielbericht/2460840,2014,Bundesliga
14.03.2015,18:30,Bor. Dortmund,1.FC Köln,80.667,0,0,/spielbericht/index/spielbericht/2460842,2014,Bundesliga
21.03.2015,15:30,1.FC Köln,Werder Bremen,49.968,1,1,/spielbericht/index/spielbericht/2460858,2014,Bundesliga
04.04.2015,15:30,SC Freiburg,1.FC Köln,23.800,1,0,/spielbericht/index/spielbericht/2460868,2014,Bundesliga
12.04.2015,15:30,1.FC Köln,TSG Hoffenheim,45.000,3,2,/spielbericht/index/spielbericht/2460876,2014,Bundesliga
18.04.2015,15:30,Hertha BSC,1.FC Köln,51.203,0,0,/spielbericht/index/spielbericht/2460883,2014,Bundesliga
25.04.2015,15:30,1.FC Köln,B. Leverkusen,45.600,1,1,/spielbericht/index/spielbericht/2460894,2014,Bundesliga
02.05.2015,15:30,FC Augsburg,1.FC Köln,29.158,0,0,/spielbericht/index/spielbericht/2460900,2014,Bundesliga
10.05.2015,17:30,1.FC Köln,FC Schalke 04,46.500,2,0,/spielbericht/index/spielbericht/2460912,2014,Bundesliga
16.05.2015,15:30,1.FSV Mainz 05,1.FC Köln,33.702,2,0,/spielbericht/index/spielbericht/2460917,2014,Bundesliga
23.05.2015,15:30,1.FC Köln,VfL Wolfsburg,49.200,2,2,/spielbericht/index/spielbericht/2460930,2014,Bundesliga
16.08.2015,17:30,VfB Stuttgart,1.FC Köln,59.500,1,3,/spielbericht/index/spielbericht/2581152,2015,Bundesliga
22.08.2015,15:30,1.FC Köln,VfL Wolfsburg,46.000,1,1,/spielbericht/index/spielbericht/2581178,2015,Bundesliga
29.08.2015,15:30,1.FC Köln,Hamburger SV,50.000,2,1,/spielbericht/index/spielbericht/2581188,2015,Bundesliga
12.09.2015,18:30,E. Frankfurt,1.FC Köln,51.500,6,2,/spielbericht/index/spielbericht/2581196,2015,Bundesliga
19.09.2015,15:30,1.FC Köln,Bor. M'gladbach,47.800,1,0,/spielbericht/index/spielbericht/2581639,2015,Bundesliga
22.09.2015,20:00,Hertha BSC,1.FC Köln,40.181,2,0,/spielbericht/index/spielbericht/2581647,2015,Bundesliga
25.09.2015,20:30,1.FC Köln,FC Ingolstadt,47.800,1,1,/spielbericht/index/spielbericht/2581658,2015,Bundesliga
04.10.2015,15:30,FC Schalke 04,1.FC Köln,61.723,0,3,/spielbericht/index/spielbericht/2581667,2015,Bundesliga
18.10.2015,15:30,1.FC Köln,Hannover 96,48.700,0,1,/spielbericht/index/spielbericht/2581682,2015,Bundesliga
24.10.2015,15:30,Bayern München,1.FC Köln,75.000,4,0,/spielbericht/index/spielbericht/2581690,2015,Bundesliga
31.10.2015,15:30,1.FC Köln,TSG Hoffenheim,45.000,0,0,/spielbericht/index/spielbericht/2581706,2015,Bundesliga
07.11.2015,15:30,B. Leverkusen,1.FC Köln,30.210,1,2,/spielbericht/index/spielbericht/2581716,2015,Bundesliga
21.11.2015,15:30,1.FC Köln,1.FSV Mainz 05,46.700,0,0,/spielbericht/index/spielbericht/2581729,2015,Bundesliga
27.11.2015,20:30,Darmstadt 98,1.FC Köln,17.000,0,0,/spielbericht/index/spielbericht/2581746,2015,Bundesliga
05.12.2015,15:30,1.FC Köln,FC Augsburg,45.500,0,1,/spielbericht/index/spielbericht/2581759,2015,Bundesliga
12.12.2015,15:30,Werder Bremen,1.FC Köln,40.727,1,1,/spielbericht/index/spielbericht/2581767,2015,Bundesliga
19.12.2015,15:30,1.FC Köln,Bor. Dortmund,50.000,2,1,/spielbericht/index/spielbericht/2581782,2015,Bundesliga
23.01.2016,15:30,1.FC Köln,VfB Stuttgart,50.000,1,3,/spielbericht/index/spielbericht/2581790,2015,Bundesliga
31.01.2016,15:30,VfL Wolfsburg,1.FC Köln,29.156,1,1,/spielbericht/index/spielbericht/2581810,2015,Bundesliga
07.02.2016,15:30,Hamburger SV,1.FC Köln,51.999,1,1,/spielbericht/index/spielbericht/2581825,2015,Bundesliga
13.02.2016,18:30,1.FC Köln,E. Frankfurt,49.200,3,1,/spielbericht/index/spielbericht/2581849,2015,Bundesliga
20.02.2016,15:30,Bor. M'gladbach,1.FC Köln,52.226,1,0,/spielbericht/index/spielbericht/2581855,2015,Bundesliga
26.02.2016,20:30,1.FC Köln,Hertha BSC,48.900,0,1,/spielbericht/index/spielbericht/2581874,2015,Bundesliga
01.03.2016,20:00,FC Ingolstadt,1.FC Köln,14.503,1,1,/spielbericht/index/spielbericht/2581895,2015,Bundesliga
05.03.2016,15:30,1.FC Köln,FC Schalke 04,49.300,1,3,/spielbericht/index/spielbericht/2581910,2015,Bundesliga
12.03.2016,15:30,Hannover 96,1.FC Köln,40.600,0,2,/spielbericht/index/spielbericht/2581922,2015,Bundesliga
19.03.2016,15:30,1.FC Köln,Bayern München,49.600,0,1,/spielbericht/index/spielbericht/2581940,2015,Bundesliga
03.04.2016,17:30,TSG Hoffenheim,1.FC Köln,30.150,1,1,/spielbericht/index/spielbericht/2581947,2015,Bundesliga
10.04.2016,17:30,1.FC Köln,B. Leverkusen,49.968,0,2,/spielbericht/index/spielbericht/2581957,2015,Bundesliga
17.04.2016,17:30,1.FSV Mainz 05,1.FC Köln,33.275,2,3,/spielbericht/index/spielbericht/2581967,2015,Bundesliga
23.04.2016,15:30,1.FC Köln,Darmstadt 98,50.000,4,1,/spielbericht/index/spielbericht/2581975,2015,Bundesliga
29.04.2016,20:30,FC Augsburg,1.FC Köln,30.144,0,0,/spielbericht/index/spielbericht/2581981,2015,Bundesliga
07.05.2016,15:30,1.FC Köln,Werder Bremen,50.000,0,0,/spielbericht/index/spielbericht/2581992,2015,Bundesliga
