date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,13:30,1.FC Magdeburg,Union Berlin II,6.438,3,2,/spielbericht/index/spielbericht/2479114,2014,Regionalliga Nordost
10.08.2014,13:30,G. Halberstadt,1.FC Magdeburg,3.051,4,2,/spielbericht/index/spielbericht/2479123,2014,Regionalliga Nordost
27.08.2014,18:30,1.FC Magdeburg,Babelsberg 03,6.557,1,0,/spielbericht/index/spielbericht/2479323,2014,Regionalliga Nordost
24.08.2014,13:30,VFC Plauen,1.FC Magdeburg,1.480,2,2,/spielbericht/index/spielbericht/2479329,2014,Regionalliga Nordost
31.08.2014,13:30,1.FC Magdeburg,ZFC Meuselwitz,5.500,3,0,/spielbericht/index/spielbericht/2479339,2014,Regionalliga Nordost
11.10.2014,14:00,FSV Zwickau,1.FC Magdeburg,3.028,1,0,/spielbericht/index/spielbericht/2479347,2014,Regionalliga Nordost
19.09.2014,19:00,1.FC Magdeburg,W. Nordhausen,7.585,1,1,/spielbericht/index/spielbericht/2479349,2014,Regionalliga Nordost
27.09.2014,13:30,Berliner AK,1.FC Magdeburg,754,2,1,/spielbericht/index/spielbericht/2479361,2014,Regionalliga Nordost
03.10.2014,13:30,VfB Auerbach,1.FC Magdeburg,1.025,2,1,/spielbericht/index/spielbericht/2479365,2014,Regionalliga Nordost
19.10.2014,13:30,1.FC Magdeburg,TSG Neustrelitz,5.040,1,2,/spielbericht/index/spielbericht/2479376,2014,Regionalliga Nordost
25.10.2014,13:30,Budissa Bautzen,1.FC Magdeburg,1.600,0,6,/spielbericht/index/spielbericht/2479382,2014,Regionalliga Nordost
02.11.2014,14:00,1.FC Magdeburg,Carl Zeiss Jena,7.021,3,0,/spielbericht/index/spielbericht/2479392,2014,Regionalliga Nordost
08.11.2014,13:30,BFC Dynamo,1.FC Magdeburg,5.103,0,1,/spielbericht/index/spielbericht/2479403,2014,Regionalliga Nordost
21.11.2014,19:00,1.FC Magdeburg,Hertha BSC II,7.097,2,1,/spielbericht/index/spielbericht/2479408,2014,Regionalliga Nordost
30.11.2014,13:30,Viktoria Berlin,1.FC Magdeburg,951,0,1,/spielbericht/index/spielbericht/2479417,2014,Regionalliga Nordost
09.12.2014,19:00,Union Berlin II,1.FC Magdeburg,1.704,2,3,/spielbericht/index/spielbericht/2479621,2014,Regionalliga Nordost
22.02.2015,14:05,1.FC Magdeburg,G. Halberstadt,9.372,4,0,/spielbericht/index/spielbericht/2479628,2014,Regionalliga Nordost
01.03.2015,14:05,Babelsberg 03,1.FC Magdeburg,4.380,1,2,/spielbericht/index/spielbericht/2479647,2014,Regionalliga Nordost
08.03.2015,13:30,1.FC Magdeburg,VFC Plauen,11.265,5,0,/spielbericht/index/spielbericht/2479652,2014,Regionalliga Nordost
13.03.2015,19:00,ZFC Meuselwitz,1.FC Magdeburg,1.828,0,4,/spielbericht/index/spielbericht/2479663,2014,Regionalliga Nordost
21.03.2015,12:05,1.FC Magdeburg,FSV Zwickau,16.092,0,0,/spielbericht/index/spielbericht/2479686,2014,Regionalliga Nordost
28.03.2015,14:05,W. Nordhausen,1.FC Magdeburg,4.203,0,5,/spielbericht/index/spielbericht/2479711,2014,Regionalliga Nordost
04.04.2015,13:30,1.FC Magdeburg,Berliner AK,7.983,1,0,/spielbericht/index/spielbericht/2479704,2014,Regionalliga Nordost
11.04.2015,13:30,1.FC Magdeburg,VfB Auerbach,8.705,3,0,/spielbericht/index/spielbericht/2479716,2014,Regionalliga Nordost
19.04.2015,13:30,TSG Neustrelitz,1.FC Magdeburg,1.908,0,1,/spielbericht/index/spielbericht/2479727,2014,Regionalliga Nordost
26.04.2015,13:30,1.FC Magdeburg,Budissa Bautzen,7.086,2,0,/spielbericht/index/spielbericht/2479733,2014,Regionalliga Nordost
03.05.2015,14:05,Carl Zeiss Jena,1.FC Magdeburg,5.731,0,4,/spielbericht/index/spielbericht/2479743,2014,Regionalliga Nordost
10.05.2015,14:05,1.FC Magdeburg,BFC Dynamo,12.268,1,1,/spielbericht/index/spielbericht/2479754,2014,Regionalliga Nordost
17.05.2015,14:05,Hertha BSC II,1.FC Magdeburg,2.732,1,4,/spielbericht/index/spielbericht/2479759,2014,Regionalliga Nordost
23.05.2015,13:30,1.FC Magdeburg,Viktoria Berlin,10.657,1,2,/spielbericht/index/spielbericht/2479768,2014,Regionalliga Nordost
27.05.2015,19:00,1.FC Magdeburg,K. Offenbach,23.139,1,0,/spielbericht/index/spielbericht/2567941,2014,Aufstiegsrunde zur 3. Liga
31.05.2015,14:00,K. Offenbach,1.FC Magdeburg,19.124,1,3,/spielbericht/index/spielbericht/2567942,2014,Aufstiegsrunde zur 3. Liga
17.08.2014,18:30,1.FC Magdeburg,FC Augsburg,17.854,1,0,/spielbericht/index/spielbericht/2458318,2014,DFB-Pokal
29.10.2014,19:00,1.FC Magdeburg,B. Leverkusen,23.855,6,7,/spielbericht/index/spielbericht/2488525,2014,DFB-Pokal
24.07.2015,20:30,1.FC Magdeburg,Rot-Weiß Erfurt,23.079,2,1,/spielbericht/index/spielbericht/2584704,2015,3. Liga
31.07.2015,19:00,FSV Mainz 05 II,1.FC Magdeburg,2.862,2,2,/spielbericht/index/spielbericht/2584929,2015,3. Liga
16.08.2015,14:00,1.FC Magdeburg,Hallescher FC,20.912,2,1,/spielbericht/index/spielbericht/2584938,2015,3. Liga
21.08.2015,19:00,W. Bremen II,1.FC Magdeburg,2.600,1,1,/spielbericht/index/spielbericht/2584947,2015,3. Liga
25.08.2015,20:30,1.FC Magdeburg,Chemnitzer FC,19.112,2,0,/spielbericht/index/spielbericht/2584958,2015,3. Liga
28.08.2015,19:00,Fortuna Köln,1.FC Magdeburg,3.323,2,1,/spielbericht/index/spielbericht/2584965,2015,3. Liga
15.09.2015,18:30,1.FC Magdeburg,VfL Osnabrück,15.324,3,0,/spielbericht/index/spielbericht/2584978,2015,3. Liga
11.09.2015,19:00,Stuttg. Kickers,1.FC Magdeburg,6.270,1,0,/spielbericht/index/spielbericht/2584993,2015,3. Liga
18.09.2015,19:00,1.FC Magdeburg,VfR Aalen,16.093,1,2,/spielbericht/index/spielbericht/2584998,2015,3. Liga
23.09.2015,20:30,Hansa Rostock,1.FC Magdeburg,16.300,1,1,/spielbericht/index/spielbericht/2585011,2015,3. Liga
26.09.2015,14:00,1.FC Magdeburg,Energie Cottbus,19.435,2,2,/spielbericht/index/spielbericht/2585018,2015,3. Liga
02.10.2015,19:00,Holstein Kiel,1.FC Magdeburg,6.515,0,0,/spielbericht/index/spielbericht/2585029,2015,3. Liga
