date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,19:30,SV Waren 09,1.FC Neubrandenburg 04,620,0,3,/spielbericht/index/spielbericht/2471340,2014,NOFV-Oberliga Nord
09.08.2014,14:00,1.FC Neubrandenburg 04,Altlüdersdorf,210,3,2,/spielbericht/index/spielbericht/2480341,2014,NOFV-Oberliga Nord
22.08.2014,19:00,Pom. Greifswald,1.FC Neubrandenburg 04,190,0,2,/spielbericht/index/spielbericht/2480347,2014,NOFV-Oberliga Nord
30.08.2014,14:00,1.FC Neubrandenburg 04,FC Schönberg 95,297,1,1,/spielbericht/index/spielbericht/2480357,2014,NOFV-Oberliga Nord
12.09.2014,19:30,FSV Luckenwalde,1.FC Neubrandenburg 04,602,1,1,/spielbericht/index/spielbericht/2480363,2014,NOFV-Oberliga Nord
21.09.2014,14:00,1.FC Neubrandenburg 04,H. Zehlendorf,198,4,2,/spielbericht/index/spielbericht/2480374,2014,NOFV-Oberliga Nord
27.09.2014,14:00,Optik Rathenow,1.FC Neubrandenburg 04,249,3,2,/spielbericht/index/spielbericht/2480382,2014,NOFV-Oberliga Nord
03.10.2014,14:00,1.FC Neubrandenburg 04,Malchower SV,376,1,3,/spielbericht/index/spielbericht/2480387,2014,NOFV-Oberliga Nord
18.10.2014,14:00,BSC Süd 05,1.FC Neubrandenburg 04,213,3,1,/spielbericht/index/spielbericht/2480398,2014,NOFV-Oberliga Nord
25.10.2014,14:00,1.FC Neubrandenburg 04,Lichtenberg 47,136,2,1,/spielbericht/index/spielbericht/2480405,2014,NOFV-Oberliga Nord
16.11.2014,13:30,H. Rostock II,1.FC Neubrandenburg 04,123,5,1,/spielbericht/index/spielbericht/2480416,2014,NOFV-Oberliga Nord
08.11.2014,13:30,1.FC Neubrandenburg 04,U. Fürstenwalde,149,1,1,/spielbericht/index/spielbericht/2480420,2014,NOFV-Oberliga Nord
22.11.2014,13:30,1.FC Neubrandenburg 04,G. Schöneiche,110,1,1,/spielbericht/index/spielbericht/2480427,2014,NOFV-Oberliga Nord
30.11.2014,13:00,FC Strausberg,1.FC Neubrandenburg 04,99,2,0,/spielbericht/index/spielbericht/2480442,2014,NOFV-Oberliga Nord
06.12.2014,13:00,1.FC Neubrandenburg 04,BSV Hürtürkel,109,5,1,/spielbericht/index/spielbericht/2480444,2014,NOFV-Oberliga Nord
28.02.2015,14:00,1.FC Neubrandenburg 04,SV Waren 09,200,1,0,/spielbericht/index/spielbericht/2515828,2014,NOFV-Oberliga Nord
08.03.2015,14:00,Altlüdersdorf,1.FC Neubrandenburg 04,243,1,0,/spielbericht/index/spielbericht/2521069,2014,NOFV-Oberliga Nord
15.03.2015,14:00,1.FC Neubrandenburg 04,Pom. Greifswald,206,1,0,/spielbericht/index/spielbericht/2521079,2014,NOFV-Oberliga Nord
21.03.2015,14:00,FC Schönberg 95,1.FC Neubrandenburg 04,203,3,0,/spielbericht/index/spielbericht/2521085,2014,NOFV-Oberliga Nord
28.03.2015,14:00,1.FC Neubrandenburg 04,FSV Luckenwalde,190,0,1,/spielbericht/index/spielbericht/2521094,2014,NOFV-Oberliga Nord
02.04.2015,19:30,H. Zehlendorf,1.FC Neubrandenburg 04,83,5,0,/spielbericht/index/spielbericht/2522264,2014,NOFV-Oberliga Nord
12.04.2015,14:00,1.FC Neubrandenburg 04,Optik Rathenow,170,1,1,/spielbericht/index/spielbericht/2522277,2014,NOFV-Oberliga Nord
17.04.2015,19:30,Malchower SV,1.FC Neubrandenburg 04,286,2,2,/spielbericht/index/spielbericht/2522435,2014,NOFV-Oberliga Nord
26.04.2015,14:00,1.FC Neubrandenburg 04,BSC Süd 05,201,1,3,/spielbericht/index/spielbericht/2522446,2014,NOFV-Oberliga Nord
01.05.2015,14:00,Lichtenberg 47,1.FC Neubrandenburg 04,327,8,0,/spielbericht/index/spielbericht/2522450,2014,NOFV-Oberliga Nord
10.05.2015,14:00,1.FC Neubrandenburg 04,H. Rostock II,180,0,3,/spielbericht/index/spielbericht/2522460,2014,NOFV-Oberliga Nord
17.05.2015,14:00,U. Fürstenwalde,1.FC Neubrandenburg 04,202,3,3,/spielbericht/index/spielbericht/2522468,2014,NOFV-Oberliga Nord
23.05.2015,14:00,G. Schöneiche,1.FC Neubrandenburg 04,98,2,0,/spielbericht/index/spielbericht/2522475,2014,NOFV-Oberliga Nord
07.06.2015,14:00,1.FC Neubrandenburg 04,FC Strausberg,198,3,0,/spielbericht/index/spielbericht/2522489,2014,NOFV-Oberliga Nord
14.06.2015,14:00,BSV Hürtürkel,1.FC Neubrandenburg 04,60,2,4,/spielbericht/index/spielbericht/2522491,2014,NOFV-Oberliga Nord
17.08.2014,16:00,1.FC Neubrandenburg 04,Karlsruher SC,3.000,1,3,/spielbericht/index/spielbericht/2458331,2014,DFB-Pokal
16.08.2015,14:00,Altlüdersdorf,1.FC Neubrandenburg 04,224,1,1,/spielbericht/index/spielbericht/2602693,2015,NOFV-Oberliga Nord
22.08.2015,14:00,1.FC Neubrandenburg 04,Victoria Seelow,187,2,0,/spielbericht/index/spielbericht/2605712,2015,NOFV-Oberliga Nord
28.08.2015,19:45,H. Zehlendorf,1.FC Neubrandenburg 04,152,2,2,/spielbericht/index/spielbericht/2605720,2015,NOFV-Oberliga Nord
12.09.2015,14:00,1.FC Neubrandenburg 04,Lichtenberg 47,176,4,1,/spielbericht/index/spielbericht/2608591,2015,NOFV-Oberliga Nord
20.09.2015,14:00,1.FC Neubrandenburg 04,CFC Hertha 06,159,2,1,/spielbericht/index/spielbericht/2608604,2015,NOFV-Oberliga Nord
26.09.2015,14:30,1.FC Frankfurt,1.FC Neubrandenburg 04,225,5,1,/spielbericht/index/spielbericht/2608607,2015,NOFV-Oberliga Nord
