date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:30,1.FC Nürnberg,Erzgebirge Aue,37.116,1,0,/spielbericht/index/spielbericht/2460933,2014,2. Bundesliga
11.08.2014,20:15,Greuther Fürth,1.FC Nürnberg,17.200,5,1,/spielbericht/index/spielbericht/2460942,2014,2. Bundesliga
23.08.2014,13:00,1.FC Nürnberg,FSV Frankfurt,27.568,0,1,/spielbericht/index/spielbericht/2460952,2014,2. Bundesliga
29.08.2014,18:30,Union Berlin,1.FC Nürnberg,20.200,0,4,/spielbericht/index/spielbericht/2460965,2014,2. Bundesliga
15.09.2014,20:15,1.FC Nürnberg,F. Düsseldorf,26.558,0,2,/spielbericht/index/spielbericht/2460970,2014,2. Bundesliga
21.09.2014,13:30,Karlsruher SC,1.FC Nürnberg,19.944,3,0,/spielbericht/index/spielbericht/2460981,2014,2. Bundesliga
24.09.2014,17:30,1.FC Heidenheim,1.FC Nürnberg,13.000,3,0,/spielbericht/index/spielbericht/2460993,2014,2. Bundesliga
29.09.2014,20:15,1.FC Nürnberg,1.FC K'lautern,25.130,3,2,/spielbericht/index/spielbericht/2460997,2014,2. Bundesliga
03.10.2014,18:30,VfL Bochum,1.FC Nürnberg,25.092,1,1,/spielbericht/index/spielbericht/2461012,2014,2. Bundesliga
17.10.2014,20:30,1.FC Nürnberg,RB Leipzig,28.571,1,0,/spielbericht/index/spielbericht/2461015,2014,2. Bundesliga
27.10.2014,20:15,Darmstadt 98,1.FC Nürnberg,16.500,3,0,/spielbericht/index/spielbericht/2461032,2014,2. Bundesliga
01.11.2014,13:00,1.FC Nürnberg,FC St. Pauli,37.033,2,2,/spielbericht/index/spielbericht/2461033,2014,2. Bundesliga
07.11.2014,18:30,SV Sandhausen,1.FC Nürnberg,6.436,2,1,/spielbericht/index/spielbericht/2461048,2014,2. Bundesliga
23.11.2014,13:30,1.FC Nürnberg,FC Ingolstadt,32.065,2,1,/spielbericht/index/spielbericht/2461051,2014,2. Bundesliga
01.12.2014,20:15,E. Braunschweig,1.FC Nürnberg,23.000,1,0,/spielbericht/index/spielbericht/2461060,2014,2. Bundesliga
08.12.2014,20:15,1.FC Nürnberg,1860 München,31.079,2,1,/spielbericht/index/spielbericht/2461069,2014,2. Bundesliga
14.12.2014,13:30,VfR Aalen,1.FC Nürnberg,11.184,1,2,/spielbericht/index/spielbericht/2461083,2014,2. Bundesliga
17.12.2014,17:30,Erzgebirge Aue,1.FC Nürnberg,8.200,0,1,/spielbericht/index/spielbericht/2461095,2014,2. Bundesliga
20.12.2014,13:00,1.FC Nürnberg,Greuther Fürth,47.501,0,0,/spielbericht/index/spielbericht/2461096,2014,2. Bundesliga
08.02.2015,13:30,FSV Frankfurt,1.FC Nürnberg,9.152,2,1,/spielbericht/index/spielbericht/2461111,2014,2. Bundesliga
15.02.2015,13:30,1.FC Nürnberg,Union Berlin,29.166,3,1,/spielbericht/index/spielbericht/2461113,2014,2. Bundesliga
22.02.2015,13:30,F. Düsseldorf,1.FC Nürnberg,30.213,1,3,/spielbericht/index/spielbericht/2461125,2014,2. Bundesliga
28.02.2015,13:00,1.FC Nürnberg,Karlsruher SC,30.458,1,1,/spielbericht/index/spielbericht/2461131,2014,2. Bundesliga
06.03.2015,18:30,1.FC Nürnberg,1.FC Heidenheim,31.263,0,1,/spielbericht/index/spielbericht/2461140,2014,2. Bundesliga
14.03.2015,13:00,1.FC K'lautern,1.FC Nürnberg,35.830,2,1,/spielbericht/index/spielbericht/2461150,2014,2. Bundesliga
23.03.2015,20:15,1.FC Nürnberg,VfL Bochum,25.528,1,2,/spielbericht/index/spielbericht/2461158,2014,2. Bundesliga
05.04.2015,13:30,RB Leipzig,1.FC Nürnberg,30.479,2,1,/spielbericht/index/spielbericht/2461174,2014,2. Bundesliga
10.04.2015,18:30,1.FC Nürnberg,Darmstadt 98,30.648,1,1,/spielbericht/index/spielbericht/2461176,2014,2. Bundesliga
17.04.2015,18:30,FC St. Pauli,1.FC Nürnberg,23.584,1,0,/spielbericht/index/spielbericht/2461188,2014,2. Bundesliga
24.04.2015,18:30,1.FC Nürnberg,SV Sandhausen,25.233,2,0,/spielbericht/index/spielbericht/2461194,2014,2. Bundesliga
04.05.2015,20:15,FC Ingolstadt,1.FC Nürnberg,15.000,1,1,/spielbericht/index/spielbericht/2461207,2014,2. Bundesliga
10.05.2015,13:30,1.FC Nürnberg,E. Braunschweig,27.985,3,1,/spielbericht/index/spielbericht/2461212,2014,2. Bundesliga
17.05.2015,15:30,1860 München,1.FC Nürnberg,68.500,2,1,/spielbericht/index/spielbericht/2461223,2014,2. Bundesliga
24.05.2015,15:30,1.FC Nürnberg,VfR Aalen,30.433,2,1,/spielbericht/index/spielbericht/2461230,2014,2. Bundesliga
15.08.2014,20:00,MSV Duisburg,1.FC Nürnberg,18.108,1,0,/spielbericht/index/spielbericht/2458320,2014,DFB-Pokal
19.05.2016,20:30,E. Frankfurt,1.FC Nürnberg,51.500,1,1,/spielbericht/index/spielbericht/2691834,2015,Relegation Bundesliga
23.05.2016,20:30,1.FC Nürnberg,E. Frankfurt,50.000,0,1,/spielbericht/index/spielbericht/2691835,2015,Relegation Bundesliga
27.07.2015,20:15,SC Freiburg,1.FC Nürnberg,23.700,6,3,/spielbericht/index/spielbericht/2581157,2015,2. Bundesliga
31.07.2015,18:30,1.FC Nürnberg,1.FC Heidenheim,24.825,3,2,/spielbericht/index/spielbericht/2581416,2015,2. Bundesliga
17.08.2015,20:15,1.FC Nürnberg,1860 München,36.547,2,2,/spielbericht/index/spielbericht/2581439,2015,2. Bundesliga
23.08.2015,13:30,VfL Bochum,1.FC Nürnberg,21.131,2,1,/spielbericht/index/spielbericht/2583821,2015,2. Bundesliga
30.08.2015,13:30,1.FC Nürnberg,F. Düsseldorf,26.379,1,0,/spielbericht/index/spielbericht/2583829,2015,2. Bundesliga
13.09.2015,13:30,Greuther Fürth,1.FC Nürnberg,17.200,3,2,/spielbericht/index/spielbericht/2583839,2015,2. Bundesliga
19.09.2015,13:00,1.FC Nürnberg,SV Sandhausen,23.378,2,0,/spielbericht/index/spielbericht/2583847,2015,2. Bundesliga
22.09.2015,17:30,1.FC K'lautern,1.FC Nürnberg,21.459,0,3,/spielbericht/index/spielbericht/2583854,2015,2. Bundesliga
25.09.2015,18:30,1.FC Nürnberg,Arm. Bielefeld,24.184,2,2,/spielbericht/index/spielbericht/2583865,2015,2. Bundesliga
04.10.2015,13:30,RB Leipzig,1.FC Nürnberg,28.987,3,2,/spielbericht/index/spielbericht/2583873,2015,2. Bundesliga
17.10.2015,13:00,1.FC Nürnberg,FSV Frankfurt,23.798,1,1,/spielbericht/index/spielbericht/2583882,2015,2. Bundesliga
24.10.2015,13:00,MSV Duisburg,1.FC Nürnberg,13.000,0,0,/spielbericht/index/spielbericht/2583897,2015,2. Bundesliga
