date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
09.08.2014,15:30,SV Endingen,1.FC Rielasingen-Arlen,250,3,1,/spielbericht/index/spielbericht/3717147,2014,Verbandsliga Südbaden
17.08.2014,15:00,1.FC Rielasingen-Arlen,SV Kuppenheim,390,5,3,/spielbericht/index/spielbericht/3717144,2014,Verbandsliga Südbaden
23.08.2014,15:30,FC Denzlingen,1.FC Rielasingen-Arlen,100,3,1,/spielbericht/index/spielbericht/3717289,2014,Verbandsliga Südbaden
31.08.2014,15:00,1.FC Rielasingen-Arlen,Rhodia Freiburg,220,2,3,/spielbericht/index/spielbericht/3717309,2014,Verbandsliga Südbaden
06.09.2014,15:30,SC Offenburg,1.FC Rielasingen-Arlen,100,2,5,/spielbericht/index/spielbericht/3717312,2014,Verbandsliga Südbaden
14.09.2014,15:00,1.FC Rielasingen-Arlen,SV Linx,360,0,4,/spielbericht/index/spielbericht/3717333,2014,Verbandsliga Südbaden
21.09.2014,15:00,SV Bühlertal,1.FC Rielasingen-Arlen,250,2,1,/spielbericht/index/spielbericht/3717339,2014,Verbandsliga Südbaden
28.09.2014,15:00,1.FC Rielasingen-Arlen,FC St. Georgen,390,5,1,/spielbericht/index/spielbericht/3717349,2014,Verbandsliga Südbaden
05.10.2014,15:00,FC Bad Dürrheim,1.FC Rielasingen-Arlen,250,1,2,/spielbericht/index/spielbericht/3717360,2014,Verbandsliga Südbaden
12.10.2014,15:00,1.FC Rielasingen-Arlen,FC Singen 04,1.560,4,2,/spielbericht/index/spielbericht/3717369,2014,Verbandsliga Südbaden
18.10.2014,15:30,FC Radolfzell,1.FC Rielasingen-Arlen,530,1,1,/spielbericht/index/spielbericht/3717372,2014,Verbandsliga Südbaden
26.10.2014,14:30,1.FC Rielasingen-Arlen,FC Bötzingen,320,1,1,/spielbericht/index/spielbericht/3717385,2014,Verbandsliga Südbaden
01.11.2014,14:30,Offenburger FV,1.FC Rielasingen-Arlen,237,0,3,/spielbericht/index/spielbericht/3717389,2014,Verbandsliga Südbaden
09.11.2014,14:30,1.FC Rielasingen-Arlen,SV Oberachern,430,0,1,/spielbericht/index/spielbericht/3717401,2014,Verbandsliga Südbaden
16.11.2014,14:30,SV Waldkirch,1.FC Rielasingen-Arlen,150,0,2,/spielbericht/index/spielbericht/3717407,2014,Verbandsliga Südbaden
23.11.2014,14:30,1.FC Rielasingen-Arlen,SV Endingen,310,2,2,/spielbericht/index/spielbericht/3717415,2014,Verbandsliga Südbaden
29.11.2014,14:30,SV Kuppenheim,1.FC Rielasingen-Arlen,150,2,2,/spielbericht/index/spielbericht/3717423,2014,Verbandsliga Südbaden
07.12.2014,14:30,1.FC Rielasingen-Arlen,FC Denzlingen,285,3,0,/spielbericht/index/spielbericht/3717433,2014,Verbandsliga Südbaden
15.03.2015,15:00,Rhodia Freiburg,1.FC Rielasingen-Arlen,100,0,0,/spielbericht/index/spielbericht/3717441,2014,Verbandsliga Südbaden
22.03.2015,15:00,1.FC Rielasingen-Arlen,SC Offenburg,250,1,1,/spielbericht/index/spielbericht/3717447,2014,Verbandsliga Südbaden
28.03.2015,15:30,SV Linx,1.FC Rielasingen-Arlen,180,0,0,/spielbericht/index/spielbericht/3717453,2014,Verbandsliga Südbaden
04.04.2015,15:30,1.FC Rielasingen-Arlen,SV Bühlertal,240,2,1,/spielbericht/index/spielbericht/3717464,2014,Verbandsliga Südbaden
