date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
12.07.2014,15:00,Eintr. Bamberg,1.FC Schweinfurt 05,1.505,0,0,/spielbericht/index/spielbericht/2467071,2014,Regionalliga Bayern
15.07.2014,19:00,1.FC Schweinfurt 05,VfR Garching,1.151,0,2,/spielbericht/index/spielbericht/2467254,2014,Regionalliga Bayern
20.07.2014,14:00,Gr. Fürth II,1.FC Schweinfurt 05,426,3,1,/spielbericht/index/spielbericht/2467267,2014,Regionalliga Bayern
25.07.2014,19:30,1.FC Schweinfurt 05,SpVgg Bayreuth,1.277,5,3,/spielbericht/index/spielbericht/2467272,2014,Regionalliga Bayern
19.08.2014,20:00,1.FC Schweinfurt 05,B. München II,5.010,0,0,/spielbericht/index/spielbericht/2467439,2014,Regionalliga Bayern
09.08.2014,14:00,1.FC Schweinfurt 05,SV Schalding,1.051,5,0,/spielbericht/index/spielbericht/2467292,2014,Regionalliga Bayern
15.08.2014,18:00,Nürnberg II,1.FC Schweinfurt 05,423,1,3,/spielbericht/index/spielbericht/2467302,2014,Regionalliga Bayern
07.10.2014,19:30,1.FC Schweinfurt 05,Würzb. Kickers,5.273,0,2,/spielbericht/index/spielbericht/2467313,2014,Regionalliga Bayern
29.08.2014,19:00,W. Burghausen,1.FC Schweinfurt 05,1.380,1,0,/spielbericht/index/spielbericht/2467318,2014,Regionalliga Bayern
05.09.2014,19:30,1.FC Schweinfurt 05,SV Heimstetten,958,4,3,/spielbericht/index/spielbericht/2467326,2014,Regionalliga Bayern
12.09.2014,19:00,TSV Buchbach,1.FC Schweinfurt 05,668,2,0,/spielbericht/index/spielbericht/2467334,2014,Regionalliga Bayern
19.09.2014,19:30,1.FC Schweinfurt 05,FC Memmingen,1.317,1,0,/spielbericht/index/spielbericht/2467343,2014,Regionalliga Bayern
26.09.2014,19:00,1.FC Schweinfurt 05,1860 München II,1.884,1,3,/spielbericht/index/spielbericht/2467353,2014,Regionalliga Bayern
02.10.2014,19:00,FC Augsburg II,1.FC Schweinfurt 05,405,1,1,/spielbericht/index/spielbericht/2467359,2014,Regionalliga Bayern
11.10.2014,14:00,1.FC Schweinfurt 05,Ingolstadt II,955,1,1,/spielbericht/index/spielbericht/2467372,2014,Regionalliga Bayern
18.10.2014,14:00,FV Illertissen,1.FC Schweinfurt 05,365,2,1,/spielbericht/index/spielbericht/2467384,2014,Regionalliga Bayern
24.10.2014,19:00,1.FC Schweinfurt 05,Seligenporten,979,2,2,/spielbericht/index/spielbericht/2467386,2014,Regionalliga Bayern
31.10.2014,19:30,1.FC Schweinfurt 05,Eintr. Bamberg,1.226,1,0,/spielbericht/index/spielbericht/2467396,2014,Regionalliga Bayern
08.11.2014,14:00,VfR Garching,1.FC Schweinfurt 05,300,5,2,/spielbericht/index/spielbericht/2467408,2014,Regionalliga Bayern
15.11.2014,19:30,1.FC Schweinfurt 05,Gr. Fürth II,1.056,2,1,/spielbericht/index/spielbericht/2467421,2014,Regionalliga Bayern
22.11.2014,14:00,SpVgg Bayreuth,1.FC Schweinfurt 05,1.146,2,0,/spielbericht/index/spielbericht/2467425,2014,Regionalliga Bayern
27.11.2014,19:00,B. München II,1.FC Schweinfurt 05,657,2,2,/spielbericht/index/spielbericht/2467281,2014,Regionalliga Bayern
