date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:30,Karlsruher SC,1.FC Union Berlin,18.489,0,0,/spielbericht/index/spielbericht/2460935,2014,2. Bundesliga
08.08.2014,20:30,1.FC Union Berlin,F. Düsseldorf,20.562,1,1,/spielbericht/index/spielbericht/2460944,2014,2. Bundesliga
25.08.2014,20:15,VfL Bochum,1.FC Union Berlin,16.307,1,1,/spielbericht/index/spielbericht/2460957,2014,2. Bundesliga
29.08.2014,18:30,1.FC Union Berlin,1.FC Nürnberg,20.200,0,4,/spielbericht/index/spielbericht/2460965,2014,2. Bundesliga
14.09.2014,13:30,1.FC Heidenheim,1.FC Union Berlin,11.000,3,1,/spielbericht/index/spielbericht/2460976,2014,2. Bundesliga
21.09.2014,13:30,1.FC Union Berlin,RB Leipzig,21.366,2,1,/spielbericht/index/spielbericht/2460984,2014,2. Bundesliga
24.09.2014,17:30,1.FC K'lautern,1.FC Union Berlin,31.384,1,0,/spielbericht/index/spielbericht/2460989,2014,2. Bundesliga
27.09.2014,13:00,1.FC Union Berlin,Darmstadt 98,18.124,1,1,/spielbericht/index/spielbericht/2461002,2014,2. Bundesliga
04.10.2014,13:00,FC St. Pauli,1.FC Union Berlin,29.063,3,0,/spielbericht/index/spielbericht/2461008,2014,2. Bundesliga
18.10.2014,13:00,1.FC Union Berlin,SV Sandhausen,17.106,3,1,/spielbericht/index/spielbericht/2461019,2014,2. Bundesliga
24.10.2014,18:30,VfR Aalen,1.FC Union Berlin,5.435,1,2,/spielbericht/index/spielbericht/2461029,2014,2. Bundesliga
31.10.2014,18:30,1.FC Union Berlin,Greuther Fürth,18.702,0,1,/spielbericht/index/spielbericht/2461037,2014,2. Bundesliga
09.11.2014,13:30,FC Ingolstadt,1.FC Union Berlin,8.008,3,3,/spielbericht/index/spielbericht/2461046,2014,2. Bundesliga
22.11.2014,13:00,1.FC Union Berlin,1860 München,19.026,1,4,/spielbericht/index/spielbericht/2461055,2014,2. Bundesliga
28.11.2014,18:30,Erzgebirge Aue,1.FC Union Berlin,9.100,1,2,/spielbericht/index/spielbericht/2461067,2014,2. Bundesliga
07.12.2014,13:30,1.FC Union Berlin,FSV Frankfurt,15.802,2,1,/spielbericht/index/spielbericht/2461073,2014,2. Bundesliga
13.12.2014,13:00,E. Braunschweig,1.FC Union Berlin,23.050,1,1,/spielbericht/index/spielbericht/2461078,2014,2. Bundesliga
16.12.2014,17:30,1.FC Union Berlin,Karlsruher SC,17.084,2,0,/spielbericht/index/spielbericht/2461090,2014,2. Bundesliga
19.12.2014,18:30,F. Düsseldorf,1.FC Union Berlin,28.256,1,0,/spielbericht/index/spielbericht/2461099,2014,2. Bundesliga
