date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,14:00,Wattenscheid 09,Alemannia Aachen,2.203,0,1,/spielbericht/index/spielbericht/2470742,2014,Regionalliga West
08.08.2014,20:00,Alemannia Aachen,Hennef 05,8.900,3,1,/spielbericht/index/spielbericht/2470749,2014,Regionalliga West
16.08.2014,14:00,RW Essen,Alemannia Aachen,12.097,1,1,/spielbericht/index/spielbericht/2470753,2014,Regionalliga West
23.08.2014,13:00,Alemannia Aachen,Düsseldorf II,7.300,3,0,/spielbericht/index/spielbericht/2470767,2014,Regionalliga West
30.08.2014,13:00,1.FC Köln II,Alemannia Aachen,2.800,2,2,/spielbericht/index/spielbericht/2470778,2014,Regionalliga West
08.09.2014,20:15,Alemannia Aachen,SF Lotte,8.100,1,1,/spielbericht/index/spielbericht/2470784,2014,Regionalliga West
13.09.2014,14:00,SC Wiedenbrück,Alemannia Aachen,1.205,1,0,/spielbericht/index/spielbericht/2470822,2014,Regionalliga West
20.09.2014,14:00,Alemannia Aachen,KFC Uerdingen,6.500,2,1,/spielbericht/index/spielbericht/2470831,2014,Regionalliga West
23.09.2014,19:30,Alemannia Aachen,VfL Bochum II,6.000,2,1,/spielbericht/index/spielbericht/2470840,2014,Regionalliga West
28.09.2014,14:00,RW Oberhausen,Alemannia Aachen,3.741,0,0,/spielbericht/index/spielbericht/2470847,2014,Regionalliga West
04.10.2014,14:00,Alemannia Aachen,FC Kray,6.700,1,1,/spielbericht/index/spielbericht/2470857,2014,Regionalliga West
18.10.2014,14:00,M'gladbach II,Alemannia Aachen,1.506,1,1,/spielbericht/index/spielbericht/2470862,2014,Regionalliga West
25.10.2014,15:30,Alemannia Aachen,Schalke 04 II,6.600,3,1,/spielbericht/index/spielbericht/2470875,2014,Regionalliga West
31.10.2014,19:30,Viktoria Köln,Alemannia Aachen,4.512,0,1,/spielbericht/index/spielbericht/2470887,2014,Regionalliga West
08.11.2014,14:00,Alemannia Aachen,SV Rödinghausen,8.400,3,0,/spielbericht/index/spielbericht/2471386,2014,Regionalliga West
15.11.2014,14:00,SC Verl,Alemannia Aachen,1.563,0,0,/spielbericht/index/spielbericht/2471405,2014,Regionalliga West
28.11.2014,19:30,Alemannia Aachen,Spfr. Siegen,8.500,2,1,/spielbericht/index/spielbericht/2471413,2014,Regionalliga West
06.12.2014,14:00,Alemannia Aachen,Wattenscheid 09,7.000,3,0,/spielbericht/index/spielbericht/2471429,2014,Regionalliga West
13.12.2014,14:00,Hennef 05,Alemannia Aachen,1.450,1,1,/spielbericht/index/spielbericht/2471439,2014,Regionalliga West
07.02.2015,14:00,Alemannia Aachen,RW Essen,30.313,1,0,/spielbericht/index/spielbericht/2471454,2014,Regionalliga West
