date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,FSV Mainz 05 II,Arminia Bielefeld,3.100,1,2,/spielbericht/index/spielbericht/2462896,2014,3. Liga
02.08.2014,14:00,Arminia Bielefeld,Hallescher FC,12.628,1,5,/spielbericht/index/spielbericht/2462906,2014,3. Liga
05.08.2014,19:00,Chemnitzer FC,Arminia Bielefeld,6.834,0,0,/spielbericht/index/spielbericht/2462915,2014,3. Liga
09.08.2014,14:00,Arminia Bielefeld,VfL Osnabrück,16.542,1,2,/spielbericht/index/spielbericht/2462926,2014,3. Liga
23.08.2014,14:00,Arminia Bielefeld,Fortuna Köln,8.544,2,0,/spielbericht/index/spielbericht/2462936,2014,3. Liga
27.08.2014,19:00,MSV Duisburg,Arminia Bielefeld,13.416,1,1,/spielbericht/index/spielbericht/2462948,2014,3. Liga
31.08.2014,14:00,Arminia Bielefeld,Stuttg. Kickers,10.322,4,2,/spielbericht/index/spielbericht/2462956,2014,3. Liga
16.09.2014,19:00,Unterhaching,Arminia Bielefeld,2.400,1,3,/spielbericht/index/spielbericht/2462970,2014,3. Liga
13.09.2014,14:00,Arminia Bielefeld,B. Dortmund II,10.558,3,0,/spielbericht/index/spielbericht/2462976,2014,3. Liga
20.09.2014,14:00,Hansa Rostock,Arminia Bielefeld,6.500,4,2,/spielbericht/index/spielbericht/2462992,2014,3. Liga
24.09.2014,19:00,Arminia Bielefeld,Stuttgart II,8.635,3,0,/spielbericht/index/spielbericht/2462996,2014,3. Liga
28.09.2014,14:00,Energie Cottbus,Arminia Bielefeld,8.051,1,1,/spielbericht/index/spielbericht/2463013,2014,3. Liga
04.10.2014,14:00,Arminia Bielefeld,Dynamo Dresden,14.708,4,1,/spielbericht/index/spielbericht/2463016,2014,3. Liga
19.10.2014,14:00,Pr. Münster,Arminia Bielefeld,14.300,3,1,/spielbericht/index/spielbericht/2463026,2014,3. Liga
24.10.2014,19:00,Arminia Bielefeld,Rot-Weiß Erfurt,11.710,3,0,/spielbericht/index/spielbericht/2463036,2014,3. Liga
01.11.2014,14:00,Holstein Kiel,Arminia Bielefeld,7.644,1,0,/spielbericht/index/spielbericht/2463048,2014,3. Liga
08.11.2014,14:00,Arminia Bielefeld,Wehen Wiesbaden,12.923,1,1,/spielbericht/index/spielbericht/2463056,2014,3. Liga
22.11.2014,14:00,J. Regensburg,Arminia Bielefeld,4.070,0,1,/spielbericht/index/spielbericht/2463070,2014,3. Liga
28.11.2014,19:00,Arminia Bielefeld,Sonnenhof-Gr.,10.723,2,0,/spielbericht/index/spielbericht/2463076,2014,3. Liga
05.12.2014,19:00,Arminia Bielefeld,FSV Mainz 05 II,9.641,2,0,/spielbericht/index/spielbericht/2463092,2014,3. Liga
13.12.2014,14:00,Hallescher FC,Arminia Bielefeld,6.623,0,3,/spielbericht/index/spielbericht/2463096,2014,3. Liga
20.12.2014,14:00,Arminia Bielefeld,Chemnitzer FC,13.411,2,0,/spielbericht/index/spielbericht/2463105,2014,3. Liga
