date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
16.08.2015,12:00,BFC Preussen,Al-Dersimspor,250,6,0,/spielbericht/index/spielbericht/2619127,2015,Berlin-Liga
19.08.2015,19:30,SCC Berlin,BFC Preussen,79,0,3,/spielbericht/index/spielbericht/2657530,2015,Berlin-Liga
23.08.2015,12:00,BFC Preussen,Füchse Berlin,149,2,1,/spielbericht/index/spielbericht/2657536,2015,Berlin-Liga
29.08.2015,14:00,Altglienicke,BFC Preussen,222,1,0,/spielbericht/index/spielbericht/2657544,2015,Berlin-Liga
13.09.2015,12:00,BFC Preussen,SV Empor Berlin,68,0,4,/spielbericht/index/spielbericht/2657553,2015,Berlin-Liga
20.09.2015,13:00,Berliner SC,BFC Preussen,65,2,2,/spielbericht/index/spielbericht/2657564,2015,Berlin-Liga
27.09.2015,12:00,BFC Preussen,SFC Stern,100,0,2,/spielbericht/index/spielbericht/2657571,2015,Berlin-Liga
04.10.2015,15:00,Nordberliner SC,BFC Preussen,134,0,0,/spielbericht/index/spielbericht/2657587,2015,Berlin-Liga
18.10.2015,14:00,VfB Hermsdorf,BFC Preussen,84,0,3,/spielbericht/index/spielbericht/2657591,2015,Berlin-Liga
25.10.2015,12:00,BFC Preussen,SC Staaken,46,2,0,/spielbericht/index/spielbericht/2657599,2015,Berlin-Liga
01.11.2015,12:00,BFC Preussen,FC Wilmersdorf,92,3,3,/spielbericht/index/spielbericht/2657906,2015,Berlin-Liga
08.11.2015,12:00,Köpenicker SC,BFC Preussen,48,0,4,/spielbericht/index/spielbericht/2657923,2015,Berlin-Liga
22.11.2015,12:00,BFC Preussen,Tasmania Berlin,93,1,2,/spielbericht/index/spielbericht/2657940,2015,Berlin-Liga
29.11.2015,15:00,TSV Rudow,BFC Preussen,78,0,2,/spielbericht/index/spielbericht/2657955,2015,Berlin-Liga
06.12.2015,13:30,BFC Dynamo II,BFC Preussen,30,0,5,/spielbericht/index/spielbericht/2659860,2015,Berlin-Liga
10.12.2015,20:00,BFC Preussen,E. Mahlsdorf,72,0,1,/spielbericht/index/spielbericht/2659865,2015,Berlin-Liga
18.12.2015,00:00,Croatia Berlin,BFC Preussen,60,0,2,/spielbericht/index/spielbericht/2659875,2015,Berlin-Liga
14.02.2016,14:00,Füchse Berlin,BFC Preussen,95,1,0,/spielbericht/index/spielbericht/2659885,2015,Berlin-Liga
21.02.2016,12:00,BFC Preussen,Altglienicke,49,0,1,/spielbericht/index/spielbericht/2666711,2015,Berlin-Liga
28.02.2016,14:00,SC Staaken,BFC Preussen,45,2,2,/spielbericht/index/spielbericht/2666720,2015,Berlin-Liga
06.03.2016,12:00,BFC Preussen,Croatia Berlin,39,1,0,/spielbericht/index/spielbericht/2669518,2015,Berlin-Liga
13.03.2016,14:00,E. Mahlsdorf,BFC Preussen,28,1,2,/spielbericht/index/spielbericht/2669532,2015,Berlin-Liga
20.03.2016,12:00,BFC Preussen,BFC Dynamo II,35,2,1,/spielbericht/index/spielbericht/2669535,2015,Berlin-Liga
25.03.2016,12:00,BFC Preussen,SCC Berlin,69,5,2,/spielbericht/index/spielbericht/2669546,2015,Berlin-Liga
15.05.2016,14:15,Al-Dersimspor,BFC Preussen,80,4,1,/spielbericht/index/spielbericht/2669557,2015,Berlin-Liga
03.04.2016,12:00,BFC Preussen,TSV Rudow,96,2,1,/spielbericht/index/spielbericht/2669563,2015,Berlin-Liga
09.04.2016,14:30,SV Empor Berlin,BFC Preussen,56,0,0,/spielbericht/index/spielbericht/2669572,2015,Berlin-Liga
17.04.2016,12:00,BFC Preussen,Berliner SC,33,1,0,/spielbericht/index/spielbericht/2669581,2015,Berlin-Liga
24.04.2016,12:45,SFC Stern,BFC Preussen,74,0,3,/spielbericht/index/spielbericht/2669591,2015,Berlin-Liga
01.05.2016,12:00,BFC Preussen,Nordberliner SC,43,4,0,/spielbericht/index/spielbericht/2669599,2015,Berlin-Liga
08.05.2016,12:00,BFC Preussen,VfB Hermsdorf,43,6,1,/spielbericht/index/spielbericht/2669608,2015,Berlin-Liga
22.05.2016,15:00,FC Wilmersdorf,BFC Preussen,30,1,7,/spielbericht/index/spielbericht/2669623,2015,Berlin-Liga
05.06.2016,12:00,BFC Preussen,Köpenicker SC,35,3,1,/spielbericht/index/spielbericht/2669626,2015,Berlin-Liga
12.06.2016,14:00,Tasmania Berlin,BFC Preussen,65,3,2,/spielbericht/index/spielbericht/2669638,2015,Berlin-Liga
14.08.2016,14:30,Croatia Berlin,BFC Preussen,120,1,0,/spielbericht/index/spielbericht/2722609,2016,Berlin-Liga
31.08.2016,18:15,BFC Preussen,Tasmania Berlin,125,1,0,/spielbericht/index/spielbericht/2738602,2016,Berlin-Liga
24.08.2016,18:30,BFC Preussen,SFC Stern,148,0,0,/spielbericht/index/spielbericht/2738620,2016,Berlin-Liga
28.08.2016,15:00,Al-Dersimspor,BFC Preussen,50,1,4,/spielbericht/index/spielbericht/2738638,2016,Berlin-Liga
04.09.2016,11:00,BFC Preussen,SV Empor Berlin,39,1,1,/spielbericht/index/spielbericht/2738649,2016,Berlin-Liga
18.09.2016,11:00,BFC Preussen,E. Mahlsdorf,55,0,3,/spielbericht/index/spielbericht/2738666,2016,Berlin-Liga
