date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
07.08.2016,15:00,BSC Hastedt,SC Borgfeld,,2,0,/spielbericht/index/spielbericht/2720436,2016,Landesliga Bremen
14.08.2016,15:00,BSC Hastedt,OT Bremen,,5,0,/spielbericht/index/spielbericht/2720442,2016,Landesliga Bremen
21.08.2016,15:00,BSC Hastedt,SC Vahr-Blockd.,,6,0,/spielbericht/index/spielbericht/2720453,2016,Landesliga Bremen
28.08.2016,15:00,KSV Vatan Sport,BSC Hastedt,,1,0,/spielbericht/index/spielbericht/2720471,2016,Landesliga Bremen
04.09.2016,15:00,BSC Hastedt,SV Lemwerder,,8,1,/spielbericht/index/spielbericht/2720478,2016,Landesliga Bremen
11.09.2016,15:00,1.FC Burg,BSC Hastedt,,0,5,/spielbericht/index/spielbericht/2753283,2016,Landesliga Bremen
18.09.2016,15:00,BSC Hastedt,Woltmershausen,,10,1,/spielbericht/index/spielbericht/2753292,2016,Landesliga Bremen
25.09.2016,15:00,Union 60 Bremen,BSC Hastedt,80,1,0,/spielbericht/index/spielbericht/2760789,2016,Landesliga Bremen
09.10.2016,15:00,BSC Hastedt,SFL Bremerhaven,,2,2,/spielbericht/index/spielbericht/2760798,2016,Landesliga Bremen
15.10.2016,14:00,Komet Arsten,BSC Hastedt,,3,4,/spielbericht/index/spielbericht/2767549,2016,Landesliga Bremen
23.10.2016,15:00,BSC Hastedt,SV Hemelingen,,2,1,/spielbericht/index/spielbericht/2767563,2016,Landesliga Bremen
30.10.2016,15:00,Türkspor Bremen,BSC Hastedt,60,1,5,/spielbericht/index/spielbericht/2771617,2016,Landesliga Bremen
06.11.2016,14:30,BSC Hastedt,DJK Blumenthal,,1,0,/spielbericht/index/spielbericht/2771625,2016,Landesliga Bremen
12.11.2016,14:30,Lesum-Burgdamm,BSC Hastedt,,2,1,/spielbericht/index/spielbericht/2771627,2016,Landesliga Bremen
20.11.2016,14:00,BSC Hastedt,TuSpo Surheide,,4,3,/spielbericht/index/spielbericht/2780612,2016,Landesliga Bremen
26.11.2016,14:00,SC Vahr-Blockd.,BSC Hastedt,,1,7,/spielbericht/index/spielbericht/2798294,2016,Landesliga Bremen
04.12.2016,14:00,OT Bremen,BSC Hastedt,,0,2,/spielbericht/index/spielbericht/2802940,2016,Landesliga Bremen
19.02.2017,15:00,BSC Hastedt,KSV Vatan Sport,,2,4,/spielbericht/index/spielbericht/2785621,2016,Landesliga Bremen
17.04.2017,15:00,SV Lemwerder,BSC Hastedt,,2,5,/spielbericht/index/spielbericht/2785633,2016,Landesliga Bremen
05.03.2017,15:00,BSC Hastedt,1.FC Burg,,9,0,/spielbericht/index/spielbericht/2785637,2016,Landesliga Bremen
11.03.2017,14:00,Woltmershausen,BSC Hastedt,,0,2,/spielbericht/index/spielbericht/2838722,2016,Landesliga Bremen
26.03.2017,15:00,BSC Hastedt,Union 60 Bremen,70,0,0,/spielbericht/index/spielbericht/2838736,2016,Landesliga Bremen
02.04.2017,14:30,SFL Bremerhaven,BSC Hastedt,250,3,1,/spielbericht/index/spielbericht/2838738,2016,Landesliga Bremen
09.04.2017,15:00,BSC Hastedt,Komet Arsten,,2,1,/spielbericht/index/spielbericht/2841876,2016,Landesliga Bremen
23.04.2017,11:00,SV Hemelingen,BSC Hastedt,,1,3,/spielbericht/index/spielbericht/2841865,2016,Landesliga Bremen
30.04.2017,15:00,BSC Hastedt,Türkspor Bremen,,3,1,/spielbericht/index/spielbericht/2841859,2016,Landesliga Bremen
06.05.2017,15:00,DJK Blumenthal,BSC Hastedt,,0,4,/spielbericht/index/spielbericht/2851877,2016,Landesliga Bremen
14.05.2017,15:00,BSC Hastedt,Lesum-Burgdamm,,14,0,/spielbericht/index/spielbericht/2851886,2016,Landesliga Bremen
20.05.2017,16:00,TuSpo Surheide,BSC Hastedt,,0,2,/spielbericht/index/spielbericht/2851894,2016,Landesliga Bremen
27.05.2017,15:00,SC Borgfeld,BSC Hastedt,,2,4,/spielbericht/index/spielbericht/2851906,2016,Landesliga Bremen
29.07.2017,15:00,BSC Hastedt,ESC Geestemünde,,7,1,/spielbericht/index/spielbericht/2868952,2017,Bremenliga
02.08.2017,19:00,TSV Grolland,BSC Hastedt,,1,4,/spielbericht/index/spielbericht/2868961,2017,Bremenliga
12.08.2017,15:00,Blumenthaler SV,BSC Hastedt,110,2,2,/spielbericht/index/spielbericht/2868964,2017,Bremenliga
20.08.2017,15:00,BSC Hastedt,Brinkumer SV,,2,1,/spielbericht/index/spielbericht/2868977,2017,Bremenliga
27.08.2017,13:30,BTS Neustadt,BSC Hastedt,,2,3,/spielbericht/index/spielbericht/2892277,2017,Bremenliga
03.09.2017,15:00,BSC Hastedt,OSC Bremerhaven,,8,2,/spielbericht/index/spielbericht/2892278,2017,Bremenliga
10.09.2017,15:00,Habenhauser FV,BSC Hastedt,,0,2,/spielbericht/index/spielbericht/2892279,2017,Bremenliga
17.09.2017,15:00,BSC Hastedt,VfL 07 Bremen,,3,1,/spielbericht/index/spielbericht/2892280,2017,Bremenliga
23.09.2017,13:00,Werder III,BSC Hastedt,,3,3,/spielbericht/index/spielbericht/2892281,2017,Bremenliga
08.10.2017,15:00,BSC Hastedt,KSV Vatan Sport,,4,1,/spielbericht/index/spielbericht/2892282,2017,Bremenliga
13.10.2017,19:00,FC Oberneuland,BSC Hastedt,,1,1,/spielbericht/index/spielbericht/2892283,2017,Bremenliga
22.10.2017,15:00,BSC Hastedt,Schwachhausen,,0,1,/spielbericht/index/spielbericht/2892284,2017,Bremenliga
29.10.2017,15:30,Leher TS,BSC Hastedt,,1,1,/spielbericht/index/spielbericht/2892285,2017,Bremenliga
05.11.2017,14:30,BSC Hastedt,Bremer SV,,3,3,/spielbericht/index/spielbericht/2892286,2017,Bremenliga
11.11.2017,14:00,Aumund-Vegesack,BSC Hastedt,,0,6,/spielbericht/index/spielbericht/2892289,2017,Bremenliga
19.11.2017,11:00,ESC Geestemünde,BSC Hastedt,,3,3,/spielbericht/index/spielbericht/2892290,2017,Bremenliga
26.11.2017,14:00,BSC Hastedt,TSV Grolland,,3,0,/spielbericht/index/spielbericht/2892297,2017,Bremenliga
03.12.2017,14:00,BSC Hastedt,Blumenthaler SV,120,4,1,/spielbericht/index/spielbericht/2892296,2017,Bremenliga
08.12.2017,19:00,Brinkumer SV,BSC Hastedt,,5,3,/spielbericht/index/spielbericht/2892293,2017,Bremenliga
11.04.2018,18:30,BSC Hastedt,BTS Neustadt,,2,2,/spielbericht/index/spielbericht/2892299,2017,Bremenliga
03.03.2018,15:00,OSC Bremerhaven,BSC Hastedt,,0,2,/spielbericht/index/spielbericht/2892291,2017,Bremenliga
11.03.2018,14:00,BSC Hastedt,Habenhauser FV,,5,0,/spielbericht/index/spielbericht/2892287,2017,Bremenliga
17.03.2018,15:30,VfL 07 Bremen,BSC Hastedt,,2,5,/spielbericht/index/spielbericht/2892288,2017,Bremenliga
25.03.2018,15:00,BSC Hastedt,Werder III,,1,4,/spielbericht/index/spielbericht/2892292,2017,Bremenliga
06.04.2018,19:00,KSV Vatan Sport,BSC Hastedt,,4,2,/spielbericht/index/spielbericht/2892295,2017,Bremenliga
15.04.2018,15:00,BSC Hastedt,FC Oberneuland,,0,2,/spielbericht/index/spielbericht/2892294,2017,Bremenliga
22.04.2018,14:30,Schwachhausen,BSC Hastedt,,1,5,/spielbericht/index/spielbericht/2892298,2017,Bremenliga
29.04.2018,15:00,BSC Hastedt,Leher TS,,5,0,/spielbericht/index/spielbericht/2892300,2017,Bremenliga
04.05.2018,18:45,Bremer SV,BSC Hastedt,,1,6,/spielbericht/index/spielbericht/2892301,2017,Bremenliga
12.05.2018,15:00,BSC Hastedt,Aumund-Vegesack,,6,3,/spielbericht/index/spielbericht/2892302,2017,Bremenliga
04.08.2018,15:00,OSC Bremerhaven,BSC Hastedt,,2,2,/spielbericht/index/spielbericht/3095602,2018,Bremenliga
08.08.2018,19:30,ESC Geestemünde,BSC Hastedt,,2,2,/spielbericht/index/spielbericht/3095615,2018,Bremenliga
05.09.2018,19:00,KSV Vatan Sport,BSC Hastedt,,2,2,/spielbericht/index/spielbericht/3095623,2018,Bremenliga
26.08.2018,15:00,BSC Hastedt,Leher TS,,2,2,/spielbericht/index/spielbericht/3095757,2018,Bremenliga
31.08.2018,19:00,Werder III,BSC Hastedt,,3,0,/spielbericht/index/spielbericht/3100007,2018,Bremenliga
09.09.2018,15:00,BSC Hastedt,Blumenthaler SV,70,2,0,/spielbericht/index/spielbericht/3100021,2018,Bremenliga
15.09.2018,13:00,Schwachhausen,BSC Hastedt,,4,1,/spielbericht/index/spielbericht/3104706,2018,Bremenliga
23.09.2018,15:00,BSC Hastedt,SC Borgfeld,,3,1,/spielbericht/index/spielbericht/3104719,2018,Bremenliga
07.10.2018,15:30,SFL Bremerhaven,BSC Hastedt,150,0,0,/spielbericht/index/spielbericht/3108796,2018,Bremenliga
14.10.2018,15:00,BSC Hastedt,Brinkumer SV,,2,0,/spielbericht/index/spielbericht/3108804,2018,Bremenliga
19.10.2018,19:30,Habenhauser FV,BSC Hastedt,,2,3,/spielbericht/index/spielbericht/3117157,2018,Bremenliga
28.10.2018,14:30,BSC Hastedt,FC Oberneuland,,0,3,/spielbericht/index/spielbericht/3118073,2018,Bremenliga
03.11.2018,13:00,Bremer SV,BSC Hastedt,,3,0,/spielbericht/index/spielbericht/3119867,2018,Bremenliga
11.11.2018,14:00,BSC Hastedt,Aumund-Vegesack,70,6,3,/spielbericht/index/spielbericht/3119881,2018,Bremenliga
17.11.2018,14:00,BTS Neustadt,BSC Hastedt,,1,1,/spielbericht/index/spielbericht/3119886,2018,Bremenliga
25.11.2018,15:00,BSC Hastedt,OSC Bremerhaven,,5,1,/spielbericht/index/spielbericht/3119896,2018,Bremenliga
02.12.2018,14:00,BSC Hastedt,ESC Geestemünde,,2,4,/spielbericht/index/spielbericht/3119903,2018,Bremenliga
09.12.2018,14:00,BSC Hastedt,Schwachhausen,,1,6,/spielbericht/index/spielbericht/3119912,2018,Bremenliga
17.02.2019,15:00,BSC Hastedt,KSV Vatan Sport,,1,1,/spielbericht/index/spielbericht/3133284,2018,Bremenliga
24.02.2019,15:00,Leher TS,BSC Hastedt,,1,3,/spielbericht/index/spielbericht/3153747,2018,Bremenliga
03.03.2019,15:00,BSC Hastedt,Werder III,,1,0,/spielbericht/index/spielbericht/3153755,2018,Bremenliga
09.03.2019,14:30,Blumenthaler SV,BSC Hastedt,100,5,2,/spielbericht/index/spielbericht/3153758,2018,Bremenliga
24.03.2019,15:00,SC Borgfeld,BSC Hastedt,,1,1,/spielbericht/index/spielbericht/3153770,2018,Bremenliga
31.03.2019,15:00,BSC Hastedt,SFL Bremerhaven,,0,5,/spielbericht/index/spielbericht/3153778,2018,Bremenliga
05.04.2019,19:00,Brinkumer SV,BSC Hastedt,,0,3,/spielbericht/index/spielbericht/3153782,2018,Bremenliga
