date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,Wolfsburg II,BSV Schwarz-Weiß Rehden,255,3,2,/spielbericht/index/spielbericht/2463630,2014,Regionalliga Nord
03.08.2014,15:00,BSV Schwarz-Weiß Rehden,LSK Hansa,400,1,1,/spielbericht/index/spielbericht/2471372,2014,Regionalliga Nord
10.08.2014,14:00,W. Bremen II,BSV Schwarz-Weiß Rehden,850,2,2,/spielbericht/index/spielbericht/2471375,2014,Regionalliga Nord
10.09.2014,19:30,BSV Schwarz-Weiß Rehden,BV Cloppenburg,500,0,2,/spielbericht/index/spielbericht/2471399,2014,Regionalliga Nord
23.08.2014,14:00,Braunschweig II,BSV Schwarz-Weiß Rehden,318,1,1,/spielbericht/index/spielbericht/2485665,2014,Regionalliga Nord
30.08.2014,16:00,FT Braunschweig,BSV Schwarz-Weiß Rehden,192,0,1,/spielbericht/index/spielbericht/2485676,2014,Regionalliga Nord
06.09.2014,16:00,BSV Schwarz-Weiß Rehden,St. Pauli II,750,1,1,/spielbericht/index/spielbericht/2485685,2014,Regionalliga Nord
13.09.2014,14:00,Hannover 96 II,BSV Schwarz-Weiß Rehden,1.146,3,1,/spielbericht/index/spielbericht/2486136,2014,Regionalliga Nord
21.09.2014,15:00,BSV Schwarz-Weiß Rehden,VfR Neumünster,250,5,1,/spielbericht/index/spielbericht/2486151,2014,Regionalliga Nord
28.09.2014,13:00,Hamburger SV II,BSV Schwarz-Weiß Rehden,370,1,1,/spielbericht/index/spielbericht/2486155,2014,Regionalliga Nord
03.10.2014,17:00,BSV Schwarz-Weiß Rehden,SV Meppen,1.100,1,1,/spielbericht/index/spielbericht/2490254,2014,Regionalliga Nord
10.10.2014,19:30,TSV Havelse,BSV Schwarz-Weiß Rehden,502,3,0,/spielbericht/index/spielbericht/2490265,2014,Regionalliga Nord
19.10.2014,15:00,BSV Schwarz-Weiß Rehden,VfB Lübeck,400,0,2,/spielbericht/index/spielbericht/2490280,2014,Regionalliga Nord
26.10.2014,14:00,Goslarer SC,BSV Schwarz-Weiß Rehden,420,4,1,/spielbericht/index/spielbericht/2490287,2014,Regionalliga Nord
