date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
10.08.2018,20:00,BW Papenburg,Blau-Weiß Lohne,,2,1,/spielbericht/index/spielbericht/3058183,2018,Landesliga Weser-Ems
17.08.2018,20:00,Blau-Weiß Lohne,Holthausen/B.,,3,0,/spielbericht/index/spielbericht/3058195,2018,Landesliga Weser-Ems
25.08.2018,18:00,TV Dinklage,Blau-Weiß Lohne,,0,3,/spielbericht/index/spielbericht/3058214,2018,Landesliga Weser-Ems
02.09.2018,15:00,Blau-Weiß Lohne,FC Schüttorf 09,150,1,1,/spielbericht/index/spielbericht/3058221,2018,Landesliga Weser-Ems
09.09.2018,15:00,Blau-Weiß Lohne,BV Essen,,1,1,/spielbericht/index/spielbericht/3076767,2018,Landesliga Weser-Ems
16.09.2018,15:00,SV Brake,Blau-Weiß Lohne,,4,1,/spielbericht/index/spielbericht/3077032,2018,Landesliga Weser-Ems
31.10.2018,15:00,Blau-Weiß Lohne,SC Melle 03,,3,0,/spielbericht/index/spielbericht/3077041,2018,Landesliga Weser-Ems
30.09.2018,15:00,TSV Wallenhorst,Blau-Weiß Lohne,,1,2,/spielbericht/index/spielbericht/3077045,2018,Landesliga Weser-Ems
05.10.2018,20:00,Blau-Weiß Lohne,Kickers Emden,,2,1,/spielbericht/index/spielbericht/3077058,2018,Landesliga Weser-Ems
14.10.2018,15:00,GW Mühlen,Blau-Weiß Lohne,,1,2,/spielbericht/index/spielbericht/3077067,2018,Landesliga Weser-Ems
19.10.2018,20:00,Blau-Weiß Lohne,GW Firrel,,2,1,/spielbericht/index/spielbericht/3077070,2018,Landesliga Weser-Ems
28.10.2018,14:00,Bad Rothenfelde,Blau-Weiß Lohne,,1,4,/spielbericht/index/spielbericht/3077080,2018,Landesliga Weser-Ems
03.11.2018,18:00,Blau-Weiß Lohne,SV Bevern,,1,1,/spielbericht/index/spielbericht/3077087,2018,Landesliga Weser-Ems
09.11.2018,20:00,Blau-Weiß Lohne,H. Friesoythe,,1,4,/spielbericht/index/spielbericht/3077093,2018,Landesliga Weser-Ems
18.11.2018,14:00,Blau-Weiß Lohne,Vorw. Nordhorn,,3,3,/spielbericht/index/spielbericht/3077103,2018,Landesliga Weser-Ems
23.11.2018,20:00,Blau-Weiß Lohne,BW Papenburg,,3,2,/spielbericht/index/spielbericht/3077110,2018,Landesliga Weser-Ems
30.11.2018,20:00,Holthausen/B.,Blau-Weiß Lohne,,1,0,/spielbericht/index/spielbericht/3077116,2018,Landesliga Weser-Ems
02.03.2019,18:00,Blau-Weiß Lohne,TV Dinklage,,4,2,/spielbericht/index/spielbericht/3077130,2018,Landesliga Weser-Ems
10.03.2019,15:00,FC Schüttorf 09,Blau-Weiß Lohne,,0,3,/spielbericht/index/spielbericht/3077137,2018,Landesliga Weser-Ems
20.04.2019,16:00,BV Essen,Blau-Weiß Lohne,,4,0,/spielbericht/index/spielbericht/3077145,2018,Landesliga Weser-Ems
24.03.2019,15:00,Blau-Weiß Lohne,SV Brake,,3,0,/spielbericht/index/spielbericht/3077151,2018,Landesliga Weser-Ems
31.03.2019,15:00,SC Melle 03,Blau-Weiß Lohne,,1,2,/spielbericht/index/spielbericht/3077161,2018,Landesliga Weser-Ems
05.04.2019,20:00,Blau-Weiß Lohne,TSV Wallenhorst,,2,3,/spielbericht/index/spielbericht/3077165,2018,Landesliga Weser-Ems
12.04.2019,20:00,Kickers Emden,Blau-Weiß Lohne,731,0,1,/spielbericht/index/spielbericht/3077177,2018,Landesliga Weser-Ems
27.04.2019,18:00,Blau-Weiß Lohne,GW Mühlen,,2,1,/spielbericht/index/spielbericht/3077187,2018,Landesliga Weser-Ems
03.05.2019,20:00,GW Firrel,Blau-Weiß Lohne,,2,0,/spielbericht/index/spielbericht/3077193,2018,Landesliga Weser-Ems
12.05.2019,15:00,Blau-Weiß Lohne,Bad Rothenfelde,,1,0,/spielbericht/index/spielbericht/3077201,2018,Landesliga Weser-Ems
18.05.2019,18:00,SV Bevern,Blau-Weiß Lohne,,0,2,/spielbericht/index/spielbericht/3077209,2018,Landesliga Weser-Ems
24.05.2019,19:30,H. Friesoythe,Blau-Weiß Lohne,,0,3,/spielbericht/index/spielbericht/3077215,2018,Landesliga Weser-Ems
01.06.2019,17:00,Vorw. Nordhorn,Blau-Weiß Lohne,,4,1,/spielbericht/index/spielbericht/3077225,2018,Landesliga Weser-Ems
05.09.2020,16:30,Blau-Weiß Lohne,VfL Oldenburg,500,1,1,/spielbericht/index/spielbericht/3417012,2020,Oberliga Niedersachsen
13.09.2020,15:00,TuS Bersenbrück,Blau-Weiß Lohne,,0,1,/spielbericht/index/spielbericht/3417156,2020,Oberliga Niedersachsen
20.09.2020,15:00,Blau-Weiß Lohne,MTVE Celle,,6,3,/spielbericht/index/spielbericht/3417161,2020,Oberliga Niedersachsen
04.10.2020,15:00,Blau-Weiß Lohne,Hagen/Uthlede,,7,0,/spielbericht/index/spielbericht/3417176,2020,Oberliga Niedersachsen
11.10.2020,15:00,Blau-Weiß Lohne,Rotenburger SV,,3,0,/spielbericht/index/spielbericht/3417180,2020,Oberliga Niedersachsen
16.10.2020,20:00,Spelle-Venhaus,Blau-Weiß Lohne,,1,1,/spielbericht/index/spielbericht/3417199,2020,Oberliga Niedersachsen
25.10.2020,15:00,Blau-Weiß Lohne,Kickers Emden,,2,0,/spielbericht/index/spielbericht/3417202,2020,Oberliga Niedersachsen
31.10.2020,13:00,TB Uphusen,Blau-Weiß Lohne,,0,0,/spielbericht/index/spielbericht/3417215,2020,Oberliga Niedersachsen
14.04.2022,20:00,FT Braunschweig,Blau-Weiß Lohne,,0,3,/spielbericht/index/spielbericht/3749372,2021,Oberliga Niedersachsen - Endrunde
