date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,18:30,Borussia Dortmund,B. Leverkusen,80.667,0,2,/spielbericht/index/spielbericht/2460627,2014,Bundesliga
29.08.2014,20:30,FC Augsburg,Borussia Dortmund,30.660,2,3,/spielbericht/index/spielbericht/2460639,2014,Bundesliga
13.09.2014,15:30,Borussia Dortmund,SC Freiburg,80.200,3,1,/spielbericht/index/spielbericht/2460645,2014,Bundesliga
20.09.2014,18:30,1.FSV Mainz 05,Borussia Dortmund,34.000,2,0,/spielbericht/index/spielbericht/2460655,2014,Bundesliga
24.09.2014,20:00,Borussia Dortmund,VfB Stuttgart,79.500,2,2,/spielbericht/index/spielbericht/2460663,2014,Bundesliga
27.09.2014,15:30,FC Schalke 04,Borussia Dortmund,61.973,2,1,/spielbericht/index/spielbericht/2460671,2014,Bundesliga
04.10.2014,15:30,Borussia Dortmund,Hamburger SV,80.667,0,1,/spielbericht/index/spielbericht/2460681,2014,Bundesliga
18.10.2014,15:30,1.FC Köln,Borussia Dortmund,49.959,2,1,/spielbericht/index/spielbericht/2460696,2014,Bundesliga
25.10.2014,15:30,Borussia Dortmund,Hannover 96,80.667,0,1,/spielbericht/index/spielbericht/2460698,2014,Bundesliga
01.11.2014,18:30,Bayern München,Borussia Dortmund,71.137,2,1,/spielbericht/index/spielbericht/2460707,2014,Bundesliga
09.11.2014,17:30,Borussia Dortmund,Bor. M'gladbach,80.667,1,0,/spielbericht/index/spielbericht/2460716,2014,Bundesliga
22.11.2014,15:30,SC Paderborn,Borussia Dortmund,15.000,2,2,/spielbericht/index/spielbericht/2460733,2014,Bundesliga
30.11.2014,17:30,E. Frankfurt,Borussia Dortmund,51.500,2,0,/spielbericht/index/spielbericht/2460741,2014,Bundesliga
05.12.2014,20:30,Borussia Dortmund,TSG Hoffenheim,80.667,1,0,/spielbericht/index/spielbericht/2460744,2014,Bundesliga
13.12.2014,15:30,Hertha BSC,Borussia Dortmund,75.254,1,0,/spielbericht/index/spielbericht/2460758,2014,Bundesliga
17.12.2014,20:00,Borussia Dortmund,VfL Wolfsburg,80.667,2,2,/spielbericht/index/spielbericht/2460762,2014,Bundesliga
20.12.2014,15:30,Werder Bremen,Borussia Dortmund,42.100,2,1,/spielbericht/index/spielbericht/2460776,2014,Bundesliga
31.01.2015,18:30,B. Leverkusen,Borussia Dortmund,30.210,0,0,/spielbericht/index/spielbericht/2460780,2014,Bundesliga
04.02.2015,20:00,Borussia Dortmund,FC Augsburg,80.667,0,1,/spielbericht/index/spielbericht/2460789,2014,Bundesliga
07.02.2015,15:30,SC Freiburg,Borussia Dortmund,24.000,0,3,/spielbericht/index/spielbericht/2460802,2014,Bundesliga
13.02.2015,20:30,Borussia Dortmund,1.FSV Mainz 05,80.200,4,2,/spielbericht/index/spielbericht/2460807,2014,Bundesliga
20.02.2015,20:30,VfB Stuttgart,Borussia Dortmund,60.000,2,3,/spielbericht/index/spielbericht/2460820,2014,Bundesliga
28.02.2015,15:30,Borussia Dortmund,FC Schalke 04,79.500,3,0,/spielbericht/index/spielbericht/2460825,2014,Bundesliga
07.03.2015,15:30,Hamburger SV,Borussia Dortmund,57.000,0,0,/spielbericht/index/spielbericht/2460839,2014,Bundesliga
14.03.2015,18:30,Borussia Dortmund,1.FC Köln,80.667,0,0,/spielbericht/index/spielbericht/2460842,2014,Bundesliga
21.03.2015,15:30,Hannover 96,Borussia Dortmund,49.000,2,3,/spielbericht/index/spielbericht/2460854,2014,Bundesliga
04.04.2015,18:30,Borussia Dortmund,Bayern München,80.667,0,1,/spielbericht/index/spielbericht/2460860,2014,Bundesliga
11.04.2015,15:30,Bor. M'gladbach,Borussia Dortmund,54.010,3,1,/spielbericht/index/spielbericht/2460871,2014,Bundesliga
18.04.2015,15:30,Borussia Dortmund,SC Paderborn,80.667,3,0,/spielbericht/index/spielbericht/2460878,2014,Bundesliga
25.04.2015,15:30,Borussia Dortmund,E. Frankfurt,80.667,2,0,/spielbericht/index/spielbericht/2460888,2014,Bundesliga
02.05.2015,15:30,TSG Hoffenheim,Borussia Dortmund,30.150,1,1,/spielbericht/index/spielbericht/2460901,2014,Bundesliga
09.05.2015,15:30,Borussia Dortmund,Hertha BSC,80.667,2,0,/spielbericht/index/spielbericht/2460906,2014,Bundesliga
16.05.2015,15:30,VfL Wolfsburg,Borussia Dortmund,30.000,2,1,/spielbericht/index/spielbericht/2460916,2014,Bundesliga
23.05.2015,15:30,Borussia Dortmund,Werder Bremen,80.667,3,2,/spielbericht/index/spielbericht/2460924,2014,Bundesliga
16.09.2014,20:45,Borussia Dortmund,FC Arsenal,65.851,2,0,/spielbericht/index/spielbericht/2490849,2014,UEFA Champions League
01.10.2014,20:45,RSC Anderlecht,Borussia Dortmund,18.649,0,3,/spielbericht/index/spielbericht/2495308,2014,UEFA Champions League
22.10.2014,20:45,Galatasaray,Borussia Dortmund,52.650,0,4,/spielbericht/index/spielbericht/2495325,2014,UEFA Champions League
04.11.2014,20:45,Borussia Dortmund,Galatasaray,65.851,4,1,/spielbericht/index/spielbericht/2495332,2014,UEFA Champions League
