date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
24.08.2014,17:30,Borussia Mönchengladbach,VfB Stuttgart,50.203,1,1,/spielbericht/index/spielbericht/2460628,2014,Bundesliga
31.08.2014,17:30,SC Freiburg,Borussia Mönchengladbach,24.000,0,0,/spielbericht/index/spielbericht/2460641,2014,Bundesliga
13.09.2014,18:30,Borussia Mönchengladbach,FC Schalke 04,54.010,4,1,/spielbericht/index/spielbericht/2460647,2014,Bundesliga
21.09.2014,17:30,1.FC Köln,Borussia Mönchengladbach,50.000,0,0,/spielbericht/index/spielbericht/2460660,2014,Bundesliga
24.09.2014,20:00,Borussia Mönchengladbach,Hamburger SV,44.175,1,0,/spielbericht/index/spielbericht/2460665,2014,Bundesliga
27.09.2014,15:30,SC Paderborn,Borussia Mönchengladbach,15.000,1,2,/spielbericht/index/spielbericht/2460679,2014,Bundesliga
05.10.2014,17:30,Borussia Mönchengladbach,1.FSV Mainz 05,50.383,1,1,/spielbericht/index/spielbericht/2460684,2014,Bundesliga
18.10.2014,15:30,Hannover 96,Borussia Mönchengladbach,49.000,0,3,/spielbericht/index/spielbericht/2460692,2014,Bundesliga
26.10.2014,17:30,Borussia Mönchengladbach,Bayern München,54.010,0,0,/spielbericht/index/spielbericht/2460701,2014,Bundesliga
02.11.2014,15:30,Borussia Mönchengladbach,TSG Hoffenheim,52.409,3,1,/spielbericht/index/spielbericht/2460709,2014,Bundesliga
09.11.2014,17:30,Bor. Dortmund,Borussia Mönchengladbach,80.667,1,0,/spielbericht/index/spielbericht/2460716,2014,Bundesliga
22.11.2014,15:30,Borussia Mönchengladbach,E. Frankfurt,54.010,1,3,/spielbericht/index/spielbericht/2460727,2014,Bundesliga
30.11.2014,15:30,VfL Wolfsburg,Borussia Mönchengladbach,30.000,1,0,/spielbericht/index/spielbericht/2460736,2014,Bundesliga
06.12.2014,15:30,Borussia Mönchengladbach,Hertha BSC,50.190,3,2,/spielbericht/index/spielbericht/2460745,2014,Bundesliga
14.12.2014,15:30,B. Leverkusen,Borussia Mönchengladbach,30.210,1,1,/spielbericht/index/spielbericht/2460753,2014,Bundesliga
17.12.2014,20:00,Borussia Mönchengladbach,Werder Bremen,44.513,4,1,/spielbericht/index/spielbericht/2460763,2014,Bundesliga
20.12.2014,15:30,FC Augsburg,Borussia Mönchengladbach,30.660,2,1,/spielbericht/index/spielbericht/2460774,2014,Bundesliga
31.01.2015,15:30,VfB Stuttgart,Borussia Mönchengladbach,46.200,0,1,/spielbericht/index/spielbericht/2460786,2014,Bundesliga
03.02.2015,20:00,Borussia Mönchengladbach,SC Freiburg,37.091,1,0,/spielbericht/index/spielbericht/2460790,2014,Bundesliga
06.02.2015,20:40,FC Schalke 04,Borussia Mönchengladbach,61.973,1,0,/spielbericht/index/spielbericht/2460797,2014,Bundesliga
14.02.2015,15:30,Borussia Mönchengladbach,1.FC Köln,54.010,1,0,/spielbericht/index/spielbericht/2460809,2014,Bundesliga
22.02.2015,15:30,Hamburger SV,Borussia Mönchengladbach,52.105,1,1,/spielbericht/index/spielbericht/2460821,2014,Bundesliga
01.03.2015,15:30,Borussia Mönchengladbach,SC Paderborn,53.152,2,0,/spielbericht/index/spielbericht/2460827,2014,Bundesliga
07.03.2015,18:30,1.FSV Mainz 05,Borussia Mönchengladbach,34.000,2,2,/spielbericht/index/spielbericht/2460834,2014,Bundesliga
15.03.2015,17:30,Borussia Mönchengladbach,Hannover 96,49.134,2,0,/spielbericht/index/spielbericht/2460845,2014,Bundesliga
22.03.2015,17:30,Bayern München,Borussia Mönchengladbach,75.024,0,2,/spielbericht/index/spielbericht/2460851,2014,Bundesliga
04.04.2015,15:30,TSG Hoffenheim,Borussia Mönchengladbach,30.150,1,4,/spielbericht/index/spielbericht/2460864,2014,Bundesliga
11.04.2015,15:30,Borussia Mönchengladbach,Bor. Dortmund,54.010,3,1,/spielbericht/index/spielbericht/2460871,2014,Bundesliga
17.04.2015,20:30,E. Frankfurt,Borussia Mönchengladbach,51.500,0,0,/spielbericht/index/spielbericht/2460885,2014,Bundesliga
26.04.2015,17:30,Borussia Mönchengladbach,VfL Wolfsburg,52.147,1,0,/spielbericht/index/spielbericht/2460889,2014,Bundesliga
03.05.2015,17:30,Hertha BSC,Borussia Mönchengladbach,56.881,1,2,/spielbericht/index/spielbericht/2460902,2014,Bundesliga
09.05.2015,15:30,Borussia Mönchengladbach,B. Leverkusen,53.761,3,0,/spielbericht/index/spielbericht/2460907,2014,Bundesliga
16.05.2015,15:35,Werder Bremen,Borussia Mönchengladbach,42.100,0,2,/spielbericht/index/spielbericht/2460920,2014,Bundesliga
23.05.2015,15:30,Borussia Mönchengladbach,FC Augsburg,54.010,1,3,/spielbericht/index/spielbericht/2460925,2014,Bundesliga
18.09.2014,19:00,Borussia Mönchengladbach,FC Villarreal,39.128,1,1,/spielbericht/index/spielbericht/2492348,2014,UEFA Europa League
02.10.2014,21:05,FC Zürich,Borussia Mönchengladbach,18.422,1,1,/spielbericht/index/spielbericht/2492350,2014,UEFA Europa League
23.10.2014,21:05,Borussia Mönchengladbach,Apol. Limassol,38.182,5,0,/spielbericht/index/spielbericht/2492353,2014,UEFA Europa League
06.11.2014,19:00,Apol. Limassol,Borussia Mönchengladbach,5.258,0,2,/spielbericht/index/spielbericht/2492355,2014,UEFA Europa League
27.11.2014,21:05,FC Villarreal,Borussia Mönchengladbach,16.000,2,2,/spielbericht/index/spielbericht/2492356,2014,UEFA Europa League
11.12.2014,19:00,Borussia Mönchengladbach,FC Zürich,44.323,3,0,/spielbericht/index/spielbericht/2492359,2014,UEFA Europa League
19.02.2015,21:05,FC Sevilla,Borussia Mönchengladbach,26.850,1,0,/spielbericht/index/spielbericht/2517530,2014,UEFA Europa League
26.02.2015,19:00,Borussia Mönchengladbach,FC Sevilla,45.337,2,3,/spielbericht/index/spielbericht/2531136,2014,UEFA Europa League
16.08.2014,15:30,FC 08 Homburg,Borussia Mönchengladbach,17.000,1,3,/spielbericht/index/spielbericht/2458308,2014,DFB-Pokal
29.10.2014,20:30,E. Frankfurt,Borussia Mönchengladbach,46.500,1,2,/spielbericht/index/spielbericht/2488540,2014,DFB-Pokal
04.03.2015,20:30,K. Offenbach,Borussia Mönchengladbach,20.500,0,2,/spielbericht/index/spielbericht/2507894,2014,DFB-Pokal
08.04.2015,19:00,Arm. Bielefeld,Borussia Mönchengladbach,26.137,6,5,/spielbericht/index/spielbericht/2544477,2014,DFB-Pokal
21.08.2014,20:45,FK Sarajevo,Borussia Mönchengladbach,28.000,2,3,/spielbericht/index/spielbericht/2483416,2014,UEFA Europa League Qualifikation
28.08.2014,20:45,Borussia Mönchengladbach,FK Sarajevo,44.152,7,0,/spielbericht/index/spielbericht/2483446,2014,UEFA Europa League Qualifikation
15.08.2015,18:30,Bor. Dortmund,Borussia Mönchengladbach,81.359,4,0,/spielbericht/index/spielbericht/2581148,2015,Bundesliga
23.08.2015,17:30,Borussia Mönchengladbach,1.FSV Mainz 05,50.172,1,2,/spielbericht/index/spielbericht/2581175,2015,Bundesliga
30.08.2015,17:30,Werder Bremen,Borussia Mönchengladbach,42.100,2,1,/spielbericht/index/spielbericht/2581187,2015,Bundesliga
11.09.2015,20:30,Borussia Mönchengladbach,Hamburger SV,54.010,0,3,/spielbericht/index/spielbericht/2581195,2015,Bundesliga
19.09.2015,15:30,1.FC Köln,Borussia Mönchengladbach,47.800,1,0,/spielbericht/index/spielbericht/2581639,2015,Bundesliga
23.09.2015,20:00,Borussia Mönchengladbach,FC Augsburg,40.511,4,2,/spielbericht/index/spielbericht/2581645,2015,Bundesliga
26.09.2015,15:30,VfB Stuttgart,Borussia Mönchengladbach,51.020,1,3,/spielbericht/index/spielbericht/2581654,2015,Bundesliga
03.10.2015,15:30,Borussia Mönchengladbach,VfL Wolfsburg,52.581,2,0,/spielbericht/index/spielbericht/2581669,2015,Bundesliga
17.10.2015,18:30,E. Frankfurt,Borussia Mönchengladbach,51.000,1,5,/spielbericht/index/spielbericht/2581681,2015,Bundesliga
25.10.2015,17:30,Borussia Mönchengladbach,FC Schalke 04,54.010,3,1,/spielbericht/index/spielbericht/2581693,2015,Bundesliga
31.10.2015,15:30,Hertha BSC,Borussia Mönchengladbach,58.566,1,4,/spielbericht/index/spielbericht/2581707,2015,Bundesliga
07.11.2015,15:30,Borussia Mönchengladbach,FC Ingolstadt,52.331,0,0,/spielbericht/index/spielbericht/2581717,2015,Bundesliga
21.11.2015,15:30,Borussia Mönchengladbach,Hannover 96,42.214,2,1,/spielbericht/index/spielbericht/2581724,2015,Bundesliga
28.11.2015,15:30,TSG Hoffenheim,Borussia Mönchengladbach,30.150,3,3,/spielbericht/index/spielbericht/2581744,2015,Bundesliga
05.12.2015,15:30,Borussia Mönchengladbach,Bayern München,54.010,3,1,/spielbericht/index/spielbericht/2581754,2015,Bundesliga
12.12.2015,18:30,B. Leverkusen,Borussia Mönchengladbach,30.210,5,0,/spielbericht/index/spielbericht/2581764,2015,Bundesliga
