date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,18:30,Bremer SV,Brinkumer SV,,4,0,/spielbericht/index/spielbericht/2479898,2014,Bremenliga
10.08.2014,15:00,Habenhauser FV,Bremer SV,,1,2,/spielbericht/index/spielbericht/2479911,2014,Bremenliga
27.08.2014,18:15,Bremer SV,KSV Vatan Sport,,5,2,/spielbericht/index/spielbericht/2484031,2014,Bremenliga
23.08.2014,15:00,Aumund-Vegesack,Bremer SV,,0,0,/spielbericht/index/spielbericht/2484291,2014,Bremenliga
31.08.2014,14:00,Bremer SV,Sp. Bremerhaven,250,2,2,/spielbericht/index/spielbericht/2484342,2014,Bremenliga
07.09.2014,15:00,Leher TS,Bremer SV,,1,7,/spielbericht/index/spielbericht/2487155,2014,Bremenliga
14.09.2014,15:00,Bremer SV,TSV Grolland,,4,0,/spielbericht/index/spielbericht/2487166,2014,Bremenliga
21.09.2014,15:00,SV Grohn,Bremer SV,,0,3,/spielbericht/index/spielbericht/2487176,2014,Bremenliga
27.09.2014,15:00,Bremer SV,Schwachhausen,,2,0,/spielbericht/index/spielbericht/2487179,2014,Bremenliga
03.10.2014,13:00,Werder III,Bremer SV,,1,4,/spielbericht/index/spielbericht/2487185,2014,Bremenliga
12.10.2014,14:00,Bremer SV,Blumenthaler SV,,2,1,/spielbericht/index/spielbericht/2495955,2014,Bremenliga
18.10.2014,15:00,Bremer SV,OSC Bremerhaven,,4,0,/spielbericht/index/spielbericht/2495961,2014,Bremenliga
26.10.2014,14:00,VfL 07 Bremen,Bremer SV,,1,2,/spielbericht/index/spielbericht/2495972,2014,Bremenliga
01.11.2014,14:30,Bremer SV,Türkspor Bremen,,12,0,/spielbericht/index/spielbericht/2495978,2014,Bremenliga
09.11.2014,14:30,Union 60 Bremen,Bremer SV,,1,15,/spielbericht/index/spielbericht/2495991,2014,Bremenliga
16.11.2014,14:00,Bremer SV,Aumund-Vegesack,,2,1,/spielbericht/index/spielbericht/2495997,2014,Bremenliga
22.11.2014,14:30,Sp. Bremerhaven,Bremer SV,,0,3,/spielbericht/index/spielbericht/2496001,2014,Bremenliga
30.11.2014,14:00,Bremer SV,Leher TS,,2,0,/spielbericht/index/spielbericht/2496011,2014,Bremenliga
06.12.2014,14:00,TSV Grolland,Bremer SV,,0,5,/spielbericht/index/spielbericht/2496018,2014,Bremenliga
21.02.2015,15:00,Bremer SV,SV Grohn,,3,0,/spielbericht/index/spielbericht/2496026,2014,Bremenliga
08.03.2015,15:00,Schwachhausen,Bremer SV,,0,4,/spielbericht/index/spielbericht/2514399,2014,Bremenliga
15.03.2015,14:00,Bremer SV,Werder III,300,3,1,/spielbericht/index/spielbericht/2514401,2014,Bremenliga
21.03.2015,15:00,Blumenthaler SV,Bremer SV,150,1,1,/spielbericht/index/spielbericht/2514409,2014,Bremenliga
28.03.2015,15:00,OSC Bremerhaven,Bremer SV,,0,3,/spielbericht/index/spielbericht/2514418,2014,Bremenliga
12.04.2015,14:00,Bremer SV,VfL 07 Bremen,,3,3,/spielbericht/index/spielbericht/2514425,2014,Bremenliga
19.04.2015,15:30,Türkspor Bremen,Bremer SV,,0,7,/spielbericht/index/spielbericht/2514439,2014,Bremenliga
25.04.2015,15:00,Bremer SV,Union 60 Bremen,,3,1,/spielbericht/index/spielbericht/2514443,2014,Bremenliga
03.05.2015,14:00,Brinkumer SV,Bremer SV,,3,3,/spielbericht/index/spielbericht/2514451,2014,Bremenliga
08.05.2015,19:00,Bremer SV,Habenhauser FV,,4,2,/spielbericht/index/spielbericht/2514457,2014,Bremenliga
16.05.2015,15:00,KSV Vatan Sport,Bremer SV,,1,4,/spielbericht/index/spielbericht/2514467,2014,Bremenliga
31.05.2015,14:00,Bremer SV,VfV Hildesheim,912,2,1,/spielbericht/index/spielbericht/2569907,2014,Aufstiegsrunde zur Regionalliga Nord
03.06.2015,19:30,TSV Schilksee,Bremer SV,832,2,1,/spielbericht/index/spielbericht/2569909,2014,Aufstiegsrunde zur Regionalliga Nord
16.08.2014,15:30,Bremer SV,E. Braunschweig,2.901,0,1,/spielbericht/index/spielbericht/2458314,2014,DFB-Pokal
20.04.2016,18:30,Bremer SV,Brinkumer SV,,4,1,/spielbericht/index/spielbericht/2618833,2015,Bremenliga
29.08.2015,15:00,Union 60 Bremen,Bremer SV,,0,2,/spielbericht/index/spielbericht/2618841,2015,Bremenliga
05.09.2015,15:00,Bremer SV,TSV Grolland,,8,0,/spielbericht/index/spielbericht/2618851,2015,Bremenliga
13.09.2015,15:00,OSC Bremerhaven,Bremer SV,,0,8,/spielbericht/index/spielbericht/2621230,2015,Bremenliga
20.09.2015,14:00,Bremer SV,Schwachhausen,,6,1,/spielbericht/index/spielbericht/2621238,2015,Bremenliga
27.09.2015,14:00,Werder III,Bremer SV,,0,1,/spielbericht/index/spielbericht/2621247,2015,Bremenliga
11.10.2015,15:00,Leher TS,Bremer SV,,0,6,/spielbericht/index/spielbericht/2629626,2015,Bremenliga
18.10.2015,14:00,Bremer SV,SV Grohn,150,3,3,/spielbericht/index/spielbericht/2629634,2015,Bremenliga
25.10.2015,15:00,Habenhauser FV,Bremer SV,,0,5,/spielbericht/index/spielbericht/2629654,2015,Bremenliga
30.10.2015,20:00,Bremer SV,KSV Vatan Sport,,6,0,/spielbericht/index/spielbericht/2629659,2015,Bremenliga
07.11.2015,14:30,Aumund-Vegesack,Bremer SV,,0,3,/spielbericht/index/spielbericht/2629665,2015,Bremenliga
14.11.2015,14:00,Bremer SV,BTS Neustadt,,6,1,/spielbericht/index/spielbericht/2629672,2015,Bremenliga
18.05.2016,19:00,ESC Geestemünde,Bremer SV,,0,3,/spielbericht/index/spielbericht/2629683,2015,Bremenliga
29.11.2015,14:00,Bremer SV,VfL 07 Bremen,,3,0,/spielbericht/index/spielbericht/2629694,2015,Bremenliga
28.04.2016,18:30,Blumenthaler SV,Bremer SV,500,2,2,/spielbericht/index/spielbericht/2629696,2015,Bremenliga
12.12.2015,13:00,TSV Grolland,Bremer SV,,0,1,/spielbericht/index/spielbericht/2629710,2015,Bremenliga
14.02.2016,14:00,Bremer SV,OSC Bremerhaven,,6,0,/spielbericht/index/spielbericht/2629712,2015,Bremenliga
21.02.2016,15:00,Schwachhausen,Bremer SV,,1,0,/spielbericht/index/spielbericht/2665177,2015,Bremenliga
06.03.2016,14:00,Bremer SV,Werder III,,3,0,/spielbericht/index/spielbericht/2666022,2015,Bremenliga
12.03.2016,14:00,Bremer SV,Leher TS,,5,1,/spielbericht/index/spielbericht/2666028,2015,Bremenliga
20.03.2016,15:00,SV Grohn,Bremer SV,,2,4,/spielbericht/index/spielbericht/2666041,2015,Bremenliga
02.04.2016,14:00,Bremer SV,Habenhauser FV,,5,0,/spielbericht/index/spielbericht/2666044,2015,Bremenliga
10.04.2016,15:00,KSV Vatan Sport,Bremer SV,,0,1,/spielbericht/index/spielbericht/2666059,2015,Bremenliga
17.04.2016,14:00,Bremer SV,Aumund-Vegesack,,2,0,/spielbericht/index/spielbericht/2666062,2015,Bremenliga
24.04.2016,14:00,BTS Neustadt,Bremer SV,,0,2,/spielbericht/index/spielbericht/2666074,2015,Bremenliga
01.05.2016,14:00,Bremer SV,ESC Geestemünde,150,6,2,/spielbericht/index/spielbericht/2666077,2015,Bremenliga
07.05.2016,15:30,VfL 07 Bremen,Bremer SV,,0,5,/spielbericht/index/spielbericht/2666085,2015,Bremenliga
10.05.2016,19:00,Bremer SV,Blumenthaler SV,300,1,3,/spielbericht/index/spielbericht/2666095,2015,Bremenliga
13.05.2016,19:00,Brinkumer SV,Bremer SV,,0,3,/spielbericht/index/spielbericht/2666100,2015,Bremenliga
22.05.2016,15:00,Bremer SV,Union 60 Bremen,150,10,0,/spielbericht/index/spielbericht/2666110,2015,Bremenliga
01.06.2016,19:30,Bremer SV,G. Egestorf/L.,1.118,1,1,/spielbericht/index/spielbericht/2691962,2015,Aufstiegsrunde zur Regionalliga Nord
04.06.2016,15:00,Bremer SV,Altona 93,603,0,2,/spielbericht/index/spielbericht/2691965,2015,Aufstiegsrunde zur Regionalliga Nord
07.06.2016,19:30,SV Eichede,Bremer SV,1.756,2,1,/spielbericht/index/spielbericht/2691966,2015,Aufstiegsrunde zur Regionalliga Nord
08.08.2015,15:30,Bremer SV,E. Frankfurt,3.400,0,3,/spielbericht/index/spielbericht/2576687,2015,DFB-Pokal
07.08.2016,15:00,Habenhauser FV,Bremer SV,,0,4,/spielbericht/index/spielbericht/2720688,2016,Bremenliga
12.08.2016,19:00,Bremer SV,Leher TS,,6,1,/spielbericht/index/spielbericht/2721665,2016,Bremenliga
17.08.2016,18:45,SV Grohn,Bremer SV,,0,5,/spielbericht/index/spielbericht/2721672,2016,Bremenliga
26.08.2016,18:30,Bremer SV,TSV Grolland,,2,1,/spielbericht/index/spielbericht/2721687,2016,Bremenliga
03.09.2016,15:00,OSC Bremerhaven,Bremer SV,,1,6,/spielbericht/index/spielbericht/2721697,2016,Bremenliga
09.09.2016,18:00,Bremer SV,Melchiorshausen,,4,1,/spielbericht/index/spielbericht/2745571,2016,Bremenliga
16.09.2016,18:00,Bremer SV,Brinkumer SV,,2,0,/spielbericht/index/spielbericht/2729954,2016,Bremenliga
17.12.2016,13:00,Blumenthaler SV,Bremer SV,400,0,4,/spielbericht/index/spielbericht/2729958,2016,Bremenliga
08.10.2016,13:00,Bremer SV,VfL 07 Bremen,,4,1,/spielbericht/index/spielbericht/2729957,2016,Bremenliga
14.10.2016,19:30,FC Oberneuland,Bremer SV,,0,3,/spielbericht/index/spielbericht/2729971,2016,Bremenliga
22.10.2016,13:00,Bremer SV,Aumund-Vegesack,,6,0,/spielbericht/index/spielbericht/2729972,2016,Bremenliga
30.10.2016,15:15,Schwachhausen,Bremer SV,,2,6,/spielbericht/index/spielbericht/2729981,2016,Bremenliga
05.11.2016,13:00,Bremer SV,ESC Geestemünde,,10,1,/spielbericht/index/spielbericht/2760820,2016,Bremenliga
12.11.2016,13:00,Werder III,Bremer SV,,0,2,/spielbericht/index/spielbericht/2729986,2016,Bremenliga
19.11.2016,13:00,Bremer SV,BTS Neustadt,,5,0,/spielbericht/index/spielbericht/2760828,2016,Bremenliga
26.11.2016,13:00,Bremer SV,Habenhauser FV,,0,0,/spielbericht/index/spielbericht/2729976,2016,Bremenliga
04.12.2016,15:30,Leher TS,Bremer SV,,0,9,/spielbericht/index/spielbericht/2760839,2016,Bremenliga
10.12.2016,13:00,Bremer SV,SV Grohn,,12,0,/spielbericht/index/spielbericht/2730038,2016,Bremenliga
17.04.2017,15:00,TSV Grolland,Bremer SV,,2,6,/spielbericht/index/spielbericht/2806768,2016,Bremenliga
24.02.2017,19:00,Bremer SV,OSC Bremerhaven,,1,0,/spielbericht/index/spielbericht/2730036,2016,Bremenliga
05.03.2017,15:00,Melchiorshausen,Bremer SV,,0,5,/spielbericht/index/spielbericht/2833933,2016,Bremenliga
10.03.2017,19:00,Brinkumer SV,Bremer SV,,0,2,/spielbericht/index/spielbericht/2729999,2016,Bremenliga
25.03.2017,13:00,Bremer SV,Blumenthaler SV,400,3,1,/spielbericht/index/spielbericht/2730010,2016,Bremenliga
01.04.2017,15:30,VfL 07 Bremen,Bremer SV,,0,4,/spielbericht/index/spielbericht/2730005,2016,Bremenliga
07.04.2017,18:15,Bremer SV,FC Oberneuland,,4,1,/spielbericht/index/spielbericht/2730009,2016,Bremenliga
22.04.2017,15:00,Aumund-Vegesack,Bremer SV,,0,6,/spielbericht/index/spielbericht/2730015,2016,Bremenliga
28.04.2017,18:45,Bremer SV,Schwachhausen,,2,1,/spielbericht/index/spielbericht/2730019,2016,Bremenliga
07.05.2017,11:00,ESC Geestemünde,Bremer SV,,0,6,/spielbericht/index/spielbericht/2840754,2016,Bremenliga
12.05.2017,19:00,Bremer SV,Werder III,400,3,2,/spielbericht/index/spielbericht/2730025,2016,Bremenliga
21.05.2017,15:00,BTS Neustadt,Bremer SV,,0,8,/spielbericht/index/spielbericht/2840763,2016,Bremenliga
28.05.2017,15:00,Bremer SV,Altona 93,1.784,0,1,/spielbericht/index/spielbericht/2859254,2016,Aufstiegsrunde zur Regionalliga Nord
31.05.2017,19:30,Eutin 08,Bremer SV,421,2,0,/spielbericht/index/spielbericht/2859169,2016,Aufstiegsrunde zur Regionalliga Nord
03.06.2017,18:00,Eintr. Northeim,Bremer SV,400,0,3,/spielbericht/index/spielbericht/2859256,2016,Aufstiegsrunde zur Regionalliga Nord
21.08.2016,15:30,Bremer SV,Darmstadt 98,1.993,0,7,/spielbericht/index/spielbericht/2699122,2016,DFB-Pokal
09.08.2017,19:00,OSC Bremerhaven,Bremer SV,,0,6,/spielbericht/index/spielbericht/2868949,2017,Bremenliga
01.08.2017,19:00,Bremer SV,BTS Neustadt,,5,0,/spielbericht/index/spielbericht/2868960,2017,Bremenliga
12.08.2017,15:00,Habenhauser FV,Bremer SV,,0,5,/spielbericht/index/spielbericht/2868967,2017,Bremenliga
18.08.2017,18:30,Bremer SV,VfL 07 Bremen,,6,1,/spielbericht/index/spielbericht/2868971,2017,Bremenliga
25.08.2017,18:30,Werder III,Bremer SV,,0,1,/spielbericht/index/spielbericht/2890543,2017,Bremenliga
01.09.2017,18:30,Bremer SV,KSV Vatan Sport,,4,1,/spielbericht/index/spielbericht/2890540,2017,Bremenliga
08.09.2017,19:00,FC Oberneuland,Bremer SV,400,1,2,/spielbericht/index/spielbericht/2890553,2017,Bremenliga
15.09.2017,18:00,Bremer SV,Schwachhausen,,6,1,/spielbericht/index/spielbericht/2890556,2017,Bremenliga
24.09.2017,15:00,Leher TS,Bremer SV,,0,5,/spielbericht/index/spielbericht/2890572,2017,Bremenliga
07.10.2017,13:00,Bremer SV,Blumenthaler SV,220,4,0,/spielbericht/index/spielbericht/2890581,2017,Bremenliga
14.10.2017,13:00,Bremer SV,Aumund-Vegesack,,5,3,/spielbericht/index/spielbericht/2890576,2017,Bremenliga
21.10.2017,15:00,TSV Grolland,Bremer SV,,1,0,/spielbericht/index/spielbericht/2890596,2017,Bremenliga
28.10.2017,13:00,Bremer SV,ESC Geestemünde,,10,1,/spielbericht/index/spielbericht/2890592,2017,Bremenliga
05.11.2017,14:30,BSC Hastedt,Bremer SV,,3,3,/spielbericht/index/spielbericht/2892286,2017,Bremenliga
11.11.2017,13:00,Bremer SV,Brinkumer SV,,1,1,/spielbericht/index/spielbericht/2890622,2017,Bremenliga
18.11.2017,13:00,Bremer SV,OSC Bremerhaven,38,9,0,/spielbericht/index/spielbericht/2890630,2017,Bremenliga
26.11.2017,13:30,BTS Neustadt,Bremer SV,,2,2,/spielbericht/index/spielbericht/2890627,2017,Bremenliga
