date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,Hallescher FC,Chemnitzer FC,8.794,0,3,/spielbericht/index/spielbericht/2462899,2014,3. Liga
02.08.2014,14:00,Chemnitzer FC,VfL Osnabrück,6.071,2,0,/spielbericht/index/spielbericht/2462905,2014,3. Liga
05.08.2014,19:00,Chemnitzer FC,Arm. Bielefeld,6.834,0,0,/spielbericht/index/spielbericht/2462915,2014,3. Liga
10.08.2014,14:00,Fortuna Köln,Chemnitzer FC,2.336,1,2,/spielbericht/index/spielbericht/2462927,2014,3. Liga
24.08.2014,14:00,Chemnitzer FC,MSV Duisburg,6.124,0,0,/spielbericht/index/spielbericht/2462935,2014,3. Liga
27.08.2014,19:00,Stuttg. Kickers,Chemnitzer FC,3.420,2,0,/spielbericht/index/spielbericht/2462949,2014,3. Liga
30.08.2014,14:00,Chemnitzer FC,Unterhaching,4.137,2,0,/spielbericht/index/spielbericht/2462955,2014,3. Liga
17.09.2014,19:00,B. Dortmund II,Chemnitzer FC,1.750,1,3,/spielbericht/index/spielbericht/2462971,2014,3. Liga
14.09.2014,14:00,Chemnitzer FC,Hansa Rostock,7.240,2,0,/spielbericht/index/spielbericht/2462975,2014,3. Liga
20.09.2014,14:00,Stuttgart II,Chemnitzer FC,720,0,0,/spielbericht/index/spielbericht/2462984,2014,3. Liga
23.09.2014,19:00,Chemnitzer FC,Energie Cottbus,6.285,0,1,/spielbericht/index/spielbericht/2462995,2014,3. Liga
27.09.2014,14:00,Dynamo Dresden,Chemnitzer FC,29.652,1,0,/spielbericht/index/spielbericht/2463005,2014,3. Liga
04.10.2014,14:00,Chemnitzer FC,Pr. Münster,5.813,1,0,/spielbericht/index/spielbericht/2463015,2014,3. Liga
18.10.2014,14:00,Rot-Weiß Erfurt,Chemnitzer FC,7.493,2,0,/spielbericht/index/spielbericht/2463027,2014,3. Liga
25.10.2014,14:00,Chemnitzer FC,Holstein Kiel,5.830,0,0,/spielbericht/index/spielbericht/2463035,2014,3. Liga
01.11.2014,14:00,Wehen Wiesbaden,Chemnitzer FC,3.210,2,0,/spielbericht/index/spielbericht/2463049,2014,3. Liga
08.11.2014,14:00,Chemnitzer FC,J. Regensburg,5.070,4,1,/spielbericht/index/spielbericht/2463055,2014,3. Liga
22.11.2014,14:00,Sonnenhof-Gr.,Chemnitzer FC,2.005,1,0,/spielbericht/index/spielbericht/2463071,2014,3. Liga
29.11.2014,14:00,Chemnitzer FC,FSV Mainz 05 II,4.060,1,2,/spielbericht/index/spielbericht/2463075,2014,3. Liga
06.12.2014,14:00,Chemnitzer FC,Hallescher FC,5.603,0,2,/spielbericht/index/spielbericht/2463086,2014,3. Liga
13.12.2014,14:00,VfL Osnabrück,Chemnitzer FC,8.276,2,0,/spielbericht/index/spielbericht/2463095,2014,3. Liga
20.12.2014,14:00,Arm. Bielefeld,Chemnitzer FC,13.411,2,0,/spielbericht/index/spielbericht/2463105,2014,3. Liga
31.01.2015,14:00,Chemnitzer FC,Fortuna Köln,4.631,3,1,/spielbericht/index/spielbericht/2463117,2014,3. Liga
07.02.2015,14:00,MSV Duisburg,Chemnitzer FC,11.270,3,0,/spielbericht/index/spielbericht/2463125,2014,3. Liga
14.02.2015,14:00,Chemnitzer FC,Stuttg. Kickers,5.095,1,1,/spielbericht/index/spielbericht/2463139,2014,3. Liga
20.02.2015,19:00,Unterhaching,Chemnitzer FC,1.750,0,0,/spielbericht/index/spielbericht/2463145,2014,3. Liga
28.02.2015,14:00,Chemnitzer FC,B. Dortmund II,5.046,3,1,/spielbericht/index/spielbericht/2463161,2014,3. Liga
07.03.2015,14:00,Hansa Rostock,Chemnitzer FC,11.200,1,0,/spielbericht/index/spielbericht/2463165,2014,3. Liga
14.03.2015,14:00,Chemnitzer FC,Stuttgart II,4.077,1,0,/spielbericht/index/spielbericht/2463174,2014,3. Liga
