date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
06.08.2021,19:00,Einheit Wernigerode,Bischofswerda,641,2,1,/spielbericht/index/spielbericht/3608517,2021,NOFV-Oberliga Süd
03.10.2021,14:00,Ein. Rudolstadt,Einheit Wernigerode,188,3,1,/spielbericht/index/spielbericht/3608524,2021,NOFV-Oberliga Süd
18.08.2021,18:30,Einheit Wernigerode,W. Nordhausen,825,2,2,/spielbericht/index/spielbericht/3628372,2021,NOFV-Oberliga Süd
21.08.2021,14:00,VfL Halle 96,Einheit Wernigerode,144,0,2,/spielbericht/index/spielbericht/3628394,2021,NOFV-Oberliga Süd
29.08.2021,14:00,Einheit Wernigerode,1.FC Merseburg,476,,,/spielbericht/index/spielbericht/3628420,2021,NOFV-Oberliga Süd
11.09.2021,14:00,FC Fahner Höhe,Einheit Wernigerode,173,1,0,/spielbericht/index/spielbericht/3628408,2021,NOFV-Oberliga Süd
18.09.2021,14:00,Einheit Wernigerode,FCO Neugersdorf,369,3,2,/spielbericht/index/spielbericht/3628172,2021,NOFV-Oberliga Süd
25.09.2021,14:00,SV 09 Arnstadt,Einheit Wernigerode,200,1,1,/spielbericht/index/spielbericht/3628362,2021,NOFV-Oberliga Süd
16.10.2021,14:00,Inter Leipzig,Einheit Wernigerode,61,4,3,/spielbericht/index/spielbericht/3628442,2021,NOFV-Oberliga Süd
23.10.2021,13:00,Budissa Bautzen,Einheit Wernigerode,179,1,3,/spielbericht/index/spielbericht/3628449,2021,NOFV-Oberliga Süd
31.10.2021,13:30,Einheit Wernigerode,CZ Jena II,435,3,5,/spielbericht/index/spielbericht/3628437,2021,NOFV-Oberliga Süd
06.11.2021,13:30,VfB Krieschow,Einheit Wernigerode,398,4,0,/spielbericht/index/spielbericht/3628423,2021,NOFV-Oberliga Süd
13.03.2022,14:00,Einheit Wernigerode,VFC Plauen,304,0,1,/spielbericht/index/spielbericht/3628388,2021,NOFV-Oberliga Süd
15.05.2022,14:00,Rot-Weiß Erfurt,Einheit Wernigerode,4.193,5,1,/spielbericht/index/spielbericht/3628258,2021,NOFV-Oberliga Süd
20.04.2022,18:00,Einheit Wernigerode,FC Grimma,245,1,0,/spielbericht/index/spielbericht/3628267,2021,NOFV-Oberliga Süd
25.02.2022,19:30,U. Sandersdorf,Einheit Wernigerode,134,0,0,/spielbericht/index/spielbericht/3628187,2021,NOFV-Oberliga Süd
