date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,20:30,F. Düsseldorf,Eintracht Braunschweig,41.667,2,2,/spielbericht/index/spielbericht/2460932,2014,2. Bundesliga
09.08.2014,15:30,Eintracht Braunschweig,1.FC Heidenheim,21.430,3,0,/spielbericht/index/spielbericht/2460941,2014,2. Bundesliga
24.08.2014,13:30,1.FC K'lautern,Eintracht Braunschweig,33.289,2,1,/spielbericht/index/spielbericht/2460953,2014,2. Bundesliga
31.08.2014,13:30,Eintracht Braunschweig,VfL Bochum,22.275,1,2,/spielbericht/index/spielbericht/2460961,2014,2. Bundesliga
13.09.2014,13:00,RB Leipzig,Eintracht Braunschweig,24.969,3,1,/spielbericht/index/spielbericht/2460977,2014,2. Bundesliga
19.09.2014,18:30,Eintracht Braunschweig,Darmstadt 98,21.805,2,0,/spielbericht/index/spielbericht/2460979,2014,2. Bundesliga
23.09.2014,17:30,FC St. Pauli,Eintracht Braunschweig,27.013,1,0,/spielbericht/index/spielbericht/2460990,2014,2. Bundesliga
26.09.2014,18:30,Eintracht Braunschweig,SV Sandhausen,20.680,2,1,/spielbericht/index/spielbericht/2460998,2014,2. Bundesliga
05.10.2014,13:30,FC Ingolstadt,Eintracht Braunschweig,7.750,1,0,/spielbericht/index/spielbericht/2461009,2014,2. Bundesliga
18.10.2014,13:00,Eintracht Braunschweig,Greuther Fürth,21.200,2,2,/spielbericht/index/spielbericht/2461016,2014,2. Bundesliga
26.10.2014,13:30,1860 München,Eintracht Braunschweig,20.300,1,2,/spielbericht/index/spielbericht/2461026,2014,2. Bundesliga
02.11.2014,13:30,Eintracht Braunschweig,VfR Aalen,21.140,2,1,/spielbericht/index/spielbericht/2461034,2014,2. Bundesliga
09.11.2014,13:30,Erzgebirge Aue,Eintracht Braunschweig,10.050,1,2,/spielbericht/index/spielbericht/2461049,2014,2. Bundesliga
22.11.2014,13:00,FSV Frankfurt,Eintracht Braunschweig,5.423,0,3,/spielbericht/index/spielbericht/2461056,2014,2. Bundesliga
01.12.2014,20:15,Eintracht Braunschweig,1.FC Nürnberg,23.000,1,0,/spielbericht/index/spielbericht/2461060,2014,2. Bundesliga
07.12.2014,13:30,Karlsruher SC,Eintracht Braunschweig,13.113,1,0,/spielbericht/index/spielbericht/2461071,2014,2. Bundesliga
13.12.2014,13:00,Eintracht Braunschweig,Union Berlin,23.050,1,1,/spielbericht/index/spielbericht/2461078,2014,2. Bundesliga
16.12.2014,17:30,Eintracht Braunschweig,F. Düsseldorf,21.410,2,1,/spielbericht/index/spielbericht/2461087,2014,2. Bundesliga
19.12.2014,18:30,1.FC Heidenheim,Eintracht Braunschweig,11.800,0,1,/spielbericht/index/spielbericht/2461102,2014,2. Bundesliga
08.02.2015,13:30,Eintracht Braunschweig,1.FC K'lautern,22.775,0,2,/spielbericht/index/spielbericht/2461239,2014,2. Bundesliga
13.02.2015,18:30,VfL Bochum,Eintracht Braunschweig,13.778,3,2,/spielbericht/index/spielbericht/2461118,2014,2. Bundesliga
23.02.2015,20:15,Eintracht Braunschweig,RB Leipzig,20.650,1,1,/spielbericht/index/spielbericht/2461122,2014,2. Bundesliga
27.02.2015,18:30,Darmstadt 98,Eintracht Braunschweig,13.600,1,0,/spielbericht/index/spielbericht/2461139,2014,2. Bundesliga
07.03.2015,13:00,Eintracht Braunschweig,FC St. Pauli,23.325,0,2,/spielbericht/index/spielbericht/2461141,2014,2. Bundesliga
15.03.2015,13:30,SV Sandhausen,Eintracht Braunschweig,5.831,0,1,/spielbericht/index/spielbericht/2461153,2014,2. Bundesliga
