date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,Eintracht Frankfurt,SC Freiburg,46.200,1,0,/spielbericht/index/spielbericht/2460632,2014,Bundesliga
30.08.2014,15:30,VfL Wolfsburg,Eintracht Frankfurt,27.528,2,2,/spielbericht/index/spielbericht/2460637,2014,Bundesliga
14.09.2014,15:30,Eintracht Frankfurt,FC Augsburg,43.500,0,1,/spielbericht/index/spielbericht/2460651,2014,Bundesliga
20.09.2014,15:30,FC Schalke 04,Eintracht Frankfurt,61.798,2,2,/spielbericht/index/spielbericht/2460653,2014,Bundesliga
23.09.2014,20:00,Eintracht Frankfurt,1.FSV Mainz 05,44.100,2,2,/spielbericht/index/spielbericht/2460670,2014,Bundesliga
28.09.2014,17:30,Hamburger SV,Eintracht Frankfurt,47.643,1,2,/spielbericht/index/spielbericht/2460677,2014,Bundesliga
04.10.2014,18:30,Eintracht Frankfurt,1.FC Köln,51.500,3,2,/spielbericht/index/spielbericht/2460688,2014,Bundesliga
19.10.2014,17:30,SC Paderborn,Eintracht Frankfurt,15.000,3,1,/spielbericht/index/spielbericht/2460697,2014,Bundesliga
25.10.2014,15:30,Eintracht Frankfurt,VfB Stuttgart,49.700,4,5,/spielbericht/index/spielbericht/2460706,2014,Bundesliga
01.11.2014,15:30,Hannover 96,Eintracht Frankfurt,42.200,1,0,/spielbericht/index/spielbericht/2460711,2014,Bundesliga
08.11.2014,15:30,Eintracht Frankfurt,Bayern München,51.500,0,4,/spielbericht/index/spielbericht/2460723,2014,Bundesliga
22.11.2014,15:30,Bor. M'gladbach,Eintracht Frankfurt,54.010,1,3,/spielbericht/index/spielbericht/2460727,2014,Bundesliga
30.11.2014,17:30,Eintracht Frankfurt,Bor. Dortmund,51.500,2,0,/spielbericht/index/spielbericht/2460741,2014,Bundesliga
07.12.2014,17:30,Eintracht Frankfurt,Werder Bremen,46.800,5,2,/spielbericht/index/spielbericht/2460747,2014,Bundesliga
12.12.2014,20:30,TSG Hoffenheim,Eintracht Frankfurt,28.000,3,2,/spielbericht/index/spielbericht/2460757,2014,Bundesliga
