date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
25.07.2014,19:30,Eintracht Norderstedt,VfR Neumünster,1.109,2,1,/spielbericht/index/spielbericht/2463629,2014,Regionalliga Nord
02.08.2014,14:00,Hamburger SV II,Eintracht Norderstedt,610,3,0,/spielbericht/index/spielbericht/2471367,2014,Regionalliga Nord
10.08.2014,14:00,Eintracht Norderstedt,SV Meppen,540,2,1,/spielbericht/index/spielbericht/2471377,2014,Regionalliga Nord
17.08.2014,14:30,TSV Havelse,Eintracht Norderstedt,415,3,0,/spielbericht/index/spielbericht/2471396,2014,Regionalliga Nord
24.08.2014,14:00,Eintracht Norderstedt,VfB Lübeck,1.240,3,0,/spielbericht/index/spielbericht/2485668,2014,Regionalliga Nord
31.08.2014,14:00,Goslarer SC,Eintracht Norderstedt,311,2,3,/spielbericht/index/spielbericht/2485680,2014,Regionalliga Nord
07.09.2014,14:00,Eintracht Norderstedt,FT Braunschweig,565,2,1,/spielbericht/index/spielbericht/2485687,2014,Regionalliga Nord
14.09.2014,14:00,Eintracht Norderstedt,VfB Oldenburg,547,0,2,/spielbericht/index/spielbericht/2486140,2014,Regionalliga Nord
20.09.2014,14:00,ETSV Weiche,Eintracht Norderstedt,371,1,1,/spielbericht/index/spielbericht/2486146,2014,Regionalliga Nord
28.09.2014,14:00,Eintracht Norderstedt,Wolfsburg II,455,0,3,/spielbericht/index/spielbericht/2486158,2014,Regionalliga Nord
05.10.2014,15:00,LSK Hansa,Eintracht Norderstedt,837,2,0,/spielbericht/index/spielbericht/2490261,2014,Regionalliga Nord
12.10.2014,14:00,Eintracht Norderstedt,W. Bremen II,567,0,5,/spielbericht/index/spielbericht/2490267,2014,Regionalliga Nord
18.10.2014,14:00,BV Cloppenburg,Eintracht Norderstedt,349,2,1,/spielbericht/index/spielbericht/2490276,2014,Regionalliga Nord
26.10.2014,14:00,Eintracht Norderstedt,Braunschweig II,413,1,1,/spielbericht/index/spielbericht/2490286,2014,Regionalliga Nord
02.11.2014,15:00,BSV Rehden,Eintracht Norderstedt,330,0,2,/spielbericht/index/spielbericht/2490298,2014,Regionalliga Nord
09.11.2014,14:00,Eintracht Norderstedt,St. Pauli II,647,3,1,/spielbericht/index/spielbericht/2490306,2014,Regionalliga Nord
18.02.2015,19:30,Eintracht Norderstedt,Hannover 96 II,415,3,0,/spielbericht/index/spielbericht/2490586,2014,Regionalliga Nord
23.11.2014,14:00,Eintracht Norderstedt,Hamburger SV II,586,4,1,/spielbericht/index/spielbericht/2490450,2014,Regionalliga Nord
30.11.2014,15:00,SV Meppen,Eintracht Norderstedt,1.035,0,0,/spielbericht/index/spielbericht/2490462,2014,Regionalliga Nord
06.12.2014,14:00,Eintracht Norderstedt,TSV Havelse,229,1,0,/spielbericht/index/spielbericht/2490470,2014,Regionalliga Nord
14.02.2015,14:00,VfB Lübeck,Eintracht Norderstedt,1.217,1,0,/spielbericht/index/spielbericht/2490474,2014,Regionalliga Nord
