date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,19:00,FC 08 Homburg,Saarbrücken,11.208,2,2,/spielbericht/index/spielbericht/2467003,2014,Regionalliga Südwest
05.08.2014,19:00,K'lautern II,FC 08 Homburg,680,1,0,/spielbericht/index/spielbericht/2467012,2014,Regionalliga Südwest
10.08.2014,14:00,FC 08 Homburg,Eintracht Trier,1.170,0,2,/spielbericht/index/spielbericht/2467028,2014,Regionalliga Südwest
23.09.2014,19:00,K. Offenbach,FC 08 Homburg,5.368,2,1,/spielbericht/index/spielbericht/2497602,2014,Regionalliga Südwest
22.08.2014,19:00,FC 08 Homburg,Hessen Kassel,910,3,2,/spielbericht/index/spielbericht/2467030,2014,Regionalliga Südwest
27.08.2014,19:00,FK Pirmasens,FC 08 Homburg,1.769,1,1,/spielbericht/index/spielbericht/2467060,2014,Regionalliga Südwest
30.08.2014,14:00,FC 08 Homburg,SpVgg Neckarelz,735,1,0,/spielbericht/index/spielbericht/2467126,2014,Regionalliga Südwest
09.09.2014,19:00,Wormatia Worms,FC 08 Homburg,1.302,5,1,/spielbericht/index/spielbericht/2467141,2014,Regionalliga Südwest
14.09.2014,14:00,Hoffenheim II,FC 08 Homburg,316,1,2,/spielbericht/index/spielbericht/2467149,2014,Regionalliga Südwest
20.09.2014,14:00,FC 08 Homburg,SC Freiburg II,770,0,2,/spielbericht/index/spielbericht/2467153,2014,Regionalliga Südwest
26.09.2014,19:00,FCA Walldorf,FC 08 Homburg,450,1,3,/spielbericht/index/spielbericht/2467160,2014,Regionalliga Südwest
03.10.2014,14:00,FC 08 Homburg,SV Elversberg,2.312,1,0,/spielbericht/index/spielbericht/2467169,2014,Regionalliga Südwest
11.10.2014,14:00,KSV Baunatal,FC 08 Homburg,300,0,2,/spielbericht/index/spielbericht/2467185,2014,Regionalliga Südwest
18.10.2014,14:00,FC 08 Homburg,SVN Zweibrücken,1.451,4,0,/spielbericht/index/spielbericht/2467190,2014,Regionalliga Südwest
24.10.2014,19:00,FC Nöttingen,FC 08 Homburg,724,1,1,/spielbericht/index/spielbericht/2467197,2014,Regionalliga Südwest
01.11.2014,14:00,FC 08 Homburg,TuS Koblenz,1.718,2,1,/spielbericht/index/spielbericht/2467209,2014,Regionalliga Südwest
17.11.2014,20:15,W. Mannheim,FC 08 Homburg,2.304,0,0,/spielbericht/index/spielbericht/2467218,2014,Regionalliga Südwest
25.11.2014,18:30,Saarbrücken,FC 08 Homburg,5.540,1,0,/spielbericht/index/spielbericht/2467227,2014,Regionalliga Südwest
29.11.2014,14:00,FC 08 Homburg,K'lautern II,767,2,3,/spielbericht/index/spielbericht/2467234,2014,Regionalliga Südwest
05.12.2014,19:30,Eintracht Trier,FC 08 Homburg,1.139,0,3,/spielbericht/index/spielbericht/2467243,2014,Regionalliga Südwest
14.04.2015,19:30,FC 08 Homburg,K. Offenbach,2.280,0,1,/spielbericht/index/spielbericht/2490716,2014,Regionalliga Südwest
07.03.2015,14:00,Hessen Kassel,FC 08 Homburg,1.500,0,2,/spielbericht/index/spielbericht/2490728,2014,Regionalliga Südwest
14.03.2015,14:00,FC 08 Homburg,FK Pirmasens,1.266,1,0,/spielbericht/index/spielbericht/2490739,2014,Regionalliga Südwest
21.03.2015,14:00,SpVgg Neckarelz,FC 08 Homburg,310,1,1,/spielbericht/index/spielbericht/2490746,2014,Regionalliga Südwest
27.03.2015,19:00,FC 08 Homburg,Wormatia Worms,1.030,2,0,/spielbericht/index/spielbericht/2490755,2014,Regionalliga Südwest
28.04.2015,19:00,FC 08 Homburg,Hoffenheim II,520,0,1,/spielbericht/index/spielbericht/2490759,2014,Regionalliga Südwest
05.04.2015,14:00,SC Freiburg II,FC 08 Homburg,200,2,4,/spielbericht/index/spielbericht/2490772,2014,Regionalliga Südwest
10.04.2015,19:30,FC 08 Homburg,FCA Walldorf,1.058,0,0,/spielbericht/index/spielbericht/2490779,2014,Regionalliga Südwest
18.04.2015,14:00,SV Elversberg,FC 08 Homburg,1.220,0,0,/spielbericht/index/spielbericht/2490790,2014,Regionalliga Südwest
25.04.2015,14:00,FC 08 Homburg,KSV Baunatal,680,3,0,/spielbericht/index/spielbericht/2490795,2014,Regionalliga Südwest
