date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,TSG Hoffenheim,FC Augsburg,23.792,2,0,/spielbericht/index/spielbericht/2460629,2014,Bundesliga
29.08.2014,20:30,FC Augsburg,Bor. Dortmund,30.660,2,3,/spielbericht/index/spielbericht/2460639,2014,Bundesliga
14.09.2014,15:30,E. Frankfurt,FC Augsburg,43.500,0,1,/spielbericht/index/spielbericht/2460651,2014,Bundesliga
20.09.2014,15:30,FC Augsburg,Werder Bremen,29.044,4,2,/spielbericht/index/spielbericht/2460656,2014,Bundesliga
24.09.2014,20:00,B. Leverkusen,FC Augsburg,23.081,1,0,/spielbericht/index/spielbericht/2460664,2014,Bundesliga
28.09.2014,15:30,FC Augsburg,Hertha BSC,28.532,1,0,/spielbericht/index/spielbericht/2460674,2014,Bundesliga
05.10.2014,15:30,VfL Wolfsburg,FC Augsburg,25.734,1,0,/spielbericht/index/spielbericht/2460683,2014,Bundesliga
18.10.2014,15:30,1.FSV Mainz 05,FC Augsburg,27.687,2,1,/spielbericht/index/spielbericht/2460691,2014,Bundesliga
25.10.2014,15:30,FC Augsburg,SC Freiburg,28.324,2,0,/spielbericht/index/spielbericht/2460702,2014,Bundesliga
31.10.2014,20:30,FC Schalke 04,FC Augsburg,60.954,1,0,/spielbericht/index/spielbericht/2460708,2014,Bundesliga
08.11.2014,15:30,FC Augsburg,SC Paderborn,27.755,3,0,/spielbericht/index/spielbericht/2460719,2014,Bundesliga
23.11.2014,17:30,VfB Stuttgart,FC Augsburg,48.200,0,1,/spielbericht/index/spielbericht/2460730,2014,Bundesliga
29.11.2014,15:30,FC Augsburg,Hamburger SV,30.321,3,1,/spielbericht/index/spielbericht/2460737,2014,Bundesliga
06.12.2014,15:30,1.FC Köln,FC Augsburg,48.500,1,2,/spielbericht/index/spielbericht/2460750,2014,Bundesliga
13.12.2014,15:30,FC Augsburg,Bayern München,30.660,0,4,/spielbericht/index/spielbericht/2460756,2014,Bundesliga
16.12.2014,20:00,Hannover 96,FC Augsburg,38.000,2,0,/spielbericht/index/spielbericht/2460765,2014,Bundesliga
20.12.2014,15:30,FC Augsburg,Bor. M'gladbach,30.660,2,1,/spielbericht/index/spielbericht/2460774,2014,Bundesliga
01.02.2015,17:30,FC Augsburg,TSG Hoffenheim,27.090,3,1,/spielbericht/index/spielbericht/2460783,2014,Bundesliga
04.02.2015,20:00,Bor. Dortmund,FC Augsburg,80.667,0,1,/spielbericht/index/spielbericht/2460789,2014,Bundesliga
08.02.2015,17:30,FC Augsburg,E. Frankfurt,27.122,2,2,/spielbericht/index/spielbericht/2460800,2014,Bundesliga
14.02.2015,15:30,Werder Bremen,FC Augsburg,39.746,3,2,/spielbericht/index/spielbericht/2460813,2014,Bundesliga
21.02.2015,15:30,FC Augsburg,B. Leverkusen,28.154,2,2,/spielbericht/index/spielbericht/2460818,2014,Bundesliga
28.02.2015,15:30,Hertha BSC,FC Augsburg,36.015,1,0,/spielbericht/index/spielbericht/2460830,2014,Bundesliga
07.03.2015,15:30,FC Augsburg,VfL Wolfsburg,28.721,1,0,/spielbericht/index/spielbericht/2460835,2014,Bundesliga
14.03.2015,15:30,FC Augsburg,1.FSV Mainz 05,28.359,0,2,/spielbericht/index/spielbericht/2460846,2014,Bundesliga
21.03.2015,15:30,SC Freiburg,FC Augsburg,23.700,2,0,/spielbericht/index/spielbericht/2460855,2014,Bundesliga
05.04.2015,15:30,FC Augsburg,FC Schalke 04,30.660,0,0,/spielbericht/index/spielbericht/2460863,2014,Bundesliga
11.04.2015,15:30,SC Paderborn,FC Augsburg,14.446,2,1,/spielbericht/index/spielbericht/2460877,2014,Bundesliga
18.04.2015,18:30,FC Augsburg,VfB Stuttgart,30.660,2,1,/spielbericht/index/spielbericht/2460881,2014,Bundesliga
25.04.2015,15:30,Hamburger SV,FC Augsburg,51.321,3,2,/spielbericht/index/spielbericht/2460893,2014,Bundesliga
02.05.2015,15:30,FC Augsburg,1.FC Köln,29.158,0,0,/spielbericht/index/spielbericht/2460900,2014,Bundesliga
09.05.2015,15:30,Bayern München,FC Augsburg,75.000,0,1,/spielbericht/index/spielbericht/2460905,2014,Bundesliga
16.05.2015,15:30,FC Augsburg,Hannover 96,29.899,1,2,/spielbericht/index/spielbericht/2460918,2014,Bundesliga
23.05.2015,15:30,Bor. M'gladbach,FC Augsburg,54.010,1,3,/spielbericht/index/spielbericht/2460925,2014,Bundesliga
17.08.2014,18:30,1.FC Magdeburg,FC Augsburg,17.854,1,0,/spielbericht/index/spielbericht/2458318,2014,DFB-Pokal
15.08.2015,15:30,FC Augsburg,Hertha BSC,28.130,0,1,/spielbericht/index/spielbericht/2581155,2015,Bundesliga
22.08.2015,15:30,E. Frankfurt,FC Augsburg,45.000,1,1,/spielbericht/index/spielbericht/2581177,2015,Bundesliga
29.08.2015,15:30,FC Augsburg,FC Ingolstadt,29.000,0,1,/spielbericht/index/spielbericht/2581191,2015,Bundesliga
12.09.2015,15:30,Bayern München,FC Augsburg,75.000,2,1,/spielbericht/index/spielbericht/2581192,2015,Bundesliga
20.09.2015,17:30,FC Augsburg,Hannover 96,28.511,2,0,/spielbericht/index/spielbericht/2581637,2015,Bundesliga
23.09.2015,20:00,Bor. M'gladbach,FC Augsburg,40.511,4,2,/spielbericht/index/spielbericht/2581645,2015,Bundesliga
26.09.2015,15:30,FC Augsburg,TSG Hoffenheim,27.112,1,3,/spielbericht/index/spielbericht/2581655,2015,Bundesliga
04.10.2015,17:30,B. Leverkusen,FC Augsburg,28.475,1,1,/spielbericht/index/spielbericht/2581668,2015,Bundesliga
17.10.2015,15:30,FC Augsburg,Darmstadt 98,30.009,0,2,/spielbericht/index/spielbericht/2581679,2015,Bundesliga
25.10.2015,15:30,Bor. Dortmund,FC Augsburg,81.359,5,1,/spielbericht/index/spielbericht/2581691,2015,Bundesliga
31.10.2015,15:30,FC Augsburg,1.FSV Mainz 05,27.200,3,3,/spielbericht/index/spielbericht/2581703,2015,Bundesliga
08.11.2015,17:30,FC Augsburg,Werder Bremen,28.122,1,2,/spielbericht/index/spielbericht/2581718,2015,Bundesliga
21.11.2015,15:45,VfB Stuttgart,FC Augsburg,54.925,0,4,/spielbericht/index/spielbericht/2581727,2015,Bundesliga
29.11.2015,17:30,FC Augsburg,VfL Wolfsburg,27.081,0,0,/spielbericht/index/spielbericht/2581741,2015,Bundesliga
05.12.2015,15:30,1.FC Köln,FC Augsburg,45.500,0,1,/spielbericht/index/spielbericht/2581759,2015,Bundesliga
13.12.2015,15:30,FC Augsburg,FC Schalke 04,28.410,2,1,/spielbericht/index/spielbericht/2581766,2015,Bundesliga
19.12.2015,15:30,Hamburger SV,FC Augsburg,49.726,0,1,/spielbericht/index/spielbericht/2581779,2015,Bundesliga
23.01.2016,15:30,Hertha BSC,FC Augsburg,35.196,0,0,/spielbericht/index/spielbericht/2581792,2015,Bundesliga
30.01.2016,15:30,FC Augsburg,E. Frankfurt,28.653,0,0,/spielbericht/index/spielbericht/2581812,2015,Bundesliga
06.02.2016,15:30,FC Ingolstadt,FC Augsburg,15.356,2,1,/spielbericht/index/spielbericht/2581830,2015,Bundesliga
14.02.2016,17:30,FC Augsburg,Bayern München,30.660,1,3,/spielbericht/index/spielbericht/2581847,2015,Bundesliga
21.02.2016,17:30,Hannover 96,FC Augsburg,32.400,0,1,/spielbericht/index/spielbericht/2581857,2015,Bundesliga
28.02.2016,15:30,FC Augsburg,Bor. M'gladbach,29.665,2,2,/spielbericht/index/spielbericht/2581871,2015,Bundesliga
02.03.2016,20:00,TSG Hoffenheim,FC Augsburg,21.092,2,1,/spielbericht/index/spielbericht/2581894,2015,Bundesliga
05.03.2016,15:30,FC Augsburg,B. Leverkusen,27.610,3,3,/spielbericht/index/spielbericht/2581907,2015,Bundesliga
12.03.2016,15:30,Darmstadt 98,FC Augsburg,16.000,2,2,/spielbericht/index/spielbericht/2581926,2015,Bundesliga
20.03.2016,17:30,FC Augsburg,Bor. Dortmund,30.660,1,3,/spielbericht/index/spielbericht/2581937,2015,Bundesliga
02.04.2016,15:30,1.FSV Mainz 05,FC Augsburg,31.780,4,2,/spielbericht/index/spielbericht/2581948,2015,Bundesliga
09.04.2016,15:30,Werder Bremen,FC Augsburg,41.000,1,2,/spielbericht/index/spielbericht/2581955,2015,Bundesliga
16.04.2016,15:30,FC Augsburg,VfB Stuttgart,30.660,1,0,/spielbericht/index/spielbericht/2581963,2015,Bundesliga
23.04.2016,15:30,VfL Wolfsburg,FC Augsburg,27.261,0,2,/spielbericht/index/spielbericht/2581971,2015,Bundesliga
29.04.2016,20:30,FC Augsburg,1.FC Köln,30.144,0,0,/spielbericht/index/spielbericht/2581981,2015,Bundesliga
07.05.2016,15:30,FC Schalke 04,FC Augsburg,62.271,1,1,/spielbericht/index/spielbericht/2581987,2015,Bundesliga
14.05.2016,15:30,FC Augsburg,Hamburger SV,30.660,1,3,/spielbericht/index/spielbericht/2582000,2015,Bundesliga
17.09.2015,21:05,Athletic Bilbao,FC Augsburg,30.000,3,1,/spielbericht/index/spielbericht/2618744,2015,UEFA Europa League
01.10.2015,19:00,FC Augsburg,Partizan,22.948,1,3,/spielbericht/index/spielbericht/2618767,2015,UEFA Europa League
22.10.2015,19:00,AZ Alkmaar,FC Augsburg,16.511,0,1,/spielbericht/index/spielbericht/2618797,2015,UEFA Europa League
05.11.2015,21:05,FC Augsburg,AZ Alkmaar,21.241,4,1,/spielbericht/index/spielbericht/2618799,2015,UEFA Europa League
26.11.2015,19:00,FC Augsburg,Athletic Bilbao,23.741,2,3,/spielbericht/index/spielbericht/2618796,2015,UEFA Europa League
10.12.2015,21:05,Partizan,FC Augsburg,24.132,1,3,/spielbericht/index/spielbericht/2618793,2015,UEFA Europa League
18.02.2016,21:05,FC Augsburg,FC Liverpool,25.000,0,0,/spielbericht/index/spielbericht/2646008,2015,UEFA Europa League
25.02.2016,19:00,FC Liverpool,FC Augsburg,43.081,1,0,/spielbericht/index/spielbericht/2646024,2015,UEFA Europa League
07.08.2015,20:00,SV Elversberg,FC Augsburg,5.400,1,3,/spielbericht/index/spielbericht/2576681,2015,DFB-Pokal
28.10.2015,19:00,SC Freiburg,FC Augsburg,19.600,0,3,/spielbericht/index/spielbericht/2615044,2015,DFB-Pokal
16.12.2015,20:30,FC Augsburg,Bor. Dortmund,30.101,0,2,/spielbericht/index/spielbericht/2636826,2015,DFB-Pokal
27.08.2016,15:30,FC Augsburg,VfL Wolfsburg,26.172,0,2,/spielbericht/index/spielbericht/2704210,2016,Bundesliga
11.09.2016,15:30,Werder Bremen,FC Augsburg,39.430,1,2,/spielbericht/index/spielbericht/2704227,2016,Bundesliga
18.09.2016,15:30,FC Augsburg,1.FSV Mainz 05,26.115,1,3,/spielbericht/index/spielbericht/2704237,2016,Bundesliga
21.09.2016,20:00,B. Leverkusen,FC Augsburg,24.097,0,0,/spielbericht/index/spielbericht/2704241,2016,Bundesliga
24.09.2016,15:30,FC Augsburg,Darmstadt 98,28.113,1,0,/spielbericht/index/spielbericht/2704256,2016,Bundesliga
30.09.2016,20:30,RB Leipzig,FC Augsburg,35.721,2,1,/spielbericht/index/spielbericht/2704268,2016,Bundesliga
15.10.2016,15:30,FC Augsburg,FC Schalke 04,30.660,1,1,/spielbericht/index/spielbericht/2704274,2016,Bundesliga
22.10.2016,15:30,SC Freiburg,FC Augsburg,24.000,2,1,/spielbericht/index/spielbericht/2704285,2016,Bundesliga
29.10.2016,15:30,FC Augsburg,Bayern München,30.660,1,3,/spielbericht/index/spielbericht/2704309,2016,Bundesliga
05.11.2016,15:30,FC Ingolstadt,FC Augsburg,15.200,0,2,/spielbericht/index/spielbericht/2704318,2016,Bundesliga
19.11.2016,15:30,FC Augsburg,Hertha BSC,27.007,0,0,/spielbericht/index/spielbericht/2704336,2016,Bundesliga
26.11.2016,15:30,1.FC Köln,FC Augsburg,50.000,0,0,/spielbericht/index/spielbericht/2704355,2016,Bundesliga
04.12.2016,17:30,FC Augsburg,E. Frankfurt,26.549,1,1,/spielbericht/index/spielbericht/2704364,2016,Bundesliga
10.12.2016,15:30,Hamburger SV,FC Augsburg,45.793,1,0,/spielbericht/index/spielbericht/2704430,2016,Bundesliga
17.12.2016,15:30,FC Augsburg,Bor. M'gladbach,28.653,1,0,/spielbericht/index/spielbericht/2704438,2016,Bundesliga
20.12.2016,20:00,Bor. Dortmund,FC Augsburg,81.360,1,1,/spielbericht/index/spielbericht/2704453,2016,Bundesliga
21.01.2017,15:30,FC Augsburg,TSG Hoffenheim,24.515,0,2,/spielbericht/index/spielbericht/2704465,2016,Bundesliga
28.01.2017,15:30,VfL Wolfsburg,FC Augsburg,24.811,1,2,/spielbericht/index/spielbericht/2704482,2016,Bundesliga
05.02.2017,15:30,FC Augsburg,Werder Bremen,26.812,3,2,/spielbericht/index/spielbericht/2704503,2016,Bundesliga
10.02.2017,20:30,1.FSV Mainz 05,FC Augsburg,23.371,2,0,/spielbericht/index/spielbericht/2704508,2016,Bundesliga
