date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,18:00,VfL Osnabrück,FC Energie Cottbus,8.800,1,3,/spielbericht/index/spielbericht/2462901,2014,3. Liga
03.08.2014,14:00,FC Energie Cottbus,Dynamo Dresden,14.800,1,3,/spielbericht/index/spielbericht/2462913,2014,3. Liga
06.08.2014,19:00,Pr. Münster,FC Energie Cottbus,9.781,0,0,/spielbericht/index/spielbericht/2462916,2014,3. Liga
09.08.2014,14:00,FC Energie Cottbus,Rot-Weiß Erfurt,6.149,0,0,/spielbericht/index/spielbericht/2462933,2014,3. Liga
23.08.2014,14:00,Holstein Kiel,FC Energie Cottbus,4.484,0,1,/spielbericht/index/spielbericht/2462938,2014,3. Liga
26.08.2014,19:00,FC Energie Cottbus,Wehen Wiesbaden,6.258,2,0,/spielbericht/index/spielbericht/2462953,2014,3. Liga
30.08.2014,14:00,J. Regensburg,FC Energie Cottbus,3.548,1,1,/spielbericht/index/spielbericht/2462960,2014,3. Liga
16.09.2014,18:30,FC Energie Cottbus,Sonnenhof-Gr.,7.419,2,0,/spielbericht/index/spielbericht/2462973,2014,3. Liga
13.09.2014,14:00,FSV Mainz 05 II,FC Energie Cottbus,893,0,0,/spielbericht/index/spielbericht/2462982,2014,3. Liga
20.09.2014,14:00,FC Energie Cottbus,Hallescher FC,8.013,1,2,/spielbericht/index/spielbericht/2462993,2014,3. Liga
23.09.2014,19:00,Chemnitzer FC,FC Energie Cottbus,6.285,0,1,/spielbericht/index/spielbericht/2462995,2014,3. Liga
28.09.2014,14:00,FC Energie Cottbus,Arm. Bielefeld,8.051,1,1,/spielbericht/index/spielbericht/2463013,2014,3. Liga
04.10.2014,14:00,Fortuna Köln,FC Energie Cottbus,1.911,3,0,/spielbericht/index/spielbericht/2463017,2014,3. Liga
18.10.2014,14:00,FC Energie Cottbus,MSV Duisburg,7.886,2,0,/spielbericht/index/spielbericht/2463033,2014,3. Liga
25.10.2014,14:00,Stuttg. Kickers,FC Energie Cottbus,3.925,2,2,/spielbericht/index/spielbericht/2463039,2014,3. Liga
01.11.2014,14:00,FC Energie Cottbus,Unterhaching,6.862,3,0,/spielbericht/index/spielbericht/2463053,2014,3. Liga
07.11.2014,19:00,B. Dortmund II,FC Energie Cottbus,2.190,3,0,/spielbericht/index/spielbericht/2463061,2014,3. Liga
22.11.2014,14:00,FC Energie Cottbus,Hansa Rostock,11.751,1,0,/spielbericht/index/spielbericht/2463073,2014,3. Liga
28.11.2014,19:00,Stuttgart II,FC Energie Cottbus,900,0,1,/spielbericht/index/spielbericht/2463074,2014,3. Liga
07.12.2014,14:00,FC Energie Cottbus,VfL Osnabrück,6.035,2,2,/spielbericht/index/spielbericht/2463084,2014,3. Liga
13.12.2014,14:00,Dynamo Dresden,FC Energie Cottbus,28.440,1,0,/spielbericht/index/spielbericht/2463103,2014,3. Liga
20.12.2014,14:00,FC Energie Cottbus,Pr. Münster,6.848,2,1,/spielbericht/index/spielbericht/2463106,2014,3. Liga
31.01.2015,14:00,Rot-Weiß Erfurt,FC Energie Cottbus,6.972,2,0,/spielbericht/index/spielbericht/2463123,2014,3. Liga
07.02.2015,14:00,FC Energie Cottbus,Holstein Kiel,5.884,0,2,/spielbericht/index/spielbericht/2463128,2014,3. Liga
14.02.2015,14:00,Wehen Wiesbaden,FC Energie Cottbus,2.576,1,2,/spielbericht/index/spielbericht/2463143,2014,3. Liga
21.02.2015,14:00,FC Energie Cottbus,J. Regensburg,6.390,4,1,/spielbericht/index/spielbericht/2463150,2014,3. Liga
28.02.2015,14:00,Sonnenhof-Gr.,FC Energie Cottbus,1.600,2,2,/spielbericht/index/spielbericht/2463163,2014,3. Liga
07.03.2015,14:00,FC Energie Cottbus,FSV Mainz 05 II,6.617,2,1,/spielbericht/index/spielbericht/2463172,2014,3. Liga
14.03.2015,14:00,Hallescher FC,FC Energie Cottbus,8.026,3,1,/spielbericht/index/spielbericht/2463183,2014,3. Liga
21.03.2015,14:00,FC Energie Cottbus,Chemnitzer FC,8.043,2,2,/spielbericht/index/spielbericht/2463185,2014,3. Liga
04.04.2015,14:00,Arm. Bielefeld,FC Energie Cottbus,15.814,3,0,/spielbericht/index/spielbericht/2463203,2014,3. Liga
11.04.2015,14:00,FC Energie Cottbus,Fortuna Köln,6.555,1,1,/spielbericht/index/spielbericht/2463207,2014,3. Liga
18.04.2015,14:00,MSV Duisburg,FC Energie Cottbus,12.556,3,2,/spielbericht/index/spielbericht/2463223,2014,3. Liga
25.04.2015,14:00,FC Energie Cottbus,Stuttg. Kickers,5.426,2,0,/spielbericht/index/spielbericht/2463229,2014,3. Liga
02.05.2015,14:00,Unterhaching,FC Energie Cottbus,3.000,3,3,/spielbericht/index/spielbericht/2463243,2014,3. Liga
09.05.2015,14:00,FC Energie Cottbus,B. Dortmund II,7.386,0,3,/spielbericht/index/spielbericht/2463251,2014,3. Liga
16.05.2015,13:30,Hansa Rostock,FC Energie Cottbus,21.600,0,1,/spielbericht/index/spielbericht/2463263,2014,3. Liga
23.05.2015,13:30,FC Energie Cottbus,Stuttgart II,6.788,2,3,/spielbericht/index/spielbericht/2463264,2014,3. Liga
18.08.2014,18:30,FC Energie Cottbus,Hamburger SV,16.184,3,6,/spielbericht/index/spielbericht/2458337,2014,DFB-Pokal
13.08.2014,18:00,Miersdorf/Zeut.,FC Energie Cottbus,1.110,0,4,/spielbericht/index/spielbericht/2972086,2014,Landespokal Brandenburg
10.09.2014,17:30,Großräschen,FC Energie Cottbus,3.100,0,6,/spielbericht/index/spielbericht/2972134,2014,Landespokal Brandenburg
12.10.2014,14:00,Ludwigsfelde,FC Energie Cottbus,1.630,0,5,/spielbericht/index/spielbericht/2972292,2014,Landespokal Brandenburg
15.11.2014,13:00,GW Brieselang,FC Energie Cottbus,2.674,0,1,/spielbericht/index/spielbericht/2972293,2014,Landespokal Brandenburg
15.04.2015,19:00,Babelsberg 03,FC Energie Cottbus,5.251,0,2,/spielbericht/index/spielbericht/2972298,2014,Landespokal Brandenburg
06.05.2015,18:00,U. Fürstenwalde,FC Energie Cottbus,3.424,2,3,/spielbericht/index/spielbericht/2972299,2014,Landespokal Brandenburg
26.07.2015,14:00,FC Energie Cottbus,Hallescher FC,9.306,2,0,/spielbericht/index/spielbericht/2584699,2015,3. Liga
01.08.2015,14:00,W. Bremen II,FC Energie Cottbus,2.500,0,2,/spielbericht/index/spielbericht/2584927,2015,3. Liga
15.08.2015,14:00,FC Energie Cottbus,Chemnitzer FC,7.371,0,1,/spielbericht/index/spielbericht/2584940,2015,3. Liga
21.08.2015,19:00,Fortuna Köln,FC Energie Cottbus,2.246,3,0,/spielbericht/index/spielbericht/2584945,2015,3. Liga
25.08.2015,19:00,FC Energie Cottbus,VfL Osnabrück,6.701,1,2,/spielbericht/index/spielbericht/2584960,2015,3. Liga
29.08.2015,14:00,Stuttg. Kickers,FC Energie Cottbus,3.840,0,0,/spielbericht/index/spielbericht/2584973,2015,3. Liga
05.09.2015,14:00,FC Energie Cottbus,VfR Aalen,5.303,0,4,/spielbericht/index/spielbericht/2584980,2015,3. Liga
11.09.2015,19:00,Hansa Rostock,FC Energie Cottbus,18.000,1,1,/spielbericht/index/spielbericht/2584991,2015,3. Liga
18.09.2015,20:30,Erzgebirge Aue,FC Energie Cottbus,9.550,1,0,/spielbericht/index/spielbericht/2584995,2015,3. Liga
23.09.2015,19:00,FC Energie Cottbus,Holstein Kiel,5.130,1,2,/spielbericht/index/spielbericht/2585010,2015,3. Liga
26.09.2015,14:00,1.FC Magdeburg,FC Energie Cottbus,19.435,2,2,/spielbericht/index/spielbericht/2585018,2015,3. Liga
04.10.2015,14:00,FC Energie Cottbus,Wehen Wiesbaden,7.549,2,2,/spielbericht/index/spielbericht/2585030,2015,3. Liga
17.10.2015,14:00,Dynamo Dresden,FC Energie Cottbus,28.996,0,1,/spielbericht/index/spielbericht/2585036,2015,3. Liga
24.10.2015,14:00,FC Energie Cottbus,Pr. Münster,6.407,0,0,/spielbericht/index/spielbericht/2585050,2015,3. Liga
31.10.2015,14:00,Sonnenhof-Gr.,FC Energie Cottbus,2.200,1,1,/spielbericht/index/spielbericht/2585063,2015,3. Liga
07.11.2015,14:00,FC Energie Cottbus,Stuttgart II,5.555,2,2,/spielbericht/index/spielbericht/2585070,2015,3. Liga
21.11.2015,14:00,Würzb. Kickers,FC Energie Cottbus,4.178,2,2,/spielbericht/index/spielbericht/2585081,2015,3. Liga
28.11.2015,14:00,FC Energie Cottbus,Rot-Weiß Erfurt,5.775,2,1,/spielbericht/index/spielbericht/2585090,2015,3. Liga
05.12.2015,14:00,FSV Mainz 05 II,FC Energie Cottbus,798,0,1,/spielbericht/index/spielbericht/2585099,2015,3. Liga
13.12.2015,14:00,Hallescher FC,FC Energie Cottbus,6.358,1,1,/spielbericht/index/spielbericht/2585109,2015,3. Liga
19.12.2015,14:00,FC Energie Cottbus,W. Bremen II,6.810,1,1,/spielbericht/index/spielbericht/2585117,2015,3. Liga
24.03.2016,19:00,Chemnitzer FC,FC Energie Cottbus,10.318,4,0,/spielbericht/index/spielbericht/2585130,2015,3. Liga
31.01.2016,14:00,FC Energie Cottbus,Fortuna Köln,12.665,0,0,/spielbericht/index/spielbericht/2585135,2015,3. Liga
05.02.2016,19:00,VfL Osnabrück,FC Energie Cottbus,9.756,0,0,/spielbericht/index/spielbericht/2585150,2015,3. Liga
13.02.2016,14:00,FC Energie Cottbus,Stuttg. Kickers,5.239,1,2,/spielbericht/index/spielbericht/2585163,2015,3. Liga
20.02.2016,14:00,VfR Aalen,FC Energie Cottbus,4.100,3,0,/spielbericht/index/spielbericht/2585170,2015,3. Liga
27.02.2016,14:00,FC Energie Cottbus,Hansa Rostock,8.701,0,1,/spielbericht/index/spielbericht/2585181,2015,3. Liga
02.03.2016,18:30,FC Energie Cottbus,Erzgebirge Aue,6.047,0,0,/spielbericht/index/spielbericht/2585185,2015,3. Liga
05.03.2016,14:00,Holstein Kiel,FC Energie Cottbus,4.287,1,2,/spielbericht/index/spielbericht/2585200,2015,3. Liga
12.03.2016,14:00,FC Energie Cottbus,1.FC Magdeburg,8.404,2,0,/spielbericht/index/spielbericht/2585208,2015,3. Liga
19.03.2016,14:00,Wehen Wiesbaden,FC Energie Cottbus,2.198,0,0,/spielbericht/index/spielbericht/2585220,2015,3. Liga
02.04.2016,14:00,FC Energie Cottbus,Dynamo Dresden,15.255,0,2,/spielbericht/index/spielbericht/2585226,2015,3. Liga
09.04.2016,14:00,Pr. Münster,FC Energie Cottbus,7.776,3,0,/spielbericht/index/spielbericht/2585240,2015,3. Liga
16.04.2016,14:00,FC Energie Cottbus,Sonnenhof-Gr.,5.949,0,5,/spielbericht/index/spielbericht/2585253,2015,3. Liga
22.04.2016,19:00,Stuttgart II,FC Energie Cottbus,950,0,1,/spielbericht/index/spielbericht/2585260,2015,3. Liga
30.04.2016,14:00,FC Energie Cottbus,Würzb. Kickers,5.907,1,2,/spielbericht/index/spielbericht/2585271,2015,3. Liga
07.05.2016,13:30,Rot-Weiß Erfurt,FC Energie Cottbus,6.043,0,1,/spielbericht/index/spielbericht/2585280,2015,3. Liga
14.05.2016,13:45,FC Energie Cottbus,FSV Mainz 05 II,13.841,2,3,/spielbericht/index/spielbericht/2585289,2015,3. Liga
09.08.2015,20:30,FC Energie Cottbus,1.FSV Mainz 05,11.123,0,3,/spielbericht/index/spielbericht/2576666,2015,DFB-Pokal
05.08.2015,18:00,BW Vetschau,FC Energie Cottbus,2.000,0,5,/spielbericht/index/spielbericht/2639665,2015,Landespokal Brandenburg
02.09.2015,17:30,MSV 19 Rüdersdorf,FC Energie Cottbus,984,1,12,/spielbericht/index/spielbericht/2639710,2015,Landespokal Brandenburg
10.10.2015,14:00,Fr. Wernsdorf,FC Energie Cottbus,1.100,0,6,/spielbericht/index/spielbericht/2639726,2015,Landespokal Brandenburg
14.11.2015,14:05,FSV Luckenwalde,FC Energie Cottbus,1.558,1,0,/spielbericht/index/spielbericht/2639736,2015,Landespokal Brandenburg
31.07.2016,14:05,Lok Leipzig,FC Energie Cottbus,6.289,1,1,/spielbericht/index/spielbericht/2718268,2016,Regionalliga Nordost
06.08.2016,13:30,FC Energie Cottbus,RB Leipzig II,5.655,0,0,/spielbericht/index/spielbericht/2718272,2016,Regionalliga Nordost
04.09.2016,13:30,FC Schönberg 95,FC Energie Cottbus,1.191,2,1,/spielbericht/index/spielbericht/2718284,2016,Regionalliga Nordost
14.08.2016,14:05,FC Energie Cottbus,Viktoria Berlin,5.205,1,1,/spielbericht/index/spielbericht/2718290,2016,Regionalliga Nordost
26.08.2016,19:00,BFC Dynamo,FC Energie Cottbus,3.307,1,2,/spielbericht/index/spielbericht/2718300,2016,Regionalliga Nordost
10.09.2016,14:05,FC Energie Cottbus,ZFC Meuselwitz,3.904,1,0,/spielbericht/index/spielbericht/2718309,2016,Regionalliga Nordost
17.09.2016,15:00,VfB Auerbach,FC Energie Cottbus,1.010,0,4,/spielbericht/index/spielbericht/2718325,2016,Regionalliga Nordost
25.09.2016,14:05,FC Energie Cottbus,Budissa Bautzen,5.408,1,0,/spielbericht/index/spielbericht/2718327,2016,Regionalliga Nordost
29.09.2016,17:00,Carl Zeiss Jena,FC Energie Cottbus,4.403,0,0,/spielbericht/index/spielbericht/2718341,2016,Regionalliga Nordost
16.10.2016,14:05,FC Energie Cottbus,U. Fürstenwalde,4.869,1,0,/spielbericht/index/spielbericht/2718345,2016,Regionalliga Nordost
23.10.2016,13:30,TSG Neustrelitz,FC Energie Cottbus,935,0,4,/spielbericht/index/spielbericht/2718384,2016,Regionalliga Nordost
29.10.2016,14:05,FC Energie Cottbus,Berliner AK,5.218,1,2,/spielbericht/index/spielbericht/2718390,2016,Regionalliga Nordost
06.11.2016,14:05,Hertha BSC II,FC Energie Cottbus,1.707,0,2,/spielbericht/index/spielbericht/2718400,2016,Regionalliga Nordost
19.11.2016,14:05,FC Energie Cottbus,Babelsberg 03,5.676,3,0,/spielbericht/index/spielbericht/2718408,2016,Regionalliga Nordost
26.11.2016,13:30,FC Energie Cottbus,FSV Luckenwalde,4.517,2,1,/spielbericht/index/spielbericht/2718417,2016,Regionalliga Nordost
04.12.2016,13:30,W. Nordhausen,FC Energie Cottbus,1.550,0,0,/spielbericht/index/spielbericht/2718433,2016,Regionalliga Nordost
10.12.2016,13:30,FC Energie Cottbus,FCO Neugersdorf,4.003,3,1,/spielbericht/index/spielbericht/2718435,2016,Regionalliga Nordost
18.12.2016,14:00,FC Energie Cottbus,Lok Leipzig,6.248,2,1,/spielbericht/index/spielbericht/2718449,2016,Regionalliga Nordost
08.03.2017,16:00,RB Leipzig II,FC Energie Cottbus,799,2,0,/spielbericht/index/spielbericht/2718453,2016,Regionalliga Nordost
11.02.2017,13:30,FC Energie Cottbus,FC Schönberg 95,4.181,1,0,/spielbericht/index/spielbericht/2718465,2016,Regionalliga Nordost
29.03.2017,17:30,Viktoria Berlin,FC Energie Cottbus,1.588,0,0,/spielbericht/index/spielbericht/2718476,2016,Regionalliga Nordost
25.02.2017,14:00,FC Energie Cottbus,BFC Dynamo,7.092,1,0,/spielbericht/index/spielbericht/2718486,2016,Regionalliga Nordost
05.03.2017,14:05,ZFC Meuselwitz,FC Energie Cottbus,1.370,1,2,/spielbericht/index/spielbericht/2718499,2016,Regionalliga Nordost
12.03.2017,13:00,FC Energie Cottbus,VfB Auerbach,4.545,1,3,/spielbericht/index/spielbericht/2718515,2016,Regionalliga Nordost
19.03.2017,13:30,Budissa Bautzen,FC Energie Cottbus,1.842,0,4,/spielbericht/index/spielbericht/2718517,2016,Regionalliga Nordost
02.04.2017,14:05,FC Energie Cottbus,Carl Zeiss Jena,13.290,3,1,/spielbericht/index/spielbericht/2718531,2016,Regionalliga Nordost
09.04.2017,14:00,U. Fürstenwalde,FC Energie Cottbus,2.025,1,1,/spielbericht/index/spielbericht/2718535,2016,Regionalliga Nordost
13.04.2017,19:00,FC Energie Cottbus,TSG Neustrelitz,4.412,6,1,/spielbericht/index/spielbericht/2718547,2016,Regionalliga Nordost
19.04.2017,18:00,Berliner AK,FC Energie Cottbus,848,1,1,/spielbericht/index/spielbericht/2718553,2016,Regionalliga Nordost
23.04.2017,13:30,FC Energie Cottbus,Hertha BSC II,3.925,1,1,/spielbericht/index/spielbericht/2718563,2016,Regionalliga Nordost
28.04.2017,18:02,Babelsberg 03,FC Energie Cottbus,4.171,2,1,/spielbericht/index/spielbericht/2718579,2016,Regionalliga Nordost
07.05.2017,13:30,FSV Luckenwalde,FC Energie Cottbus,867,0,3,/spielbericht/index/spielbericht/2718596,2016,Regionalliga Nordost
14.05.2017,13:30,FC Energie Cottbus,W. Nordhausen,4.267,2,0,/spielbericht/index/spielbericht/2718620,2016,Regionalliga Nordost
20.05.2017,13:30,FCO Neugersdorf,FC Energie Cottbus,812,3,2,/spielbericht/index/spielbericht/2718622,2016,Regionalliga Nordost
30.07.2017,13:30,TSG Neustrelitz,FC Energie Cottbus,1.149,0,4,/spielbericht/index/spielbericht/2885952,2017,Regionalliga Nordost
02.08.2017,19:30,FC Energie Cottbus,Chemie Leipzig,6.764,5,0,/spielbericht/index/spielbericht/2884675,2017,Regionalliga Nordost
05.08.2017,13:30,FC Energie Cottbus,Budissa Bautzen,5.113,3,1,/spielbericht/index/spielbericht/2884691,2017,Regionalliga Nordost
20.08.2017,13:30,VfB Auerbach,FC Energie Cottbus,1.280,0,4,/spielbericht/index/spielbericht/2884705,2017,Regionalliga Nordost
27.08.2017,13:30,FC Energie Cottbus,ZFC Meuselwitz,5.231,1,0,/spielbericht/index/spielbericht/2884723,2017,Regionalliga Nordost
10.09.2017,13:30,G. Halberstadt,FC Energie Cottbus,1.094,0,5,/spielbericht/index/spielbericht/2884728,2017,Regionalliga Nordost
17.09.2017,13:30,FC Energie Cottbus,BFC Dynamo,8.102,3,1,/spielbericht/index/spielbericht/2884755,2017,Regionalliga Nordost
23.09.2017,13:30,Berliner AK,FC Energie Cottbus,1.357,0,1,/spielbericht/index/spielbericht/2884777,2017,Regionalliga Nordost
29.09.2017,19:00,FC Energie Cottbus,Hertha BSC II,5.218,2,0,/spielbericht/index/spielbericht/2884806,2017,Regionalliga Nordost
03.10.2017,14:35,Lok Leipzig,FC Energie Cottbus,5.589,0,0,/spielbericht/index/spielbericht/2884876,2017,Regionalliga Nordost
15.10.2017,13:30,FC Energie Cottbus,Babelsberg 03,7.114,4,0,/spielbericht/index/spielbericht/2885008,2017,Regionalliga Nordost
22.10.2017,13:30,U. Fürstenwalde,FC Energie Cottbus,2.075,1,3,/spielbericht/index/spielbericht/2885016,2017,Regionalliga Nordost
28.10.2017,13:30,FC Energie Cottbus,FSV Luckenwalde,4.379,2,0,/spielbericht/index/spielbericht/2885026,2017,Regionalliga Nordost
04.11.2017,13:30,W. Nordhausen,FC Energie Cottbus,1.537,1,1,/spielbericht/index/spielbericht/2885737,2017,Regionalliga Nordost
18.11.2017,13:30,FC Energie Cottbus,Viktoria Berlin,4.215,1,0,/spielbericht/index/spielbericht/2885751,2017,Regionalliga Nordost
06.12.2017,19:00,Altglienicke,FC Energie Cottbus,1.185,0,2,/spielbericht/index/spielbericht/2885755,2017,Regionalliga Nordost
03.12.2017,13:30,FC Energie Cottbus,FCO Neugersdorf,4.128,2,0,/spielbericht/index/spielbericht/2885770,2017,Regionalliga Nordost
09.12.2017,13:30,FC Energie Cottbus,TSG Neustrelitz,4.019,4,1,/spielbericht/index/spielbericht/2885781,2017,Regionalliga Nordost
28.01.2018,13:30,Chemie Leipzig,FC Energie Cottbus,3.690,0,2,/spielbericht/index/spielbericht/2885789,2017,Regionalliga Nordost
04.02.2018,13:30,Budissa Bautzen,FC Energie Cottbus,1.345,0,0,/spielbericht/index/spielbericht/2885806,2017,Regionalliga Nordost
10.02.2018,13:30,FC Energie Cottbus,VfB Auerbach,4.057,1,1,/spielbericht/index/spielbericht/2885814,2017,Regionalliga Nordost
28.03.2018,18:00,ZFC Meuselwitz,FC Energie Cottbus,601,2,1,/spielbericht/index/spielbericht/2885825,2017,Regionalliga Nordost
24.02.2018,13:30,FC Energie Cottbus,G. Halberstadt,3.623,3,1,/spielbericht/index/spielbericht/2885838,2017,Regionalliga Nordost
25.04.2018,19:00,BFC Dynamo,FC Energie Cottbus,1.854,2,2,/spielbericht/index/spielbericht/2885851,2017,Regionalliga Nordost
11.03.2018,13:30,FC Energie Cottbus,Berliner AK,5.091,2,1,/spielbericht/index/spielbericht/2885854,2017,Regionalliga Nordost
11.04.2018,18:00,Hertha BSC II,FC Energie Cottbus,947,0,2,/spielbericht/index/spielbericht/2885869,2017,Regionalliga Nordost
01.04.2018,14:05,FC Energie Cottbus,Lok Leipzig,6.231,2,0,/spielbericht/index/spielbericht/2885879,2017,Regionalliga Nordost
08.04.2018,13:30,Babelsberg 03,FC Energie Cottbus,3.794,0,1,/spielbericht/index/spielbericht/2885887,2017,Regionalliga Nordost
15.04.2018,13:30,FC Energie Cottbus,U. Fürstenwalde,5.100,4,1,/spielbericht/index/spielbericht/2885896,2017,Regionalliga Nordost
18.04.2018,19:00,FSV Luckenwalde,FC Energie Cottbus,806,0,2,/spielbericht/index/spielbericht/2885906,2017,Regionalliga Nordost
22.04.2018,13:30,FC Energie Cottbus,W. Nordhausen,5.200,2,1,/spielbericht/index/spielbericht/2885912,2017,Regionalliga Nordost
29.04.2018,13:30,Viktoria Berlin,FC Energie Cottbus,1.024,0,2,/spielbericht/index/spielbericht/2885924,2017,Regionalliga Nordost
06.05.2018,13:30,FC Energie Cottbus,Altglienicke,5.768,3,0,/spielbericht/index/spielbericht/2885928,2017,Regionalliga Nordost
12.05.2018,13:30,FCO Neugersdorf,FC Energie Cottbus,737,0,3,/spielbericht/index/spielbericht/2885942,2017,Regionalliga Nordost
24.05.2018,19:00,SC Weiche 08,FC Energie Cottbus,5.972,2,3,/spielbericht/index/spielbericht/3042185,2017,Aufstiegsrunde zur 3. Liga
27.05.2018,14:00,FC Energie Cottbus,SC Weiche 08,20.056,0,0,/spielbericht/index/spielbericht/3042193,2017,Aufstiegsrunde zur 3. Liga
13.08.2017,18:30,FC Energie Cottbus,VfB Stuttgart,17.516,5,6,/spielbericht/index/spielbericht/2864713,2017,DFB-Pokal
29.07.2018,13:00,FC Energie Cottbus,Hansa Rostock,15.035,3,0,/spielbericht/index/spielbericht/3066540,2018,3. Liga
05.08.2018,13:00,Wehen Wiesbaden,FC Energie Cottbus,2.802,0,2,/spielbericht/index/spielbericht/3066556,2018,3. Liga
08.08.2018,19:00,FC Energie Cottbus,Unterhaching,8.041,2,2,/spielbericht/index/spielbericht/3066568,2018,3. Liga
12.08.2018,14:00,Würzb. Kickers,FC Energie Cottbus,5.089,3,1,/spielbericht/index/spielbericht/3066574,2018,3. Liga
25.08.2018,14:00,FC Energie Cottbus,SV Meppen,6.038,1,1,/spielbericht/index/spielbericht/3066589,2018,3. Liga
31.08.2018,19:00,1860 München,FC Energie Cottbus,15.000,2,0,/spielbericht/index/spielbericht/3066600,2018,3. Liga
15.09.2018,14:00,FC Energie Cottbus,Sonnenhof-Gr.,5.633,0,0,/spielbericht/index/spielbericht/3066616,2018,3. Liga
21.09.2018,19:00,Pr. Münster,FC Energie Cottbus,6.802,3,0,/spielbericht/index/spielbericht/3066618,2018,3. Liga
10.10.2018,19:00,FC Energie Cottbus,Hallescher FC,7.817,1,2,/spielbericht/index/spielbericht/3066636,2018,3. Liga
29.09.2018,14:00,Karlsruher SC,FC Energie Cottbus,10.805,2,0,/spielbericht/index/spielbericht/3066653,2018,3. Liga
06.10.2018,14:00,FC Energie Cottbus,FSV Zwickau,7.218,2,1,/spielbericht/index/spielbericht/3066663,2018,3. Liga
20.10.2018,14:00,Fortuna Köln,FC Energie Cottbus,2.448,3,1,/spielbericht/index/spielbericht/3066678,2018,3. Liga
27.10.2018,14:00,FC Energie Cottbus,Carl Zeiss Jena,7.302,2,1,/spielbericht/index/spielbericht/3066690,2018,3. Liga
02.11.2018,19:00,1.FC K'lautern,FC Energie Cottbus,24.005,0,2,/spielbericht/index/spielbericht/3066703,2018,3. Liga
