date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:30,1.FC Nürnberg,FC Erzgebirge Aue,37.116,1,0,/spielbericht/index/spielbericht/2460933,2014,2. Bundesliga
09.08.2014,15:30,FC Erzgebirge Aue,VfL Bochum,8.850,1,5,/spielbericht/index/spielbericht/2460949,2014,2. Bundesliga
22.08.2014,18:30,RB Leipzig,FC Erzgebirge Aue,34.273,1,0,/spielbericht/index/spielbericht/2460959,2014,2. Bundesliga
30.08.2014,13:00,FC Erzgebirge Aue,F. Düsseldorf,7.700,0,3,/spielbericht/index/spielbericht/2460969,2014,2. Bundesliga
13.09.2014,13:00,Darmstadt 98,FC Erzgebirge Aue,11.100,2,0,/spielbericht/index/spielbericht/2460978,2014,2. Bundesliga
19.09.2014,18:30,FC Erzgebirge Aue,FC St. Pauli,9.400,3,0,/spielbericht/index/spielbericht/2460987,2014,2. Bundesliga
23.09.2014,17:30,FC Ingolstadt,FC Erzgebirge Aue,4.814,1,1,/spielbericht/index/spielbericht/2460991,2014,2. Bundesliga
26.09.2014,18:30,FC Erzgebirge Aue,VfR Aalen,7.000,1,0,/spielbericht/index/spielbericht/2461004,2014,2. Bundesliga
03.10.2014,18:30,Greuther Fürth,FC Erzgebirge Aue,12.690,2,0,/spielbericht/index/spielbericht/2461006,2014,2. Bundesliga
19.10.2014,13:30,FC Erzgebirge Aue,1860 München,10.000,4,1,/spielbericht/index/spielbericht/2461021,2014,2. Bundesliga
26.10.2014,13:30,SV Sandhausen,FC Erzgebirge Aue,4.066,1,1,/spielbericht/index/spielbericht/2461030,2014,2. Bundesliga
02.11.2014,13:30,FSV Frankfurt,FC Erzgebirge Aue,4.056,1,1,/spielbericht/index/spielbericht/2461038,2014,2. Bundesliga
09.11.2014,13:30,FC Erzgebirge Aue,E. Braunschweig,10.050,1,2,/spielbericht/index/spielbericht/2461049,2014,2. Bundesliga
23.11.2014,13:30,Karlsruher SC,FC Erzgebirge Aue,12.064,1,0,/spielbericht/index/spielbericht/2461053,2014,2. Bundesliga
28.11.2014,18:30,FC Erzgebirge Aue,Union Berlin,9.100,1,2,/spielbericht/index/spielbericht/2461067,2014,2. Bundesliga
06.12.2014,13:00,1.FC K'lautern,FC Erzgebirge Aue,23.418,3,0,/spielbericht/index/spielbericht/2461070,2014,2. Bundesliga
12.12.2014,18:30,FC Erzgebirge Aue,1.FC Heidenheim,5.600,1,1,/spielbericht/index/spielbericht/2461086,2014,2. Bundesliga
17.12.2014,17:30,FC Erzgebirge Aue,1.FC Nürnberg,8.200,0,1,/spielbericht/index/spielbericht/2461095,2014,2. Bundesliga
21.12.2014,13:30,VfL Bochum,FC Erzgebirge Aue,12.025,1,1,/spielbericht/index/spielbericht/2461101,2014,2. Bundesliga
06.02.2015,18:30,FC Erzgebirge Aue,RB Leipzig,13.600,2,0,/spielbericht/index/spielbericht/2461112,2014,2. Bundesliga
13.02.2015,18:30,F. Düsseldorf,FC Erzgebirge Aue,27.257,2,3,/spielbericht/index/spielbericht/2461115,2014,2. Bundesliga
20.02.2015,18:30,FC Erzgebirge Aue,Darmstadt 98,9.000,0,1,/spielbericht/index/spielbericht/2461130,2014,2. Bundesliga
01.03.2015,13:30,FC St. Pauli,FC Erzgebirge Aue,22.590,0,0,/spielbericht/index/spielbericht/2461133,2014,2. Bundesliga
06.03.2015,18:30,FC Erzgebirge Aue,FC Ingolstadt,7.500,0,3,/spielbericht/index/spielbericht/2461148,2014,2. Bundesliga
15.03.2015,13:30,VfR Aalen,FC Erzgebirge Aue,7.421,3,0,/spielbericht/index/spielbericht/2461154,2014,2. Bundesliga
22.03.2015,13:30,FC Erzgebirge Aue,Greuther Fürth,7.600,0,0,/spielbericht/index/spielbericht/2461165,2014,2. Bundesliga
05.04.2015,13:30,1860 München,FC Erzgebirge Aue,20.300,0,1,/spielbericht/index/spielbericht/2461169,2014,2. Bundesliga
12.04.2015,13:30,FC Erzgebirge Aue,SV Sandhausen,9.250,0,1,/spielbericht/index/spielbericht/2461182,2014,2. Bundesliga
19.04.2015,13:30,FC Erzgebirge Aue,FSV Frankfurt,7.650,1,0,/spielbericht/index/spielbericht/2461192,2014,2. Bundesliga
27.04.2015,20:15,E. Braunschweig,FC Erzgebirge Aue,20.200,4,2,/spielbericht/index/spielbericht/2461195,2014,2. Bundesliga
03.05.2015,13:30,FC Erzgebirge Aue,Karlsruher SC,9.100,3,1,/spielbericht/index/spielbericht/2461210,2014,2. Bundesliga
09.05.2015,13:00,Union Berlin,FC Erzgebirge Aue,21.035,1,2,/spielbericht/index/spielbericht/2461216,2014,2. Bundesliga
17.05.2015,15:30,FC Erzgebirge Aue,1.FC K'lautern,15.300,0,0,/spielbericht/index/spielbericht/2461229,2014,2. Bundesliga
24.05.2015,15:30,1.FC Heidenheim,FC Erzgebirge Aue,15.000,2,2,/spielbericht/index/spielbericht/2461236,2014,2. Bundesliga
25.07.2015,14:00,FC Erzgebirge Aue,VfL Osnabrück,8.800,0,0,/spielbericht/index/spielbericht/2584696,2015,3. Liga
02.08.2015,14:00,Sonnenhof-Gr.,FC Erzgebirge Aue,3.320,2,0,/spielbericht/index/spielbericht/2584933,2015,3. Liga
15.08.2015,14:00,FC Erzgebirge Aue,Stuttg. Kickers,7.250,2,0,/spielbericht/index/spielbericht/2584935,2015,3. Liga
22.08.2015,14:00,Stuttgart II,FC Erzgebirge Aue,900,1,2,/spielbericht/index/spielbericht/2584952,2015,3. Liga
26.08.2015,19:00,FC Erzgebirge Aue,VfR Aalen,8.000,1,0,/spielbericht/index/spielbericht/2584955,2015,3. Liga
29.08.2015,14:00,Würzb. Kickers,FC Erzgebirge Aue,5.390,1,0,/spielbericht/index/spielbericht/2584971,2015,3. Liga
05.09.2015,14:00,FC Erzgebirge Aue,Hansa Rostock,10.850,0,0,/spielbericht/index/spielbericht/2584975,2015,3. Liga
12.09.2015,14:00,Rot-Weiß Erfurt,FC Erzgebirge Aue,6.431,0,1,/spielbericht/index/spielbericht/2584990,2015,3. Liga
18.09.2015,20:30,FC Erzgebirge Aue,Energie Cottbus,9.550,1,0,/spielbericht/index/spielbericht/2584995,2015,3. Liga
22.09.2015,18:30,FSV Mainz 05 II,FC Erzgebirge Aue,1.036,1,1,/spielbericht/index/spielbericht/2585009,2015,3. Liga
26.09.2015,14:00,FC Erzgebirge Aue,Holstein Kiel,6.700,0,0,/spielbericht/index/spielbericht/2585015,2015,3. Liga
03.10.2015,14:00,Hallescher FC,FC Erzgebirge Aue,9.030,1,0,/spielbericht/index/spielbericht/2585028,2015,3. Liga
18.10.2015,14:00,FC Erzgebirge Aue,1.FC Magdeburg,10.050,0,0,/spielbericht/index/spielbericht/2585035,2015,3. Liga
23.10.2015,19:00,W. Bremen II,FC Erzgebirge Aue,865,4,0,/spielbericht/index/spielbericht/2585047,2015,3. Liga
30.10.2015,19:00,FC Erzgebirge Aue,Wehen Wiesbaden,6.350,1,1,/spielbericht/index/spielbericht/2585055,2015,3. Liga
07.11.2015,14:00,Chemnitzer FC,FC Erzgebirge Aue,12.300,1,2,/spielbericht/index/spielbericht/2585066,2015,3. Liga
21.11.2015,14:06,FC Erzgebirge Aue,Dynamo Dresden,15.000,1,1,/spielbericht/index/spielbericht/2585075,2015,3. Liga
29.11.2015,14:00,FC Erzgebirge Aue,Fortuna Köln,6.500,2,0,/spielbericht/index/spielbericht/2585085,2015,3. Liga
05.12.2015,14:00,Pr. Münster,FC Erzgebirge Aue,6.490,0,1,/spielbericht/index/spielbericht/2585104,2015,3. Liga
12.12.2015,14:00,VfL Osnabrück,FC Erzgebirge Aue,8.444,0,0,/spielbericht/index/spielbericht/2585105,2015,3. Liga
19.12.2015,14:00,FC Erzgebirge Aue,Sonnenhof-Gr.,7.000,2,0,/spielbericht/index/spielbericht/2585123,2015,3. Liga
22.01.2016,19:00,Stuttg. Kickers,FC Erzgebirge Aue,3.800,1,1,/spielbericht/index/spielbericht/2585125,2015,3. Liga
30.01.2016,14:00,FC Erzgebirge Aue,Stuttgart II,6.050,1,0,/spielbericht/index/spielbericht/2585142,2015,3. Liga
05.02.2016,19:00,VfR Aalen,FC Erzgebirge Aue,4.980,0,2,/spielbericht/index/spielbericht/2585145,2015,3. Liga
14.02.2016,14:00,FC Erzgebirge Aue,Würzb. Kickers,6.000,0,0,/spielbericht/index/spielbericht/2585161,2015,3. Liga
20.02.2016,14:00,Hansa Rostock,FC Erzgebirge Aue,11.000,0,2,/spielbericht/index/spielbericht/2585165,2015,3. Liga
28.02.2016,14:00,FC Erzgebirge Aue,Rot-Weiß Erfurt,8.100,2,2,/spielbericht/index/spielbericht/2585180,2015,3. Liga
02.03.2016,18:30,Energie Cottbus,FC Erzgebirge Aue,6.047,0,0,/spielbericht/index/spielbericht/2585185,2015,3. Liga
06.03.2016,14:00,FC Erzgebirge Aue,FSV Mainz 05 II,6.200,1,0,/spielbericht/index/spielbericht/2585199,2015,3. Liga
12.03.2016,14:00,Holstein Kiel,FC Erzgebirge Aue,4.417,3,0,/spielbericht/index/spielbericht/2585205,2015,3. Liga
18.03.2016,17:30,FC Erzgebirge Aue,Hallescher FC,8.100,4,0,/spielbericht/index/spielbericht/2585218,2015,3. Liga
01.04.2016,20:30,1.FC Magdeburg,FC Erzgebirge Aue,21.812,0,3,/spielbericht/index/spielbericht/2585225,2015,3. Liga
09.04.2016,14:00,FC Erzgebirge Aue,W. Bremen II,8.000,1,0,/spielbericht/index/spielbericht/2585237,2015,3. Liga
15.04.2016,19:00,Wehen Wiesbaden,FC Erzgebirge Aue,3.070,1,0,/spielbericht/index/spielbericht/2585245,2015,3. Liga
24.04.2016,14:00,FC Erzgebirge Aue,Chemnitzer FC,10.000,2,0,/spielbericht/index/spielbericht/2585256,2015,3. Liga
30.04.2016,14:00,Dynamo Dresden,FC Erzgebirge Aue,29.653,1,1,/spielbericht/index/spielbericht/2585265,2015,3. Liga
07.05.2016,13:30,Fortuna Köln,FC Erzgebirge Aue,3.845,0,2,/spielbericht/index/spielbericht/2585275,2015,3. Liga
14.05.2016,13:45,FC Erzgebirge Aue,Pr. Münster,9.000,3,0,/spielbericht/index/spielbericht/2585294,2015,3. Liga
08.08.2015,15:30,FC Erzgebirge Aue,Greuther Fürth,6.000,1,0,/spielbericht/index/spielbericht/2576674,2015,DFB-Pokal
27.10.2015,19:00,FC Erzgebirge Aue,E. Frankfurt,10.750,1,0,/spielbericht/index/spielbericht/2615033,2015,DFB-Pokal
15.12.2015,20:30,FC Erzgebirge Aue,1.FC Heidenheim,8.250,0,2,/spielbericht/index/spielbericht/2636825,2015,DFB-Pokal
10.10.2015,14:00,RW Bad Muskau,FC Erzgebirge Aue,1.722,2,5,/spielbericht/index/spielbericht/2639136,2015,Landespokal Sachsen
15.11.2015,13:00,SG Taucha 99,FC Erzgebirge Aue,1.300,0,8,/spielbericht/index/spielbericht/2639143,2015,Landespokal Sachsen
27.03.2016,13:15,Dynamo Dresden,FC Erzgebirge Aue,24.956,0,3,/spielbericht/index/spielbericht/2660325,2015,Landespokal Sachsen
10.05.2016,19:00,FC Erzgebirge Aue,FSV Zwickau,7.560,1,0,/spielbericht/index/spielbericht/2689238,2015,Landespokal Sachsen
07.08.2016,15:30,1.FC Heidenheim,FC Erzgebirge Aue,11.000,1,0,/spielbericht/index/spielbericht/2704218,2016,2. Bundesliga
12.08.2016,18:30,FC Erzgebirge Aue,SV Sandhausen,7.650,2,0,/spielbericht/index/spielbericht/2704302,2016,2. Bundesliga
27.08.2016,13:00,Greuther Fürth,FC Erzgebirge Aue,8.705,3,2,/spielbericht/index/spielbericht/2704345,2016,2. Bundesliga
09.09.2016,18:30,FC Erzgebirge Aue,E. Braunschweig,8.050,0,2,/spielbericht/index/spielbericht/2704388,2016,2. Bundesliga
18.09.2016,13:30,Dynamo Dresden,FC Erzgebirge Aue,30.274,0,3,/spielbericht/index/spielbericht/2704294,2016,2. Bundesliga
21.09.2016,17:30,FC Erzgebirge Aue,Arm. Bielefeld,7.200,1,1,/spielbericht/index/spielbericht/2704329,2016,2. Bundesliga
24.09.2016,13:00,Karlsruher SC,FC Erzgebirge Aue,10.919,2,0,/spielbericht/index/spielbericht/2704372,2016,2. Bundesliga
30.09.2016,18:30,FC Erzgebirge Aue,VfL Bochum,7.300,2,4,/spielbericht/index/spielbericht/2704397,2016,2. Bundesliga
14.10.2016,18:30,FC St. Pauli,FC Erzgebirge Aue,29.075,1,2,/spielbericht/index/spielbericht/2704399,2016,2. Bundesliga
23.10.2016,13:30,FC Erzgebirge Aue,Union Berlin,10.000,1,3,/spielbericht/index/spielbericht/2704414,2016,2. Bundesliga
28.10.2016,18:30,1860 München,FC Erzgebirge Aue,16.600,6,2,/spielbericht/index/spielbericht/2704423,2016,2. Bundesliga
04.11.2016,18:30,FC Erzgebirge Aue,1.FC Nürnberg,9.000,1,2,/spielbericht/index/spielbericht/2704450,2016,2. Bundesliga
19.11.2016,13:00,Hannover 96,FC Erzgebirge Aue,31.100,2,0,/spielbericht/index/spielbericht/2704470,2016,2. Bundesliga
25.11.2016,18:30,Würzb. Kickers,FC Erzgebirge Aue,9.138,1,1,/spielbericht/index/spielbericht/2704496,2016,2. Bundesliga
04.12.2016,13:30,FC Erzgebirge Aue,VfB Stuttgart,10.000,0,4,/spielbericht/index/spielbericht/2704522,2016,2. Bundesliga
10.12.2016,13:00,1.FC K'lautern,FC Erzgebirge Aue,21.463,0,0,/spielbericht/index/spielbericht/2704537,2016,2. Bundesliga
16.12.2016,18:30,FC Erzgebirge Aue,F. Düsseldorf,7.050,0,0,/spielbericht/index/spielbericht/2704567,2016,2. Bundesliga
28.01.2017,13:00,FC Erzgebirge Aue,1.FC Heidenheim,6.300,2,1,/spielbericht/index/spielbericht/2704603,2016,2. Bundesliga
04.02.2017,13:00,SV Sandhausen,FC Erzgebirge Aue,4.783,2,0,/spielbericht/index/spielbericht/2704621,2016,2. Bundesliga
10.02.2017,18:30,FC Erzgebirge Aue,Greuther Fürth,6.500,0,0,/spielbericht/index/spielbericht/2704639,2016,2. Bundesliga
17.02.2017,18:30,E. Braunschweig,FC Erzgebirge Aue,19.630,1,1,/spielbericht/index/spielbericht/2704661,2016,2. Bundesliga
26.02.2017,13:32,FC Erzgebirge Aue,Dynamo Dresden,10.000,1,4,/spielbericht/index/spielbericht/2704693,2016,2. Bundesliga
05.03.2017,13:30,Arm. Bielefeld,FC Erzgebirge Aue,16.368,2,2,/spielbericht/index/spielbericht/2704719,2016,2. Bundesliga
10.03.2017,18:32,FC Erzgebirge Aue,Karlsruher SC,7.650,1,0,/spielbericht/index/spielbericht/2704729,2016,2. Bundesliga
19.03.2017,13:30,VfL Bochum,FC Erzgebirge Aue,13.875,1,1,/spielbericht/index/spielbericht/2704732,2016,2. Bundesliga
31.03.2017,18:30,FC Erzgebirge Aue,FC St. Pauli,10.000,1,0,/spielbericht/index/spielbericht/2704747,2016,2. Bundesliga
05.04.2017,17:30,Union Berlin,FC Erzgebirge Aue,20.877,0,1,/spielbericht/index/spielbericht/2704752,2016,2. Bundesliga
09.04.2017,13:30,FC Erzgebirge Aue,1860 München,10.000,3,0,/spielbericht/index/spielbericht/2704774,2016,2. Bundesliga
15.04.2017,13:01,1.FC Nürnberg,FC Erzgebirge Aue,24.707,2,1,/spielbericht/index/spielbericht/2704777,2016,2. Bundesliga
22.04.2017,13:03,FC Erzgebirge Aue,Hannover 96,9.700,2,2,/spielbericht/index/spielbericht/2704801,2016,2. Bundesliga
30.04.2017,13:30,FC Erzgebirge Aue,Würzb. Kickers,9.600,3,1,/spielbericht/index/spielbericht/2704811,2016,2. Bundesliga
07.05.2017,13:30,VfB Stuttgart,FC Erzgebirge Aue,59.000,3,0,/spielbericht/index/spielbericht/2704839,2016,2. Bundesliga
14.05.2017,15:30,FC Erzgebirge Aue,1.FC K'lautern,10.000,1,0,/spielbericht/index/spielbericht/2704837,2016,2. Bundesliga
21.05.2017,15:30,F. Düsseldorf,FC Erzgebirge Aue,37.320,1,0,/spielbericht/index/spielbericht/2704855,2016,2. Bundesliga
09.08.2017,20:00,1.FC Heidenheim,FC Erzgebirge Aue,10.500,2,1,/spielbericht/index/spielbericht/2871529,2017,2. Bundesliga
06.08.2017,15:30,FC Erzgebirge Aue,F. Düsseldorf,9.150,0,2,/spielbericht/index/spielbericht/2871540,2017,2. Bundesliga
18.08.2017,18:30,E. Braunschweig,FC Erzgebirge Aue,20.300,1,1,/spielbericht/index/spielbericht/2871556,2017,2. Bundesliga
26.08.2017,13:00,FC Erzgebirge Aue,1.FC Nürnberg,9.000,3,1,/spielbericht/index/spielbericht/2871578,2017,2. Bundesliga
09.09.2017,13:00,FC Ingolstadt,FC Erzgebirge Aue,10.176,1,2,/spielbericht/index/spielbericht/2871582,2017,2. Bundesliga
15.09.2017,18:30,FC Erzgebirge Aue,Holstein Kiel,9.000,0,3,/spielbericht/index/spielbericht/2871606,2017,2. Bundesliga
19.09.2017,18:30,1.FC K'lautern,FC Erzgebirge Aue,16.613,0,2,/spielbericht/index/spielbericht/2871616,2017,2. Bundesliga
22.09.2017,18:30,FC Erzgebirge Aue,SV Sandhausen,6.800,1,0,/spielbericht/index/spielbericht/2871623,2017,2. Bundesliga
30.09.2017,13:00,FC Erzgebirge Aue,Union Berlin,9.450,1,2,/spielbericht/index/spielbericht/2871634,2017,2. Bundesliga
15.10.2017,13:30,Greuther Fürth,FC Erzgebirge Aue,9.510,2,1,/spielbericht/index/spielbericht/2871641,2017,2. Bundesliga
22.10.2017,13:30,FC Erzgebirge Aue,J. Regensburg,7.550,1,0,/spielbericht/index/spielbericht/2871671,2017,2. Bundesliga
27.10.2017,18:30,FC St. Pauli,FC Erzgebirge Aue,28.742,1,1,/spielbericht/index/spielbericht/2871685,2017,2. Bundesliga
05.11.2017,13:30,FC Erzgebirge Aue,Arm. Bielefeld,7.500,1,1,/spielbericht/index/spielbericht/2871706,2017,2. Bundesliga
19.11.2017,13:30,MSV Duisburg,FC Erzgebirge Aue,13.309,3,0,/spielbericht/index/spielbericht/2871717,2017,2. Bundesliga
26.11.2017,13:30,FC Erzgebirge Aue,VfL Bochum,7.200,1,1,/spielbericht/index/spielbericht/2871742,2017,2. Bundesliga
03.12.2017,13:30,Dynamo Dresden,FC Erzgebirge Aue,30.453,4,0,/spielbericht/index/spielbericht/2871747,2017,2. Bundesliga
08.12.2017,18:30,FC Erzgebirge Aue,Darmstadt 98,6.400,1,0,/spielbericht/index/spielbericht/2871771,2017,2. Bundesliga
16.12.2017,13:00,FC Erzgebirge Aue,1.FC Heidenheim,6.500,1,1,/spielbericht/index/spielbericht/2871788,2017,2. Bundesliga
24.01.2018,20:30,F. Düsseldorf,FC Erzgebirge Aue,19.617,2,1,/spielbericht/index/spielbericht/2871805,2017,2. Bundesliga
28.01.2018,13:30,FC Erzgebirge Aue,E. Braunschweig,9.850,1,3,/spielbericht/index/spielbericht/2871824,2017,2. Bundesliga
02.02.2018,18:30,1.FC Nürnberg,FC Erzgebirge Aue,24.451,4,1,/spielbericht/index/spielbericht/2871842,2017,2. Bundesliga
