date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
16.08.2014,17:30,ASC 09 Dortmund,FC Gütersloh,450,3,1,/spielbericht/index/spielbericht/2469894,2014,Oberliga Westfalen
24.08.2014,15:00,FC Gütersloh,VfB Hüls,500,1,3,/spielbericht/index/spielbericht/2469899,2014,Oberliga Westfalen
31.08.2014,15:00,Sprockhövel,FC Gütersloh,200,1,1,/spielbericht/index/spielbericht/2485836,2014,Oberliga Westfalen
07.09.2014,15:00,FC Gütersloh,SV Zweckel,450,1,1,/spielbericht/index/spielbericht/2485844,2014,Oberliga Westfalen
14.09.2014,15:00,Neuenkirchen,FC Gütersloh,386,1,1,/spielbericht/index/spielbericht/2485861,2014,Oberliga Westfalen
21.09.2014,15:00,FC Gütersloh,Erkenschwick,402,0,3,/spielbericht/index/spielbericht/2496938,2014,Oberliga Westfalen
28.09.2014,15:00,Westf. Rhynern,FC Gütersloh,325,6,0,/spielbericht/index/spielbericht/2500782,2014,Oberliga Westfalen
05.10.2014,15:00,FC Gütersloh,SuS Stadtlohn,466,0,1,/spielbericht/index/spielbericht/2500784,2014,Oberliga Westfalen
12.10.2014,15:00,Rot Weiss Ahlen,FC Gütersloh,1.467,3,1,/spielbericht/index/spielbericht/2502537,2014,Oberliga Westfalen
19.10.2014,15:00,FC Gütersloh,SC Roland,555,2,0,/spielbericht/index/spielbericht/2504497,2014,Oberliga Westfalen
26.10.2014,15:00,A. Bielefeld II,FC Gütersloh,310,2,3,/spielbericht/index/spielbericht/2504499,2014,Oberliga Westfalen
02.11.2014,14:30,FC Gütersloh,Eintr. Rheine,525,3,1,/spielbericht/index/spielbericht/2504507,2014,Oberliga Westfalen
09.11.2014,14:30,Westfalia Herne,FC Gütersloh,250,0,3,/spielbericht/index/spielbericht/2504519,2014,Oberliga Westfalen
16.11.2014,14:30,FC Gütersloh,SV Lippstadt 08,905,1,0,/spielbericht/index/spielbericht/2504533,2014,Oberliga Westfalen
30.11.2014,14:30,FC Gütersloh,TuS Ennepetal,544,1,0,/spielbericht/index/spielbericht/2504542,2014,Oberliga Westfalen
07.12.2014,14:30,Hammer SpVg,FC Gütersloh,400,0,0,/spielbericht/index/spielbericht/2504543,2014,Oberliga Westfalen
13.05.2015,19:30,FC Gütersloh,TuS Erndtebrück,311,0,2,/spielbericht/index/spielbericht/2504560,2014,Oberliga Westfalen
