date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,15:30,FC St. Pauli,FC Ingolstadt 04,26.664,1,1,/spielbericht/index/spielbericht/2460936,2014,2. Bundesliga
10.08.2014,13:30,FC Ingolstadt 04,Darmstadt 98,9.000,2,2,/spielbericht/index/spielbericht/2460945,2014,2. Bundesliga
24.08.2014,13:30,FC Ingolstadt 04,Greuther Fürth,8.021,2,0,/spielbericht/index/spielbericht/2460956,2014,2. Bundesliga
31.08.2014,13:30,SV Sandhausen,FC Ingolstadt 04,4.000,0,3,/spielbericht/index/spielbericht/2460967,2014,2. Bundesliga
12.09.2014,18:30,FC Ingolstadt 04,VfR Aalen,6.100,4,1,/spielbericht/index/spielbericht/2460973,2014,2. Bundesliga
20.09.2014,13:00,1860 München,FC Ingolstadt 04,21.800,1,1,/spielbericht/index/spielbericht/2460983,2014,2. Bundesliga
23.09.2014,17:30,FC Ingolstadt 04,Erzgebirge Aue,4.814,1,1,/spielbericht/index/spielbericht/2460991,2014,2. Bundesliga
27.09.2014,13:00,Karlsruher SC,FC Ingolstadt 04,11.462,0,1,/spielbericht/index/spielbericht/2460999,2014,2. Bundesliga
05.10.2014,13:30,FC Ingolstadt 04,E. Braunschweig,7.750,1,0,/spielbericht/index/spielbericht/2461009,2014,2. Bundesliga
19.10.2014,13:30,FSV Frankfurt,FC Ingolstadt 04,4.160,0,1,/spielbericht/index/spielbericht/2461020,2014,2. Bundesliga
26.10.2014,13:30,FC Ingolstadt 04,1.FC Heidenheim,9.156,1,0,/spielbericht/index/spielbericht/2461028,2014,2. Bundesliga
31.10.2014,18:30,F. Düsseldorf,FC Ingolstadt 04,35.000,0,0,/spielbericht/index/spielbericht/2461036,2014,2. Bundesliga
09.11.2014,13:30,FC Ingolstadt 04,Union Berlin,8.008,3,3,/spielbericht/index/spielbericht/2461046,2014,2. Bundesliga
23.11.2014,13:30,1.FC Nürnberg,FC Ingolstadt 04,32.065,2,1,/spielbericht/index/spielbericht/2461051,2014,2. Bundesliga
29.11.2014,13:00,FC Ingolstadt 04,VfL Bochum,8.000,3,0,/spielbericht/index/spielbericht/2461064,2014,2. Bundesliga
07.12.2014,13:30,RB Leipzig,FC Ingolstadt 04,23.985,0,1,/spielbericht/index/spielbericht/2461076,2014,2. Bundesliga
14.12.2014,13:30,FC Ingolstadt 04,1.FC K'lautern,13.359,2,0,/spielbericht/index/spielbericht/2461082,2014,2. Bundesliga
17.12.2014,17:30,FC Ingolstadt 04,FC St. Pauli,9.550,2,1,/spielbericht/index/spielbericht/2461091,2014,2. Bundesliga
21.12.2014,13:30,Darmstadt 98,FC Ingolstadt 04,14.300,2,2,/spielbericht/index/spielbericht/2461104,2014,2. Bundesliga
06.02.2015,18:30,Greuther Fürth,FC Ingolstadt 04,10.620,0,1,/spielbericht/index/spielbericht/2461105,2014,2. Bundesliga
14.02.2015,13:00,FC Ingolstadt 04,SV Sandhausen,8.023,1,3,/spielbericht/index/spielbericht/2461117,2014,2. Bundesliga
20.02.2015,18:30,VfR Aalen,FC Ingolstadt 04,5.048,1,1,/spielbericht/index/spielbericht/2461128,2014,2. Bundesliga
02.03.2015,20:15,FC Ingolstadt 04,1860 München,15.000,1,1,/spielbericht/index/spielbericht/2461134,2014,2. Bundesliga
06.03.2015,18:30,Erzgebirge Aue,FC Ingolstadt 04,7.500,0,3,/spielbericht/index/spielbericht/2461148,2014,2. Bundesliga
15.03.2015,13:30,FC Ingolstadt 04,Karlsruher SC,12.156,1,3,/spielbericht/index/spielbericht/2461152,2014,2. Bundesliga
21.03.2015,13:00,E. Braunschweig,FC Ingolstadt 04,20.700,0,0,/spielbericht/index/spielbericht/2461159,2014,2. Bundesliga
