date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
29.08.2015,16:00,FC Oberneuland,Türkspor Bremen,,7,1,/spielbericht/index/spielbericht/2618857,2015,Landesliga Bremen
05.09.2015,15:00,Melchiorshausen,FC Oberneuland,,4,5,/spielbericht/index/spielbericht/2618864,2015,Landesliga Bremen
16.09.2015,20:00,FC Oberneuland,Sp. Bremerhaven,,7,0,/spielbericht/index/spielbericht/2618879,2015,Landesliga Bremen
20.09.2015,15:00,SC Borgfeld,FC Oberneuland,150,1,2,/spielbericht/index/spielbericht/2621217,2015,Landesliga Bremen
25.09.2015,20:00,FC Oberneuland,OT Bremen,,5,1,/spielbericht/index/spielbericht/2621219,2015,Landesliga Bremen
10.10.2015,15:00,Woltmershausen,FC Oberneuland,,2,1,/spielbericht/index/spielbericht/2630164,2015,Landesliga Bremen
16.10.2015,19:30,FC Oberneuland,SV Lemwerder,,4,1,/spielbericht/index/spielbericht/2630170,2015,Landesliga Bremen
24.10.2015,13:00,DJK Blumenthal,FC Oberneuland,,1,6,/spielbericht/index/spielbericht/2630178,2015,Landesliga Bremen
01.11.2015,16:00,FC Oberneuland,TuSpo Surheide,,5,0,/spielbericht/index/spielbericht/2630193,2015,Landesliga Bremen
07.11.2015,16:00,FC Oberneuland,Sebaldsbrück,,10,0,/spielbericht/index/spielbericht/2630197,2015,Landesliga Bremen
27.02.2016,14:45,FC Oberneuland,SFL Bremerhaven,30,3,1,/spielbericht/index/spielbericht/2668884,2015,Landesliga Bremen
21.11.2015,16:00,FC Oberneuland,SV Hemelingen,,1,1,/spielbericht/index/spielbericht/2630212,2015,Landesliga Bremen
28.11.2015,14:00,SC Vahr-Blockd.,FC Oberneuland,,2,4,/spielbericht/index/spielbericht/2630221,2015,Landesliga Bremen
05.12.2015,16:00,FC Oberneuland,TSV Wulsdorf,,4,1,/spielbericht/index/spielbericht/2630229,2015,Landesliga Bremen
25.03.2016,14:00,1.FC Burg,FC Oberneuland,60,2,3,/spielbericht/index/spielbericht/2630235,2015,Landesliga Bremen
06.03.2016,14:00,FC Oberneuland,Melchiorshausen,,4,1,/spielbericht/index/spielbericht/2630245,2015,Landesliga Bremen
12.03.2016,15:30,Sp. Bremerhaven,FC Oberneuland,,0,3,/spielbericht/index/spielbericht/2669846,2015,Landesliga Bremen
18.03.2016,19:30,FC Oberneuland,SC Borgfeld,,3,2,/spielbericht/index/spielbericht/2669853,2015,Landesliga Bremen
03.04.2016,15:00,OT Bremen,FC Oberneuland,,1,2,/spielbericht/index/spielbericht/2669866,2015,Landesliga Bremen
10.04.2016,14:00,FC Oberneuland,Woltmershausen,,3,2,/spielbericht/index/spielbericht/2669871,2015,Landesliga Bremen
17.04.2016,15:00,SV Lemwerder,FC Oberneuland,,2,1,/spielbericht/index/spielbericht/2669882,2015,Landesliga Bremen
24.04.2016,14:00,FC Oberneuland,DJK Blumenthal,,0,0,/spielbericht/index/spielbericht/2672187,2015,Landesliga Bremen
30.04.2016,18:00,TuSpo Surheide,FC Oberneuland,,1,5,/spielbericht/index/spielbericht/2672198,2015,Landesliga Bremen
08.05.2016,16:00,Sebaldsbrück,FC Oberneuland,,1,3,/spielbericht/index/spielbericht/2672208,2015,Landesliga Bremen
22.05.2016,14:30,SFL Bremerhaven,FC Oberneuland,400,1,2,/spielbericht/index/spielbericht/2630206,2015,Landesliga Bremen
24.05.2016,18:30,SV Hemelingen,FC Oberneuland,,2,3,/spielbericht/index/spielbericht/2672217,2015,Landesliga Bremen
27.05.2016,19:30,FC Oberneuland,SC Vahr-Blockd.,350,5,1,/spielbericht/index/spielbericht/2672224,2015,Landesliga Bremen
04.06.2016,15:00,TSV Wulsdorf,FC Oberneuland,,1,3,/spielbericht/index/spielbericht/2672236,2015,Landesliga Bremen
10.06.2016,19:30,FC Oberneuland,1.FC Burg,,4,0,/spielbericht/index/spielbericht/2672239,2015,Landesliga Bremen
07.06.2016,19:30,Türkspor Bremen,FC Oberneuland,,4,4,/spielbericht/index/spielbericht/2672250,2015,Landesliga Bremen
07.08.2016,15:00,Schwachhausen,FC Oberneuland,,2,5,/spielbericht/index/spielbericht/2720689,2016,Bremenliga
14.08.2016,15:00,FC Oberneuland,ESC Geestemünde,,4,1,/spielbericht/index/spielbericht/2721670,2016,Bremenliga
20.08.2016,13:00,Werder III,FC Oberneuland,,1,5,/spielbericht/index/spielbericht/2721673,2016,Bremenliga
28.08.2016,15:00,FC Oberneuland,BTS Neustadt,,3,1,/spielbericht/index/spielbericht/2721692,2016,Bremenliga
04.09.2016,15:00,Habenhauser FV,FC Oberneuland,,2,3,/spielbericht/index/spielbericht/2721700,2016,Bremenliga
11.09.2016,15:00,FC Oberneuland,Leher TS,,0,3,/spielbericht/index/spielbericht/2745574,2016,Bremenliga
18.09.2016,15:00,SV Grohn,FC Oberneuland,,1,8,/spielbericht/index/spielbericht/2729952,2016,Bremenliga
18.12.2016,14:00,FC Oberneuland,TSV Grolland,,1,2,/spielbericht/index/spielbericht/2760802,2016,Bremenliga
08.10.2016,15:00,OSC Bremerhaven,FC Oberneuland,,0,4,/spielbericht/index/spielbericht/2729959,2016,Bremenliga
14.10.2016,19:30,FC Oberneuland,Bremer SV,,0,3,/spielbericht/index/spielbericht/2729971,2016,Bremenliga
22.10.2016,14:00,Brinkumer SV,FC Oberneuland,,0,2,/spielbericht/index/spielbericht/2729961,2016,Bremenliga
30.10.2016,14:30,FC Oberneuland,Blumenthaler SV,,0,3,/spielbericht/index/spielbericht/2729980,2016,Bremenliga
06.11.2016,15:00,VfL 07 Bremen,FC Oberneuland,,1,3,/spielbericht/index/spielbericht/2729973,2016,Bremenliga
12.11.2016,14:30,Melchiorshausen,FC Oberneuland,,2,1,/spielbericht/index/spielbericht/2760823,2016,Bremenliga
20.11.2016,14:00,FC Oberneuland,Aumund-Vegesack,,0,1,/spielbericht/index/spielbericht/2730035,2016,Bremenliga
26.11.2016,14:00,FC Oberneuland,Schwachhausen,,1,3,/spielbericht/index/spielbericht/2729985,2016,Bremenliga
04.12.2016,11:00,ESC Geestemünde,FC Oberneuland,100,2,2,/spielbericht/index/spielbericht/2760837,2016,Bremenliga
10.12.2016,14:00,FC Oberneuland,Werder III,,2,4,/spielbericht/index/spielbericht/2729991,2016,Bremenliga
19.02.2017,13:30,BTS Neustadt,FC Oberneuland,,4,3,/spielbericht/index/spielbericht/2806766,2016,Bremenliga
