date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,Hannover 96,FC Schalke 04,49.000,2,1,/spielbericht/index/spielbericht/2460630,2014,Bundesliga
30.08.2014,18:30,FC Schalke 04,Bayern München,61.973,1,1,/spielbericht/index/spielbericht/2460635,2014,Bundesliga
13.09.2014,18:30,Bor. M'gladbach,FC Schalke 04,54.010,4,1,/spielbericht/index/spielbericht/2460647,2014,Bundesliga
20.09.2014,15:30,FC Schalke 04,E. Frankfurt,61.798,2,2,/spielbericht/index/spielbericht/2460653,2014,Bundesliga
23.09.2014,20:00,Werder Bremen,FC Schalke 04,40.139,0,3,/spielbericht/index/spielbericht/2460669,2014,Bundesliga
27.09.2014,15:30,FC Schalke 04,Bor. Dortmund,61.973,2,1,/spielbericht/index/spielbericht/2460671,2014,Bundesliga
04.10.2014,15:30,TSG Hoffenheim,FC Schalke 04,30.000,2,1,/spielbericht/index/spielbericht/2460685,2014,Bundesliga
18.10.2014,18:30,FC Schalke 04,Hertha BSC,61.973,2,0,/spielbericht/index/spielbericht/2460690,2014,Bundesliga
25.10.2014,18:30,B. Leverkusen,FC Schalke 04,30.210,1,0,/spielbericht/index/spielbericht/2460699,2014,Bundesliga
31.10.2014,20:30,FC Schalke 04,FC Augsburg,60.954,1,0,/spielbericht/index/spielbericht/2460708,2014,Bundesliga
08.11.2014,15:30,SC Freiburg,FC Schalke 04,24.000,2,0,/spielbericht/index/spielbericht/2460724,2014,Bundesliga
22.11.2014,15:30,FC Schalke 04,VfL Wolfsburg,60.989,3,2,/spielbericht/index/spielbericht/2460726,2014,Bundesliga
29.11.2014,15:30,FC Schalke 04,1.FSV Mainz 05,60.904,4,1,/spielbericht/index/spielbericht/2460734,2014,Bundesliga
06.12.2014,15:30,VfB Stuttgart,FC Schalke 04,44.700,0,4,/spielbericht/index/spielbericht/2460748,2014,Bundesliga
13.12.2014,15:30,FC Schalke 04,1.FC Köln,61.516,1,2,/spielbericht/index/spielbericht/2460752,2014,Bundesliga
17.12.2014,20:00,SC Paderborn,FC Schalke 04,15.000,1,2,/spielbericht/index/spielbericht/2460769,2014,Bundesliga
20.12.2014,15:30,FC Schalke 04,Hamburger SV,61.973,0,0,/spielbericht/index/spielbericht/2460770,2014,Bundesliga
31.01.2015,15:30,FC Schalke 04,Hannover 96,61.646,1,0,/spielbericht/index/spielbericht/2460779,2014,Bundesliga
03.02.2015,20:00,Bayern München,FC Schalke 04,75.000,1,1,/spielbericht/index/spielbericht/2460788,2014,Bundesliga
06.02.2015,20:40,FC Schalke 04,Bor. M'gladbach,61.973,1,0,/spielbericht/index/spielbericht/2460797,2014,Bundesliga
14.02.2015,18:30,E. Frankfurt,FC Schalke 04,50.400,1,0,/spielbericht/index/spielbericht/2460814,2014,Bundesliga
21.02.2015,15:30,FC Schalke 04,Werder Bremen,61.973,1,1,/spielbericht/index/spielbericht/2460815,2014,Bundesliga
28.02.2015,15:30,Bor. Dortmund,FC Schalke 04,79.500,3,0,/spielbericht/index/spielbericht/2460825,2014,Bundesliga
07.03.2015,15:30,FC Schalke 04,TSG Hoffenheim,60.607,3,1,/spielbericht/index/spielbericht/2460833,2014,Bundesliga
14.03.2015,15:30,Hertha BSC,FC Schalke 04,59.156,2,2,/spielbericht/index/spielbericht/2460848,2014,Bundesliga
21.03.2015,18:30,FC Schalke 04,B. Leverkusen,61.973,0,1,/spielbericht/index/spielbericht/2460852,2014,Bundesliga
05.04.2015,15:30,FC Augsburg,FC Schalke 04,30.660,0,0,/spielbericht/index/spielbericht/2460863,2014,Bundesliga
11.04.2015,15:30,FC Schalke 04,SC Freiburg,61.471,0,0,/spielbericht/index/spielbericht/2460870,2014,Bundesliga
19.04.2015,17:30,VfL Wolfsburg,FC Schalke 04,30.000,1,1,/spielbericht/index/spielbericht/2460880,2014,Bundesliga
24.04.2015,20:30,1.FSV Mainz 05,FC Schalke 04,34.000,2,0,/spielbericht/index/spielbericht/2460890,2014,Bundesliga
02.05.2015,15:30,FC Schalke 04,VfB Stuttgart,61.973,3,2,/spielbericht/index/spielbericht/2460896,2014,Bundesliga
10.05.2015,17:30,1.FC Köln,FC Schalke 04,46.500,2,0,/spielbericht/index/spielbericht/2460912,2014,Bundesliga
16.05.2015,15:30,FC Schalke 04,SC Paderborn,61.973,1,0,/spielbericht/index/spielbericht/2460914,2014,Bundesliga
23.05.2015,15:30,Hamburger SV,FC Schalke 04,57.000,2,0,/spielbericht/index/spielbericht/2460929,2014,Bundesliga
17.09.2014,20:45,FC Chelsea,FC Schalke 04,40.648,1,1,/spielbericht/index/spielbericht/2490854,2014,UEFA Champions League
30.09.2014,20:45,FC Schalke 04,NK Maribor,47.997,1,1,/spielbericht/index/spielbericht/2495299,2014,UEFA Champions League
21.10.2014,20:45,FC Schalke 04,Sporting,49.943,4,3,/spielbericht/index/spielbericht/2495314,2014,UEFA Champions League
05.11.2014,20:45,Sporting,FC Schalke 04,35.473,4,2,/spielbericht/index/spielbericht/2495339,2014,UEFA Champions League
25.11.2014,20:45,FC Schalke 04,FC Chelsea,54.442,0,5,/spielbericht/index/spielbericht/2495347,2014,UEFA Champions League
10.12.2014,20:45,NK Maribor,FC Schalke 04,12.516,0,1,/spielbericht/index/spielbericht/2495370,2014,UEFA Champions League
18.02.2015,20:45,FC Schalke 04,Real Madrid,54.442,0,2,/spielbericht/index/spielbericht/2517516,2014,UEFA Champions League
10.03.2015,20:45,Real Madrid,FC Schalke 04,69.986,3,4,/spielbericht/index/spielbericht/2517524,2014,UEFA Champions League
15.08.2015,15:30,Werder Bremen,FC Schalke 04,42.100,0,3,/spielbericht/index/spielbericht/2581149,2015,Bundesliga
22.08.2015,15:30,FC Schalke 04,Darmstadt 98,61.565,1,1,/spielbericht/index/spielbericht/2581174,2015,Bundesliga
28.08.2015,20:30,VfL Wolfsburg,FC Schalke 04,30.000,3,0,/spielbericht/index/spielbericht/2581185,2015,Bundesliga
13.09.2015,17:30,FC Schalke 04,1.FSV Mainz 05,60.083,2,1,/spielbericht/index/spielbericht/2581193,2015,Bundesliga
20.09.2015,15:30,VfB Stuttgart,FC Schalke 04,48.510,0,1,/spielbericht/index/spielbericht/2581636,2015,Bundesliga
23.09.2015,20:00,FC Schalke 04,E. Frankfurt,60.104,2,0,/spielbericht/index/spielbericht/2581643,2015,Bundesliga
26.09.2015,18:30,Hamburger SV,FC Schalke 04,53.192,0,1,/spielbericht/index/spielbericht/2581653,2015,Bundesliga
04.10.2015,15:30,FC Schalke 04,1.FC Köln,61.723,0,3,/spielbericht/index/spielbericht/2581667,2015,Bundesliga
17.10.2015,15:30,FC Schalke 04,Hertha BSC,61.336,2,1,/spielbericht/index/spielbericht/2581675,2015,Bundesliga
25.10.2015,17:30,Bor. M'gladbach,FC Schalke 04,54.010,3,1,/spielbericht/index/spielbericht/2581693,2015,Bundesliga
31.10.2015,15:30,FC Schalke 04,FC Ingolstadt,60.144,1,1,/spielbericht/index/spielbericht/2581699,2015,Bundesliga
08.11.2015,15:30,Bor. Dortmund,FC Schalke 04,79.956,3,2,/spielbericht/index/spielbericht/2581715,2015,Bundesliga
21.11.2015,18:30,FC Schalke 04,Bayern München,62.271,1,3,/spielbericht/index/spielbericht/2581723,2015,Bundesliga
29.11.2015,17:30,B. Leverkusen,FC Schalke 04,30.210,1,1,/spielbericht/index/spielbericht/2581740,2015,Bundesliga
04.12.2015,20:30,FC Schalke 04,Hannover 96,61.229,3,1,/spielbericht/index/spielbericht/2581753,2015,Bundesliga
13.12.2015,15:30,FC Augsburg,FC Schalke 04,28.410,2,1,/spielbericht/index/spielbericht/2581766,2015,Bundesliga
18.12.2015,20:30,FC Schalke 04,TSG Hoffenheim,60.749,1,0,/spielbericht/index/spielbericht/2581777,2015,Bundesliga
24.01.2016,17:30,FC Schalke 04,Werder Bremen,62.271,1,3,/spielbericht/index/spielbericht/2581786,2015,Bundesliga
30.01.2016,15:30,Darmstadt 98,FC Schalke 04,17.000,0,2,/spielbericht/index/spielbericht/2581815,2015,Bundesliga
06.02.2016,15:30,FC Schalke 04,VfL Wolfsburg,61.483,3,0,/spielbericht/index/spielbericht/2581822,2015,Bundesliga
12.02.2016,20:30,1.FSV Mainz 05,FC Schalke 04,32.107,2,1,/spielbericht/index/spielbericht/2581850,2015,Bundesliga
21.02.2016,17:30,FC Schalke 04,VfB Stuttgart,61.262,1,1,/spielbericht/index/spielbericht/2581853,2015,Bundesliga
28.02.2016,19:30,E. Frankfurt,FC Schalke 04,43.500,0,0,/spielbericht/index/spielbericht/2581873,2015,Bundesliga
02.03.2016,20:00,FC Schalke 04,Hamburger SV,60.856,3,2,/spielbericht/index/spielbericht/2581889,2015,Bundesliga
05.03.2016,15:30,1.FC Köln,FC Schalke 04,49.300,1,3,/spielbericht/index/spielbericht/2581910,2015,Bundesliga
11.03.2016,20:30,Hertha BSC,FC Schalke 04,51.424,2,0,/spielbericht/index/spielbericht/2581923,2015,Bundesliga
18.03.2016,20:30,FC Schalke 04,Bor. M'gladbach,62.271,2,1,/spielbericht/index/spielbericht/2581933,2015,Bundesliga
02.04.2016,15:30,FC Ingolstadt,FC Schalke 04,15.200,3,0,/spielbericht/index/spielbericht/2581949,2015,Bundesliga
10.04.2016,15:30,FC Schalke 04,Bor. Dortmund,61.670,2,2,/spielbericht/index/spielbericht/2581951,2015,Bundesliga
16.04.2016,18:30,Bayern München,FC Schalke 04,75.000,3,0,/spielbericht/index/spielbericht/2581960,2015,Bundesliga
