date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,15:30,FC St. Pauli,FC Ingolstadt,26.664,1,1,/spielbericht/index/spielbericht/2460936,2014,2. Bundesliga
08.08.2014,18:30,VfR Aalen,FC St. Pauli,9.583,2,0,/spielbericht/index/spielbericht/2460946,2014,2. Bundesliga
22.08.2014,18:30,FC St. Pauli,SV Sandhausen,26.581,2,1,/spielbericht/index/spielbericht/2460955,2014,2. Bundesliga
01.09.2014,20:15,Greuther Fürth,FC St. Pauli,14.035,3,0,/spielbericht/index/spielbericht/2460962,2014,2. Bundesliga
14.09.2014,13:30,FC St. Pauli,1860 München,27.892,1,2,/spielbericht/index/spielbericht/2460972,2014,2. Bundesliga
19.09.2014,18:30,Erzgebirge Aue,FC St. Pauli,9.400,3,0,/spielbericht/index/spielbericht/2460987,2014,2. Bundesliga
23.09.2014,17:30,FC St. Pauli,E. Braunschweig,27.013,1,0,/spielbericht/index/spielbericht/2460990,2014,2. Bundesliga
28.09.2014,13:30,FSV Frankfurt,FC St. Pauli,8.106,3,3,/spielbericht/index/spielbericht/2461003,2014,2. Bundesliga
04.10.2014,13:00,FC St. Pauli,Union Berlin,29.063,3,0,/spielbericht/index/spielbericht/2461008,2014,2. Bundesliga
20.10.2014,20:15,F. Düsseldorf,FC St. Pauli,36.255,1,0,/spielbericht/index/spielbericht/2461018,2014,2. Bundesliga
25.10.2014,13:00,FC St. Pauli,Karlsruher SC,28.093,0,4,/spielbericht/index/spielbericht/2461027,2014,2. Bundesliga
01.11.2014,13:00,1.FC Nürnberg,FC St. Pauli,37.033,2,2,/spielbericht/index/spielbericht/2461033,2014,2. Bundesliga
08.11.2014,13:00,FC St. Pauli,1.FC Heidenheim,22.884,0,3,/spielbericht/index/spielbericht/2461045,2014,2. Bundesliga
23.11.2014,13:30,RB Leipzig,FC St. Pauli,38.660,4,1,/spielbericht/index/spielbericht/2461059,2014,2. Bundesliga
30.11.2014,13:30,FC St. Pauli,1.FC K'lautern,23.584,1,3,/spielbericht/index/spielbericht/2461063,2014,2. Bundesliga
05.12.2014,18:30,VfL Bochum,FC St. Pauli,17.134,3,3,/spielbericht/index/spielbericht/2461074,2014,2. Bundesliga
14.12.2014,13:30,FC St. Pauli,Darmstadt 98,22.500,0,1,/spielbericht/index/spielbericht/2461081,2014,2. Bundesliga
17.12.2014,17:30,FC Ingolstadt,FC St. Pauli,9.550,2,1,/spielbericht/index/spielbericht/2461091,2014,2. Bundesliga
20.12.2014,13:00,FC St. Pauli,VfR Aalen,21.712,3,1,/spielbericht/index/spielbericht/2461100,2014,2. Bundesliga
07.02.2015,13:00,SV Sandhausen,FC St. Pauli,7.364,0,0,/spielbericht/index/spielbericht/2461110,2014,2. Bundesliga
16.02.2015,20:15,FC St. Pauli,Greuther Fürth,23.383,0,1,/spielbericht/index/spielbericht/2461116,2014,2. Bundesliga
21.02.2015,13:00,1860 München,FC St. Pauli,25.100,2,1,/spielbericht/index/spielbericht/2461126,2014,2. Bundesliga
01.03.2015,13:30,FC St. Pauli,Erzgebirge Aue,22.590,0,0,/spielbericht/index/spielbericht/2461133,2014,2. Bundesliga
07.03.2015,13:00,E. Braunschweig,FC St. Pauli,23.325,0,2,/spielbericht/index/spielbericht/2461141,2014,2. Bundesliga
14.03.2015,13:00,FC St. Pauli,FSV Frankfurt,22.884,1,1,/spielbericht/index/spielbericht/2461151,2014,2. Bundesliga
20.03.2015,18:30,Union Berlin,FC St. Pauli,21.717,1,0,/spielbericht/index/spielbericht/2461163,2014,2. Bundesliga
06.04.2015,20:15,FC St. Pauli,F. Düsseldorf,22.854,4,0,/spielbericht/index/spielbericht/2461170,2014,2. Bundesliga
10.04.2015,18:30,Karlsruher SC,FC St. Pauli,23.359,3,0,/spielbericht/index/spielbericht/2461178,2014,2. Bundesliga
17.04.2015,18:30,FC St. Pauli,1.FC Nürnberg,23.584,1,0,/spielbericht/index/spielbericht/2461188,2014,2. Bundesliga
26.04.2015,13:30,1.FC Heidenheim,FC St. Pauli,15.000,2,1,/spielbericht/index/spielbericht/2461201,2014,2. Bundesliga
03.05.2015,13:30,FC St. Pauli,RB Leipzig,23.584,1,0,/spielbericht/index/spielbericht/2461206,2014,2. Bundesliga
09.05.2015,13:00,1.FC K'lautern,FC St. Pauli,45.035,0,2,/spielbericht/index/spielbericht/2461213,2014,2. Bundesliga
17.05.2015,15:30,FC St. Pauli,VfL Bochum,23.584,5,1,/spielbericht/index/spielbericht/2461224,2014,2. Bundesliga
24.05.2015,15:30,Darmstadt 98,FC St. Pauli,16.150,1,0,/spielbericht/index/spielbericht/2461238,2014,2. Bundesliga
25.07.2015,15:30,FC St. Pauli,Arm. Bielefeld,29.546,0,0,/spielbericht/index/spielbericht/2581162,2015,2. Bundesliga
02.08.2015,15:30,Karlsruher SC,FC St. Pauli,21.899,1,2,/spielbericht/index/spielbericht/2581413,2015,2. Bundesliga
16.08.2015,13:30,FC St. Pauli,Greuther Fürth,28.421,3,2,/spielbericht/index/spielbericht/2581441,2015,2. Bundesliga
23.08.2015,13:30,RB Leipzig,FC St. Pauli,41.795,0,1,/spielbericht/index/spielbericht/2583819,2015,2. Bundesliga
30.08.2015,13:30,FSV Frankfurt,FC St. Pauli,10.217,1,0,/spielbericht/index/spielbericht/2583833,2015,2. Bundesliga
14.09.2015,20:15,FC St. Pauli,MSV Duisburg,29.546,2,0,/spielbericht/index/spielbericht/2583840,2015,2. Bundesliga
20.09.2015,13:30,E. Braunschweig,FC St. Pauli,23.050,0,0,/spielbericht/index/spielbericht/2583846,2015,2. Bundesliga
23.09.2015,17:30,FC St. Pauli,1.FC Heidenheim,29.154,1,0,/spielbericht/index/spielbericht/2583857,2015,2. Bundesliga
26.09.2015,13:00,SC Paderborn,FC St. Pauli,13.102,0,0,/spielbericht/index/spielbericht/2583863,2015,2. Bundesliga
03.10.2015,13:00,FC St. Pauli,SV Sandhausen,29.546,1,3,/spielbericht/index/spielbericht/2583876,2015,2. Bundesliga
17.10.2015,13:00,Union Berlin,FC St. Pauli,22.012,3,3,/spielbericht/index/spielbericht/2583884,2015,2. Bundesliga
25.10.2015,13:30,FC St. Pauli,SC Freiburg,29.546,1,0,/spielbericht/index/spielbericht/2583894,2015,2. Bundesliga
30.10.2015,18:30,VfL Bochum,FC St. Pauli,25.914,1,1,/spielbericht/index/spielbericht/2583903,2015,2. Bundesliga
09.11.2015,20:15,FC St. Pauli,F. Düsseldorf,29.017,4,0,/spielbericht/index/spielbericht/2583913,2015,2. Bundesliga
21.11.2015,13:00,1860 München,FC St. Pauli,30.100,2,0,/spielbericht/index/spielbericht/2583921,2015,2. Bundesliga
