date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,10:45,FC Teutonia 05 Ottensen,Wedeler TSV,,1,3,/spielbericht/index/spielbericht/2500962,2014,Landesliga Hammonia
10.08.2014,15:00,FC Elmshorn II,FC Teutonia 05 Ottensen,60,1,4,/spielbericht/index/spielbericht/2501017,2014,Landesliga Hammonia
17.08.2014,10:45,FC Teutonia 05 Ottensen,SV Blankenese,,1,0,/spielbericht/index/spielbericht/2504354,2014,Landesliga Hammonia
22.08.2014,19:30,BW Schenefeld,FC Teutonia 05 Ottensen,70,2,2,/spielbericht/index/spielbericht/2504363,2014,Landesliga Hammonia
31.08.2014,15:00,TBS Pinneberg,FC Teutonia 05 Ottensen,135,2,2,/spielbericht/index/spielbericht/2504371,2014,Landesliga Hammonia
07.09.2014,10:45,FC Teutonia 05 Ottensen,TuRa Harksheide,150,0,1,/spielbericht/index/spielbericht/2504379,2014,Landesliga Hammonia
14.09.2014,15:00,TSV Uetersen,FC Teutonia 05 Ottensen,100,1,3,/spielbericht/index/spielbericht/2504390,2014,Landesliga Hammonia
21.09.2014,10:45,FC Teutonia 05 Ottensen,TSV Sasel,100,1,3,/spielbericht/index/spielbericht/2504397,2014,Landesliga Hammonia
28.09.2014,15:00,Pinneberg II,FC Teutonia 05 Ottensen,80,0,1,/spielbericht/index/spielbericht/2504406,2014,Landesliga Hammonia
05.10.2014,10:45,FC Teutonia 05 Ottensen,SV Eidelstedt,100,1,2,/spielbericht/index/spielbericht/2504412,2014,Landesliga Hammonia
12.10.2014,15:00,SC Victoria II,FC Teutonia 05 Ottensen,,3,3,/spielbericht/index/spielbericht/2504673,2014,Landesliga Hammonia
19.10.2014,10:45,FC Teutonia 05 Ottensen,SC Sperber,,1,0,/spielbericht/index/spielbericht/2506594,2014,Landesliga Hammonia
26.10.2014,12:00,SV Lurup,FC Teutonia 05 Ottensen,,5,0,/spielbericht/index/spielbericht/2506999,2014,Landesliga Hammonia
02.11.2014,10:45,FC Teutonia 05 Ottensen,TuS Osdorf,,2,4,/spielbericht/index/spielbericht/2508667,2014,Landesliga Hammonia
09.11.2014,14:00,SCALA,FC Teutonia 05 Ottensen,,6,1,/spielbericht/index/spielbericht/2510786,2014,Landesliga Hammonia
16.11.2014,11:30,Wedeler TSV,FC Teutonia 05 Ottensen,,3,2,/spielbericht/index/spielbericht/2511698,2014,Landesliga Hammonia
23.11.2014,10:45,FC Teutonia 05 Ottensen,FC Elmshorn II,,4,2,/spielbericht/index/spielbericht/2514061,2014,Landesliga Hammonia
28.11.2014,19:30,SV Blankenese,FC Teutonia 05 Ottensen,,0,0,/spielbericht/index/spielbericht/2515833,2014,Landesliga Hammonia
15.02.2015,10:45,FC Teutonia 05 Ottensen,BW Schenefeld,,0,0,/spielbericht/index/spielbericht/2535913,2014,Landesliga Hammonia
22.02.2015,10:45,FC Teutonia 05 Ottensen,TBS Pinneberg,,1,3,/spielbericht/index/spielbericht/2537389,2014,Landesliga Hammonia
27.02.2015,19:30,TuRa Harksheide,FC Teutonia 05 Ottensen,,3,1,/spielbericht/index/spielbericht/2544485,2014,Landesliga Hammonia
08.03.2015,10:45,FC Teutonia 05 Ottensen,TSV Uetersen,,1,1,/spielbericht/index/spielbericht/2544498,2014,Landesliga Hammonia
15.03.2015,15:00,TSV Sasel,FC Teutonia 05 Ottensen,,0,0,/spielbericht/index/spielbericht/2545513,2014,Landesliga Hammonia
06.04.2015,10:45,FC Teutonia 05 Ottensen,Pinneberg II,,3,0,/spielbericht/index/spielbericht/2545520,2014,Landesliga Hammonia
14.04.2015,18:30,SV Eidelstedt,FC Teutonia 05 Ottensen,,1,1,/spielbericht/index/spielbericht/2545530,2014,Landesliga Hammonia
12.04.2015,10:45,FC Teutonia 05 Ottensen,SC Victoria II,,1,0,/spielbericht/index/spielbericht/2545536,2014,Landesliga Hammonia
17.04.2015,19:30,SC Sperber,FC Teutonia 05 Ottensen,,3,0,/spielbericht/index/spielbericht/2560920,2014,Landesliga Hammonia
26.04.2015,10:45,FC Teutonia 05 Ottensen,SV Lurup,,0,1,/spielbericht/index/spielbericht/2560932,2014,Landesliga Hammonia
01.05.2015,19:30,TuS Osdorf,FC Teutonia 05 Ottensen,,1,0,/spielbericht/index/spielbericht/2560939,2014,Landesliga Hammonia
10.05.2015,15:00,FC Teutonia 05 Ottensen,SCALA,,5,0,/spielbericht/index/spielbericht/2560946,2014,Landesliga Hammonia
02.08.2015,10:45,FC Teutonia 05 Ottensen,TSV Sasel,,3,0,/spielbericht/index/spielbericht/2607024,2015,Landesliga Hammonia
07.08.2015,19:30,FC Elmshorn,FC Teutonia 05 Ottensen,,4,6,/spielbericht/index/spielbericht/2610852,2015,Landesliga Hammonia
16.08.2015,10:45,FC Teutonia 05 Ottensen,Pinneberg II,,0,1,/spielbericht/index/spielbericht/2610861,2015,Landesliga Hammonia
30.08.2015,10:45,FC Teutonia 05 Ottensen,HSV III,,1,1,/spielbericht/index/spielbericht/2623775,2015,Landesliga Hammonia
04.09.2015,19:30,BW Schenefeld,FC Teutonia 05 Ottensen,,0,0,/spielbericht/index/spielbericht/2623786,2015,Landesliga Hammonia
13.09.2015,10:45,FC Teutonia 05 Ottensen,TuRa Harksheide,,0,3,/spielbericht/index/spielbericht/2623792,2015,Landesliga Hammonia
20.09.2015,14:00,SCALA,FC Teutonia 05 Ottensen,,1,3,/spielbericht/index/spielbericht/2623803,2015,Landesliga Hammonia
27.09.2015,15:00,TBS Pinneberg,FC Teutonia 05 Ottensen,,3,0,/spielbericht/index/spielbericht/2623813,2015,Landesliga Hammonia
11.10.2015,10:45,FC Teutonia 05 Ottensen,Wedeler TSV,,1,3,/spielbericht/index/spielbericht/2623820,2015,Landesliga Hammonia
07.02.2016,11:00,Halstenbek II,FC Teutonia 05 Ottensen,,4,1,/spielbericht/index/spielbericht/2623826,2015,Landesliga Hammonia
25.10.2015,10:45,FC Teutonia 05 Ottensen,Nikola Tesla,,2,0,/spielbericht/index/spielbericht/2623835,2015,Landesliga Hammonia
01.11.2015,14:00,SV Eidelstedt,FC Teutonia 05 Ottensen,,0,0,/spielbericht/index/spielbericht/2623847,2015,Landesliga Hammonia
08.11.2015,12:00,FC Teutonia 05 Ottensen,HEBC Hamburg,,5,0,/spielbericht/index/spielbericht/2623851,2015,Landesliga Hammonia
19.12.2015,16:00,FC Teutonia 05 Ottensen,Germ. Schnelsen,,4,0,/spielbericht/index/spielbericht/2623867,2015,Landesliga Hammonia
27.11.2015,19:30,TuS Osdorf,FC Teutonia 05 Ottensen,,3,1,/spielbericht/index/spielbericht/2623873,2015,Landesliga Hammonia
06.12.2015,14:00,TSV Sasel,FC Teutonia 05 Ottensen,,4,1,/spielbericht/index/spielbericht/2623885,2015,Landesliga Hammonia
13.12.2015,12:00,FC Teutonia 05 Ottensen,FC Elmshorn,,0,0,/spielbericht/index/spielbericht/2623890,2015,Landesliga Hammonia
03.05.2016,19:00,Pinneberg II,FC Teutonia 05 Ottensen,,1,0,/spielbericht/index/spielbericht/2623900,2015,Landesliga Hammonia
26.02.2016,20:00,HSV III,FC Teutonia 05 Ottensen,,3,0,/spielbericht/index/spielbericht/2623984,2015,Landesliga Hammonia
06.03.2016,10:45,FC Teutonia 05 Ottensen,BW Schenefeld,,3,3,/spielbericht/index/spielbericht/2623989,2015,Landesliga Hammonia
11.03.2016,19:30,TuRa Harksheide,FC Teutonia 05 Ottensen,,3,4,/spielbericht/index/spielbericht/2623997,2015,Landesliga Hammonia
20.03.2016,10:45,FC Teutonia 05 Ottensen,SCALA,,1,1,/spielbericht/index/spielbericht/2624006,2015,Landesliga Hammonia
28.03.2016,10:45,FC Teutonia 05 Ottensen,TBS Pinneberg,,2,1,/spielbericht/index/spielbericht/2624016,2015,Landesliga Hammonia
03.04.2016,14:00,Wedeler TSV,FC Teutonia 05 Ottensen,,0,0,/spielbericht/index/spielbericht/2624023,2015,Landesliga Hammonia
10.04.2016,10:45,FC Teutonia 05 Ottensen,Halstenbek II,,3,2,/spielbericht/index/spielbericht/2624031,2015,Landesliga Hammonia
17.04.2016,12:00,Nikola Tesla,FC Teutonia 05 Ottensen,126,1,2,/spielbericht/index/spielbericht/2624038,2015,Landesliga Hammonia
24.04.2016,10:45,FC Teutonia 05 Ottensen,SV Eidelstedt,,0,3,/spielbericht/index/spielbericht/2624046,2015,Landesliga Hammonia
05.05.2016,10:45,HEBC Hamburg,FC Teutonia 05 Ottensen,,5,3,/spielbericht/index/spielbericht/2624056,2015,Landesliga Hammonia
15.05.2016,15:00,Germ. Schnelsen,FC Teutonia 05 Ottensen,,1,1,/spielbericht/index/spielbericht/2624073,2015,Landesliga Hammonia
22.05.2016,15:00,FC Teutonia 05 Ottensen,TuS Osdorf,,1,6,/spielbericht/index/spielbericht/2624079,2015,Landesliga Hammonia
31.07.2016,10:45,FC Teutonia 05 Ottensen,SC Victoria II,,7,0,/spielbericht/index/spielbericht/2705922,2016,Landesliga Hammonia
05.08.2016,19:30,TuRa Harksheide,FC Teutonia 05 Ottensen,248,2,4,/spielbericht/index/spielbericht/2705930,2016,Landesliga Hammonia
14.08.2016,10:45,FC Teutonia 05 Ottensen,Germ. Schnelsen,,5,1,/spielbericht/index/spielbericht/2705938,2016,Landesliga Hammonia
19.08.2016,19:00,SV Lurup,FC Teutonia 05 Ottensen,,0,7,/spielbericht/index/spielbericht/2705943,2016,Landesliga Hammonia
28.08.2016,10:45,FC Teutonia 05 Ottensen,Pinneberg II,,4,1,/spielbericht/index/spielbericht/2705954,2016,Landesliga Hammonia
02.09.2016,19:30,BW Schenefeld,FC Teutonia 05 Ottensen,,1,2,/spielbericht/index/spielbericht/2705960,2016,Landesliga Hammonia
11.09.2016,10:45,FC Teutonia 05 Ottensen,SCALA,,3,1,/spielbericht/index/spielbericht/2705971,2016,Landesliga Hammonia
15.09.2016,19:30,Niendorf II,FC Teutonia 05 Ottensen,92,1,4,/spielbericht/index/spielbericht/2758899,2016,Landesliga Hammonia
25.09.2016,10:45,FC Teutonia 05 Ottensen,HEBC Hamburg,170,5,3,/spielbericht/index/spielbericht/2758912,2016,Landesliga Hammonia
30.09.2016,20:00,HSV III,FC Teutonia 05 Ottensen,,4,4,/spielbericht/index/spielbericht/2758916,2016,Landesliga Hammonia
09.10.2016,10:45,FC Teutonia 05 Ottensen,Union Tornesch,,3,0,/spielbericht/index/spielbericht/2758927,2016,Landesliga Hammonia
16.10.2016,13:00,SV Eidelstedt,FC Teutonia 05 Ottensen,,0,1,/spielbericht/index/spielbericht/2758936,2016,Landesliga Hammonia
23.10.2016,10:45,FC Teutonia 05 Ottensen,FC Elmshorn,,4,1,/spielbericht/index/spielbericht/2758944,2016,Landesliga Hammonia
27.10.2016,20:00,SC Sternschanze,FC Teutonia 05 Ottensen,,0,6,/spielbericht/index/spielbericht/2758952,2016,Landesliga Hammonia
06.11.2016,09:45,FC Teutonia 05 Ottensen,Inter Hamburg,,7,1,/spielbericht/index/spielbericht/2758960,2016,Landesliga Hammonia
12.11.2016,12:00,SC Victoria II,FC Teutonia 05 Ottensen,100,0,4,/spielbericht/index/spielbericht/2758967,2016,Landesliga Hammonia
20.11.2016,09:45,FC Teutonia 05 Ottensen,TuRa Harksheide,,2,3,/spielbericht/index/spielbericht/2758974,2016,Landesliga Hammonia
09.12.2016,19:30,Germ. Schnelsen,FC Teutonia 05 Ottensen,,0,3,/spielbericht/index/spielbericht/2758982,2016,Landesliga Hammonia
04.12.2016,09:45,FC Teutonia 05 Ottensen,SV Lurup,,3,0,/spielbericht/index/spielbericht/2758990,2016,Landesliga Hammonia
05.03.2017,12:00,Pinneberg II,FC Teutonia 05 Ottensen,,2,2,/spielbericht/index/spielbericht/2837806,2016,Landesliga Hammonia
12.03.2017,10:45,FC Teutonia 05 Ottensen,BW Schenefeld,,2,0,/spielbericht/index/spielbericht/2841841,2016,Landesliga Hammonia
19.03.2017,14:00,SCALA,FC Teutonia 05 Ottensen,,0,4,/spielbericht/index/spielbericht/2841853,2016,Landesliga Hammonia
24.03.2017,19:15,FC Teutonia 05 Ottensen,Niendorf II,,3,0,/spielbericht/index/spielbericht/2844749,2016,Landesliga Hammonia
02.04.2017,10:45,HEBC Hamburg,FC Teutonia 05 Ottensen,,3,2,/spielbericht/index/spielbericht/2844743,2016,Landesliga Hammonia
07.04.2017,00:00,FC Teutonia 05 Ottensen,HSV III,,3,1,/spielbericht/index/spielbericht/2861301,2016,Landesliga Hammonia
21.04.2017,00:00,Union Tornesch,FC Teutonia 05 Ottensen,,4,0,/spielbericht/index/spielbericht/2861311,2016,Landesliga Hammonia
29.04.2017,00:00,FC Teutonia 05 Ottensen,SV Eidelstedt,,6,2,/spielbericht/index/spielbericht/2861315,2016,Landesliga Hammonia
05.05.2017,00:00,FC Elmshorn,FC Teutonia 05 Ottensen,,3,4,/spielbericht/index/spielbericht/2861320,2016,Landesliga Hammonia
12.05.2017,00:00,FC Teutonia 05 Ottensen,SC Sternschanze,,4,5,/spielbericht/index/spielbericht/2861333,2016,Landesliga Hammonia
21.05.2017,00:00,Inter Hamburg,FC Teutonia 05 Ottensen,,6,5,/spielbericht/index/spielbericht/2861336,2016,Landesliga Hammonia
30.07.2017,10:45,FC Teutonia 05 Ottensen,SC Condor,150,2,1,/spielbericht/index/spielbericht/2885338,2017,Oberliga Hamburg
06.08.2017,16:00,Barmbek-U.,FC Teutonia 05 Ottensen,442,1,5,/spielbericht/index/spielbericht/2885429,2017,Oberliga Hamburg
15.08.2017,18:30,FC Teutonia 05 Ottensen,HSV III,,3,0,/spielbericht/index/spielbericht/2885441,2017,Oberliga Hamburg
18.08.2017,20:00,FC Süderelbe,FC Teutonia 05 Ottensen,184,2,0,/spielbericht/index/spielbericht/2885452,2017,Oberliga Hamburg
27.08.2017,10:45,FC Teutonia 05 Ottensen,TSV Sasel,,3,1,/spielbericht/index/spielbericht/2885459,2017,Oberliga Hamburg
03.09.2017,18:00,SV Rugenbergen,FC Teutonia 05 Ottensen,,1,1,/spielbericht/index/spielbericht/2885472,2017,Oberliga Hamburg
08.09.2017,18:30,FC Teutonia 05 Ottensen,VfL Pinneberg,139,1,0,/spielbericht/index/spielbericht/2885478,2017,Oberliga Hamburg
17.09.2017,15:00,V/W Billstedt,FC Teutonia 05 Ottensen,129,1,3,/spielbericht/index/spielbericht/2885491,2017,Oberliga Hamburg
22.09.2017,19:00,TuS Dassendorf,FC Teutonia 05 Ottensen,358,2,1,/spielbericht/index/spielbericht/2885494,2017,Oberliga Hamburg
01.10.2017,10:45,FC Teutonia 05 Ottensen,FC Türkiye,193,5,0,/spielbericht/index/spielbericht/2885505,2017,Oberliga Hamburg
08.10.2017,14:00,Niendorfer TSV,FC Teutonia 05 Ottensen,,3,0,/spielbericht/index/spielbericht/2885515,2017,Oberliga Hamburg
15.10.2017,10:45,FC Teutonia 05 Ottensen,SV Curslack-N.,123,5,0,/spielbericht/index/spielbericht/2885523,2017,Oberliga Hamburg
22.10.2017,15:00,Concordia,FC Teutonia 05 Ottensen,110,2,2,/spielbericht/index/spielbericht/2885536,2017,Oberliga Hamburg
29.10.2017,10:45,FC Teutonia 05 Ottensen,TSV Buchholz 08,126,0,3,/spielbericht/index/spielbericht/2885540,2017,Oberliga Hamburg
05.11.2017,14:00,Wedeler TSV,FC Teutonia 05 Ottensen,100,1,2,/spielbericht/index/spielbericht/2885554,2017,Oberliga Hamburg
12.11.2017,10:45,FC Teutonia 05 Ottensen,TuS Osdorf,,5,2,/spielbericht/index/spielbericht/2885558,2017,Oberliga Hamburg
19.11.2017,10:45,FC Teutonia 05 Ottensen,SC Victoria,70,2,1,/spielbericht/index/spielbericht/2885566,2017,Oberliga Hamburg
26.11.2017,11:00,SC Condor,FC Teutonia 05 Ottensen,100,1,6,/spielbericht/index/spielbericht/2885574,2017,Oberliga Hamburg
03.12.2017,10:45,FC Teutonia 05 Ottensen,Barmbek-U.,100,4,1,/spielbericht/index/spielbericht/2885585,2017,Oberliga Hamburg
09.02.2018,20:00,HSV III,FC Teutonia 05 Ottensen,,2,4,/spielbericht/index/spielbericht/2885595,2017,Oberliga Hamburg
18.02.2018,10:45,FC Teutonia 05 Ottensen,FC Süderelbe,171,0,1,/spielbericht/index/spielbericht/2885603,2017,Oberliga Hamburg
25.02.2018,15:00,TSV Sasel,FC Teutonia 05 Ottensen,200,3,4,/spielbericht/index/spielbericht/2885617,2017,Oberliga Hamburg
20.03.2018,19:00,FC Teutonia 05 Ottensen,SV Rugenbergen,50,2,0,/spielbericht/index/spielbericht/2885621,2017,Oberliga Hamburg
11.03.2018,14:00,VfL Pinneberg,FC Teutonia 05 Ottensen,100,0,4,/spielbericht/index/spielbericht/2885632,2017,Oberliga Hamburg
18.03.2018,10:45,FC Teutonia 05 Ottensen,V/W Billstedt,141,2,1,/spielbericht/index/spielbericht/2885640,2017,Oberliga Hamburg
25.03.2018,10:45,FC Teutonia 05 Ottensen,TuS Dassendorf,387,2,4,/spielbericht/index/spielbericht/2885649,2017,Oberliga Hamburg
30.03.2018,14:30,FC Türkiye,FC Teutonia 05 Ottensen,70,5,7,/spielbericht/index/spielbericht/2885657,2017,Oberliga Hamburg
08.04.2018,10:45,FC Teutonia 05 Ottensen,Niendorfer TSV,,1,1,/spielbericht/index/spielbericht/2885667,2017,Oberliga Hamburg
14.04.2018,15:00,SV Curslack-N.,FC Teutonia 05 Ottensen,68,3,2,/spielbericht/index/spielbericht/2885676,2017,Oberliga Hamburg
22.04.2018,10:45,FC Teutonia 05 Ottensen,Concordia,125,4,2,/spielbericht/index/spielbericht/2885684,2017,Oberliga Hamburg
29.04.2018,14:00,TSV Buchholz 08,FC Teutonia 05 Ottensen,280,2,0,/spielbericht/index/spielbericht/2885696,2017,Oberliga Hamburg
06.05.2018,10:45,FC Teutonia 05 Ottensen,Wedeler TSV,,4,1,/spielbericht/index/spielbericht/2885702,2017,Oberliga Hamburg
11.05.2018,19:30,TuS Osdorf,FC Teutonia 05 Ottensen,300,2,4,/spielbericht/index/spielbericht/2885711,2017,Oberliga Hamburg
15.05.2018,19:30,SC Victoria,FC Teutonia 05 Ottensen,237,1,2,/spielbericht/index/spielbericht/2885723,2017,Oberliga Hamburg
22.05.2018,19:30,VfL Oldenburg,FC Teutonia 05 Ottensen,453,5,0,/spielbericht/index/spielbericht/3043420,2017,Aufstiegsrunde zur Regionalliga Nord
