date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,19:00,TSG Neustrelitz,FC Viktoria 1889 Berlin,1.028,1,2,/spielbericht/index/spielbericht/2479113,2014,Regionalliga Nordost
10.08.2014,13:30,FC Viktoria 1889 Berlin,Budissa Bautzen,453,0,1,/spielbericht/index/spielbericht/2479125,2014,Regionalliga Nordost
03.09.2014,18:15,Carl Zeiss Jena,FC Viktoria 1889 Berlin,2.583,3,1,/spielbericht/index/spielbericht/2479324,2014,Regionalliga Nordost
22.08.2014,19:00,FC Viktoria 1889 Berlin,BFC Dynamo,1.470,1,3,/spielbericht/index/spielbericht/2479327,2014,Regionalliga Nordost
29.08.2014,18:30,Hertha BSC II,FC Viktoria 1889 Berlin,436,1,2,/spielbericht/index/spielbericht/2479333,2014,Regionalliga Nordost
14.09.2014,13:30,FC Viktoria 1889 Berlin,VfB Auerbach,409,0,0,/spielbericht/index/spielbericht/2479346,2014,Regionalliga Nordost
20.09.2014,13:30,FC Viktoria 1889 Berlin,Union Berlin II,543,2,3,/spielbericht/index/spielbericht/2479351,2014,Regionalliga Nordost
28.09.2014,13:30,G. Halberstadt,FC Viktoria 1889 Berlin,450,2,0,/spielbericht/index/spielbericht/2479359,2014,Regionalliga Nordost
05.10.2014,13:30,FC Viktoria 1889 Berlin,Babelsberg 03,1.212,1,1,/spielbericht/index/spielbericht/2479369,2014,Regionalliga Nordost
19.10.2014,13:30,VFC Plauen,FC Viktoria 1889 Berlin,907,0,2,/spielbericht/index/spielbericht/2479373,2014,Regionalliga Nordost
26.10.2014,13:30,FC Viktoria 1889 Berlin,ZFC Meuselwitz,401,1,1,/spielbericht/index/spielbericht/2479385,2014,Regionalliga Nordost
02.11.2014,13:30,FSV Zwickau,FC Viktoria 1889 Berlin,1.440,3,0,/spielbericht/index/spielbericht/2479395,2014,Regionalliga Nordost
09.11.2014,13:30,FC Viktoria 1889 Berlin,W. Nordhausen,431,1,2,/spielbericht/index/spielbericht/2479401,2014,Regionalliga Nordost
