date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,14:00,FC Viktoria Köln,M'gladbach II,973,3,1,/spielbericht/index/spielbericht/2470740,2014,Regionalliga West
09.08.2014,14:00,Schalke 04 II,FC Viktoria Köln,380,0,4,/spielbericht/index/spielbericht/2470752,2014,Regionalliga West
17.09.2014,19:30,KFC Uerdingen,FC Viktoria Köln,1.806,1,1,/spielbericht/index/spielbericht/2470760,2014,Regionalliga West
23.08.2014,14:00,FC Viktoria Köln,SV Rödinghausen,655,5,0,/spielbericht/index/spielbericht/2470769,2014,Regionalliga West
29.08.2014,18:00,SC Verl,FC Viktoria Köln,810,1,2,/spielbericht/index/spielbericht/2470776,2014,Regionalliga West
03.09.2014,19:30,FC Viktoria Köln,Spfr. Siegen,1.044,5,0,/spielbericht/index/spielbericht/2470780,2014,Regionalliga West
12.09.2014,19:30,Wattenscheid 09,FC Viktoria Köln,614,0,1,/spielbericht/index/spielbericht/2470820,2014,Regionalliga West
20.09.2014,14:00,FC Viktoria Köln,Hennef 05,893,3,1,/spielbericht/index/spielbericht/2470834,2014,Regionalliga West
23.09.2014,19:30,RW Essen,FC Viktoria Köln,6.571,2,1,/spielbericht/index/spielbericht/2470837,2014,Regionalliga West
28.09.2014,14:00,FC Viktoria Köln,Düsseldorf II,707,3,1,/spielbericht/index/spielbericht/2470852,2014,Regionalliga West
04.10.2014,14:00,1.FC Köln II,FC Viktoria Köln,1.500,1,1,/spielbericht/index/spielbericht/2470860,2014,Regionalliga West
17.10.2014,19:30,FC Viktoria Köln,SF Lotte,846,1,1,/spielbericht/index/spielbericht/2470869,2014,Regionalliga West
24.10.2014,19:00,SC Wiedenbrück,FC Viktoria Köln,765,3,2,/spielbericht/index/spielbericht/2470876,2014,Regionalliga West
31.10.2014,19:30,FC Viktoria Köln,Alem. Aachen,4.512,0,1,/spielbericht/index/spielbericht/2470887,2014,Regionalliga West
08.11.2014,14:00,VfL Bochum II,FC Viktoria Köln,250,0,0,/spielbericht/index/spielbericht/2471385,2014,Regionalliga West
15.11.2014,14:00,FC Viktoria Köln,RW Oberhausen,1.235,1,2,/spielbericht/index/spielbericht/2471407,2014,Regionalliga West
29.11.2014,14:00,FC Kray,FC Viktoria Köln,650,1,1,/spielbericht/index/spielbericht/2471410,2014,Regionalliga West
05.12.2014,19:00,M'gladbach II,FC Viktoria Köln,343,2,1,/spielbericht/index/spielbericht/2471433,2014,Regionalliga West
13.12.2014,14:00,FC Viktoria Köln,Schalke 04 II,713,1,0,/spielbericht/index/spielbericht/2471443,2014,Regionalliga West
10.03.2015,19:30,FC Viktoria Köln,KFC Uerdingen,728,4,1,/spielbericht/index/spielbericht/2471453,2014,Regionalliga West
14.02.2015,14:00,SV Rödinghausen,FC Viktoria Köln,1.114,1,1,/spielbericht/index/spielbericht/2471469,2014,Regionalliga West
21.02.2015,14:00,FC Viktoria Köln,SC Verl,624,2,0,/spielbericht/index/spielbericht/2471476,2014,Regionalliga West
05.05.2015,19:30,Spfr. Siegen,FC Viktoria Köln,1.223,1,3,/spielbericht/index/spielbericht/2473346,2014,Regionalliga West
07.03.2015,14:00,FC Viktoria Köln,Wattenscheid 09,788,2,0,/spielbericht/index/spielbericht/2473351,2014,Regionalliga West
