date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,14:00,FC-Astoria Walldorf,TuS Koblenz,820,5,1,/spielbericht/index/spielbericht/2467011,2014,Regionalliga Südwest
06.08.2014,19:30,W. Mannheim,FC-Astoria Walldorf,4.237,0,0,/spielbericht/index/spielbericht/2467020,2014,Regionalliga Südwest
09.08.2014,14:00,FC-Astoria Walldorf,Saarbrücken,1.150,1,3,/spielbericht/index/spielbericht/2467021,2014,Regionalliga Südwest
16.09.2014,19:00,K'lautern II,FC-Astoria Walldorf,230,0,3,/spielbericht/index/spielbericht/2497715,2014,Regionalliga Südwest
22.08.2014,19:30,FC-Astoria Walldorf,Eintracht Trier,720,2,1,/spielbericht/index/spielbericht/2467033,2014,Regionalliga Südwest
26.08.2014,19:30,K. Offenbach,FC-Astoria Walldorf,5.123,1,0,/spielbericht/index/spielbericht/2467055,2014,Regionalliga Südwest
30.08.2014,14:00,FC-Astoria Walldorf,Hessen Kassel,585,1,1,/spielbericht/index/spielbericht/2467125,2014,Regionalliga Südwest
05.09.2014,19:30,FK Pirmasens,FC-Astoria Walldorf,773,0,6,/spielbericht/index/spielbericht/2467135,2014,Regionalliga Südwest
13.09.2014,14:00,FC-Astoria Walldorf,SpVgg Neckarelz,530,1,3,/spielbericht/index/spielbericht/2467145,2014,Regionalliga Südwest
20.09.2014,14:00,Wormatia Worms,FC-Astoria Walldorf,1.086,2,0,/spielbericht/index/spielbericht/2467154,2014,Regionalliga Südwest
26.09.2014,19:00,FC-Astoria Walldorf,FC 08 Homburg,450,1,3,/spielbericht/index/spielbericht/2467160,2014,Regionalliga Südwest
04.10.2014,14:00,SC Freiburg II,FC-Astoria Walldorf,100,1,1,/spielbericht/index/spielbericht/2467173,2014,Regionalliga Südwest
22.10.2014,19:00,Hoffenheim II,FC-Astoria Walldorf,226,0,1,/spielbericht/index/spielbericht/2467178,2014,Regionalliga Südwest
18.10.2014,14:00,FC-Astoria Walldorf,SV Elversberg,350,2,1,/spielbericht/index/spielbericht/2467188,2014,Regionalliga Südwest
25.10.2014,14:00,KSV Baunatal,FC-Astoria Walldorf,300,1,3,/spielbericht/index/spielbericht/2467202,2014,Regionalliga Südwest
01.11.2014,14:00,FC-Astoria Walldorf,SVN Zweibrücken,520,0,2,/spielbericht/index/spielbericht/2508617,2014,Regionalliga Südwest
07.11.2014,19:00,FC Nöttingen,FC-Astoria Walldorf,683,0,2,/spielbericht/index/spielbericht/2467214,2014,Regionalliga Südwest
21.11.2014,19:30,TuS Koblenz,FC-Astoria Walldorf,860,1,1,/spielbericht/index/spielbericht/2467223,2014,Regionalliga Südwest
29.11.2014,14:00,FC-Astoria Walldorf,W. Mannheim,1.200,1,0,/spielbericht/index/spielbericht/2467236,2014,Regionalliga Südwest
05.12.2014,19:30,Saarbrücken,FC-Astoria Walldorf,3.026,1,0,/spielbericht/index/spielbericht/2467242,2014,Regionalliga Südwest
28.02.2015,14:00,FC-Astoria Walldorf,K'lautern II,315,0,2,/spielbericht/index/spielbericht/2539194,2014,Regionalliga Südwest
07.03.2015,14:00,Eintracht Trier,FC-Astoria Walldorf,1.191,0,0,/spielbericht/index/spielbericht/2490726,2014,Regionalliga Südwest
13.03.2015,19:30,FC-Astoria Walldorf,K. Offenbach,1.800,1,1,/spielbericht/index/spielbericht/2490733,2014,Regionalliga Südwest
21.03.2015,14:00,Hessen Kassel,FC-Astoria Walldorf,1.000,4,0,/spielbericht/index/spielbericht/2490744,2014,Regionalliga Südwest
27.03.2015,19:00,FC-Astoria Walldorf,FK Pirmasens,450,2,2,/spielbericht/index/spielbericht/2490757,2014,Regionalliga Südwest
07.04.2015,19:00,SpVgg Neckarelz,FC-Astoria Walldorf,350,2,1,/spielbericht/index/spielbericht/2490761,2014,Regionalliga Südwest
04.04.2015,14:00,FC-Astoria Walldorf,Wormatia Worms,420,5,1,/spielbericht/index/spielbericht/2490773,2014,Regionalliga Südwest
10.04.2015,19:30,FC 08 Homburg,FC-Astoria Walldorf,1.058,0,0,/spielbericht/index/spielbericht/2490779,2014,Regionalliga Südwest
17.04.2015,19:00,FC-Astoria Walldorf,SC Freiburg II,420,2,1,/spielbericht/index/spielbericht/2490789,2014,Regionalliga Südwest
24.04.2015,19:00,FC-Astoria Walldorf,Hoffenheim II,630,0,1,/spielbericht/index/spielbericht/2490796,2014,Regionalliga Südwest
02.05.2015,14:00,SV Elversberg,FC-Astoria Walldorf,770,2,3,/spielbericht/index/spielbericht/2490806,2014,Regionalliga Südwest
09.05.2015,14:00,FC-Astoria Walldorf,KSV Baunatal,150,1,0,/spielbericht/index/spielbericht/2490821,2014,Regionalliga Südwest
16.05.2015,14:00,SVN Zweibrücken,FC-Astoria Walldorf,115,0,1,/spielbericht/index/spielbericht/2490826,2014,Regionalliga Südwest
23.05.2015,14:00,FC-Astoria Walldorf,FC Nöttingen,690,4,2,/spielbericht/index/spielbericht/2490837,2014,Regionalliga Südwest
16.08.2014,15:30,FC-Astoria Walldorf,Hannover 96,3.400,1,3,/spielbericht/index/spielbericht/2458333,2014,DFB-Pokal
01.08.2015,14:00,FC-Astoria Walldorf,FK Pirmasens,560,1,0,/spielbericht/index/spielbericht/2585971,2015,Regionalliga Südwest
07.08.2015,19:00,SV Spielberg,FC-Astoria Walldorf,950,0,4,/spielbericht/index/spielbericht/2605303,2015,Regionalliga Südwest
15.08.2015,14:00,FC-Astoria Walldorf,SV Elversberg,500,0,3,/spielbericht/index/spielbericht/2605317,2015,Regionalliga Südwest
22.08.2015,14:00,SV Saar 05,FC-Astoria Walldorf,500,1,4,/spielbericht/index/spielbericht/2605322,2015,Regionalliga Südwest
25.08.2015,19:30,FC-Astoria Walldorf,W. Mannheim,3.000,0,2,/spielbericht/index/spielbericht/2605332,2015,Regionalliga Südwest
30.08.2015,14:00,Hoffenheim II,FC-Astoria Walldorf,288,2,3,/spielbericht/index/spielbericht/2605347,2015,Regionalliga Südwest
05.09.2015,14:00,FC-Astoria Walldorf,Eintracht Trier,450,0,1,/spielbericht/index/spielbericht/2605352,2015,Regionalliga Südwest
12.09.2015,14:00,SpVgg Neckarelz,FC-Astoria Walldorf,330,1,3,/spielbericht/index/spielbericht/2605363,2015,Regionalliga Südwest
19.09.2015,14:00,FC 08 Homburg,FC-Astoria Walldorf,768,1,1,/spielbericht/index/spielbericht/2605367,2015,Regionalliga Südwest
25.09.2015,19:00,FC-Astoria Walldorf,K'lautern II,340,1,2,/spielbericht/index/spielbericht/2605375,2015,Regionalliga Südwest
03.10.2015,14:00,Bahlinger SC,FC-Astoria Walldorf,1.120,4,2,/spielbericht/index/spielbericht/2605386,2015,Regionalliga Südwest
10.10.2015,14:00,FC-Astoria Walldorf,Saarbrücken,800,3,0,/spielbericht/index/spielbericht/2605398,2015,Regionalliga Südwest
17.10.2015,14:00,Hessen Kassel,FC-Astoria Walldorf,1.311,0,0,/spielbericht/index/spielbericht/2605410,2015,Regionalliga Südwest
23.10.2015,19:00,FC-Astoria Walldorf,K. Offenbach,1.025,1,0,/spielbericht/index/spielbericht/2605411,2015,Regionalliga Südwest
31.10.2015,14:00,SC Freiburg II,FC-Astoria Walldorf,150,4,1,/spielbericht/index/spielbericht/2605426,2015,Regionalliga Südwest
07.11.2015,14:00,FC-Astoria Walldorf,TSV Steinbach,250,0,2,/spielbericht/index/spielbericht/2605433,2015,Regionalliga Südwest
21.11.2015,14:00,Wormatia Worms,FC-Astoria Walldorf,671,3,0,/spielbericht/index/spielbericht/2605442,2015,Regionalliga Südwest
28.11.2015,14:00,FK Pirmasens,FC-Astoria Walldorf,564,0,0,/spielbericht/index/spielbericht/2605451,2015,Regionalliga Südwest
04.12.2015,19:00,FC-Astoria Walldorf,SV Spielberg,350,1,1,/spielbericht/index/spielbericht/2605456,2015,Regionalliga Südwest
27.02.2016,14:00,SV Elversberg,FC-Astoria Walldorf,1.341,2,0,/spielbericht/index/spielbericht/2605471,2015,Regionalliga Südwest
05.03.2016,14:00,FC-Astoria Walldorf,SV Saar 05,200,4,0,/spielbericht/index/spielbericht/2605475,2015,Regionalliga Südwest
12.03.2016,14:00,W. Mannheim,FC-Astoria Walldorf,6.341,3,0,/spielbericht/index/spielbericht/2605483,2015,Regionalliga Südwest
18.03.2016,19:00,FC-Astoria Walldorf,Hoffenheim II,400,0,4,/spielbericht/index/spielbericht/2605499,2015,Regionalliga Südwest
