date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2015,14:00,FCA Walldorf,FK Pirmasens,560,1,0,/spielbericht/index/spielbericht/2585971,2015,Regionalliga Südwest
18.08.2015,19:00,FK Pirmasens,K'lautern II,1.500,0,2,/spielbericht/index/spielbericht/2605310,2015,Regionalliga Südwest
15.08.2015,14:00,Bahlinger SC,FK Pirmasens,780,0,2,/spielbericht/index/spielbericht/2605315,2015,Regionalliga Südwest
22.08.2015,19:00,FK Pirmasens,Saarbrücken,2.789,0,3,/spielbericht/index/spielbericht/2605325,2015,Regionalliga Südwest
26.08.2015,19:30,Hessen Kassel,FK Pirmasens,3.117,3,1,/spielbericht/index/spielbericht/2605338,2015,Regionalliga Südwest
29.08.2015,14:00,FK Pirmasens,K. Offenbach,1.266,1,2,/spielbericht/index/spielbericht/2605341,2015,Regionalliga Südwest
05.09.2015,14:00,SC Freiburg II,FK Pirmasens,350,0,2,/spielbericht/index/spielbericht/2605354,2015,Regionalliga Südwest
12.09.2015,14:00,FK Pirmasens,TSV Steinbach,757,4,1,/spielbericht/index/spielbericht/2605361,2015,Regionalliga Südwest
19.09.2015,14:00,Wormatia Worms,FK Pirmasens,510,1,0,/spielbericht/index/spielbericht/2605370,2015,Regionalliga Südwest
26.09.2015,14:00,FK Pirmasens,FC 08 Homburg,1.195,2,1,/spielbericht/index/spielbericht/2605379,2015,Regionalliga Südwest
03.10.2015,14:00,FK Pirmasens,SV Spielberg,885,2,0,/spielbericht/index/spielbericht/2605387,2015,Regionalliga Südwest
10.10.2015,14:00,SV Elversberg,FK Pirmasens,1.126,3,1,/spielbericht/index/spielbericht/2605395,2015,Regionalliga Südwest
17.10.2015,14:00,FK Pirmasens,SV Saar 05,755,5,2,/spielbericht/index/spielbericht/2605406,2015,Regionalliga Südwest
25.10.2015,14:00,W. Mannheim,FK Pirmasens,5.144,1,1,/spielbericht/index/spielbericht/2605419,2015,Regionalliga Südwest
31.10.2015,14:00,FK Pirmasens,Hoffenheim II,700,0,1,/spielbericht/index/spielbericht/2605423,2015,Regionalliga Südwest
07.11.2015,14:00,Eintracht Trier,FK Pirmasens,2.332,3,0,/spielbericht/index/spielbericht/2605435,2015,Regionalliga Südwest
02.12.2015,19:30,FK Pirmasens,SpVgg Neckarelz,674,1,1,/spielbericht/index/spielbericht/2605441,2015,Regionalliga Südwest
28.11.2015,14:00,FK Pirmasens,FCA Walldorf,564,0,0,/spielbericht/index/spielbericht/2605451,2015,Regionalliga Südwest
07.12.2015,19:00,K'lautern II,FK Pirmasens,480,2,0,/spielbericht/index/spielbericht/2605459,2015,Regionalliga Südwest
27.02.2016,14:00,FK Pirmasens,Bahlinger SC,790,0,0,/spielbericht/index/spielbericht/2605469,2015,Regionalliga Südwest
