date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,13:30,1.FC Heidenheim,FSV Frankfurt,11.000,2,1,/spielbericht/index/spielbericht/2460938,2014,2. Bundesliga
08.08.2014,18:30,FSV Frankfurt,Karlsruher SC,6.738,2,3,/spielbericht/index/spielbericht/2460948,2014,2. Bundesliga
23.08.2014,13:00,1.FC Nürnberg,FSV Frankfurt,27.568,0,1,/spielbericht/index/spielbericht/2460952,2014,2. Bundesliga
29.08.2014,18:30,FSV Frankfurt,RB Leipzig,6.041,0,0,/spielbericht/index/spielbericht/2460968,2014,2. Bundesliga
12.09.2014,18:30,1.FC K'lautern,FSV Frankfurt,27.275,1,0,/spielbericht/index/spielbericht/2460971,2014,2. Bundesliga
20.09.2014,13:00,FSV Frankfurt,VfL Bochum,5.677,1,5,/spielbericht/index/spielbericht/2460986,2014,2. Bundesliga
24.09.2014,17:30,Darmstadt 98,FSV Frankfurt,12.400,4,0,/spielbericht/index/spielbericht/2460996,2014,2. Bundesliga
28.09.2014,13:30,FSV Frankfurt,FC St. Pauli,8.106,3,3,/spielbericht/index/spielbericht/2461003,2014,2. Bundesliga
05.10.2014,13:30,SV Sandhausen,FSV Frankfurt,5.012,0,3,/spielbericht/index/spielbericht/2461011,2014,2. Bundesliga
19.10.2014,13:30,FSV Frankfurt,FC Ingolstadt,4.160,0,1,/spielbericht/index/spielbericht/2461020,2014,2. Bundesliga
24.10.2014,18:30,Greuther Fürth,FSV Frankfurt,9.805,2,5,/spielbericht/index/spielbericht/2461024,2014,2. Bundesliga
02.11.2014,13:30,FSV Frankfurt,Erzgebirge Aue,4.056,1,1,/spielbericht/index/spielbericht/2461038,2014,2. Bundesliga
07.11.2014,18:30,VfR Aalen,FSV Frankfurt,5.388,0,1,/spielbericht/index/spielbericht/2461047,2014,2. Bundesliga
22.11.2014,13:00,FSV Frankfurt,E. Braunschweig,5.423,0,3,/spielbericht/index/spielbericht/2461056,2014,2. Bundesliga
30.11.2014,13:30,1860 München,FSV Frankfurt,13.800,0,2,/spielbericht/index/spielbericht/2461062,2014,2. Bundesliga
07.12.2014,13:30,Union Berlin,FSV Frankfurt,15.802,2,1,/spielbericht/index/spielbericht/2461073,2014,2. Bundesliga
13.12.2014,13:00,FSV Frankfurt,F. Düsseldorf,7.021,0,2,/spielbericht/index/spielbericht/2461085,2014,2. Bundesliga
16.12.2014,17:30,FSV Frankfurt,1.FC Heidenheim,5.147,2,0,/spielbericht/index/spielbericht/2461094,2014,2. Bundesliga
19.12.2014,18:30,Karlsruher SC,FSV Frankfurt,12.117,4,1,/spielbericht/index/spielbericht/2461098,2014,2. Bundesliga
08.02.2015,13:30,FSV Frankfurt,1.FC Nürnberg,9.152,2,1,/spielbericht/index/spielbericht/2461111,2014,2. Bundesliga
15.02.2015,13:30,RB Leipzig,FSV Frankfurt,18.237,0,1,/spielbericht/index/spielbericht/2461120,2014,2. Bundesliga
22.02.2015,13:30,FSV Frankfurt,1.FC K'lautern,10.153,2,0,/spielbericht/index/spielbericht/2461129,2014,2. Bundesliga
27.02.2015,18:30,VfL Bochum,FSV Frankfurt,11.594,3,3,/spielbericht/index/spielbericht/2461136,2014,2. Bundesliga
08.03.2015,13:30,FSV Frankfurt,Darmstadt 98,12.542,1,1,/spielbericht/index/spielbericht/2461147,2014,2. Bundesliga
14.03.2015,13:00,FC St. Pauli,FSV Frankfurt,22.884,1,1,/spielbericht/index/spielbericht/2461151,2014,2. Bundesliga
20.03.2015,18:30,FSV Frankfurt,SV Sandhausen,5.094,1,1,/spielbericht/index/spielbericht/2461164,2014,2. Bundesliga
05.04.2015,13:30,FC Ingolstadt,FSV Frankfurt,9.926,2,0,/spielbericht/index/spielbericht/2461171,2014,2. Bundesliga
11.04.2015,13:00,FSV Frankfurt,Greuther Fürth,4.745,1,1,/spielbericht/index/spielbericht/2461181,2014,2. Bundesliga
19.04.2015,13:30,Erzgebirge Aue,FSV Frankfurt,7.650,1,0,/spielbericht/index/spielbericht/2461192,2014,2. Bundesliga
26.04.2015,13:30,FSV Frankfurt,VfR Aalen,5.133,1,1,/spielbericht/index/spielbericht/2461199,2014,2. Bundesliga
02.05.2015,13:00,E. Braunschweig,FSV Frankfurt,21.050,2,0,/spielbericht/index/spielbericht/2461203,2014,2. Bundesliga
08.05.2015,18:30,FSV Frankfurt,1860 München,6.679,0,1,/spielbericht/index/spielbericht/2461217,2014,2. Bundesliga
17.05.2015,15:30,FSV Frankfurt,Union Berlin,6.853,1,3,/spielbericht/index/spielbericht/2461228,2014,2. Bundesliga
24.05.2015,15:30,F. Düsseldorf,FSV Frankfurt,28.762,2,3,/spielbericht/index/spielbericht/2461233,2014,2. Bundesliga
25.07.2015,15:30,FSV Frankfurt,RB Leipzig,7.021,0,1,/spielbericht/index/spielbericht/2581164,2015,2. Bundesliga
31.07.2015,18:30,Arm. Bielefeld,FSV Frankfurt,17.207,0,0,/spielbericht/index/spielbericht/2581421,2015,2. Bundesliga
14.08.2015,18:30,FSV Frankfurt,Karlsruher SC,6.348,1,2,/spielbericht/index/spielbericht/2581443,2015,2. Bundesliga
21.08.2015,18:30,Greuther Fürth,FSV Frankfurt,9.245,0,2,/spielbericht/index/spielbericht/2583822,2015,2. Bundesliga
30.08.2015,13:30,FSV Frankfurt,FC St. Pauli,10.217,1,0,/spielbericht/index/spielbericht/2583833,2015,2. Bundesliga
13.09.2015,13:30,FSV Frankfurt,E. Braunschweig,5.218,0,3,/spielbericht/index/spielbericht/2583842,2015,2. Bundesliga
20.09.2015,13:30,MSV Duisburg,FSV Frankfurt,15.124,0,1,/spielbericht/index/spielbericht/2583852,2015,2. Bundesliga
23.09.2015,17:30,FSV Frankfurt,Union Berlin,5.011,3,2,/spielbericht/index/spielbericht/2583859,2015,2. Bundesliga
27.09.2015,13:30,SC Freiburg,FSV Frankfurt,23.300,2,0,/spielbericht/index/spielbericht/2583862,2015,2. Bundesliga
02.10.2015,18:30,FSV Frankfurt,1.FC Heidenheim,4.124,0,4,/spielbericht/index/spielbericht/2583877,2015,2. Bundesliga
17.10.2015,13:00,1.FC Nürnberg,FSV Frankfurt,23.798,1,1,/spielbericht/index/spielbericht/2583882,2015,2. Bundesliga
23.10.2015,18:30,FSV Frankfurt,VfL Bochum,5.341,3,2,/spielbericht/index/spielbericht/2583895,2015,2. Bundesliga
31.10.2015,13:00,SC Paderborn,FSV Frankfurt,10.000,1,1,/spielbericht/index/spielbericht/2583899,2015,2. Bundesliga
06.11.2015,18:30,FSV Frankfurt,SV Sandhausen,4.082,0,1,/spielbericht/index/spielbericht/2583914,2015,2. Bundesliga
22.11.2015,13:30,1.FC K'lautern,FSV Frankfurt,26.501,1,1,/spielbericht/index/spielbericht/2583917,2015,2. Bundesliga
29.11.2015,13:30,FSV Frankfurt,F. Düsseldorf,6.049,1,2,/spielbericht/index/spielbericht/2583932,2015,2. Bundesliga
