date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,14:00,H. Zehlendorf,FSV Optik Rathenow,257,2,3,/spielbericht/index/spielbericht/2471346,2014,NOFV-Oberliga Nord
10.08.2014,14:00,FSV Optik Rathenow,U. Fürstenwalde,245,2,1,/spielbericht/index/spielbericht/2480345,2014,NOFV-Oberliga Nord
23.08.2014,14:00,FSV Optik Rathenow,Malchower SV,231,0,2,/spielbericht/index/spielbericht/2480350,2014,NOFV-Oberliga Nord
30.08.2014,14:00,BSC Süd 05,FSV Optik Rathenow,435,1,0,/spielbericht/index/spielbericht/2480360,2014,NOFV-Oberliga Nord
13.09.2014,14:00,FSV Optik Rathenow,Lichtenberg 47,176,2,0,/spielbericht/index/spielbericht/2480365,2014,NOFV-Oberliga Nord
21.09.2014,14:00,H. Rostock II,FSV Optik Rathenow,81,1,3,/spielbericht/index/spielbericht/2480375,2014,NOFV-Oberliga Nord
27.09.2014,14:00,FSV Optik Rathenow,Neubrandenburg,249,3,2,/spielbericht/index/spielbericht/2480382,2014,NOFV-Oberliga Nord
04.10.2014,14:00,G. Schöneiche,FSV Optik Rathenow,127,0,3,/spielbericht/index/spielbericht/2480391,2014,NOFV-Oberliga Nord
18.10.2014,14:00,FSV Optik Rathenow,FC Strausberg,259,3,1,/spielbericht/index/spielbericht/2480399,2014,NOFV-Oberliga Nord
26.10.2014,14:00,BSV Hürtürkel,FSV Optik Rathenow,157,3,4,/spielbericht/index/spielbericht/2480410,2014,NOFV-Oberliga Nord
01.11.2014,13:30,FSV Optik Rathenow,SV Waren 09,310,2,2,/spielbericht/index/spielbericht/2480413,2014,NOFV-Oberliga Nord
09.11.2014,13:30,Altlüdersdorf,FSV Optik Rathenow,220,1,0,/spielbericht/index/spielbericht/2480424,2014,NOFV-Oberliga Nord
22.11.2014,13:30,FSV Optik Rathenow,Pom. Greifswald,211,3,1,/spielbericht/index/spielbericht/2480431,2014,NOFV-Oberliga Nord
29.11.2014,13:00,FC Schönberg 95,FSV Optik Rathenow,138,4,4,/spielbericht/index/spielbericht/2480435,2014,NOFV-Oberliga Nord
06.12.2014,13:00,FSV Optik Rathenow,FSV Luckenwalde,408,2,2,/spielbericht/index/spielbericht/2480447,2014,NOFV-Oberliga Nord
28.02.2015,14:00,FSV Optik Rathenow,H. Zehlendorf,262,2,0,/spielbericht/index/spielbericht/2515830,2014,NOFV-Oberliga Nord
08.03.2015,14:00,U. Fürstenwalde,FSV Optik Rathenow,352,0,2,/spielbericht/index/spielbericht/2521074,2014,NOFV-Oberliga Nord
14.03.2015,15:00,Malchower SV,FSV Optik Rathenow,186,3,3,/spielbericht/index/spielbericht/2521082,2014,NOFV-Oberliga Nord
21.03.2015,14:00,FSV Optik Rathenow,BSC Süd 05,400,3,1,/spielbericht/index/spielbericht/2521088,2014,NOFV-Oberliga Nord
28.03.2015,14:00,Lichtenberg 47,FSV Optik Rathenow,190,3,1,/spielbericht/index/spielbericht/2521092,2014,NOFV-Oberliga Nord
05.04.2015,14:00,FSV Optik Rathenow,H. Rostock II,388,3,0,/spielbericht/index/spielbericht/2522265,2014,NOFV-Oberliga Nord
12.04.2015,14:00,Neubrandenburg,FSV Optik Rathenow,170,1,1,/spielbericht/index/spielbericht/2522277,2014,NOFV-Oberliga Nord
18.04.2015,14:00,FSV Optik Rathenow,G. Schöneiche,258,2,1,/spielbericht/index/spielbericht/2522434,2014,NOFV-Oberliga Nord
26.04.2015,14:00,FC Strausberg,FSV Optik Rathenow,175,2,3,/spielbericht/index/spielbericht/2522448,2014,NOFV-Oberliga Nord
03.05.2015,14:00,FSV Optik Rathenow,BSV Hürtürkel,303,1,0,/spielbericht/index/spielbericht/2522456,2014,NOFV-Oberliga Nord
09.05.2015,14:00,SV Waren 09,FSV Optik Rathenow,175,2,2,/spielbericht/index/spielbericht/2522464,2014,NOFV-Oberliga Nord
16.05.2015,14:00,FSV Optik Rathenow,Altlüdersdorf,317,2,1,/spielbericht/index/spielbericht/2522471,2014,NOFV-Oberliga Nord
24.05.2015,14:00,Pom. Greifswald,FSV Optik Rathenow,108,1,2,/spielbericht/index/spielbericht/2522480,2014,NOFV-Oberliga Nord
07.06.2015,14:00,FSV Optik Rathenow,FC Schönberg 95,1.044,1,0,/spielbericht/index/spielbericht/2522484,2014,NOFV-Oberliga Nord
14.06.2015,14:00,FSV Luckenwalde,FSV Optik Rathenow,1.701,0,3,/spielbericht/index/spielbericht/2522496,2014,NOFV-Oberliga Nord
16.08.2014,15:30,FSV Optik Rathenow,FC St. Pauli,4.500,1,3,/spielbericht/index/spielbericht/2458310,2014,DFB-Pokal
13.08.2014,18:00,Schönwalder SV,FSV Optik Rathenow,,1,7,/spielbericht/index/spielbericht/2972087,2014,Landespokal Brandenburg
06.09.2014,15:00,SR Neustadt/D.,FSV Optik Rathenow,,2,1,/spielbericht/index/spielbericht/2972131,2014,Landespokal Brandenburg
24.07.2015,18:00,FSV Optik Rathenow,Berliner AK,588,0,0,/spielbericht/index/spielbericht/2585335,2015,Regionalliga Nordost
02.08.2015,13:30,RB Leipzig II,FSV Optik Rathenow,462,0,1,/spielbericht/index/spielbericht/2585346,2015,Regionalliga Nordost
15.08.2015,13:30,FSV Optik Rathenow,FCO Neugersdorf,400,2,2,/spielbericht/index/spielbericht/2585353,2015,Regionalliga Nordost
21.08.2015,19:00,Babelsberg 03,FSV Optik Rathenow,2.029,2,0,/spielbericht/index/spielbericht/2585362,2015,Regionalliga Nordost
26.08.2015,18:00,FSV Optik Rathenow,FSV Zwickau,820,0,1,/spielbericht/index/spielbericht/2585371,2015,Regionalliga Nordost
30.08.2015,13:00,G. Halberstadt,FSV Optik Rathenow,406,4,2,/spielbericht/index/spielbericht/2585378,2015,Regionalliga Nordost
13.09.2015,13:30,FSV Optik Rathenow,Carl Zeiss Jena,812,1,2,/spielbericht/index/spielbericht/2585389,2015,Regionalliga Nordost
19.09.2015,13:30,FC Schönberg 95,FSV Optik Rathenow,292,0,0,/spielbericht/index/spielbericht/2585403,2015,Regionalliga Nordost
27.09.2015,13:30,FSV Optik Rathenow,BFC Dynamo,901,1,5,/spielbericht/index/spielbericht/2585407,2015,Regionalliga Nordost
04.10.2015,13:30,Viktoria Berlin,FSV Optik Rathenow,328,3,1,/spielbericht/index/spielbericht/2585419,2015,Regionalliga Nordost
18.10.2015,13:30,FSV Optik Rathenow,ZFC Meuselwitz,350,1,1,/spielbericht/index/spielbericht/2585425,2015,Regionalliga Nordost
25.10.2015,13:30,Budissa Bautzen,FSV Optik Rathenow,500,2,0,/spielbericht/index/spielbericht/2585435,2015,Regionalliga Nordost
01.11.2015,13:30,VfB Auerbach,FSV Optik Rathenow,625,3,1,/spielbericht/index/spielbericht/2585441,2015,Regionalliga Nordost
07.11.2015,13:30,FSV Optik Rathenow,FSV Luckenwalde,450,0,1,/spielbericht/index/spielbericht/2585452,2015,Regionalliga Nordost
20.11.2015,19:00,W. Nordhausen,FSV Optik Rathenow,1.183,6,1,/spielbericht/index/spielbericht/2585467,2015,Regionalliga Nordost
28.11.2015,13:30,FSV Optik Rathenow,TSG Neustrelitz,242,0,2,/spielbericht/index/spielbericht/2585470,2015,Regionalliga Nordost
06.12.2015,13:30,Hertha BSC II,FSV Optik Rathenow,268,4,1,/spielbericht/index/spielbericht/2585483,2015,Regionalliga Nordost
12.12.2015,13:30,Berliner AK,FSV Optik Rathenow,183,2,2,/spielbericht/index/spielbericht/2585488,2015,Regionalliga Nordost
06.02.2016,13:00,FSV Optik Rathenow,RB Leipzig II,350,1,1,/spielbericht/index/spielbericht/2585499,2015,Regionalliga Nordost
14.02.2016,13:00,FCO Neugersdorf,FSV Optik Rathenow,321,2,1,/spielbericht/index/spielbericht/2585506,2015,Regionalliga Nordost
21.02.2016,13:30,FSV Optik Rathenow,Babelsberg 03,584,0,2,/spielbericht/index/spielbericht/2585515,2015,Regionalliga Nordost
28.02.2016,13:00,FSV Zwickau,FSV Optik Rathenow,1.569,2,1,/spielbericht/index/spielbericht/2585704,2015,Regionalliga Nordost
05.03.2016,13:00,FSV Optik Rathenow,G. Halberstadt,308,0,3,/spielbericht/index/spielbericht/2585711,2015,Regionalliga Nordost
13.03.2016,13:30,Carl Zeiss Jena,FSV Optik Rathenow,2.413,3,2,/spielbericht/index/spielbericht/2585722,2015,Regionalliga Nordost
19.03.2016,13:30,FSV Optik Rathenow,FC Schönberg 95,218,0,1,/spielbericht/index/spielbericht/2585736,2015,Regionalliga Nordost
01.04.2016,19:00,BFC Dynamo,FSV Optik Rathenow,1.173,0,0,/spielbericht/index/spielbericht/2585740,2015,Regionalliga Nordost
09.04.2016,13:30,FSV Optik Rathenow,Viktoria Berlin,220,1,3,/spielbericht/index/spielbericht/2585887,2015,Regionalliga Nordost
17.04.2016,13:30,ZFC Meuselwitz,FSV Optik Rathenow,463,0,3,/spielbericht/index/spielbericht/2585893,2015,Regionalliga Nordost
20.04.2016,18:00,FSV Optik Rathenow,Budissa Bautzen,216,2,1,/spielbericht/index/spielbericht/2585903,2015,Regionalliga Nordost
24.04.2016,13:00,FSV Optik Rathenow,VfB Auerbach,202,0,1,/spielbericht/index/spielbericht/2585909,2015,Regionalliga Nordost
29.04.2016,19:00,FSV Luckenwalde,FSV Optik Rathenow,503,2,0,/spielbericht/index/spielbericht/2585920,2015,Regionalliga Nordost
08.05.2016,13:00,FSV Optik Rathenow,W. Nordhausen,229,2,0,/spielbericht/index/spielbericht/2585935,2015,Regionalliga Nordost
15.05.2016,13:30,TSG Neustrelitz,FSV Optik Rathenow,768,3,1,/spielbericht/index/spielbericht/2585938,2015,Regionalliga Nordost
21.05.2016,13:30,FSV Optik Rathenow,Hertha BSC II,249,5,2,/spielbericht/index/spielbericht/2585951,2015,Regionalliga Nordost
06.08.2016,14:00,Altglienicke,FSV Optik Rathenow,206,1,0,/spielbericht/index/spielbericht/2720298,2016,NOFV-Oberliga Nord
13.08.2016,14:00,FSV Optik Rathenow,Lichtenberg 47,236,4,1,/spielbericht/index/spielbericht/2728106,2016,NOFV-Oberliga Nord
27.08.2016,14:00,FSV Optik Rathenow,Malchower SV,187,0,1,/spielbericht/index/spielbericht/2730046,2016,NOFV-Oberliga Nord
09.09.2016,19:30,TeBe Berlin,FSV Optik Rathenow,617,1,1,/spielbericht/index/spielbericht/2730045,2016,NOFV-Oberliga Nord
17.09.2016,14:00,FSV Optik Rathenow,Victoria Seelow,181,6,1,/spielbericht/index/spielbericht/2754372,2016,NOFV-Oberliga Nord
24.09.2016,14:00,H. Rostock II,FSV Optik Rathenow,150,2,3,/spielbericht/index/spielbericht/2730053,2016,NOFV-Oberliga Nord
02.10.2016,14:00,FSV Optik Rathenow,FC Strausberg,229,7,1,/spielbericht/index/spielbericht/2730059,2016,NOFV-Oberliga Nord
15.10.2016,14:00,FCM Schwerin,FSV Optik Rathenow,162,1,3,/spielbericht/index/spielbericht/2763423,2016,NOFV-Oberliga Nord
