date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,19:00,SV Röchling,FSV Salmrohr,407,1,1,/spielbericht/index/spielbericht/2466658,2014,Oberliga Rheinland-Pfalz/Saar
09.08.2014,17:00,FSV Salmrohr,SV Gonsenheim,240,0,1,/spielbericht/index/spielbericht/2466672,2014,Oberliga Rheinland-Pfalz/Saar
13.08.2014,18:30,Saarbrücken II,FSV Salmrohr,100,1,0,/spielbericht/index/spielbericht/2466678,2014,Oberliga Rheinland-Pfalz/Saar
16.08.2014,15:30,FSV Salmrohr,SpVgg Wirges,235,0,2,/spielbericht/index/spielbericht/2466684,2014,Oberliga Rheinland-Pfalz/Saar
23.08.2014,14:30,SV Saar 05,FSV Salmrohr,200,1,0,/spielbericht/index/spielbericht/2466695,2014,Oberliga Rheinland-Pfalz/Saar
27.08.2014,18:30,FSV Salmrohr,SG Betzdorf,250,3,0,/spielbericht/index/spielbericht/2466706,2014,Oberliga Rheinland-Pfalz/Saar
30.08.2014,15:30,SC Hauenstein,FSV Salmrohr,180,2,0,/spielbericht/index/spielbericht/2466712,2014,Oberliga Rheinland-Pfalz/Saar
06.09.2014,15:30,FSV Salmrohr,A. Ludwigshafen,177,2,3,/spielbericht/index/spielbericht/2466722,2014,Oberliga Rheinland-Pfalz/Saar
13.09.2014,15:30,Pfeddersheim,FSV Salmrohr,150,0,1,/spielbericht/index/spielbericht/2466736,2014,Oberliga Rheinland-Pfalz/Saar
21.09.2014,15:00,FSV Salmrohr,Mechtersheim,208,0,0,/spielbericht/index/spielbericht/2466747,2014,Oberliga Rheinland-Pfalz/Saar
28.09.2014,15:00,Schott Mainz,FSV Salmrohr,150,1,3,/spielbericht/index/spielbericht/2466757,2014,Oberliga Rheinland-Pfalz/Saar
05.10.2014,15:00,FSV Salmrohr,FV Diefflen,235,2,0,/spielbericht/index/spielbericht/2466762,2014,Oberliga Rheinland-Pfalz/Saar
02.10.2014,19:00,FSV Salmrohr,Elversberg II,200,3,2,/spielbericht/index/spielbericht/2466773,2014,Oberliga Rheinland-Pfalz/Saar
18.10.2014,14:30,B. Neunkirchen,FSV Salmrohr,270,4,1,/spielbericht/index/spielbericht/2466778,2014,Oberliga Rheinland-Pfalz/Saar
25.10.2014,15:30,FSV Salmrohr,Hertha Wiesbach,206,3,2,/spielbericht/index/spielbericht/2466790,2014,Oberliga Rheinland-Pfalz/Saar
01.11.2014,17:00,SpVgg Burgbrohl,FSV Salmrohr,150,1,3,/spielbericht/index/spielbericht/2466799,2014,Oberliga Rheinland-Pfalz/Saar
08.11.2014,14:30,FSV Salmrohr,Idar-Oberstein,239,2,2,/spielbericht/index/spielbericht/2466805,2014,Oberliga Rheinland-Pfalz/Saar
22.11.2014,14:30,FSV Salmrohr,SV Röchling,210,2,1,/spielbericht/index/spielbericht/2466816,2014,Oberliga Rheinland-Pfalz/Saar
30.11.2014,15:00,SV Gonsenheim,FSV Salmrohr,90,5,0,/spielbericht/index/spielbericht/2466829,2014,Oberliga Rheinland-Pfalz/Saar
06.12.2014,14:30,FSV Salmrohr,Saarbrücken II,152,4,1,/spielbericht/index/spielbericht/2466833,2014,Oberliga Rheinland-Pfalz/Saar
28.02.2015,14:30,SpVgg Wirges,FSV Salmrohr,250,1,5,/spielbericht/index/spielbericht/2466876,2014,Oberliga Rheinland-Pfalz/Saar
07.03.2015,15:30,FSV Salmrohr,SV Saar 05,217,2,1,/spielbericht/index/spielbericht/2466887,2014,Oberliga Rheinland-Pfalz/Saar
14.03.2015,15:30,SG Betzdorf,FSV Salmrohr,130,1,1,/spielbericht/index/spielbericht/2466897,2014,Oberliga Rheinland-Pfalz/Saar
21.03.2015,15:30,FSV Salmrohr,SC Hauenstein,280,3,2,/spielbericht/index/spielbericht/2466909,2014,Oberliga Rheinland-Pfalz/Saar
28.03.2015,14:30,A. Ludwigshafen,FSV Salmrohr,212,2,4,/spielbericht/index/spielbericht/2466913,2014,Oberliga Rheinland-Pfalz/Saar
01.04.2015,19:00,FSV Salmrohr,Pfeddersheim,240,0,2,/spielbericht/index/spielbericht/2466926,2014,Oberliga Rheinland-Pfalz/Saar
06.04.2015,15:00,Mechtersheim,FSV Salmrohr,300,1,4,/spielbericht/index/spielbericht/2466932,2014,Oberliga Rheinland-Pfalz/Saar
11.04.2015,15:30,FSV Salmrohr,Schott Mainz,224,2,1,/spielbericht/index/spielbericht/2466941,2014,Oberliga Rheinland-Pfalz/Saar
