date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,14:00,FSV Union Fürstenwalde,FC Strausberg,434,3,2,/spielbericht/index/spielbericht/2471343,2014,NOFV-Oberliga Nord
10.08.2014,14:00,Optik Rathenow,FSV Union Fürstenwalde,245,2,1,/spielbericht/index/spielbericht/2480345,2014,NOFV-Oberliga Nord
24.08.2014,14:00,FSV Union Fürstenwalde,BSV Hürtürkel,305,2,1,/spielbericht/index/spielbericht/2480351,2014,NOFV-Oberliga Nord
31.08.2014,14:00,Malchower SV,FSV Union Fürstenwalde,233,3,0,/spielbericht/index/spielbericht/2480361,2014,NOFV-Oberliga Nord
14.09.2014,14:00,FSV Union Fürstenwalde,SV Waren 09,252,0,2,/spielbericht/index/spielbericht/2480367,2014,NOFV-Oberliga Nord
21.09.2014,14:00,BSC Süd 05,FSV Union Fürstenwalde,228,0,2,/spielbericht/index/spielbericht/2480376,2014,NOFV-Oberliga Nord
28.09.2014,14:00,FSV Union Fürstenwalde,Altlüdersdorf,306,0,1,/spielbericht/index/spielbericht/2480384,2014,NOFV-Oberliga Nord
03.10.2014,14:00,Lichtenberg 47,FSV Union Fürstenwalde,300,0,2,/spielbericht/index/spielbericht/2480388,2014,NOFV-Oberliga Nord
19.10.2014,14:00,FSV Union Fürstenwalde,Pom. Greifswald,322,3,1,/spielbericht/index/spielbericht/2480400,2014,NOFV-Oberliga Nord
26.10.2014,14:00,H. Rostock II,FSV Union Fürstenwalde,72,0,1,/spielbericht/index/spielbericht/2480407,2014,NOFV-Oberliga Nord
02.11.2014,13:30,FSV Union Fürstenwalde,FC Schönberg 95,402,1,2,/spielbericht/index/spielbericht/2480415,2014,NOFV-Oberliga Nord
08.11.2014,13:30,Neubrandenburg,FSV Union Fürstenwalde,149,1,1,/spielbericht/index/spielbericht/2480420,2014,NOFV-Oberliga Nord
23.11.2014,13:30,FSV Union Fürstenwalde,FSV Luckenwalde,432,0,2,/spielbericht/index/spielbericht/2480434,2014,NOFV-Oberliga Nord
30.11.2014,13:00,FSV Union Fürstenwalde,G. Schöneiche,225,1,0,/spielbericht/index/spielbericht/2480438,2014,NOFV-Oberliga Nord
07.12.2014,14:00,H. Zehlendorf,FSV Union Fürstenwalde,65,1,1,/spielbericht/index/spielbericht/2480450,2014,NOFV-Oberliga Nord
01.03.2015,14:00,FC Strausberg,FSV Union Fürstenwalde,217,3,1,/spielbericht/index/spielbericht/2515824,2014,NOFV-Oberliga Nord
08.03.2015,14:00,FSV Union Fürstenwalde,Optik Rathenow,352,0,2,/spielbericht/index/spielbericht/2521074,2014,NOFV-Oberliga Nord
15.03.2015,14:00,BSV Hürtürkel,FSV Union Fürstenwalde,67,0,1,/spielbericht/index/spielbericht/2521077,2014,NOFV-Oberliga Nord
22.03.2015,14:00,FSV Union Fürstenwalde,Malchower SV,251,1,1,/spielbericht/index/spielbericht/2521089,2014,NOFV-Oberliga Nord
29.03.2015,14:00,SV Waren 09,FSV Union Fürstenwalde,160,0,1,/spielbericht/index/spielbericht/2521093,2014,NOFV-Oberliga Nord
06.04.2015,14:00,FSV Union Fürstenwalde,BSC Süd 05,249,3,1,/spielbericht/index/spielbericht/2522267,2014,NOFV-Oberliga Nord
