date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,13:30,FSV Zwickau,VFC Plauen,1.814,0,0,/spielbericht/index/spielbericht/2479119,2014,Regionalliga Nordost
10.08.2014,13:30,ZFC Meuselwitz,FSV Zwickau,1.441,0,1,/spielbericht/index/spielbericht/2479127,2014,Regionalliga Nordost
16.08.2014,15:00,VfB Auerbach,FSV Zwickau,1.920,0,2,/spielbericht/index/spielbericht/2479317,2014,Regionalliga Nordost
23.08.2014,13:30,FSV Zwickau,W. Nordhausen,1.637,3,0,/spielbericht/index/spielbericht/2479328,2014,Regionalliga Nordost
31.08.2014,13:30,Berliner AK,FSV Zwickau,404,2,3,/spielbericht/index/spielbericht/2479340,2014,Regionalliga Nordost
11.10.2014,14:00,FSV Zwickau,1.FC Magdeburg,3.028,1,0,/spielbericht/index/spielbericht/2479347,2014,Regionalliga Nordost
21.09.2014,13:30,TSG Neustrelitz,FSV Zwickau,943,0,0,/spielbericht/index/spielbericht/2479355,2014,Regionalliga Nordost
28.09.2014,13:30,FSV Zwickau,Budissa Bautzen,1.920,0,0,/spielbericht/index/spielbericht/2479363,2014,Regionalliga Nordost
05.10.2014,13:30,Carl Zeiss Jena,FSV Zwickau,5.413,0,2,/spielbericht/index/spielbericht/2479372,2014,Regionalliga Nordost
18.10.2014,13:30,FSV Zwickau,BFC Dynamo,2.883,0,0,/spielbericht/index/spielbericht/2479379,2014,Regionalliga Nordost
26.10.2014,13:30,Hertha BSC II,FSV Zwickau,608,0,0,/spielbericht/index/spielbericht/2479386,2014,Regionalliga Nordost
02.11.2014,13:30,FSV Zwickau,Viktoria Berlin,1.440,3,0,/spielbericht/index/spielbericht/2479395,2014,Regionalliga Nordost
09.11.2014,13:30,Union Berlin II,FSV Zwickau,524,3,3,/spielbericht/index/spielbericht/2479400,2014,Regionalliga Nordost
22.11.2014,13:30,FSV Zwickau,G. Halberstadt,990,1,2,/spielbericht/index/spielbericht/2479411,2014,Regionalliga Nordost
29.11.2014,13:30,Babelsberg 03,FSV Zwickau,1.834,1,2,/spielbericht/index/spielbericht/2479414,2014,Regionalliga Nordost
07.12.2014,13:30,VFC Plauen,FSV Zwickau,1.505,0,4,/spielbericht/index/spielbericht/2479624,2014,Regionalliga Nordost
22.02.2015,13:30,FSV Zwickau,ZFC Meuselwitz,1.522,1,1,/spielbericht/index/spielbericht/2479633,2014,Regionalliga Nordost
01.03.2015,13:30,FSV Zwickau,VfB Auerbach,1.289,4,0,/spielbericht/index/spielbericht/2479644,2014,Regionalliga Nordost
08.03.2015,14:05,W. Nordhausen,FSV Zwickau,1.674,0,3,/spielbericht/index/spielbericht/2479658,2014,Regionalliga Nordost
15.03.2015,13:30,FSV Zwickau,Berliner AK,1.313,3,0,/spielbericht/index/spielbericht/2479664,2014,Regionalliga Nordost
21.03.2015,12:05,1.FC Magdeburg,FSV Zwickau,16.092,0,0,/spielbericht/index/spielbericht/2479686,2014,Regionalliga Nordost
28.03.2015,13:30,FSV Zwickau,TSG Neustrelitz,2.089,1,0,/spielbericht/index/spielbericht/2479710,2014,Regionalliga Nordost
22.04.2015,19:00,Budissa Bautzen,FSV Zwickau,1.011,0,1,/spielbericht/index/spielbericht/2479706,2014,Regionalliga Nordost
12.04.2015,14:05,FSV Zwickau,Carl Zeiss Jena,2.814,2,1,/spielbericht/index/spielbericht/2479723,2014,Regionalliga Nordost
17.04.2015,19:00,BFC Dynamo,FSV Zwickau,1.616,0,0,/spielbericht/index/spielbericht/2479730,2014,Regionalliga Nordost
26.04.2015,13:30,FSV Zwickau,Hertha BSC II,1.633,3,2,/spielbericht/index/spielbericht/2479737,2014,Regionalliga Nordost
03.05.2015,14:05,Viktoria Berlin,FSV Zwickau,704,2,4,/spielbericht/index/spielbericht/2479746,2014,Regionalliga Nordost
09.05.2015,13:30,FSV Zwickau,Union Berlin II,1.124,0,3,/spielbericht/index/spielbericht/2479751,2014,Regionalliga Nordost
17.05.2015,14:05,G. Halberstadt,FSV Zwickau,995,3,1,/spielbericht/index/spielbericht/2479762,2014,Regionalliga Nordost
24.05.2015,14:05,FSV Zwickau,Babelsberg 03,1.113,1,1,/spielbericht/index/spielbericht/2479765,2014,Regionalliga Nordost
07.09.2014,15:00,NFV G/W Görlitz,FSV Zwickau,,0,6,/spielbericht/index/spielbericht/3107952,2014,Landespokal Sachsen
16.11.2014,13:00,FSV Zwickau,VFC Plauen,1.415,1,0,/spielbericht/index/spielbericht/2639505,2014,Landespokal Sachsen
