date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
27.07.2014,14:00,TSV Havelse,FT Braunschweig,519,0,0,/spielbericht/index/spielbericht/2463635,2014,Regionalliga Nord
02.08.2014,16:00,FT Braunschweig,BV Cloppenburg,432,2,2,/spielbericht/index/spielbericht/2471368,2014,Regionalliga Nord
09.08.2014,18:00,VfB Lübeck,FT Braunschweig,1.393,1,0,/spielbericht/index/spielbericht/2471374,2014,Regionalliga Nord
27.08.2014,18:00,FT Braunschweig,Braunschweig II,1.022,0,3,/spielbericht/index/spielbericht/2471398,2014,Regionalliga Nord
24.08.2014,14:00,Goslarer SC,FT Braunschweig,302,1,0,/spielbericht/index/spielbericht/2485669,2014,Regionalliga Nord
30.08.2014,16:00,FT Braunschweig,BSV Rehden,192,0,1,/spielbericht/index/spielbericht/2485676,2014,Regionalliga Nord
07.09.2014,14:00,E. Norderstedt,FT Braunschweig,565,2,1,/spielbericht/index/spielbericht/2485687,2014,Regionalliga Nord
14.09.2014,15:00,FT Braunschweig,St. Pauli II,339,0,2,/spielbericht/index/spielbericht/2486142,2014,Regionalliga Nord
21.09.2014,15:00,VfB Oldenburg,FT Braunschweig,1.241,3,3,/spielbericht/index/spielbericht/2486150,2014,Regionalliga Nord
26.09.2014,18:30,Hannover 96 II,FT Braunschweig,1.142,1,2,/spielbericht/index/spielbericht/2486156,2014,Regionalliga Nord
04.10.2014,14:00,ETSV Weiche,FT Braunschweig,356,7,1,/spielbericht/index/spielbericht/2490257,2014,Regionalliga Nord
12.10.2014,15:00,FT Braunschweig,VfR Neumünster,329,2,4,/spielbericht/index/spielbericht/2490269,2014,Regionalliga Nord
18.10.2014,14:00,Wolfsburg II,FT Braunschweig,188,4,2,/spielbericht/index/spielbericht/2490273,2014,Regionalliga Nord
26.10.2014,14:00,FT Braunschweig,Hamburger SV II,338,0,10,/spielbericht/index/spielbericht/2490283,2014,Regionalliga Nord
02.11.2014,14:00,LSK Hansa,FT Braunschweig,730,1,0,/spielbericht/index/spielbericht/2490294,2014,Regionalliga Nord
09.11.2014,14:00,FT Braunschweig,SV Meppen,194,1,4,/spielbericht/index/spielbericht/2490303,2014,Regionalliga Nord
