date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
10.08.2014,15:00,FV Engers 07,SG Bad Breisig,152,2,2,/spielbericht/index/spielbericht/2538121,2014,Rheinlandliga
17.08.2014,14:30,SV Morbach,FV Engers 07,150,1,0,/spielbericht/index/spielbericht/2538129,2014,Rheinlandliga
23.08.2014,17:30,FV Engers 07,SG KBG,90,3,2,/spielbericht/index/spielbericht/2538133,2014,Rheinlandliga
17.09.2014,19:30,TuS Koblenz II,FV Engers 07,150,1,0,/spielbericht/index/spielbericht/2538148,2014,Rheinlandliga
30.08.2014,17:30,FV Engers 07,SV Mehring,100,0,2,/spielbericht/index/spielbericht/2538152,2014,Rheinlandliga
07.09.2014,15:00,TuS Mosella,FV Engers 07,300,4,3,/spielbericht/index/spielbericht/2538185,2014,Rheinlandliga
12.09.2014,18:15,FV Engers 07,Mülheim-Kärlich,100,1,3,/spielbericht/index/spielbericht/2538187,2014,Rheinlandliga
21.09.2014,15:00,TuS Oberwinter,FV Engers 07,100,1,1,/spielbericht/index/spielbericht/2538215,2014,Rheinlandliga
28.09.2014,15:00,FV Engers 07,SV Konz,100,1,0,/spielbericht/index/spielbericht/2538223,2014,Rheinlandliga
05.10.2014,15:00,FV Engers 07,TuS Mayen,160,3,1,/spielbericht/index/spielbericht/2538233,2014,Rheinlandliga
12.10.2014,14:30,SG Malberg/R.,FV Engers 07,150,1,1,/spielbericht/index/spielbericht/2538281,2014,Rheinlandliga
19.10.2014,15:00,FV Engers 07,SF Eisbachtal,150,1,0,/spielbericht/index/spielbericht/2538291,2014,Rheinlandliga
25.10.2014,18:00,RW Koblenz,FV Engers 07,100,1,0,/spielbericht/index/spielbericht/2538297,2014,Rheinlandliga
02.11.2014,15:00,FV Engers 07,Eintr. Trier II,100,1,2,/spielbericht/index/spielbericht/2538309,2014,Rheinlandliga
09.11.2014,14:30,SG Mendig,FV Engers 07,200,2,0,/spielbericht/index/spielbericht/2538314,2014,Rheinlandliga
11.03.2015,20:00,FV Engers 07,FSV Tarforst,110,1,1,/spielbericht/index/spielbericht/2538793,2014,Rheinlandliga
23.11.2014,14:30,FC Karbach,FV Engers 07,220,1,0,/spielbericht/index/spielbericht/2538330,2014,Rheinlandliga
30.11.2014,14:30,SG Bad Breisig,FV Engers 07,100,0,4,/spielbericht/index/spielbericht/2538340,2014,Rheinlandliga
07.12.2014,14:30,FV Engers 07,SV Morbach,150,2,0,/spielbericht/index/spielbericht/2538349,2014,Rheinlandliga
21.02.2015,18:30,SG KBG,FV Engers 07,120,0,3,/spielbericht/index/spielbericht/2538353,2014,Rheinlandliga
22.04.2015,18:15,FV Engers 07,TuS Koblenz II,150,0,0,/spielbericht/index/spielbericht/2538367,2014,Rheinlandliga
08.03.2015,14:30,SV Mehring,FV Engers 07,100,2,0,/spielbericht/index/spielbericht/2538374,2014,Rheinlandliga
15.03.2015,15:00,FV Engers 07,TuS Mosella,102,3,1,/spielbericht/index/spielbericht/2538385,2014,Rheinlandliga
20.03.2015,19:00,Mülheim-Kärlich,FV Engers 07,100,1,4,/spielbericht/index/spielbericht/2538387,2014,Rheinlandliga
29.03.2015,15:00,FV Engers 07,TuS Oberwinter,110,5,0,/spielbericht/index/spielbericht/2538416,2014,Rheinlandliga
01.04.2015,19:30,SV Konz,FV Engers 07,150,2,7,/spielbericht/index/spielbericht/2538423,2014,Rheinlandliga
04.04.2015,17:00,TuS Mayen,FV Engers 07,210,0,0,/spielbericht/index/spielbericht/2538659,2014,Rheinlandliga
11.04.2015,17:00,FV Engers 07,SG Malberg/R.,150,4,1,/spielbericht/index/spielbericht/2538668,2014,Rheinlandliga
18.04.2015,17:00,SF Eisbachtal,FV Engers 07,300,4,0,/spielbericht/index/spielbericht/2538676,2014,Rheinlandliga
25.04.2015,18:00,FV Engers 07,RW Koblenz,150,4,0,/spielbericht/index/spielbericht/2538686,2014,Rheinlandliga
03.05.2015,16:00,Eintr. Trier II,FV Engers 07,30,1,3,/spielbericht/index/spielbericht/2538700,2014,Rheinlandliga
10.05.2015,15:00,FV Engers 07,SG Mendig,150,2,1,/spielbericht/index/spielbericht/2538707,2014,Rheinlandliga
17.05.2015,14:30,FSV Tarforst,FV Engers 07,150,5,1,/spielbericht/index/spielbericht/2538714,2014,Rheinlandliga
23.05.2015,17:00,FV Engers 07,FC Karbach,300,1,1,/spielbericht/index/spielbericht/2538728,2014,Rheinlandliga
09.08.2015,15:00,FV Engers 07,SV Konz,250,4,2,/spielbericht/index/spielbericht/2586035,2015,Rheinlandliga
15.08.2015,17:30,SG KBG,FV Engers 07,220,1,2,/spielbericht/index/spielbericht/2586038,2015,Rheinlandliga
23.08.2015,15:00,FV Engers 07,TuS Koblenz II,300,1,1,/spielbericht/index/spielbericht/2586053,2015,Rheinlandliga
26.08.2015,19:15,SF Eisbachtal,FV Engers 07,150,0,3,/spielbericht/index/spielbericht/2586060,2015,Rheinlandliga
30.08.2015,15:00,FV Engers 07,SG Betzdorf,150,1,1,/spielbericht/index/spielbericht/2586072,2015,Rheinlandliga
06.09.2015,14:30,SV Morbach,FV Engers 07,150,2,3,/spielbericht/index/spielbericht/2586080,2015,Rheinlandliga
13.09.2015,15:00,FV Engers 07,SG Mendig,180,1,1,/spielbericht/index/spielbericht/2586090,2015,Rheinlandliga
18.09.2015,19:30,TuS Mayen,FV Engers 07,250,1,1,/spielbericht/index/spielbericht/2586093,2015,Rheinlandliga
27.09.2015,15:00,FV Engers 07,Mülheim-Kärlich,330,1,0,/spielbericht/index/spielbericht/2586109,2015,Rheinlandliga
03.10.2015,15:00,TuS Mosella,FV Engers 07,70,0,3,/spielbericht/index/spielbericht/2586117,2015,Rheinlandliga
11.10.2015,15:00,FV Engers 07,FSV Tarforst,250,1,1,/spielbericht/index/spielbericht/2586127,2015,Rheinlandliga
17.10.2015,17:30,SG Malberg/R.,FV Engers 07,150,0,1,/spielbericht/index/spielbericht/2586128,2015,Rheinlandliga
25.10.2015,15:00,FV Engers 07,SG 99 Andernach,350,0,0,/spielbericht/index/spielbericht/2586145,2015,Rheinlandliga
01.11.2015,14:30,RW Koblenz,FV Engers 07,346,3,1,/spielbericht/index/spielbericht/2586150,2015,Rheinlandliga
08.11.2015,15:00,FV Engers 07,SG Saartal,200,3,1,/spielbericht/index/spielbericht/2586163,2015,Rheinlandliga
15.11.2015,14:30,FV Engers 07,SG Bad Breisig,250,1,1,/spielbericht/index/spielbericht/2586170,2015,Rheinlandliga
22.11.2015,15:00,SG Neitersen/A.,FV Engers 07,150,4,3,/spielbericht/index/spielbericht/2586176,2015,Rheinlandliga
29.11.2015,14:30,SV Konz,FV Engers 07,120,1,2,/spielbericht/index/spielbericht/2586189,2015,Rheinlandliga
06.12.2015,14:30,FV Engers 07,SG KBG,100,3,0,/spielbericht/index/spielbericht/2586195,2015,Rheinlandliga
21.02.2016,14:30,TuS Koblenz II,FV Engers 07,200,1,2,/spielbericht/index/spielbericht/2586208,2015,Rheinlandliga
28.02.2016,15:00,FV Engers 07,SF Eisbachtal,300,1,1,/spielbericht/index/spielbericht/2586214,2015,Rheinlandliga
04.03.2016,19:30,SG Betzdorf,FV Engers 07,110,1,3,/spielbericht/index/spielbericht/2586220,2015,Rheinlandliga
13.03.2016,15:00,FV Engers 07,SV Morbach,150,1,1,/spielbericht/index/spielbericht/2586232,2015,Rheinlandliga
20.03.2016,14:30,SG Mendig,FV Engers 07,160,1,1,/spielbericht/index/spielbericht/2586242,2015,Rheinlandliga
26.03.2016,17:00,FV Engers 07,TuS Mayen,290,2,3,/spielbericht/index/spielbericht/2586252,2015,Rheinlandliga
30.03.2016,19:30,Mülheim-Kärlich,FV Engers 07,350,1,1,/spielbericht/index/spielbericht/2586261,2015,Rheinlandliga
