date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
12.07.2014,14:00,FV Illertissen,FC Augsburg II,620,3,0,/spielbericht/index/spielbericht/2467070,2014,Regionalliga Bayern
15.07.2014,19:00,Ingolstadt II,FV Illertissen,120,2,1,/spielbericht/index/spielbericht/2467258,2014,Regionalliga Bayern
29.07.2014,19:00,FC Memmingen,FV Illertissen,1.729,0,0,/spielbericht/index/spielbericht/2467268,2014,Regionalliga Bayern
26.07.2014,14:00,FV Illertissen,Seligenporten,375,1,0,/spielbericht/index/spielbericht/2467276,2014,Regionalliga Bayern
01.08.2014,19:00,Eintr. Bamberg,FV Illertissen,578,1,1,/spielbericht/index/spielbericht/2467282,2014,Regionalliga Bayern
09.08.2014,14:00,FV Illertissen,VfR Garching,396,3,1,/spielbericht/index/spielbericht/2467294,2014,Regionalliga Bayern
09.09.2014,19:00,Gr. Fürth II,FV Illertissen,263,5,2,/spielbericht/index/spielbericht/2467304,2014,Regionalliga Bayern
23.08.2014,14:00,FV Illertissen,SpVgg Bayreuth,394,2,2,/spielbericht/index/spielbericht/2467311,2014,Regionalliga Bayern
29.08.2014,19:00,B. München II,FV Illertissen,728,2,1,/spielbericht/index/spielbericht/2467316,2014,Regionalliga Bayern
06.09.2014,14:00,FV Illertissen,SV Schalding,422,1,3,/spielbericht/index/spielbericht/2467330,2014,Regionalliga Bayern
13.09.2014,14:00,Nürnberg II,FV Illertissen,215,3,3,/spielbericht/index/spielbericht/2467340,2014,Regionalliga Bayern
20.09.2014,14:00,FV Illertissen,Würzb. Kickers,650,0,0,/spielbericht/index/spielbericht/2467347,2014,Regionalliga Bayern
27.09.2014,14:00,W. Burghausen,FV Illertissen,1.200,0,2,/spielbericht/index/spielbericht/2467355,2014,Regionalliga Bayern
03.10.2014,14:00,FV Illertissen,SV Heimstetten,385,3,1,/spielbericht/index/spielbericht/2467366,2014,Regionalliga Bayern
10.10.2014,19:00,TSV Buchbach,FV Illertissen,851,3,1,/spielbericht/index/spielbericht/2467368,2014,Regionalliga Bayern
18.10.2014,14:00,FV Illertissen,Schweinfurt 05,365,2,1,/spielbericht/index/spielbericht/2467384,2014,Regionalliga Bayern
