date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,20:30,Fortuna Düsseldorf,E. Braunschweig,41.667,2,2,/spielbericht/index/spielbericht/2460932,2014,2. Bundesliga
08.08.2014,20:30,Union Berlin,Fortuna Düsseldorf,20.562,1,1,/spielbericht/index/spielbericht/2460944,2014,2. Bundesliga
23.08.2014,13:00,Fortuna Düsseldorf,Karlsruher SC,30.278,0,2,/spielbericht/index/spielbericht/2460954,2014,2. Bundesliga
30.08.2014,13:00,Erzgebirge Aue,Fortuna Düsseldorf,7.700,0,3,/spielbericht/index/spielbericht/2460969,2014,2. Bundesliga
15.09.2014,20:15,1.FC Nürnberg,Fortuna Düsseldorf,26.558,0,2,/spielbericht/index/spielbericht/2460970,2014,2. Bundesliga
21.09.2014,13:30,Fortuna Düsseldorf,1.FC Heidenheim,27.681,3,2,/spielbericht/index/spielbericht/2460982,2014,2. Bundesliga
25.09.2014,20:15,VfL Bochum,Fortuna Düsseldorf,24.500,1,1,/spielbericht/index/spielbericht/2460994,2014,2. Bundesliga
28.09.2014,13:30,Fortuna Düsseldorf,RB Leipzig,30.477,2,2,/spielbericht/index/spielbericht/2461000,2014,2. Bundesliga
05.10.2014,13:30,Darmstadt 98,Fortuna Düsseldorf,16.150,1,4,/spielbericht/index/spielbericht/2461014,2014,2. Bundesliga
20.10.2014,20:15,Fortuna Düsseldorf,FC St. Pauli,36.255,1,0,/spielbericht/index/spielbericht/2461018,2014,2. Bundesliga
25.10.2014,13:00,1.FC K'lautern,Fortuna Düsseldorf,36.000,1,1,/spielbericht/index/spielbericht/2461025,2014,2. Bundesliga
31.10.2014,18:30,Fortuna Düsseldorf,FC Ingolstadt,35.000,0,0,/spielbericht/index/spielbericht/2461036,2014,2. Bundesliga
10.11.2014,20:15,1860 München,Fortuna Düsseldorf,19.300,0,1,/spielbericht/index/spielbericht/2461044,2014,2. Bundesliga
24.11.2014,20:15,Fortuna Düsseldorf,Greuther Fürth,28.791,3,3,/spielbericht/index/spielbericht/2461054,2014,2. Bundesliga
29.11.2014,13:00,VfR Aalen,Fortuna Düsseldorf,6.500,2,0,/spielbericht/index/spielbericht/2461066,2014,2. Bundesliga
05.12.2014,18:30,Fortuna Düsseldorf,SV Sandhausen,27.274,1,3,/spielbericht/index/spielbericht/2461072,2014,2. Bundesliga
13.12.2014,13:00,FSV Frankfurt,Fortuna Düsseldorf,7.021,0,2,/spielbericht/index/spielbericht/2461085,2014,2. Bundesliga
16.12.2014,17:30,E. Braunschweig,Fortuna Düsseldorf,21.410,2,1,/spielbericht/index/spielbericht/2461087,2014,2. Bundesliga
19.12.2014,18:30,Fortuna Düsseldorf,Union Berlin,28.256,1,0,/spielbericht/index/spielbericht/2461099,2014,2. Bundesliga
08.02.2015,13:30,Karlsruher SC,Fortuna Düsseldorf,15.806,1,1,/spielbericht/index/spielbericht/2461106,2014,2. Bundesliga
13.02.2015,18:30,Fortuna Düsseldorf,Erzgebirge Aue,27.257,2,3,/spielbericht/index/spielbericht/2461115,2014,2. Bundesliga
22.02.2015,13:30,Fortuna Düsseldorf,1.FC Nürnberg,30.213,1,3,/spielbericht/index/spielbericht/2461125,2014,2. Bundesliga
01.03.2015,13:30,1.FC Heidenheim,Fortuna Düsseldorf,11.800,1,2,/spielbericht/index/spielbericht/2461137,2014,2. Bundesliga
06.03.2015,18:30,Fortuna Düsseldorf,VfL Bochum,33.481,2,2,/spielbericht/index/spielbericht/2461143,2014,2. Bundesliga
16.03.2015,20:15,RB Leipzig,Fortuna Düsseldorf,17.087,3,1,/spielbericht/index/spielbericht/2461156,2014,2. Bundesliga
21.03.2015,13:00,Fortuna Düsseldorf,Darmstadt 98,28.658,2,0,/spielbericht/index/spielbericht/2461161,2014,2. Bundesliga
06.04.2015,20:15,FC St. Pauli,Fortuna Düsseldorf,22.854,4,0,/spielbericht/index/spielbericht/2461170,2014,2. Bundesliga
13.04.2015,20:15,Fortuna Düsseldorf,1.FC K'lautern,28.344,1,1,/spielbericht/index/spielbericht/2461179,2014,2. Bundesliga
17.04.2015,18:30,FC Ingolstadt,Fortuna Düsseldorf,10.606,3,2,/spielbericht/index/spielbericht/2461189,2014,2. Bundesliga
25.04.2015,13:00,Fortuna Düsseldorf,1860 München,25.461,1,1,/spielbericht/index/spielbericht/2461197,2014,2. Bundesliga
03.05.2015,13:30,Greuther Fürth,Fortuna Düsseldorf,11.845,3,0,/spielbericht/index/spielbericht/2461204,2014,2. Bundesliga
08.05.2015,18:30,Fortuna Düsseldorf,VfR Aalen,22.366,0,2,/spielbericht/index/spielbericht/2461215,2014,2. Bundesliga
17.05.2015,15:30,SV Sandhausen,Fortuna Düsseldorf,6.109,0,2,/spielbericht/index/spielbericht/2461227,2014,2. Bundesliga
24.05.2015,15:30,Fortuna Düsseldorf,FSV Frankfurt,28.762,2,3,/spielbericht/index/spielbericht/2461233,2014,2. Bundesliga
17.08.2014,16:00,Würzb. Kickers,Fortuna Düsseldorf,10.500,3,2,/spielbericht/index/spielbericht/2458328,2014,DFB-Pokal
26.07.2015,15:30,Union Berlin,Fortuna Düsseldorf,20.786,1,1,/spielbericht/index/spielbericht/2581160,2015,2. Bundesliga
02.08.2015,13:30,Fortuna Düsseldorf,SC Paderborn,30.416,1,2,/spielbericht/index/spielbericht/2581417,2015,2. Bundesliga
14.08.2015,18:30,1.FC Heidenheim,Fortuna Düsseldorf,13.300,1,0,/spielbericht/index/spielbericht/2581442,2015,2. Bundesliga
22.08.2015,13:00,Fortuna Düsseldorf,SC Freiburg,27.233,1,2,/spielbericht/index/spielbericht/2583820,2015,2. Bundesliga
30.08.2015,13:30,1.FC Nürnberg,Fortuna Düsseldorf,26.379,1,0,/spielbericht/index/spielbericht/2583829,2015,2. Bundesliga
13.09.2015,13:30,Fortuna Düsseldorf,1860 München,24.970,3,0,/spielbericht/index/spielbericht/2583838,2015,2. Bundesliga
18.09.2015,18:30,VfL Bochum,Fortuna Düsseldorf,27.561,1,1,/spielbericht/index/spielbericht/2583849,2015,2. Bundesliga
22.09.2015,17:30,Karlsruher SC,Fortuna Düsseldorf,12.180,1,1,/spielbericht/index/spielbericht/2583853,2015,2. Bundesliga
25.09.2015,18:30,Fortuna Düsseldorf,SV Sandhausen,21.700,0,1,/spielbericht/index/spielbericht/2583866,2015,2. Bundesliga
02.10.2015,18:30,1.FC K'lautern,Fortuna Düsseldorf,24.763,3,0,/spielbericht/index/spielbericht/2583872,2015,2. Bundesliga
16.10.2015,18:30,Fortuna Düsseldorf,Arm. Bielefeld,27.303,1,0,/spielbericht/index/spielbericht/2583883,2015,2. Bundesliga
23.10.2015,18:30,RB Leipzig,Fortuna Düsseldorf,24.095,2,1,/spielbericht/index/spielbericht/2583890,2015,2. Bundesliga
30.10.2015,18:30,Fortuna Düsseldorf,Greuther Fürth,21.241,1,0,/spielbericht/index/spielbericht/2583902,2015,2. Bundesliga
09.11.2015,20:15,FC St. Pauli,Fortuna Düsseldorf,29.017,4,0,/spielbericht/index/spielbericht/2583913,2015,2. Bundesliga
20.11.2015,18:30,Fortuna Düsseldorf,MSV Duisburg,34.688,1,1,/spielbericht/index/spielbericht/2583919,2015,2. Bundesliga
29.11.2015,13:30,FSV Frankfurt,Fortuna Düsseldorf,6.049,1,2,/spielbericht/index/spielbericht/2583932,2015,2. Bundesliga
07.12.2015,20:15,Fortuna Düsseldorf,E. Braunschweig,22.757,1,0,/spielbericht/index/spielbericht/2583938,2015,2. Bundesliga
12.12.2015,13:00,Fortuna Düsseldorf,Union Berlin,23.461,0,3,/spielbericht/index/spielbericht/2583947,2015,2. Bundesliga
21.12.2015,20:00,SC Paderborn,Fortuna Düsseldorf,14.839,0,0,/spielbericht/index/spielbericht/2583956,2015,2. Bundesliga
06.02.2016,13:00,Fortuna Düsseldorf,1.FC Heidenheim,24.267,0,1,/spielbericht/index/spielbericht/2583967,2015,2. Bundesliga
14.02.2016,13:30,SC Freiburg,Fortuna Düsseldorf,22.500,1,2,/spielbericht/index/spielbericht/2583973,2015,2. Bundesliga
22.02.2016,20:15,Fortuna Düsseldorf,1.FC Nürnberg,21.854,1,1,/spielbericht/index/spielbericht/2583982,2015,2. Bundesliga
