date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,13:30,Berliner AK,Germania Halberstadt,232,1,0,/spielbericht/index/spielbericht/2479117,2014,Regionalliga Nordost
10.08.2014,13:30,Germania Halberstadt,1.FC Magdeburg,3.051,4,2,/spielbericht/index/spielbericht/2479123,2014,Regionalliga Nordost
17.08.2014,13:30,TSG Neustrelitz,Germania Halberstadt,1.004,3,2,/spielbericht/index/spielbericht/2479319,2014,Regionalliga Nordost
24.08.2014,13:30,Germania Halberstadt,Budissa Bautzen,516,0,0,/spielbericht/index/spielbericht/2479330,2014,Regionalliga Nordost
30.08.2014,13:30,Carl Zeiss Jena,Germania Halberstadt,2.214,1,0,/spielbericht/index/spielbericht/2479335,2014,Regionalliga Nordost
14.09.2014,13:30,Germania Halberstadt,BFC Dynamo,1.021,0,3,/spielbericht/index/spielbericht/2479345,2014,Regionalliga Nordost
21.09.2014,13:30,Hertha BSC II,Germania Halberstadt,358,3,1,/spielbericht/index/spielbericht/2479356,2014,Regionalliga Nordost
28.09.2014,13:30,Germania Halberstadt,Viktoria Berlin,450,2,0,/spielbericht/index/spielbericht/2479359,2014,Regionalliga Nordost
05.10.2014,13:30,Union Berlin II,Germania Halberstadt,421,0,3,/spielbericht/index/spielbericht/2479368,2014,Regionalliga Nordost
19.10.2014,13:30,Germania Halberstadt,VfB Auerbach,548,2,0,/spielbericht/index/spielbericht/2479375,2014,Regionalliga Nordost
25.10.2014,13:30,Germania Halberstadt,Babelsberg 03,635,0,2,/spielbericht/index/spielbericht/2479383,2014,Regionalliga Nordost
31.10.2014,15:00,VFC Plauen,Germania Halberstadt,895,0,0,/spielbericht/index/spielbericht/2479389,2014,Regionalliga Nordost
09.11.2014,13:30,Germania Halberstadt,ZFC Meuselwitz,537,0,2,/spielbericht/index/spielbericht/2479399,2014,Regionalliga Nordost
22.11.2014,13:30,FSV Zwickau,Germania Halberstadt,990,1,2,/spielbericht/index/spielbericht/2479411,2014,Regionalliga Nordost
30.11.2014,13:30,Germania Halberstadt,W. Nordhausen,675,1,1,/spielbericht/index/spielbericht/2479415,2014,Regionalliga Nordost
06.12.2014,13:30,Germania Halberstadt,Berliner AK,363,2,5,/spielbericht/index/spielbericht/2479622,2014,Regionalliga Nordost
22.02.2015,14:05,1.FC Magdeburg,Germania Halberstadt,9.372,4,0,/spielbericht/index/spielbericht/2479628,2014,Regionalliga Nordost
