date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
16.08.2015,14:00,Greifswalder FC,TSV Friedland,489,5,0,/spielbericht/index/spielbericht/2584689,2015,Verbandsliga Mecklenburg-Vorpommern
22.08.2015,14:00,E. Ueckermünde,Greifswalder FC,140,1,6,/spielbericht/index/spielbericht/2603324,2015,Verbandsliga Mecklenburg-Vorpommern
30.08.2015,15:00,Greifswalder FC,Grimmener SV,582,1,0,/spielbericht/index/spielbericht/2603334,2015,Verbandsliga Mecklenburg-Vorpommern
12.09.2015,14:00,TSG Neustre. II,Greifswalder FC,63,0,4,/spielbericht/index/spielbericht/2603336,2015,Verbandsliga Mecklenburg-Vorpommern
18.09.2015,20:00,Greifswalder FC,VFC Anklam,489,8,0,/spielbericht/index/spielbericht/2603342,2015,Verbandsliga Mecklenburg-Vorpommern
26.09.2015,15:00,MSV Pampow,Greifswalder FC,183,2,4,/spielbericht/index/spielbericht/2603354,2015,Verbandsliga Mecklenburg-Vorpommern
18.10.2015,14:00,Rostocker FC,Greifswalder FC,125,3,3,/spielbericht/index/spielbericht/2603369,2015,Verbandsliga Mecklenburg-Vorpommern
23.10.2015,20:00,Greifswalder FC,SV Pastow,368,6,0,/spielbericht/index/spielbericht/2603370,2015,Verbandsliga Mecklenburg-Vorpommern
31.10.2015,14:00,Torgelower FC,Greifswalder FC,180,0,1,/spielbericht/index/spielbericht/2603380,2015,Verbandsliga Mecklenburg-Vorpommern
06.11.2015,19:30,Greifswalder FC,FC Pommern,479,1,1,/spielbericht/index/spielbericht/2603384,2015,Verbandsliga Mecklenburg-Vorpommern
21.11.2015,13:00,SGA Boizenburg,Greifswalder FC,100,0,4,/spielbericht/index/spielbericht/2603633,2015,Verbandsliga Mecklenburg-Vorpommern
29.11.2015,13:00,FCM Schwerin,Greifswalder FC,430,1,1,/spielbericht/index/spielbericht/2603644,2015,Verbandsliga Mecklenburg-Vorpommern
04.12.2015,20:00,Greifswalder FC,Güstrower SC,278,2,0,/spielbericht/index/spielbericht/2603645,2015,Verbandsliga Mecklenburg-Vorpommern
12.12.2015,13:00,FC Förderkader,Greifswalder FC,105,0,3,/spielbericht/index/spielbericht/2603658,2015,Verbandsliga Mecklenburg-Vorpommern
20.02.2016,14:00,TSV Friedland,Greifswalder FC,107,1,3,/spielbericht/index/spielbericht/2603659,2015,Verbandsliga Mecklenburg-Vorpommern
28.02.2016,14:00,Greifswalder FC,E. Ueckermünde,368,1,1,/spielbericht/index/spielbericht/2645283,2015,Verbandsliga Mecklenburg-Vorpommern
05.03.2016,14:00,Grimmener SV,Greifswalder FC,190,0,0,/spielbericht/index/spielbericht/2645285,2015,Verbandsliga Mecklenburg-Vorpommern
13.03.2016,14:00,Greifswalder FC,TSG Neustre. II,256,4,0,/spielbericht/index/spielbericht/2645297,2015,Verbandsliga Mecklenburg-Vorpommern
19.03.2016,14:00,VFC Anklam,Greifswalder FC,163,0,2,/spielbericht/index/spielbericht/2645301,2015,Verbandsliga Mecklenburg-Vorpommern
03.04.2016,14:00,Greifswalder FC,MSV Pampow,389,0,3,/spielbericht/index/spielbericht/2645311,2015,Verbandsliga Mecklenburg-Vorpommern
17.04.2016,14:00,Greifswalder FC,Rostocker FC,342,1,0,/spielbericht/index/spielbericht/2645326,2015,Verbandsliga Mecklenburg-Vorpommern
23.04.2016,14:00,SV Pastow,Greifswalder FC,110,1,5,/spielbericht/index/spielbericht/2645328,2015,Verbandsliga Mecklenburg-Vorpommern
01.05.2016,14:00,Greifswalder FC,Torgelower FC,378,0,1,/spielbericht/index/spielbericht/2645340,2015,Verbandsliga Mecklenburg-Vorpommern
07.05.2016,14:00,FC Pommern,Greifswalder FC,200,1,2,/spielbericht/index/spielbericht/2645342,2015,Verbandsliga Mecklenburg-Vorpommern
13.05.2016,20:00,Greifswalder FC,SGA Boizenburg,348,6,0,/spielbericht/index/spielbericht/2645348,2015,Verbandsliga Mecklenburg-Vorpommern
22.05.2016,14:00,Greifswalder FC,FCM Schwerin,1.128,0,4,/spielbericht/index/spielbericht/2645360,2015,Verbandsliga Mecklenburg-Vorpommern
