date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,10:45,SC Condor,HSV Barmbek-Uhlenhorst,270,1,1,/spielbericht/index/spielbericht/2467937,2014,Oberliga Hamburg
10.08.2014,14:00,HSV Barmbek-Uhlenhorst,Altona 93,838,3,0,/spielbericht/index/spielbericht/2475571,2014,Oberliga Hamburg
17.08.2014,14:00,SV Halstenbek,HSV Barmbek-Uhlenhorst,290,2,2,/spielbericht/index/spielbericht/2485744,2014,Oberliga Hamburg
24.08.2014,14:00,HSV Barmbek-Uhlenhorst,Meiendorfer SV,393,0,1,/spielbericht/index/spielbericht/2485753,2014,Oberliga Hamburg
31.08.2014,14:00,Niendorfer TSV,HSV Barmbek-Uhlenhorst,120,3,1,/spielbericht/index/spielbericht/2485761,2014,Oberliga Hamburg
07.09.2014,14:00,HSV Barmbek-Uhlenhorst,SV Rugenbergen,,0,1,/spielbericht/index/spielbericht/2494596,2014,Oberliga Hamburg
12.09.2014,18:30,Buxtehude,HSV Barmbek-Uhlenhorst,200,1,4,/spielbericht/index/spielbericht/2494599,2014,Oberliga Hamburg
28.09.2014,14:00,HSV Barmbek-Uhlenhorst,SC Victoria,380,1,1,/spielbericht/index/spielbericht/2500836,2014,Oberliga Hamburg
05.10.2014,15:00,SC Vier-Marsch.,HSV Barmbek-Uhlenhorst,100,0,2,/spielbericht/index/spielbericht/2500845,2014,Oberliga Hamburg
12.10.2014,14:00,HSV Barmbek-Uhlenhorst,VfL Pinneberg,380,3,0,/spielbericht/index/spielbericht/2502900,2014,Oberliga Hamburg
19.10.2014,10:45,USC Paloma,HSV Barmbek-Uhlenhorst,550,2,2,/spielbericht/index/spielbericht/2502968,2014,Oberliga Hamburg
26.10.2014,14:00,HSV Barmbek-Uhlenhorst,TSV Buchholz 08,,0,1,/spielbericht/index/spielbericht/2504692,2014,Oberliga Hamburg
31.10.2014,19:30,Germ. Schnelsen,HSV Barmbek-Uhlenhorst,,0,7,/spielbericht/index/spielbericht/2504695,2014,Oberliga Hamburg
09.11.2014,14:00,HSV Barmbek-Uhlenhorst,SV Curslack-N.,295,2,2,/spielbericht/index/spielbericht/2504710,2014,Oberliga Hamburg
14.11.2014,20:00,FC Süderelbe,HSV Barmbek-Uhlenhorst,300,1,5,/spielbericht/index/spielbericht/2504714,2014,Oberliga Hamburg
23.11.2014,14:00,HSV Barmbek-Uhlenhorst,TuS Dassendorf,,2,1,/spielbericht/index/spielbericht/2504727,2014,Oberliga Hamburg
30.11.2014,14:00,HSV Barmbek-Uhlenhorst,SC Condor,200,0,1,/spielbericht/index/spielbericht/2504735,2014,Oberliga Hamburg
07.12.2014,14:00,Altona 93,HSV Barmbek-Uhlenhorst,634,0,1,/spielbericht/index/spielbericht/2504745,2014,Oberliga Hamburg
15.02.2015,14:00,HSV Barmbek-Uhlenhorst,SV Halstenbek,351,1,0,/spielbericht/index/spielbericht/2504753,2014,Oberliga Hamburg
21.02.2015,14:00,Meiendorfer SV,HSV Barmbek-Uhlenhorst,300,2,3,/spielbericht/index/spielbericht/2504759,2014,Oberliga Hamburg
01.03.2015,14:00,HSV Barmbek-Uhlenhorst,Niendorfer TSV,250,3,2,/spielbericht/index/spielbericht/2504770,2014,Oberliga Hamburg
14.04.2015,18:30,SV Rugenbergen,HSV Barmbek-Uhlenhorst,150,0,1,/spielbericht/index/spielbericht/2527471,2014,Oberliga Hamburg
15.03.2015,14:00,HSV Barmbek-Uhlenhorst,Buxtehude,270,3,0,/spielbericht/index/spielbericht/2527482,2014,Oberliga Hamburg
