date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,Hallescher FC,Chemnitzer FC,8.794,0,3,/spielbericht/index/spielbericht/2462899,2014,3. Liga
02.08.2014,14:00,Arm. Bielefeld,Hallescher FC,12.628,1,5,/spielbericht/index/spielbericht/2462906,2014,3. Liga
06.08.2014,19:00,Hallescher FC,Fortuna Köln,8.568,0,2,/spielbericht/index/spielbericht/2462923,2014,3. Liga
09.08.2014,14:00,MSV Duisburg,Hallescher FC,11.095,1,1,/spielbericht/index/spielbericht/2462928,2014,3. Liga
23.08.2014,14:00,Hallescher FC,Stuttg. Kickers,5.390,1,2,/spielbericht/index/spielbericht/2462943,2014,3. Liga
27.08.2014,19:00,Unterhaching,Hallescher FC,2.600,0,4,/spielbericht/index/spielbericht/2462950,2014,3. Liga
30.08.2014,14:00,Hallescher FC,B. Dortmund II,6.314,0,0,/spielbericht/index/spielbericht/2462963,2014,3. Liga
06.09.2014,14:00,Hansa Rostock,Hallescher FC,9.500,0,1,/spielbericht/index/spielbericht/2462972,2014,3. Liga
13.09.2014,14:00,Hallescher FC,Stuttgart II,5.372,0,2,/spielbericht/index/spielbericht/2462983,2014,3. Liga
20.09.2014,14:00,Energie Cottbus,Hallescher FC,8.013,1,2,/spielbericht/index/spielbericht/2462993,2014,3. Liga
24.09.2014,19:00,Hallescher FC,Dynamo Dresden,12.466,1,1,/spielbericht/index/spielbericht/2463003,2014,3. Liga
28.09.2014,14:00,Pr. Münster,Hallescher FC,7.553,2,0,/spielbericht/index/spielbericht/2463006,2014,3. Liga
05.10.2014,14:00,Hallescher FC,Rot-Weiß Erfurt,8.336,1,2,/spielbericht/index/spielbericht/2463023,2014,3. Liga
18.10.2014,14:00,Holstein Kiel,Hallescher FC,4.611,3,0,/spielbericht/index/spielbericht/2463028,2014,3. Liga
25.10.2014,14:00,Hallescher FC,Wehen Wiesbaden,5.483,3,1,/spielbericht/index/spielbericht/2463043,2014,3. Liga
02.11.2014,14:00,J. Regensburg,Hallescher FC,3.772,1,1,/spielbericht/index/spielbericht/2463050,2014,3. Liga
08.11.2014,14:00,Hallescher FC,Sonnenhof-Gr.,6.033,0,2,/spielbericht/index/spielbericht/2463063,2014,3. Liga
23.11.2014,14:00,FSV Mainz 05 II,Hallescher FC,1.003,0,1,/spielbericht/index/spielbericht/2463072,2014,3. Liga
29.11.2014,14:00,Hallescher FC,VfL Osnabrück,5.328,2,1,/spielbericht/index/spielbericht/2463083,2014,3. Liga
06.12.2014,14:00,Chemnitzer FC,Hallescher FC,5.603,0,2,/spielbericht/index/spielbericht/2463086,2014,3. Liga
13.12.2014,14:00,Hallescher FC,Arm. Bielefeld,6.623,0,3,/spielbericht/index/spielbericht/2463096,2014,3. Liga
20.12.2014,14:00,Fortuna Köln,Hallescher FC,1.821,2,2,/spielbericht/index/spielbericht/2463113,2014,3. Liga
31.01.2015,14:00,Hallescher FC,MSV Duisburg,6.286,1,2,/spielbericht/index/spielbericht/2463118,2014,3. Liga
10.03.2015,19:00,Stuttg. Kickers,Hallescher FC,5.220,1,1,/spielbericht/index/spielbericht/2463133,2014,3. Liga
14.02.2015,14:00,Hallescher FC,Unterhaching,5.208,2,1,/spielbericht/index/spielbericht/2463140,2014,3. Liga
20.02.2015,19:00,B. Dortmund II,Hallescher FC,634,1,1,/spielbericht/index/spielbericht/2463153,2014,3. Liga
28.02.2015,14:05,Hallescher FC,Hansa Rostock,11.324,1,2,/spielbericht/index/spielbericht/2463162,2014,3. Liga
07.03.2015,14:00,Stuttgart II,Hallescher FC,850,0,1,/spielbericht/index/spielbericht/2463173,2014,3. Liga
14.03.2015,14:00,Hallescher FC,Energie Cottbus,8.026,3,1,/spielbericht/index/spielbericht/2463183,2014,3. Liga
21.03.2015,14:05,Dynamo Dresden,Hallescher FC,25.391,2,3,/spielbericht/index/spielbericht/2463193,2014,3. Liga
04.04.2015,14:00,Hallescher FC,Pr. Münster,7.498,3,0,/spielbericht/index/spielbericht/2463196,2014,3. Liga
11.04.2015,14:00,Rot-Weiß Erfurt,Hallescher FC,5.848,1,2,/spielbericht/index/spielbericht/2463213,2014,3. Liga
19.04.2015,14:00,Hallescher FC,Holstein Kiel,8.283,2,2,/spielbericht/index/spielbericht/2463218,2014,3. Liga
25.04.2015,14:00,Wehen Wiesbaden,Hallescher FC,2.280,3,0,/spielbericht/index/spielbericht/2463233,2014,3. Liga
02.05.2015,14:00,Hallescher FC,J. Regensburg,6.054,2,1,/spielbericht/index/spielbericht/2463240,2014,3. Liga
10.05.2015,14:00,Sonnenhof-Gr.,Hallescher FC,1.500,2,1,/spielbericht/index/spielbericht/2463253,2014,3. Liga
16.05.2015,13:30,Hallescher FC,FSV Mainz 05 II,6.217,1,2,/spielbericht/index/spielbericht/2463262,2014,3. Liga
23.05.2015,13:30,VfL Osnabrück,Hallescher FC,7.500,2,0,/spielbericht/index/spielbericht/2463273,2014,3. Liga
26.07.2015,14:00,Energie Cottbus,Hallescher FC,9.306,2,0,/spielbericht/index/spielbericht/2584699,2015,3. Liga
02.08.2015,14:00,Hallescher FC,Holstein Kiel,7.204,0,2,/spielbericht/index/spielbericht/2584928,2015,3. Liga
16.08.2015,14:00,1.FC Magdeburg,Hallescher FC,20.912,2,1,/spielbericht/index/spielbericht/2584938,2015,3. Liga
22.08.2015,14:00,Hallescher FC,Wehen Wiesbaden,5.008,3,0,/spielbericht/index/spielbericht/2584948,2015,3. Liga
26.08.2015,20:30,Dynamo Dresden,Hallescher FC,27.135,3,2,/spielbericht/index/spielbericht/2584956,2015,3. Liga
29.08.2015,14:00,Hallescher FC,Pr. Münster,5.214,1,3,/spielbericht/index/spielbericht/2584968,2015,3. Liga
15.09.2015,18:30,Sonnenhof-Gr.,Hallescher FC,1.200,0,0,/spielbericht/index/spielbericht/2584983,2015,3. Liga
12.09.2015,14:00,Hallescher FC,Stuttgart II,5.637,3,0,/spielbericht/index/spielbericht/2584988,2015,3. Liga
19.09.2015,14:00,Würzb. Kickers,Hallescher FC,3.950,0,1,/spielbericht/index/spielbericht/2585001,2015,3. Liga
