date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,1.FC Köln,Hamburger SV,49.959,0,0,/spielbericht/index/spielbericht/2460633,2014,Bundesliga
30.08.2014,15:30,Hamburger SV,SC Paderborn,54.553,0,3,/spielbericht/index/spielbericht/2460643,2014,Bundesliga
14.09.2014,17:30,Hannover 96,Hamburger SV,49.000,2,0,/spielbericht/index/spielbericht/2460649,2014,Bundesliga
20.09.2014,15:30,Hamburger SV,Bayern München,57.000,0,0,/spielbericht/index/spielbericht/2460658,2014,Bundesliga
24.09.2014,20:00,Bor. M'gladbach,Hamburger SV,44.175,1,0,/spielbericht/index/spielbericht/2460665,2014,Bundesliga
28.09.2014,17:30,Hamburger SV,E. Frankfurt,47.643,1,2,/spielbericht/index/spielbericht/2460677,2014,Bundesliga
04.10.2014,15:30,Bor. Dortmund,Hamburger SV,80.667,0,1,/spielbericht/index/spielbericht/2460681,2014,Bundesliga
19.10.2014,15:30,Hamburger SV,TSG Hoffenheim,49.003,1,1,/spielbericht/index/spielbericht/2460695,2014,Bundesliga
25.10.2014,15:30,Hertha BSC,Hamburger SV,58.768,3,0,/spielbericht/index/spielbericht/2460704,2014,Bundesliga
01.11.2014,15:30,Hamburger SV,B. Leverkusen,52.990,1,0,/spielbericht/index/spielbericht/2460713,2014,Bundesliga
09.11.2014,15:30,VfL Wolfsburg,Hamburger SV,30.000,2,0,/spielbericht/index/spielbericht/2460718,2014,Bundesliga
23.11.2014,15:30,Hamburger SV,Werder Bremen,57.000,2,0,/spielbericht/index/spielbericht/2460731,2014,Bundesliga
29.11.2014,15:30,FC Augsburg,Hamburger SV,30.321,3,1,/spielbericht/index/spielbericht/2460737,2014,Bundesliga
07.12.2014,15:30,Hamburger SV,1.FSV Mainz 05,45.968,2,1,/spielbericht/index/spielbericht/2460749,2014,Bundesliga
13.12.2014,15:30,SC Freiburg,Hamburger SV,24.000,0,0,/spielbericht/index/spielbericht/2460760,2014,Bundesliga
16.12.2014,20:00,Hamburger SV,VfB Stuttgart,48.223,0,1,/spielbericht/index/spielbericht/2460767,2014,Bundesliga
20.12.2014,15:30,FC Schalke 04,Hamburger SV,61.973,0,0,/spielbericht/index/spielbericht/2460770,2014,Bundesliga
31.01.2015,15:30,Hamburger SV,1.FC Köln,56.053,0,2,/spielbericht/index/spielbericht/2460787,2014,Bundesliga
04.02.2015,20:00,SC Paderborn,Hamburger SV,15.000,0,3,/spielbericht/index/spielbericht/2460796,2014,Bundesliga
07.02.2015,18:30,Hamburger SV,Hannover 96,51.779,2,1,/spielbericht/index/spielbericht/2460804,2014,Bundesliga
14.02.2015,15:30,Bayern München,Hamburger SV,75.000,8,0,/spielbericht/index/spielbericht/2460806,2014,Bundesliga
22.02.2015,15:30,Hamburger SV,Bor. M'gladbach,52.105,1,1,/spielbericht/index/spielbericht/2460821,2014,Bundesliga
28.02.2015,18:30,E. Frankfurt,Hamburger SV,50.500,2,1,/spielbericht/index/spielbericht/2460832,2014,Bundesliga
07.03.2015,15:30,Hamburger SV,Bor. Dortmund,57.000,0,0,/spielbericht/index/spielbericht/2460839,2014,Bundesliga
14.03.2015,15:30,TSG Hoffenheim,Hamburger SV,30.150,3,0,/spielbericht/index/spielbericht/2460847,2014,Bundesliga
20.03.2015,20:30,Hamburger SV,Hertha BSC,53.640,0,1,/spielbericht/index/spielbericht/2460857,2014,Bundesliga
04.04.2015,15:30,B. Leverkusen,Hamburger SV,30.210,4,0,/spielbericht/index/spielbericht/2460861,2014,Bundesliga
11.04.2015,18:30,Hamburger SV,VfL Wolfsburg,57.000,0,2,/spielbericht/index/spielbericht/2460875,2014,Bundesliga
19.04.2015,15:30,Werder Bremen,Hamburger SV,42.100,1,0,/spielbericht/index/spielbericht/2460884,2014,Bundesliga
25.04.2015,15:30,Hamburger SV,FC Augsburg,51.321,3,2,/spielbericht/index/spielbericht/2460893,2014,Bundesliga
03.05.2015,15:30,1.FSV Mainz 05,Hamburger SV,34.000,1,2,/spielbericht/index/spielbericht/2460899,2014,Bundesliga
08.05.2015,20:30,Hamburger SV,SC Freiburg,57.000,1,1,/spielbericht/index/spielbericht/2460911,2014,Bundesliga
16.05.2015,15:30,VfB Stuttgart,Hamburger SV,60.449,2,1,/spielbericht/index/spielbericht/2460922,2014,Bundesliga
23.05.2015,15:30,Hamburger SV,FC Schalke 04,57.000,2,0,/spielbericht/index/spielbericht/2460929,2014,Bundesliga
28.05.2015,20:30,Hamburger SV,Karlsruher SC,56.615,1,1,/spielbericht/index/spielbericht/2569601,2014,Relegation Bundesliga
01.06.2015,19:00,Karlsruher SC,Hamburger SV,27.986,1,2,/spielbericht/index/spielbericht/2569602,2014,Relegation Bundesliga
14.08.2015,20:30,Bayern München,Hamburger SV,75.024,5,0,/spielbericht/index/spielbericht/2581147,2015,Bundesliga
22.08.2015,18:30,Hamburger SV,VfB Stuttgart,54.618,3,2,/spielbericht/index/spielbericht/2581176,2015,Bundesliga
29.08.2015,15:30,1.FC Köln,Hamburger SV,50.000,2,1,/spielbericht/index/spielbericht/2581188,2015,Bundesliga
11.09.2015,20:30,Bor. M'gladbach,Hamburger SV,54.010,0,3,/spielbericht/index/spielbericht/2581195,2015,Bundesliga
19.09.2015,15:30,Hamburger SV,E. Frankfurt,55.322,0,0,/spielbericht/index/spielbericht/2581635,2015,Bundesliga
22.09.2015,20:00,FC Ingolstadt,Hamburger SV,15.000,0,1,/spielbericht/index/spielbericht/2581649,2015,Bundesliga
26.09.2015,18:30,Hamburger SV,FC Schalke 04,53.192,0,1,/spielbericht/index/spielbericht/2581653,2015,Bundesliga
03.10.2015,15:30,Hertha BSC,Hamburger SV,65.427,3,0,/spielbericht/index/spielbericht/2581671,2015,Bundesliga
17.10.2015,15:30,Hamburger SV,B. Leverkusen,54.957,0,0,/spielbericht/index/spielbericht/2581677,2015,Bundesliga
