date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,Hannover 96,FC Schalke 04,49.000,2,1,/spielbericht/index/spielbericht/2460630,2014,Bundesliga
31.08.2014,15:30,1.FSV Mainz 05,Hannover 96,27.647,0,0,/spielbericht/index/spielbericht/2460638,2014,Bundesliga
14.09.2014,17:30,Hannover 96,Hamburger SV,49.000,2,0,/spielbericht/index/spielbericht/2460649,2014,Bundesliga
20.09.2014,15:30,SC Paderborn,Hannover 96,15.000,2,0,/spielbericht/index/spielbericht/2460661,2014,Bundesliga
24.09.2014,20:00,Hannover 96,1.FC Köln,39.400,1,0,/spielbericht/index/spielbericht/2460667,2014,Bundesliga
27.09.2014,15:30,VfB Stuttgart,Hannover 96,40.500,1,0,/spielbericht/index/spielbericht/2460676,2014,Bundesliga
04.10.2014,15:30,Bayern München,Hannover 96,71.000,4,0,/spielbericht/index/spielbericht/2460680,2014,Bundesliga
18.10.2014,15:30,Hannover 96,Bor. M'gladbach,49.000,0,3,/spielbericht/index/spielbericht/2460692,2014,Bundesliga
25.10.2014,15:30,Bor. Dortmund,Hannover 96,80.667,0,1,/spielbericht/index/spielbericht/2460698,2014,Bundesliga
01.11.2014,15:30,Hannover 96,E. Frankfurt,42.200,1,0,/spielbericht/index/spielbericht/2460711,2014,Bundesliga
07.11.2014,20:30,Hertha BSC,Hannover 96,39.710,0,2,/spielbericht/index/spielbericht/2460721,2014,Bundesliga
22.11.2014,15:30,Hannover 96,B. Leverkusen,40.800,1,3,/spielbericht/index/spielbericht/2460729,2014,Bundesliga
29.11.2014,18:30,TSG Hoffenheim,Hannover 96,22.716,4,3,/spielbericht/index/spielbericht/2460738,2014,Bundesliga
06.12.2014,15:30,Hannover 96,VfL Wolfsburg,41.400,1,3,/spielbericht/index/spielbericht/2460746,2014,Bundesliga
13.12.2014,15:30,Werder Bremen,Hannover 96,40.932,3,3,/spielbericht/index/spielbericht/2460759,2014,Bundesliga
16.12.2014,20:00,Hannover 96,FC Augsburg,38.000,2,0,/spielbericht/index/spielbericht/2460765,2014,Bundesliga
21.12.2014,17:30,SC Freiburg,Hannover 96,23.550,2,2,/spielbericht/index/spielbericht/2460777,2014,Bundesliga
31.01.2015,15:30,FC Schalke 04,Hannover 96,61.646,1,0,/spielbericht/index/spielbericht/2460779,2014,Bundesliga
03.02.2015,20:00,Hannover 96,1.FSV Mainz 05,30.500,1,1,/spielbericht/index/spielbericht/2460792,2014,Bundesliga
07.02.2015,18:30,Hamburger SV,Hannover 96,51.779,2,1,/spielbericht/index/spielbericht/2460804,2014,Bundesliga
15.02.2015,17:30,Hannover 96,SC Paderborn,38.300,1,2,/spielbericht/index/spielbericht/2460811,2014,Bundesliga
21.02.2015,18:30,1.FC Köln,Hannover 96,47.300,1,1,/spielbericht/index/spielbericht/2460822,2014,Bundesliga
28.02.2015,15:30,Hannover 96,VfB Stuttgart,40.200,1,1,/spielbericht/index/spielbericht/2460829,2014,Bundesliga
07.03.2015,15:30,Hannover 96,Bayern München,49.000,1,3,/spielbericht/index/spielbericht/2460836,2014,Bundesliga
15.03.2015,17:30,Bor. M'gladbach,Hannover 96,49.134,2,0,/spielbericht/index/spielbericht/2460845,2014,Bundesliga
21.03.2015,15:30,Hannover 96,Bor. Dortmund,49.000,2,3,/spielbericht/index/spielbericht/2460854,2014,Bundesliga
04.04.2015,15:30,E. Frankfurt,Hannover 96,49.600,2,2,/spielbericht/index/spielbericht/2460867,2014,Bundesliga
10.04.2015,20:30,Hannover 96,Hertha BSC,46.000,1,1,/spielbericht/index/spielbericht/2460873,2014,Bundesliga
18.04.2015,15:30,B. Leverkusen,Hannover 96,29.482,4,0,/spielbericht/index/spielbericht/2460879,2014,Bundesliga
