date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,Hertha BSC,Werder Bremen,59.762,2,2,/spielbericht/index/spielbericht/2460631,2014,Bundesliga
30.08.2014,15:30,B. Leverkusen,Hertha BSC,27.819,4,2,/spielbericht/index/spielbericht/2460636,2014,Bundesliga
13.09.2014,15:30,Hertha BSC,1.FSV Mainz 05,42.069,1,3,/spielbericht/index/spielbericht/2460650,2014,Bundesliga
19.09.2014,20:30,SC Freiburg,Hertha BSC,23.600,2,2,/spielbericht/index/spielbericht/2460657,2014,Bundesliga
24.09.2014,20:00,Hertha BSC,VfL Wolfsburg,35.847,1,0,/spielbericht/index/spielbericht/2460668,2014,Bundesliga
28.09.2014,15:30,FC Augsburg,Hertha BSC,28.532,1,0,/spielbericht/index/spielbericht/2460674,2014,Bundesliga
03.10.2014,20:30,Hertha BSC,VfB Stuttgart,46.312,3,2,/spielbericht/index/spielbericht/2460686,2014,Bundesliga
18.10.2014,18:30,FC Schalke 04,Hertha BSC,61.973,2,0,/spielbericht/index/spielbericht/2460690,2014,Bundesliga
25.10.2014,15:30,Hertha BSC,Hamburger SV,58.768,3,0,/spielbericht/index/spielbericht/2460704,2014,Bundesliga
02.11.2014,17:30,SC Paderborn,Hertha BSC,14.630,3,1,/spielbericht/index/spielbericht/2460715,2014,Bundesliga
07.11.2014,20:30,Hertha BSC,Hannover 96,39.710,0,2,/spielbericht/index/spielbericht/2460721,2014,Bundesliga
22.11.2014,18:30,1.FC Köln,Hertha BSC,49.200,1,2,/spielbericht/index/spielbericht/2460732,2014,Bundesliga
29.11.2014,15:30,Hertha BSC,Bayern München,76.197,0,1,/spielbericht/index/spielbericht/2460739,2014,Bundesliga
06.12.2014,15:30,Bor. M'gladbach,Hertha BSC,50.190,3,2,/spielbericht/index/spielbericht/2460745,2014,Bundesliga
13.12.2014,15:30,Hertha BSC,Bor. Dortmund,75.254,1,0,/spielbericht/index/spielbericht/2460758,2014,Bundesliga
17.12.2014,20:00,E. Frankfurt,Hertha BSC,40.200,4,4,/spielbericht/index/spielbericht/2460766,2014,Bundesliga
21.12.2014,15:30,Hertha BSC,TSG Hoffenheim,39.604,0,5,/spielbericht/index/spielbericht/2460775,2014,Bundesliga
01.02.2015,15:30,Werder Bremen,Hertha BSC,40.187,2,0,/spielbericht/index/spielbericht/2460784,2014,Bundesliga
04.02.2015,20:00,Hertha BSC,B. Leverkusen,34.636,0,1,/spielbericht/index/spielbericht/2460793,2014,Bundesliga
07.02.2015,15:30,1.FSV Mainz 05,Hertha BSC,26.756,0,2,/spielbericht/index/spielbericht/2460799,2014,Bundesliga
15.02.2015,15:30,Hertha BSC,SC Freiburg,38.000,0,2,/spielbericht/index/spielbericht/2460812,2014,Bundesliga
22.02.2015,17:30,VfL Wolfsburg,Hertha BSC,27.683,2,1,/spielbericht/index/spielbericht/2460816,2014,Bundesliga
28.02.2015,15:30,Hertha BSC,FC Augsburg,36.015,1,0,/spielbericht/index/spielbericht/2460830,2014,Bundesliga
06.03.2015,20:30,VfB Stuttgart,Hertha BSC,45.420,0,0,/spielbericht/index/spielbericht/2460838,2014,Bundesliga
14.03.2015,15:30,Hertha BSC,FC Schalke 04,59.156,2,2,/spielbericht/index/spielbericht/2460848,2014,Bundesliga
20.03.2015,20:30,Hamburger SV,Hertha BSC,53.640,0,1,/spielbericht/index/spielbericht/2460857,2014,Bundesliga
05.04.2015,17:30,Hertha BSC,SC Paderborn,44.031,2,0,/spielbericht/index/spielbericht/2460865,2014,Bundesliga
