date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,Holstein Kiel,Unterhaching,5.247,0,0,/spielbericht/index/spielbericht/2467002,2014,3. Liga
02.08.2014,14:00,B. Dortmund II,Holstein Kiel,4.965,2,2,/spielbericht/index/spielbericht/2462911,2014,3. Liga
06.08.2014,19:00,Holstein Kiel,Hansa Rostock,9.023,2,0,/spielbericht/index/spielbericht/2462918,2014,3. Liga
09.08.2014,14:00,Stuttgart II,Holstein Kiel,785,1,0,/spielbericht/index/spielbericht/2462924,2014,3. Liga
23.08.2014,14:00,Holstein Kiel,Energie Cottbus,4.484,0,1,/spielbericht/index/spielbericht/2462938,2014,3. Liga
26.08.2014,19:00,Dynamo Dresden,Holstein Kiel,24.530,1,2,/spielbericht/index/spielbericht/2462945,2014,3. Liga
30.08.2014,14:00,Holstein Kiel,Pr. Münster,4.150,1,1,/spielbericht/index/spielbericht/2462958,2014,3. Liga
06.09.2014,14:00,Rot-Weiß Erfurt,Holstein Kiel,4.673,3,2,/spielbericht/index/spielbericht/2462967,2014,3. Liga
13.09.2014,14:00,VfL Osnabrück,Holstein Kiel,7.211,2,1,/spielbericht/index/spielbericht/2462974,2014,3. Liga
20.09.2014,14:00,Holstein Kiel,Wehen Wiesbaden,3.945,0,0,/spielbericht/index/spielbericht/2462988,2014,3. Liga
24.09.2014,19:00,J. Regensburg,Holstein Kiel,2.615,0,2,/spielbericht/index/spielbericht/2463000,2014,3. Liga
27.09.2014,14:00,Holstein Kiel,Sonnenhof-Gr.,3.698,3,1,/spielbericht/index/spielbericht/2463008,2014,3. Liga
05.10.2014,14:00,FSV Mainz 05 II,Holstein Kiel,732,1,1,/spielbericht/index/spielbericht/2463022,2014,3. Liga
18.10.2014,14:00,Holstein Kiel,Hallescher FC,4.611,3,0,/spielbericht/index/spielbericht/2463028,2014,3. Liga
25.10.2014,14:00,Chemnitzer FC,Holstein Kiel,5.830,0,0,/spielbericht/index/spielbericht/2463035,2014,3. Liga
01.11.2014,14:00,Holstein Kiel,Arm. Bielefeld,7.644,1,0,/spielbericht/index/spielbericht/2463048,2014,3. Liga
09.11.2014,14:00,Fortuna Köln,Holstein Kiel,1.889,0,0,/spielbericht/index/spielbericht/2463057,2014,3. Liga
22.11.2014,14:00,Holstein Kiel,MSV Duisburg,5.802,1,0,/spielbericht/index/spielbericht/2463068,2014,3. Liga
29.11.2014,14:00,Stuttg. Kickers,Holstein Kiel,2.555,0,0,/spielbericht/index/spielbericht/2463079,2014,3. Liga
06.12.2014,14:00,Unterhaching,Holstein Kiel,1.600,1,1,/spielbericht/index/spielbericht/2463089,2014,3. Liga
13.12.2014,14:00,Holstein Kiel,B. Dortmund II,4.920,0,2,/spielbericht/index/spielbericht/2463101,2014,3. Liga
20.12.2014,14:00,Hansa Rostock,Holstein Kiel,7.900,0,4,/spielbericht/index/spielbericht/2463108,2014,3. Liga
31.01.2015,14:00,Holstein Kiel,Stuttgart II,4.031,1,1,/spielbericht/index/spielbericht/2463114,2014,3. Liga
07.02.2015,14:00,Energie Cottbus,Holstein Kiel,5.884,0,2,/spielbericht/index/spielbericht/2463128,2014,3. Liga
14.02.2015,14:00,Holstein Kiel,Dynamo Dresden,7.008,1,0,/spielbericht/index/spielbericht/2463135,2014,3. Liga
21.02.2015,14:00,Pr. Münster,Holstein Kiel,8.672,1,3,/spielbericht/index/spielbericht/2463148,2014,3. Liga
27.02.2015,19:00,Holstein Kiel,Rot-Weiß Erfurt,8.006,4,1,/spielbericht/index/spielbericht/2463157,2014,3. Liga
